Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"702,589","1,946",831,"9,707","1,133","152,836","5,526","7,231","1,187","1,089","90,846","19,785","5,276",980,"30,156","3,885",805,"2,509","2,049","1,336",802,"14,465","22,932","11,675","9,137",495,"3,711",225,"1,797","8,202","2,483","39,801","1,538","103,870","12,592",329,"8,796","2,246","4,332","15,846","2,266","2,940",342,"3,334","37,835",D,"2,893","2,740",569,"20,401","12,762",390,"3,247",D,"8,313"
Africa,"50,397",156,26,528,55,"4,206",597,467,153,315,"2,083","3,438",79,18,"1,383",376,47,170,176,79,188,"3,149","2,852",760,"3,569",33,410,7,234,373,209,"3,017",48,"5,792","1,754",66,"1,814",222,267,"1,632",452,286,120,608,"2,996",-,16,192,52,"3,012","1,042",29,206,9,629
Asia,"257,125",983,419,"2,437",391,"77,511","1,671","2,138",492,197,"10,255","7,950","3,917",176,"10,745","1,564",245,"1,110",759,660,236,"5,787","7,585","6,314","3,262",272,"1,490",56,524,"3,179",814,"15,026",385,"31,154","4,915",75,"3,380",961,"1,801","7,198",410,"1,193",52,"1,488","14,120",-,910,685,164,"9,704","5,864",198,"1,383",38,"2,882"
Europe,"107,459",326,159,"1,595",106,"13,246","1,212","1,967",155,175,"8,742","3,028",266,349,"8,911",798,231,239,600,136,206,"1,687","4,848","3,190","1,204",59,"1,085",72,231,"1,026",792,"6,705",200,"21,084","1,998",124,"2,420",207,"1,087","3,760",399,593,106,506,"2,721",D,86,607,240,"2,323","3,258",75,919,D,"1,356"
North America,"223,086",341,150,"4,760",525,"51,584","1,754","1,686",288,292,"51,108","4,026",510,388,"8,113",985,266,871,405,366,147,"2,698","5,837","1,144",721,99,577,74,732,"3,228",480,"8,562",817,"31,858","2,966",52,816,686,967,"2,428",765,529,56,564,"16,332",-,"1,622",860,92,"3,320","2,076",62,637,65,"2,799"
Oceania,"3,657",10,27,67,D,"1,531",63,20,4,13,125,78,318,12,46,9,-,18,16,7,3,24,51,34,26,3,17,3,9,64,15,75,8,159,51,-,32,11,68,37,7,19,D,19,136,-,13,91,-,62,205,3,10,4,29
South America,"59,985",126,48,311,48,"4,686",220,948,95,97,"18,404","1,245",181,36,855,143,16,93,85,76,21,"1,112","1,752",201,342,26,129,12,65,328,171,"6,402",76,"13,794",885,11,287,157,135,780,232,310,D,140,"1,445",-,241,302,21,"1,950",305,23,82,D,519
Unknown,880,4,2,9,5,72,9,5,-,-,129,20,5,1,103,10,-,8,8,12,1,8,7,32,13,3,3,1,2,4,2,14,4,29,23,1,47,2,7,11,1,10,-,9,85,-,5,3,-,30,12,-,10,-,99
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
