Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,"702,589","1,946",831,"9,707","1,133","152,836","5,526","7,231","1,187","1,089","90,846","19,785","5,276",980,"30,156","3,885",805,"2,509","2,049","1,336",802,"14,465","22,932","11,675","9,137",495,"3,711",225,"1,797","8,202","2,483","39,801","1,538","103,870","12,592",329,"8,796","2,246","4,332","15,846","2,266","2,940",342,"3,334","37,835",D,"2,893","2,740",569,"20,401","12,762",390,"3,247",D,"8,313"
Afghanistan,"2,018",-,-,48,-,706,16,23,4,3,37,58,D,10,29,22,-,10,D,-,5,30,52,5,13,-,32,-,22,35,-,69,8,246,14,-,3,D,13,31,3,D,-,6,39,-,-,7,-,354,30,D,5,-,24
Albania,"3,964",4,-,15,D,32,8,233,D,10,338,12,-,3,226,8,D,8,3,-,7,41,526,525,D,-,45,-,D,19,35,197,D,930,27,-,135,4,5,334,D,30,-,10,48,-,D,3,D,50,8,D,48,-,23
Algeria,825,3,D,4,D,120,7,11,D,-,33,20,D,-,39,D,-,D,D,8,-,18,63,13,5,-,4,D,-,6,12,55,-,170,29,-,15,D,3,39,D,D,-,5,51,-,-,D,D,52,13,-,6,-,6
American Samoa,247,D,10,D,-,31,D,-,-,-,-,3,120,D,-,-,-,4,D,-,-,D,-,-,-,-,-,-,D,3,-,-,D,D,D,-,-,-,D,-,-,-,-,-,11,-,D,12,-,5,30,-,-,-,3
Andorra,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,106,D,-,D,-,3,-,3,-,-,7,D,D,-,-,-,-,-,D,-,-,-,35,D,-,-,-,-,-,-,D,15,-,11,D,-,-,-,-,8,7,-,-,-,3,-,-,-,-,D,D,-,-,-,1
Anguilla,35,-,-,-,-,D,-,-,-,-,7,3,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,D,-,-,-,-,4,-,10,-,-,-,-,-,-,-,1
Antigua-Barbuda,520,D,-,D,-,7,-,8,D,D,100,25,3,-,D,-,-,-,-,D,D,6,10,D,D,D,-,-,-,D,-,24,D,207,9,-,D,-,-,13,D,D,-,D,11,-,55,-,-,7,4,D,3,-,5
Argentina,"2,695",10,D,25,D,471,17,22,D,10,968,30,11,D,31,7,D,4,6,D,D,65,58,15,13,-,7,-,D,40,D,153,7,307,22,D,15,9,15,41,6,10,-,14,84,-,26,43,3,66,21,3,3,-,22
Armenia,"1,605",3,D,10,-,"1,250",4,4,-,-,16,D,-,D,6,-,-,-,-,D,D,21,47,13,D,-,D,-,-,25,-,16,-,91,7,3,4,-,3,17,8,-,-,D,7,-,-,D,-,5,6,-,4,-,24
Aruba,44,-,-,D,-,5,D,-,-,-,12,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,3,-,10,-,-,-,-,-,D,-,D,-,-,D,-,3,-,-,-,-,-,-,-,-
Australia,"1,240",7,4,32,D,313,45,20,-,8,82,40,19,6,31,4,-,3,9,6,D,19,37,23,18,3,7,-,5,13,11,49,3,124,22,-,19,6,20,29,5,7,D,11,67,-,4,10,-,41,31,D,9,D,12
Austria,359,D,D,4,-,66,5,4,D,4,40,7,6,D,12,D,-,-,-,D,D,10,15,7,D,D,D,-,D,5,D,21,D,38,9,-,8,D,7,13,D,4,-,D,11,-,-,-,3,16,8,D,4,-,7
Azerbaijan,997,-,D,5,-,171,5,4,-,D,22,12,-,D,18,4,-,3,4,-,D,16,36,26,18,-,17,-,D,D,D,10,-,438,16,D,13,-,4,38,3,-,-,D,18,-,-,3,D,13,58,D,D,-,4
Bahamas,574,D,-,-,-,13,D,D,D,5,375,31,3,-,5,D,-,D,D,-,-,9,3,D,D,D,D,-,-,D,-,12,D,33,10,-,D,D,-,6,-,5,-,6,16,-,-,-,-,14,3,-,-,-,5
Bahrain,81,D,-,-,-,11,D,-,-,-,D,3,D,-,8,-,-,-,-,-,-,D,-,3,-,-,-,-,-,-,D,5,-,11,4,-,D,5,-,-,-,D,-,D,9,-,-,-,D,8,-,-,D,-,-
Bangladesh,"6,683",14,D,33,D,406,13,75,21,14,399,277,4,D,77,22,-,27,7,4,D,123,91,300,34,5,18,-,7,30,5,331,5,"3,301",50,D,35,29,15,175,D,15,D,21,344,-,D,7,-,277,11,-,9,-,39
Barbados,"1,006",5,-,6,D,25,D,10,4,D,158,22,5,-,3,3,-,D,D,3,-,27,65,3,-,-,-,-,-,-,-,58,-,501,11,-,6,D,-,19,D,5,-,D,13,-,6,D,D,27,D,-,-,-,6
Belarus,"1,769",4,D,14,D,217,32,24,D,D,66,27,D,D,106,12,D,D,D,-,D,41,81,13,77,-,15,12,4,4,4,90,3,594,19,D,47,4,10,76,5,7,D,5,13,-,-,9,D,28,67,-,10,-,10
Belgium,355,3,-,5,D,61,3,4,-,3,43,11,-,-,10,D,-,D,D,5,3,5,11,11,5,D,5,-,-,9,D,21,D,43,14,-,6,5,3,13,D,D,D,3,13,-,-,5,D,10,D,-,3,D,4
Belize,918,3,-,9,D,349,5,3,-,-,102,9,3,-,73,3,-,D,D,D,-,4,7,3,D,-,5,D,-,17,D,15,3,189,9,-,5,4,5,5,D,4,-,6,40,-,-,4,-,10,D,-,-,-,14
Benin,64,-,-,-,-,4,D,3,-,D,-,D,D,-,-,6,-,-,-,-,-,9,D,D,D,-,-,-,3,-,-,5,-,9,D,-,D,-,-,5,-,-,-,-,3,-,-,-,-,3,-,-,-,-,2
Bermuda,72,D,-,-,-,D,-,-,D,-,17,5,-,-,-,-,-,-,-,-,-,5,4,D,D,-,-,-,-,-,-,3,-,9,4,-,D,-,-,D,D,D,-,4,D,-,-,D,D,3,D,-,-,-,1
Bhutan,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bolivia,"1,630",3,-,12,3,164,6,7,D,6,220,16,3,D,31,8,D,3,D,D,-,132,21,6,5,D,3,3,D,5,D,41,7,130,17,-,6,3,3,13,28,5,-,D,57,-,7,11,-,601,7,-,5,-,21
Bosnia-Herzegovina,"9,686",26,5,364,-,395,118,100,D,6,654,673,-,158,905,138,160,14,252,11,27,48,250,430,221,D,471,D,69,148,227,121,D,776,273,74,293,7,77,262,5,19,50,107,276,-,D,245,127,244,288,D,144,-,420
Botswana,17,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,D,D,D,-,-,D,-,-,-,-,D,-,-,-,-,D,-,-,3,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-
Brazil,"7,028",16,6,50,11,762,43,169,6,15,"2,263",178,47,11,96,27,5,15,14,6,4,131,877,50,26,4,9,-,D,54,57,608,10,619,88,D,43,14,21,106,31,38,D,21,185,-,6,40,3,132,47,3,12,-,45
British Virgin Islands,54,-,-,-,-,D,-,-,-,-,7,4,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,8,5,-,D,-,-,-,-,-,-,-,D,-,21,-,-,D,-,-,-,-,1
Brunei,13,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,3,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-
Bulgaria,"3,488",5,D,44,D,425,45,33,9,9,338,238,13,7,600,49,3,15,22,5,16,77,145,86,31,3,45,D,6,143,8,142,D,313,57,D,36,8,27,88,5,38,D,11,78,-,-,15,3,107,91,-,21,D,18
Burkina Faso,51,-,-,D,-,4,-,D,D,D,-,D,-,-,D,D,-,-,-,-,-,4,4,D,D,-,-,-,-,-,-,5,-,10,D,-,D,-,D,6,-,-,-,-,-,-,-,-,-,3,D,-,-,-,-
Burma,"1,486",-,D,7,D,617,5,8,D,-,50,13,7,D,29,79,D,D,3,-,D,42,43,4,21,-,10,D,D,6,D,28,-,319,44,D,11,D,10,18,D,3,-,D,12,-,D,-,-,30,20,3,8,-,17
Burundi,71,-,-,8,-,4,D,D,D,-,3,D,-,-,D,-,-,D,-,-,-,-,D,D,D,-,D,-,D,-,-,3,-,9,5,D,D,D,-,-,-,-,-,4,7,-,-,-,-,3,D,-,-,-,1
Cambodia,"4,778",10,6,31,D,"1,451",29,46,D,-,71,135,19,D,70,20,11,22,23,5,57,46,737,40,266,D,25,-,4,32,29,24,D,76,95,-,96,4,59,321,78,15,D,37,181,-,D,58,3,117,355,D,11,-,49
Cameroon,771,4,D,9,D,50,D,D,6,7,20,100,D,-,17,3,-,4,4,-,-,176,36,11,42,-,D,-,D,9,-,30,D,45,14,D,31,6,3,7,-,D,-,5,52,-,-,D,-,43,4,D,7,-,11
Canada,"9,607",47,18,301,17,"1,338",158,147,15,15,"1,509",307,86,45,248,101,16,40,53,27,99,133,268,410,132,14,60,44,24,118,202,218,26,626,366,26,195,34,133,241,19,112,10,89,532,-,7,86,66,221,417,8,57,16,110
Cape Verde,"1,126",-,-,D,-,7,-,19,D,-,27,6,D,-,-,-,-,-,-,-,-,D,835,-,-,-,-,-,-,-,-,14,-,8,3,-,-,-,-,3,188,-,-,-,D,-,-,D,-,-,D,-,-,-,6
Cayman Islands,18,-,-,-,-,D,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,1
Central African Republic,14,-,-,-,-,-,-,-,-,D,D,-,-,-,-,D,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,4,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Chad,18,-,-,-,-,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,3,-,-,-,-,D,-,D,-,D,-,-,4,-,-,D,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Chile,"1,549",5,D,15,D,234,10,24,4,11,476,21,7,D,17,3,-,4,4,D,D,45,33,11,13,D,4,-,D,22,4,100,9,225,33,D,5,3,12,20,D,9,-,11,36,-,13,17,D,49,7,-,3,-,16
"China, People's Republic","35,387",103,7,198,27,"10,978",160,291,61,31,824,635,408,30,"1,093",190,19,84,60,51,28,897,"1,545",473,219,33,164,9,36,265,87,"1,429",34,"9,150",420,6,379,67,313,"1,071",57,118,8,124,"1,214",-,55,95,32,738,623,18,128,7,295
Colombia,"15,698",41,22,82,9,804,37,229,31,14,"6,622",415,27,5,212,43,5,22,24,22,5,155,378,35,54,9,37,7,20,71,57,"1,664",18,"2,531",267,D,61,38,21,234,112,152,3,32,464,-,87,36,D,231,71,8,16,3,150
"Congo, Democratic Republic",229,D,-,7,-,15,9,D,-,D,8,30,-,-,4,5,-,-,D,-,6,17,10,D,3,-,5,-,D,-,5,4,-,12,29,-,-,D,3,8,D,D,-,-,13,-,-,-,4,10,8,-,D,-,3
"Congo, Republic",369,D,D,13,-,27,D,5,-,D,13,27,-,-,12,4,D,-,10,D,D,16,14,4,6,-,8,-,D,D,D,6,D,22,37,-,8,D,3,6,D,D,D,5,44,-,D,18,4,16,9,-,D,-,3
Cook Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Costa Rica,"1,402",6,D,23,D,198,7,14,D,3,417,38,D,3,17,D,-,3,4,6,-,9,36,10,6,-,6,3,D,24,3,134,D,161,48,-,6,D,8,27,-,16,-,10,69,-,9,5,D,29,10,-,4,-,19
Cote d'Ivoire,491,4,-,D,D,27,D,5,3,D,13,54,-,-,8,4,-,-,-,-,-,53,19,13,3,-,-,-,D,-,-,28,-,117,22,D,10,D,D,28,5,-,-,D,24,-,-,-,D,21,6,-,D,-,8
Croatia,"1,623",10,-,59,D,117,19,6,8,3,141,62,D,9,192,60,11,5,22,3,15,9,26,27,18,-,24,-,9,37,32,72,-,158,30,5,95,-,D,42,7,3,6,6,39,-,-,28,8,37,23,D,83,D,51
Cuba,"21,481",20,D,44,D,293,16,18,10,D,"18,682",100,10,-,59,14,D,D,95,24,4,30,31,44,11,3,16,-,15,248,D,517,11,295,109,3,13,7,45,43,5,21,-,23,153,-,167,D,-,55,21,-,5,-,190
Cyprus,140,-,-,D,D,17,-,D,-,-,7,3,-,-,6,D,-,-,D,-,-,5,5,D,D,-,D,-,-,3,-,21,-,43,D,-,D,-,-,3,-,D,-,-,7,-,-,-,-,3,3,-,D,-,-
Czech Republic,122,D,D,-,-,23,3,D,-,D,16,D,D,3,12,-,-,D,D,-,-,-,D,5,3,-,3,D,D,4,4,D,-,7,D,D,D,-,D,D,-,D,-,D,D,-,-,-,-,D,6,-,-,-,5
"Czechoslovakia, former",614,3,4,11,D,86,9,4,-,D,109,20,3,5,33,3,-,3,4,3,D,10,18,9,4,D,4,D,-,8,8,44,D,63,21,-,13,3,D,17,D,7,D,7,17,-,-,4,4,22,10,-,5,-,3
Denmark,199,D,D,6,-,44,8,D,-,-,30,10,3,D,D,D,D,-,-,-,-,6,4,-,3,-,D,D,-,4,D,10,D,10,6,-,D,-,D,-,D,D,-,D,7,-,D,3,D,10,9,-,D,-,1
Djibouti,18,-,-,-,-,D,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,-,6,-,-,-,-,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-
Dominica,741,D,8,D,D,12,3,13,-,3,137,28,D,-,6,D,-,D,3,D,D,23,24,D,D,D,D,-,-,-,D,44,D,200,5,-,D,-,-,15,D,D,-,7,27,-,135,D,-,11,4,-,-,D,8
Dominican Republic,"22,165",10,22,14,D,85,19,205,21,22,"2,651",149,41,D,68,47,D,7,13,18,9,142,"2,284",55,12,D,7,-,10,25,130,"2,884",D,"10,629",184,-,74,7,4,566,445,21,D,23,93,-,836,13,-,119,28,D,21,D,142
Ecuador,"8,321",5,3,29,8,435,16,168,12,3,"1,338",67,22,D,258,8,D,10,10,7,D,79,100,12,79,3,16,-,7,23,18,"1,435",5,"3,378",146,D,37,7,13,110,18,18,-,7,109,-,14,35,D,127,26,D,5,5,82
Egypt,"4,271",9,D,30,3,647,14,35,8,4,242,59,6,D,121,37,-,5,25,11,D,71,94,78,64,D,22,D,5,30,16,804,D,751,131,D,96,3,12,177,18,50,3,127,139,-,-,4,D,220,26,8,9,-,46
El Salvador,"13,430",8,7,87,77,"5,483",59,26,9,101,567,195,20,4,125,46,17,38,13,18,D,700,293,20,50,D,27,D,48,282,14,550,7,"1,404",228,-,30,18,36,44,23,12,10,31,"1,155",-,8,60,4,"1,135",69,9,15,D,242
Equatorial Guinea,7,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eritrea,653,D,-,5,-,123,11,D,D,13,11,77,-,-,11,5,-,D,-,-,D,25,20,10,34,-,6,-,3,19,-,6,D,19,17,-,35,D,7,10,-,-,3,3,43,-,-,D,-,66,53,D,-,-,6
Estonia,156,D,-,D,-,22,-,D,-,-,23,D,D,-,5,D,-,-,-,-,-,4,14,3,3,-,3,-,-,-,D,7,-,33,3,-,D,-,3,D,D,D,-,-,D,-,D,-,-,5,9,-,D,-,1
Ethiopia,"5,397",9,-,43,D,636,152,15,D,104,85,604,4,-,103,25,D,37,12,D,7,417,126,48,700,3,40,-,5,159,D,65,6,146,106,-,137,13,55,80,D,5,40,73,384,-,-,5,-,559,304,3,10,-,64
Fiji,"1,163",-,D,8,-,899,D,-,-,D,5,9,14,-,3,-,-,7,-,-,-,-,D,3,-,-,D,-,D,25,-,9,D,3,3,-,4,D,35,-,-,D,-,-,17,-,-,7,-,3,89,D,D,-,6
Finland,532,3,-,10,-,69,6,7,-,-,141,38,D,-,12,-,-,-,D,-,D,10,29,8,10,D,5,D,-,D,D,22,4,34,10,-,9,-,4,9,-,D,D,3,26,D,D,D,-,25,14,-,3,D,3
France,"2,449",4,3,34,3,579,30,39,D,11,344,70,21,4,33,10,D,5,6,14,5,68,85,31,22,4,10,-,3,30,10,120,13,334,63,-,34,D,22,57,8,22,-,7,112,-,5,4,4,88,36,D,14,D,19
French Guiana,5,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
French Polynesia,16,-,-,D,-,D,-,-,-,-,D,D,5,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-
Gabon,23,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,5,3,D,-,-,-,-,-,-,-,D,-,4,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Gambia,286,-,D,-,-,7,3,-,-,D,6,43,D,-,D,D,-,D,3,-,-,45,4,5,6,-,5,-,-,-,D,9,D,43,19,-,11,D,4,5,6,D,3,D,13,-,-,D,-,6,19,-,4,-,1
Georgia,628,-,-,D,D,131,4,8,-,D,15,24,-,-,8,3,D,-,D,-,-,8,19,4,4,-,3,-,D,4,D,79,-,208,3,-,8,D,5,20,6,D,-,3,8,-,D,3,D,7,22,D,D,-,3
Germany,"4,556",53,17,93,18,661,111,36,14,10,622,158,38,9,136,62,7,28,49,12,11,108,102,129,38,3,50,10,9,52,43,173,35,358,134,4,101,39,47,118,7,81,3,49,259,-,5,17,13,192,98,7,66,6,55
Ghana,"4,760",D,D,23,4,162,66,91,18,8,80,285,6,-,155,19,D,8,10,D,D,334,293,31,74,D,9,-,4,13,11,456,D,"1,211",134,D,266,32,11,114,19,11,D,25,182,-,3,7,4,498,27,D,10,-,32
Gibraltar,3,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greece,"1,291",D,-,7,D,120,12,37,4,4,84,18,D,-,104,9,-,D,3,D,D,34,106,22,10,-,D,-,4,10,16,107,3,346,31,-,23,3,3,56,10,9,-,3,24,-,-,4,-,26,7,D,8,D,12
Greenland,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Grenada,781,-,D,D,-,11,D,D,D,6,76,12,D,-,3,D,-,D,-,D,-,23,7,3,-,-,-,-,D,-,-,30,-,537,4,-,D,D,-,12,D,3,-,D,12,-,4,-,-,9,D,-,-,-,7
Guadeloupe,36,-,-,-,-,-,-,D,-,-,12,D,-,-,-,-,-,-,-,-,-,D,4,-,-,-,-,-,-,-,-,D,-,8,D,-,-,-,-,D,-,-,-,D,-,-,D,-,-,D,-,-,-,-,-
Guatemala,"6,551",11,10,83,20,"2,601",31,52,7,12,570,91,19,7,379,32,12,18,21,20,5,173,229,10,21,D,14,-,43,131,5,286,14,527,91,D,24,21,33,44,126,15,4,22,281,-,8,37,D,228,37,4,14,D,101
Guinea,194,-,-,D,-,5,D,3,-,3,5,12,-,-,5,5,-,-,D,-,-,29,9,5,5,-,-,-,-,D,-,6,-,47,4,-,11,D,-,13,D,D,-,D,4,-,-,-,-,5,5,D,D,-,-
Guinea-Bissau,14,-,-,-,-,3,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,3,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guyana,"7,434",8,D,12,-,72,5,88,15,9,947,173,13,D,23,6,-,5,D,7,D,169,54,16,106,-,9,-,D,7,D,585,4,"4,701",69,-,34,4,D,69,4,12,-,9,56,-,6,D,D,68,10,-,4,-,44
Haiti,"15,979",4,5,12,D,90,13,286,42,8,"7,556",361,19,D,73,21,D,4,18,7,4,150,"1,648",19,14,3,27,-,6,13,36,"1,138",4,"3,587",68,4,34,3,8,309,63,9,-,24,49,-,9,D,D,74,22,D,D,-,124
Honduras,"4,949",13,7,32,11,613,23,21,10,8,"1,499",96,19,4,91,21,D,7,6,101,3,81,136,18,16,D,24,-,21,41,7,321,5,737,139,D,24,21,6,55,7,27,3,23,359,-,9,16,D,138,38,4,15,D,66
Hong Kong,"4,263",12,D,35,3,"1,789",19,20,5,D,142,63,68,3,88,13,-,7,5,3,-,62,189,28,20,4,17,D,3,44,8,136,D,831,63,D,25,5,28,62,6,20,-,10,166,-,13,10,D,73,105,D,11,3,37
Hungary,955,3,D,18,D,168,10,15,3,D,171,17,7,-,26,6,-,D,3,D,D,26,22,8,3,-,6,-,-,33,8,66,4,115,29,-,29,D,3,30,3,5,-,3,32,-,-,D,D,31,18,5,3,-,12
Iceland,70,D,-,D,-,10,D,D,-,D,13,D,-,-,D,D,-,-,-,-,-,4,4,-,D,-,-,-,-,-,D,D,-,6,D,-,D,-,-,D,D,-,-,-,D,-,D,-,-,5,D,-,-,D,4
India,"47,542",251,7,438,77,"9,356",294,613,198,26,"1,873","2,324",21,27,"3,197",409,37,196,135,87,20,"1,222","1,429","1,540",492,74,293,5,52,159,220,"5,946",44,"4,274","1,230",9,"1,093",199,270,"2,068",31,289,3,337,"3,302",-,23,29,23,"1,830",736,42,279,5,408
Indonesia,"1,287",D,-,15,4,591,23,6,D,D,38,48,14,D,13,8,D,D,D,D,-,27,16,9,6,D,6,D,5,19,10,31,3,80,25,D,15,13,24,28,D,4,-,11,66,-,D,7,D,36,39,D,5,-,18
Iran,"11,363",44,5,143,8,"5,882",63,53,9,7,384,431,10,11,200,44,D,32,34,14,11,344,186,87,68,10,35,D,6,110,15,196,26,708,159,-,97,65,66,107,7,21,D,68,577,-,D,38,5,557,179,9,31,-,194
Iraq,"3,614",7,-,145,4,715,21,30,-,3,28,65,D,D,260,15,D,6,35,4,3,21,28,"1,171",71,D,66,D,48,18,18,11,10,72,8,11,20,3,17,50,3,13,3,167,124,-,-,15,-,161,85,-,11,-,41
Ireland,"1,754",6,D,19,D,277,15,29,4,3,157,24,6,D,83,12,D,D,12,D,D,18,202,14,17,-,4,-,D,12,14,110,5,433,29,D,17,D,8,60,11,14,D,9,26,-,-,4,D,35,27,D,8,D,13
