Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Armenia,"1,495",-,-,10,-,"1,170",8,6,D,-,13,D,D,D,11,D,D,3,D,-,-,8,31,6,5,-,4,-,D,34,D,16,-,61,5,-,7,3,4,9,6,-,D,-,16,-,-,8,-,6,16,-,7,D,6
Aruba,36,-,-,-,-,3,-,-,D,-,10,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,3,-,7,-,-,-,-,-,-,-,-,-,-,D,-,3,-,-,D,-,-,-,-,1
Australia,"1,067",D,7,30,4,301,26,9,D,10,49,16,16,3,29,9,5,D,D,12,3,21,37,8,11,3,7,5,-,15,7,29,7,93,18,-,13,3,20,22,D,7,D,7,65,-,9,13,4,35,46,D,12,D,10
Austria,292,-,-,6,D,69,14,5,-,-,28,6,4,-,12,3,4,-,D,D,-,3,9,10,6,-,3,-,-,6,4,13,-,24,D,-,7,-,4,3,-,-,D,D,15,-,D,3,-,8,7,-,3,D,-
Azerbaijan,606,-,-,10,D,140,7,7,D,-,10,D,D,D,25,D,-,D,4,-,D,9,16,17,6,-,8,-,-,D,-,13,D,199,4,-,21,-,D,16,D,-,-,3,12,-,-,8,D,8,40,-,D,-,4
Bahamas,397,D,-,-,D,12,D,D,D,D,222,34,3,-,4,D,-,-,D,-,-,7,7,D,D,-,D,-,-,-,3,9,D,20,6,-,-,3,D,3,-,D,-,D,16,-,-,D,D,11,D,-,-,-,14
Bahrain,56,-,-,-,-,12,-,D,-,D,D,D,-,-,3,-,-,-,-,D,-,3,-,D,-,-,D,-,D,-,-,6,-,5,-,-,D,-,-,D,-,-,-,-,9,-,-,-,-,D,D,-,-,-,-
Bangladesh,"4,746",19,D,51,4,335,20,50,8,8,199,136,D,3,83,10,6,18,3,3,D,109,79,295,44,D,24,-,6,23,4,329,D,"2,060",17,5,48,20,26,103,-,4,-,11,338,-,-,4,D,183,19,D,6,-,23
Barbados,718,D,-,6,D,31,D,11,3,4,63,21,-,-,7,-,D,-,-,3,-,18,60,D,6,D,D,-,-,-,D,52,D,327,6,D,5,-,D,22,-,D,-,3,26,-,D,-,-,12,D,-,D,-,8
Belarus,"1,401",D,3,8,D,238,37,4,3,D,43,33,D,5,110,4,4,-,4,-,D,20,78,21,50,-,25,D,3,6,4,59,3,306,9,-,50,3,12,63,D,13,-,3,22,-,-,8,3,23,77,D,24,D,9
Belgium,248,-,-,D,-,57,4,D,D,3,23,10,3,D,7,D,D,D,D,5,D,5,8,5,-,-,D,D,-,4,-,14,-,26,D,-,5,-,4,5,-,-,-,D,21,-,-,D,-,12,3,-,D,-,1
Belize,799,D,D,9,D,352,4,3,-,D,54,12,3,-,87,D,-,-,-,4,D,6,4,D,3,3,D,D,-,14,-,16,-,112,4,-,7,D,D,8,-,D,D,D,54,-,3,-,-,6,5,-,D,-,6
Benin,61,D,-,D,-,6,-,-,-,D,-,3,D,-,6,D,D,-,D,D,-,8,D,D,D,-,D,-,D,-,D,3,-,4,D,D,3,-,-,-,-,-,-,-,D,-,-,-,D,D,D,-,-,-,1
Bermuda,42,-,-,-,-,3,D,-,D,-,D,5,-,-,D,D,-,-,-,-,-,4,D,-,-,-,-,-,-,-,-,6,-,D,D,-,D,-,-,D,D,D,-,D,-,-,D,-,-,-,D,D,-,-,1
Bhutan,10,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,D,D,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bolivia,"1,311",-,-,11,5,193,15,7,-,11,137,8,3,D,19,5,D,D,6,D,D,96,22,D,6,D,5,-,-,12,3,42,3,84,11,D,9,D,3,10,22,3,-,4,94,-,4,15,D,390,11,5,6,3,13
Bosnia-Herzegovina,"8,175",18,-,291,D,321,118,48,D,3,428,382,D,156,"1,036",122,362,21,306,21,28,34,152,346,215,3,694,-,55,107,86,97,4,608,103,100,237,7,70,173,4,6,42,78,356,-,-,162,98,147,227,-,158,-,140
Botswana,4,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brazil,"5,745",18,-,70,D,783,36,85,5,20,"1,262",118,43,6,110,19,D,13,18,10,-,92,864,60,22,10,22,D,7,47,67,546,7,473,51,-,44,9,36,61,23,25,D,18,309,-,6,68,D,99,58,3,36,D,56
British Virgin Islands,40,-,-,D,-,D,-,-,-,-,4,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,4,-,-,D,D,-,-,-,-,-,-,D,-,16,-,-,D,D,-,-,-,1
Brunei,20,-,-,D,-,6,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,D,-,-,D,-,-,-,-,D,D,-,-,-,-
Bulgaria,"2,621",4,D,45,D,343,53,19,8,8,186,156,10,-,588,28,6,12,23,12,9,33,81,74,20,3,57,-,5,82,5,91,5,218,31,D,40,11,21,32,D,9,-,10,73,-,D,7,D,62,76,D,42,D,13
Burkina Faso,37,D,-,-,-,D,D,-,-,D,-,D,D,-,-,-,-,-,D,-,-,5,-,-,-,-,-,-,-,-,-,D,-,6,D,-,4,-,-,5,-,-,-,-,D,-,-,-,-,3,-,D,D,-,-
Burma,"1,058",-,-,5,-,458,17,3,D,D,33,11,8,D,23,56,-,7,D,D,-,28,17,9,32,-,4,-,6,4,-,19,-,144,13,D,17,3,10,11,-,D,-,D,29,-,-,D,-,24,24,D,13,-,16
Burundi,95,4,-,7,D,3,4,D,-,D,4,11,-,-,3,-,D,-,D,-,D,5,4,D,D,-,D,-,D,-,-,3,-,D,D,D,D,-,D,-,-,-,D,6,13,-,-,-,D,D,D,-,-,-,-
Cambodia,"4,197",8,3,27,D,"1,535",46,31,D,D,65,108,10,D,55,7,16,15,25,8,38,21,594,23,206,D,12,-,9,23,12,13,-,76,55,D,102,6,57,213,87,16,4,24,213,-,D,21,-,75,283,D,20,-,26
Cameroon,611,D,-,3,D,38,6,D,10,13,8,64,D,-,26,D,D,D,6,D,-,117,36,11,54,-,D,-,6,D,-,19,-,22,8,D,19,9,-,7,-,3,-,5,55,-,D,-,-,26,3,D,6,-,12
Canada,"8,473",33,28,315,19,"1,457",186,103,10,16,892,193,80,36,261,81,37,42,44,34,81,102,280,370,130,13,82,37,31,120,144,207,34,455,170,45,223,31,151,165,20,63,15,59,598,-,6,101,56,147,483,10,104,10,63
Cape Verde,"1,223",-,-,-,-,D,-,11,-,D,13,4,D,-,-,-,-,-,D,-,-,D,967,D,-,-,-,-,-,-,-,10,-,19,D,-,-,-,D,-,170,-,-,-,D,-,D,-,-,5,-,-,-,-,10
Cayman Islands,9,-,-,-,-,-,-,-,-,-,5,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-
Central African Republic,17,-,-,-,-,D,D,-,-,D,-,-,-,-,D,D,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Chad,22,-,-,-,-,-,-,-,-,-,D,-,D,-,D,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,D,-,-,D,-,-,3,-,-,-,-,D,-,-,D,-,3,-,-,D,-,2
Chile,"1,346",D,-,17,D,253,16,18,D,5,268,13,D,4,28,7,D,5,6,5,D,29,61,14,11,D,5,D,3,27,4,95,10,148,22,D,16,D,19,15,-,3,D,11,59,-,10,23,-,46,25,D,8,-,19
"China, People's Republic","33,134",70,7,236,25,"11,609",271,217,58,51,426,380,370,37,"1,499",194,65,90,69,85,38,765,"1,540",565,290,20,202,11,39,226,65,"1,486",34,"6,538",233,6,496,43,425,769,49,53,13,103,"1,404",-,64,84,25,552,703,21,129,10,374
Colombia,"12,089",28,18,93,10,834,72,144,20,21,"3,698",319,D,7,282,46,10,21,32,36,4,125,344,39,43,10,38,D,31,90,61,"1,626",20,"1,953",144,D,82,21,31,168,107,85,D,35,721,-,90,43,3,204,60,3,55,-,155
"Congo, Democratic Republic",164,-,-,4,-,10,4,D,-,4,4,11,-,-,4,D,3,-,5,D,D,12,3,D,5,-,5,-,-,D,D,3,D,11,10,-,4,D,D,7,-,D,-,3,17,-,-,-,D,8,6,-,D,-,4
"Congo, Republic",287,D,-,15,-,14,3,3,-,D,6,21,-,D,13,3,7,-,6,4,7,14,14,D,7,-,8,-,5,D,D,10,-,24,4,4,D,-,-,4,-,D,-,12,38,-,-,6,4,13,D,-,-,-,4
Costa Rica,"1,227",5,4,22,D,215,7,8,D,4,242,23,3,D,19,7,6,3,3,7,-,17,25,4,8,3,D,D,D,22,6,158,D,115,37,-,17,4,9,21,-,13,-,14,102,-,5,3,-,13,11,-,12,D,19
Cote d'Ivoire,382,-,-,4,D,29,5,D,3,8,8,29,-,-,10,D,D,-,D,D,-,37,12,8,7,-,D,-,-,3,D,19,-,74,6,-,9,-,D,22,D,D,D,D,32,-,3,-,-,10,12,-,4,-,7
Croatia,"1,073",3,-,63,-,73,18,3,12,D,73,26,-,15,119,47,35,D,12,6,6,10,13,35,14,-,30,D,6,28,17,29,D,67,6,10,59,D,5,18,-,D,3,D,49,-,D,20,4,16,19,D,73,-,18
Cuba,"15,394",18,D,49,4,402,15,19,3,6,"12,167",112,D,D,98,27,4,9,180,44,D,34,45,68,11,10,20,-,11,245,3,598,36,263,51,D,26,4,47,53,-,11,3,26,245,-,153,7,-,33,29,D,8,D,186
Cyprus,109,-,-,D,-,18,-,D,-,D,10,D,-,-,3,-,-,-,D,-,-,3,4,4,-,-,-,-,D,3,-,14,-,21,D,-,3,-,D,D,-,D,-,-,4,-,-,-,-,5,-,-,-,-,1
Czech Republic,122,-,-,D,D,24,7,-,-,-,10,8,3,D,11,D,-,-,D,-,-,3,D,3,D,D,D,-,-,3,-,3,-,9,-,-,3,-,D,4,-,-,-,D,3,-,-,-,-,3,3,-,D,-,2
"Czechoslovakia, former",449,3,-,9,D,67,28,6,D,-,45,12,4,D,29,3,-,3,D,6,D,8,12,9,4,D,3,-,D,6,D,25,D,48,14,-,14,D,D,12,D,D,D,4,15,-,D,5,5,9,9,-,5,-,3
Denmark,170,-,-,4,-,43,3,D,-,-,14,5,3,-,9,D,-,D,D,-,3,4,3,3,3,-,D,D,D,D,-,3,-,11,6,-,D,-,D,D,D,D,-,D,11,-,-,D,-,7,9,D,D,-,2
Djibouti,14,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,D,-,6,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-
Dominica,539,-,4,-,D,11,-,6,D,-,55,26,D,-,5,D,-,-,-,4,D,15,24,3,-,-,4,-,D,-,-,38,D,123,5,-,D,D,-,13,D,-,-,4,32,-,128,-,-,6,4,-,D,-,15
Dominican Republic,"20,645",11,24,23,3,82,12,156,21,32,"1,554",140,6,D,84,32,4,11,11,28,7,141,"2,308",73,15,D,20,D,3,32,116,"2,939",6,"10,028",109,D,113,3,4,581,438,12,D,11,130,-,993,16,D,103,17,D,25,-,158
East Timor,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,"7,229",D,D,31,10,516,28,121,8,10,779,62,13,3,362,13,12,11,17,15,4,74,97,15,82,3,13,D,D,18,13,"1,358",8,"2,869",76,D,28,4,15,101,10,14,D,11,153,-,12,34,D,89,20,D,14,-,72
Egypt,"3,231",7,-,40,4,529,18,26,7,9,167,34,5,D,103,33,8,8,9,15,D,55,91,64,59,6,16,-,3,14,12,558,D,515,50,-,105,10,8,106,11,21,-,83,182,-,D,4,D,140,35,-,11,-,43
El Salvador,"17,157",6,12,162,71,"8,129",91,21,12,134,396,226,10,10,219,41,44,45,18,30,D,751,399,22,55,10,34,D,75,363,11,619,18,"1,343",160,-,40,18,64,60,18,14,11,28,"2,121",-,18,71,-,858,111,10,20,3,150
Equatorial Guinea,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-
Eritrea,553,-,-,17,-,99,34,D,D,14,7,34,-,-,7,9,D,D,D,-,-,29,19,5,42,-,11,-,-,12,-,4,D,15,11,-,25,D,9,11,-,-,D,D,40,-,-,-,-,36,43,D,D,-,5
Estonia,132,-,-,D,-,23,8,D,-,-,13,D,D,-,D,D,-,D,-,-,-,D,6,4,6,-,D,D,-,D,-,D,-,23,D,-,3,D,D,D,D,-,D,-,D,-,-,-,-,4,12,-,D,D,1
Ethiopia,"5,165",5,D,52,D,619,244,D,D,133,54,467,D,-,113,26,6,41,13,5,6,361,157,33,690,3,57,D,10,194,-,53,-,91,68,D,150,7,62,70,D,D,47,88,453,-,-,4,3,377,316,5,15,D,54
Fiji,"1,118",-,D,6,-,887,D,-,-,D,6,9,7,D,D,-,-,5,-,-,-,-,-,D,D,-,D,-,-,7,-,D,D,D,-,-,3,-,41,D,D,-,-,-,8,-,-,8,-,5,86,-,3,-,16
Finland,359,D,3,8,-,87,11,5,D,3,59,10,D,-,7,D,D,-,D,D,3,8,14,9,8,-,D,-,-,D,-,4,3,25,6,D,5,-,3,3,-,D,D,3,19,-,-,9,-,5,11,-,11,-,-
France,"1,979",6,3,47,4,546,34,20,D,17,188,48,18,D,60,6,4,D,8,8,4,33,71,23,29,-,7,D,7,21,5,90,9,235,22,3,33,4,25,49,5,13,D,10,115,-,7,7,6,48,42,D,16,D,14
French Guiana,5,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
French Polynesia,19,-,-,D,-,4,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,2
Gabon,18,D,-,D,-,-,-,-,-,D,D,-,-,-,-,D,-,-,D,-,-,D,D,D,-,-,-,-,-,-,-,D,-,3,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-
Gambia,246,-,5,D,-,15,4,3,-,D,6,24,-,-,4,-,-,4,3,D,-,25,3,8,12,-,D,-,-,-,D,D,-,29,9,-,16,D,3,4,4,-,D,3,6,-,-,D,-,4,26,-,13,-,2
Georgia,514,-,D,-,D,116,5,D,-,3,15,12,D,D,9,-,5,D,D,-,-,8,13,3,7,D,5,-,-,5,-,50,-,169,D,-,4,D,3,13,3,-,-,D,6,-,-,D,D,5,31,-,D,-,4
Germany,"3,617",29,19,91,13,603,104,32,11,15,365,112,35,16,139,34,9,17,53,15,7,90,82,92,34,7,62,17,14,36,25,131,26,228,91,4,78,18,52,92,9,40,6,41,254,-,9,24,9,112,105,8,56,7,39
Ghana,"3,181",5,5,17,-,119,60,47,16,20,34,146,4,D,160,13,7,7,9,4,D,229,165,34,43,D,15,-,5,10,6,289,4,703,54,D,231,21,9,74,15,6,-,20,176,-,-,3,3,309,25,3,21,-,30
Gibraltar,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greece,"1,200",D,D,11,D,152,7,18,D,3,61,11,-,D,117,15,D,D,D,7,D,26,107,30,3,D,4,-,D,3,19,84,-,272,32,-,37,D,5,39,4,12,D,D,37,-,D,4,D,24,14,D,6,-,10
Grenada,511,-,-,-,-,4,-,D,D,5,31,9,D,D,-,-,-,-,D,-,-,22,7,D,D,-,-,-,-,-,-,28,D,340,6,-,D,-,-,9,-,D,-,D,20,-,3,-,-,9,-,-,-,-,5
Guadeloupe,16,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,D,-,3,-,-,-,-,-,-,-,-
Guam,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,"8,181",11,10,118,26,"3,859",70,41,3,18,422,115,8,9,535,20,31,27,13,28,D,121,251,17,38,D,15,D,69,166,7,292,13,472,44,D,31,25,56,34,151,3,10,19,569,-,14,69,-,178,59,-,31,-,57
Guinea,191,-,-,3,-,6,4,-,D,5,5,14,-,-,5,5,D,-,-,D,D,15,16,D,6,-,D,-,D,D,-,10,-,31,D,D,15,-,D,8,D,-,-,D,5,-,-,-,-,8,6,-,3,-,4
Guinea-Bissau,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Guyana,"5,631",5,D,7,-,62,10,50,15,20,508,116,7,-,20,3,D,D,8,4,-,135,54,13,103,D,8,D,D,4,D,450,D,"3,703",25,-,29,D,3,56,-,5,-,7,72,-,7,-,D,54,4,-,8,-,42
Haiti,"11,552",11,-,11,4,91,14,136,36,9,"4,900",319,6,5,111,21,D,D,20,14,D,99,"1,693",15,12,5,25,-,-,13,22,873,-,"2,424",39,D,38,D,5,198,50,9,-,18,57,-,16,5,D,61,14,-,-,-,143
Honduras,"4,669",7,4,45,9,751,30,16,8,6,861,80,4,4,140,32,12,16,7,210,D,75,151,12,30,8,31,5,12,60,9,322,8,662,77,D,34,14,10,47,10,17,D,30,547,-,13,24,D,101,34,-,23,-,55
Hong Kong,"3,871",D,-,28,6,"1,734",30,14,3,-,74,37,78,D,102,7,D,11,5,D,D,70,174,33,26,D,27,3,5,36,8,143,4,601,37,-,29,4,23,44,3,10,-,5,189,-,6,10,D,35,124,3,17,D,62
Hungary,788,D,-,16,D,181,17,6,-,D,116,12,3,-,23,5,D,3,-,5,-,23,13,14,4,3,8,D,D,20,6,52,D,78,12,-,27,-,5,24,3,-,-,4,34,-,-,6,D,19,16,-,6,-,13
Iceland,62,-,-,D,-,15,D,-,-,-,8,-,D,-,-,D,-,-,-,-,-,D,6,-,D,-,D,-,-,D,-,D,-,4,-,-,D,-,D,D,-,D,-,D,D,-,-,-,-,D,3,-,D,-,-
India,"46,871",147,9,497,101,"10,500",359,464,203,29,"1,197","1,389",18,24,"4,181",417,127,235,217,152,23,"1,042","1,264","1,730",595,99,319,10,126,129,237,"5,809",45,"2,935",726,8,"1,353",127,383,"1,566",32,177,11,275,"4,129",-,28,64,30,"1,580",978,43,371,6,355
Indonesia,"1,213",3,3,13,5,558,24,-,5,D,28,26,16,-,23,5,D,9,5,7,4,26,18,9,7,D,9,D,D,14,11,26,D,66,7,D,19,4,17,18,D,D,D,4,88,-,D,4,-,40,47,-,12,-,18
Iran,"10,557",17,D,165,6,"6,388",86,25,9,13,191,193,4,9,243,29,9,32,21,18,6,268,142,80,44,5,56,D,14,95,12,130,26,395,60,D,96,43,68,86,5,18,3,60,640,-,D,48,D,345,228,9,39,D,70
Iraq,"2,967",3,-,120,D,545,33,16,-,-,30,56,-,8,277,7,4,5,24,13,D,17,33,879,46,-,56,3,99,8,12,13,5,60,7,13,26,4,16,44,3,D,-,109,116,D,-,24,-,92,93,D,10,-,32
Ireland,"1,335",4,-,13,-,240,20,16,D,4,60,30,D,D,79,12,D,3,4,3,5,7,172,15,6,D,7,D,D,9,13,78,4,292,17,-,12,-,17,33,3,7,D,D,45,-,3,4,D,37,24,D,10,-,9
Israel,"2,363",4,D,24,D,610,25,13,D,3,212,22,11,D,102,4,-,3,7,10,-,48,109,31,17,4,22,-,D,34,D,169,4,505,27,-,58,5,10,40,5,5,-,7,107,-,4,D,-,19,34,-,15,-,26
