Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Italy,"2,217",3,D,37,4,357,19,57,9,9,183,29,10,-,119,10,D,D,3,4,4,35,84,59,9,D,9,D,D,23,6,246,5,489,18,-,27,D,14,109,13,8,-,9,76,-,4,5,D,41,19,D,13,-,24
Jamaica,"12,314",20,3,21,4,229,18,394,45,45,"3,038",691,14,-,215,21,D,8,14,16,7,393,353,56,23,11,31,-,3,15,4,913,3,"4,509",106,D,86,6,9,289,11,18,D,23,229,-,6,10,-,169,24,3,41,D,159
Japan,"1,934",D,6,29,5,756,34,8,D,5,42,37,209,3,56,8,3,4,14,3,3,25,27,29,15,-,6,D,D,37,D,73,5,182,20,3,17,9,24,20,-,11,-,6,45,-,18,9,D,38,59,D,7,-,12
Jordan,"2,125",15,-,33,4,403,16,11,4,5,99,20,D,D,350,25,5,14,14,32,-,21,26,112,17,6,30,-,3,8,D,140,3,116,33,-,97,5,9,52,D,7,-,14,186,-,21,D,-,66,18,-,47,-,31
Kazakhstan,725,D,D,10,D,129,23,D,-,3,18,10,-,D,21,7,D,3,3,-,7,10,52,6,27,D,5,-,D,D,8,21,D,128,6,-,13,D,22,26,-,D,D,3,13,-,-,D,D,22,94,-,6,-,6
Kenya,"1,396",18,D,21,4,185,9,4,13,6,47,70,5,4,53,13,6,34,5,3,3,67,79,14,93,D,26,-,3,D,14,100,D,48,33,-,32,14,9,36,5,9,D,14,183,-,-,-,D,39,46,D,6,-,12
Kiribati,D,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea,"17,628",38,60,128,16,"6,563",214,46,32,13,210,718,492,6,790,69,17,42,33,26,3,646,154,167,68,11,71,5,5,155,34,"1,412",10,"1,800",178,D,149,45,168,354,12,35,D,76,733,-,107,32,4,722,809,4,48,5,90
Kuwait,755,D,D,16,D,147,5,5,D,-,37,14,-,-,66,3,D,15,D,13,-,12,11,46,11,4,6,-,D,D,D,30,D,43,20,-,29,7,7,17,D,3,-,12,94,-,4,D,-,31,10,D,11,-,8
Kyrgyzstan,331,-,D,4,-,39,D,-,-,D,11,5,-,3,3,D,-,D,3,-,-,-,21,4,20,-,11,-,D,D,D,6,-,36,3,D,6,D,11,10,-,D,-,4,3,-,-,4,-,6,94,D,5,D,1
Laos,"3,787",13,13,18,47,"1,143",55,24,D,D,56,102,36,12,92,9,41,43,7,25,3,11,62,46,612,-,14,-,21,40,7,12,7,40,113,-,60,10,60,34,45,21,11,53,150,-,D,25,-,33,82,-,428,-,46
Latvia,327,-,-,D,-,65,3,D,D,D,15,5,D,-,30,D,-,-,D,-,D,4,15,7,7,-,D,D,-,D,3,24,-,56,D,D,9,-,6,4,D,D,-,-,10,-,-,-,-,9,16,D,12,-,1
Lebanon,"2,779",5,-,34,-,731,23,10,D,4,148,35,D,-,71,11,D,5,5,18,-,39,229,459,18,D,11,-,5,25,28,114,D,125,34,-,117,12,20,44,14,4,-,14,198,-,D,4,3,86,30,8,6,-,21
Lesotho,11,-,-,D,-,3,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liberia,"1,815",7,-,16,-,61,6,10,24,11,18,133,4,-,32,14,11,D,3,4,D,119,60,25,307,D,17,-,D,D,D,165,-,143,55,D,42,4,11,213,84,D,-,11,88,-,-,3,D,60,12,D,9,-,21
Libya,136,-,-,D,-,24,4,-,-,-,9,4,D,D,14,-,D,-,D,4,-,-,5,5,3,D,D,-,-,-,-,3,-,10,3,-,4,3,D,D,D,-,D,D,8,-,-,-,-,5,9,D,D,-,1
Liechtenstein,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,819,-,D,6,-,83,25,6,4,-,51,7,D,-,347,8,3,-,D,6,D,16,23,12,4,-,4,-,D,10,D,36,D,60,8,-,15,-,3,15,4,5,-,3,13,-,-,5,-,11,9,-,6,-,2
Luxembourg,9,-,-,-,D,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-
Macau,158,-,D,D,-,79,D,D,-,-,3,-,7,-,D,-,-,-,-,-,-,3,6,-,D,-,-,-,-,D,-,D,-,28,-,-,-,-,D,D,-,-,-,-,D,-,-,-,-,D,7,-,-,-,7
Macedonia,597,3,3,6,D,26,4,25,-,-,16,D,-,D,111,35,8,D,-,D,-,D,7,70,-,-,7,-,-,11,D,95,D,70,-,-,32,D,D,7,-,-,-,D,6,-,-,-,-,6,D,-,28,-,4
Madagascar,26,-,-,-,D,9,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,D,-,D,-,-,3,-,-,D,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-
Malawi,46,-,-,D,-,4,-,-,-,-,D,D,-,-,3,6,-,-,-,D,D,3,-,D,D,-,3,-,-,D,-,D,-,D,-,-,D,-,-,D,-,-,-,-,6,-,-,-,-,4,D,-,D,D,-
Malaysia,"1,217",8,-,21,5,325,17,4,D,4,32,41,16,D,32,10,D,8,5,8,-,20,34,11,16,7,9,-,3,19,5,53,D,220,13,-,24,8,6,19,D,D,D,7,102,-,D,D,-,32,37,D,15,D,7
Maldives,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Mali,93,-,-,-,-,4,5,D,-,D,D,D,-,-,D,4,-,D,D,-,D,9,D,D,-,-,-,-,-,D,-,D,-,30,D,-,7,-,-,9,-,-,-,-,D,-,-,-,D,-,D,-,D,-,-
Malta,66,-,-,D,-,5,D,-,-,-,3,D,-,-,D,-,-,-,-,3,-,D,D,11,-,-,-,-,-,-,-,5,-,26,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,D,-,-,-,-,1
Marshall Islands,12,-,-,-,-,-,-,-,-,-,D,-,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,2
Martinique,11,-,-,D,-,-,-,-,-,-,3,D,-,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Mauritania,72,-,D,-,-,3,D,-,-,D,3,D,-,-,D,D,-,-,9,-,-,5,-,D,-,-,-,-,-,-,-,D,-,9,D,-,13,-,-,D,-,-,-,D,8,-,-,-,-,5,D,-,-,-,1
Mauritius,55,-,-,-,-,12,-,-,D,D,3,6,-,-,3,-,-,-,-,-,-,D,D,D,D,-,D,-,-,-,-,3,-,6,-,-,D,-,-,D,-,-,D,-,6,-,-,-,-,D,-,-,D,-,-
Mexico,"122,258",163,62,"5,948",473,"57,865","2,466",56,92,14,"1,702","1,557",107,514,"11,010",747,547,763,149,125,10,180,151,530,481,58,367,28,720,"2,840",41,506,923,"1,020",741,6,339,562,"1,061",274,35,111,27,277,"21,440",-,53,759,5,400,"2,122",11,897,67,856
"Micronesia, Federated States",41,D,D,D,D,4,D,-,-,-,-,D,5,-,D,-,-,-,4,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,D,-,-,-,-,D,-,-,-,-,3,-,4,-,-,4,3,-,-,-,1
Moldova,"1,068",3,D,11,3,320,10,6,-,-,16,24,D,-,28,D,3,-,D,-,-,6,71,13,49,-,8,-,3,4,-,27,-,103,16,-,14,D,27,29,D,3,-,3,22,-,-,4,-,10,208,-,7,-,8
Monaco,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Mongolia,53,D,-,D,-,9,4,-,-,-,-,-,D,-,4,D,-,-,D,-,-,-,-,D,-,-,D,-,-,D,D,D,-,4,-,-,D,-,-,-,-,-,-,-,4,-,-,D,-,11,D,-,-,-,-
Montserrat,51,-,-,-,-,-,-,3,D,-,3,4,-,-,-,-,-,-,-,-,-,D,10,D,-,-,-,-,-,-,-,-,-,19,-,-,D,-,-,D,-,-,-,-,-,-,4,-,-,-,D,-,-,-,-
Morocco,"2,684",6,D,18,3,179,72,42,8,16,250,52,D,-,139,18,7,7,16,7,D,62,333,20,26,5,17,-,D,17,14,161,3,424,72,3,93,9,13,118,8,9,-,9,124,-,4,3,D,214,23,D,20,D,29
Mozambique,45,-,-,D,D,9,D,-,-,D,8,D,-,-,-,-,-,-,-,-,-,D,D,D,D,D,-,-,-,-,D,4,-,4,-,-,D,-,D,-,-,-,-,-,3,-,-,-,-,D,-,-,-,-,-
Namibia,22,-,D,-,-,4,D,-,-,D,-,-,-,-,D,-,-,-,D,-,-,-,D,D,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,D,-,-,D,-,-,D,-,-,D,-,-,-,-
Nauru,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-
Nepal,638,D,D,4,D,73,39,7,D,D,7,13,4,D,15,3,4,9,5,3,-,39,29,10,19,-,6,-,15,6,18,26,3,49,11,D,11,-,11,10,-,D,D,D,71,-,D,4,3,68,20,-,5,-,4
Netherlands,819,5,D,20,D,186,9,12,D,5,67,21,9,D,15,8,4,D,3,D,D,20,32,27,14,5,3,3,D,6,6,32,4,55,14,-,21,4,10,19,3,6,-,7,55,-,D,8,5,25,30,D,20,D,7
Netherlands Antilles,28,-,-,-,-,D,-,-,-,-,8,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,8,D,-,-,-,-,-,-,-,-,-,D,-,3,-,-,D,-,-,-,-,1
New Caledonia,6,-,-,-,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,447,D,D,15,D,134,14,4,-,D,27,4,18,D,14,D,3,D,4,D,D,7,7,4,10,-,3,4,D,5,5,13,4,17,4,-,D,D,12,8,-,D,-,D,26,-,D,8,D,10,25,D,6,D,6
Nicaragua,"8,164",8,D,53,7,"2,354",19,13,-,20,"3,710",102,9,4,91,40,4,12,10,82,-,117,36,13,27,3,12,-,11,118,D,170,8,227,82,-,22,7,14,25,8,9,3,7,367,-,9,21,-,131,28,D,44,-,102
Niger,52,-,-,-,-,6,D,-,-,-,-,4,-,-,-,D,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,D,-,5,6,-,4,-,-,-,-,-,-,D,D,-,-,-,-,D,D,-,-,-,12
Nigeria,"6,582",34,3,49,16,613,48,37,39,72,144,501,5,D,427,79,12,20,15,42,D,625,196,138,210,13,66,-,22,19,5,404,3,744,97,4,136,42,18,125,44,12,3,77,"1,113",-,5,7,5,116,44,3,38,D,87
Niue,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Northern Mariana Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-
Norway,105,D,-,D,D,20,-,D,-,D,11,D,D,-,3,D,-,D,-,D,-,D,D,3,3,-,D,-,-,-,-,9,-,6,D,D,-,-,3,D,-,-,-,-,12,-,-,3,-,D,7,-,D,-,-
Oman,15,-,-,-,-,D,-,D,-,-,-,-,-,-,3,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,D,-,-,-,-,-
Pakistan,"9,147",22,D,57,6,"1,265",44,107,27,12,275,236,3,D,879,61,8,40,31,49,3,319,153,254,99,10,71,-,5,26,16,678,16,"1,498",116,4,145,31,30,210,14,17,D,40,"1,459",-,4,12,D,529,101,13,73,5,69
Palau,40,-,-,-,-,6,-,-,-,D,D,D,8,D,D,-,-,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,3,-,-,-,D,-,-,-,-,-,D,-,4,-,-,3,5,-,-,-,-
Panama,"1,617",13,6,26,D,186,7,10,5,3,277,74,9,D,44,8,3,8,15,16,5,44,20,12,7,6,15,-,7,17,4,54,4,259,50,D,27,9,5,22,3,8,D,11,179,-,18,7,-,48,22,D,14,-,23
Papua New Guinea,5,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,1
Paraguay,234,D,D,D,-,26,D,D,-,D,35,6,-,-,6,-,D,3,-,D,-,14,-,D,-,-,D,-,-,D,-,21,-,72,D,-,3,D,D,5,3,-,-,D,8,-,-,-,-,10,3,-,-,-,-
Peru,"7,965",24,14,84,14,"1,486",105,113,12,23,"1,547",130,21,14,142,26,5,29,13,14,4,209,135,24,24,5,24,D,13,104,12,"1,259",11,916,84,D,65,27,35,77,11,14,3,28,357,-,16,87,4,424,70,3,26,4,69
Philippines,"38,830",60,264,527,45,"17,753",200,151,68,43,"1,314",253,"2,061",67,"2,477",184,36,82,75,95,26,548,168,321,213,56,167,22,56,"1,427",66,"1,801",56,"1,557",243,14,287,65,246,273,36,75,18,141,"1,873",-,795,72,13,806,"1,070",17,147,13,387
Poland,"9,320",7,10,82,5,285,82,260,10,3,293,33,7,3,"4,347",33,4,9,9,5,7,47,232,240,30,D,20,D,7,32,22,970,3,"1,505",40,D,98,4,13,171,23,13,3,10,96,-,D,8,3,36,84,-,65,D,43
Portugal,"2,506",D,D,4,-,213,D,80,-,3,87,12,-,D,5,D,D,-,-,-,D,23,854,D,D,D,-,-,-,7,18,679,D,151,8,-,5,D,D,46,201,-,-,D,14,-,-,3,D,26,9,D,D,-,32
Puerto Rico,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,60,-,-,D,-,11,-,-,D,-,3,D,-,-,9,D,-,5,-,-,-,D,-,3,-,-,-,-,-,-,-,-,-,6,D,-,D,-,D,3,-,-,-,-,6,-,-,D,-,D,-,-,-,-,1
Romania,"3,986",4,D,151,12,587,28,23,3,3,197,163,5,12,515,26,11,6,7,14,4,59,74,351,26,8,31,-,D,55,26,164,6,367,39,D,232,4,119,92,6,26,4,45,188,-,4,11,5,45,174,5,7,-,38
Russia,"7,660",18,48,83,5,"1,531",210,76,7,10,306,126,19,11,325,44,28,21,40,15,18,156,383,135,180,6,58,7,18,63,35,404,19,"1,333",72,4,182,28,143,230,17,21,9,27,240,-,7,30,8,124,656,7,59,5,53
Rwanda,91,-,-,3,-,D,3,-,-,D,3,9,-,D,8,6,D,-,3,-,-,D,D,D,D,-,D,-,-,-,-,D,-,6,5,D,7,-,D,-,-,-,-,3,12,-,-,D,-,3,D,D,-,-,-
Saint Kitts-Nevis,334,-,-,-,-,8,-,4,D,D,41,15,D,-,D,D,-,-,-,-,-,8,6,3,D,-,-,-,D,-,D,11,-,97,5,-,-,D,-,-,D,D,-,D,19,-,85,-,-,4,-,-,D,-,10
Saint Lucia,506,4,-,3,-,11,-,10,D,-,64,14,-,-,4,D,-,3,D,5,-,11,11,D,-,-,D,-,-,D,-,17,-,188,7,D,6,D,-,9,D,D,D,-,41,-,68,-,-,10,D,D,D,-,2
Saint Vincent and the Grenadines,450,D,-,D,-,12,D,4,-,4,30,10,D,D,4,-,-,-,-,-,-,12,10,D,-,D,-,-,-,-,-,23,-,280,5,-,D,-,-,9,-,-,-,D,8,-,15,-,D,7,-,-,-,-,3
Samoa,163,-,8,3,-,56,4,D,-,-,-,D,40,-,3,-,-,-,D,-,D,-,D,D,D,-,3,-,-,-,-,-,-,D,D,-,D,-,6,-,-,-,-,-,3,-,-,16,-,D,8,-,-,D,-
Sao Tome and Principe,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,504,D,-,5,-,80,7,4,-,D,23,9,-,-,54,3,-,D,D,D,D,10,6,22,8,-,4,-,D,4,-,25,D,32,7,-,18,3,7,15,-,4,-,3,71,-,4,D,-,44,5,D,6,-,7
Senegal,386,-,D,D,-,31,8,D,-,4,10,17,D,-,6,8,D,D,10,3,-,22,15,14,4,-,3,-,-,D,D,15,-,90,6,-,42,D,-,11,7,-,-,3,17,-,-,D,D,7,6,-,6,-,6
Serbia and Montenegro,"3,382",D,4,103,D,251,36,54,4,10,239,49,8,18,376,37,20,4,38,11,3,37,90,214,32,D,44,-,16,23,22,155,D,752,36,8,112,6,57,76,D,5,20,23,149,-,D,14,7,51,45,D,75,-,39
Seychelles,D,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-
Sierra Leone,"1,485",-,D,21,-,76,5,5,10,10,31,70,-,-,14,10,D,D,3,-,D,268,54,13,51,D,16,-,D,-,5,126,D,125,41,4,113,D,D,103,5,D,D,8,83,-,D,3,-,140,16,3,7,-,31
Singapore,315,D,-,6,-,107,7,D,D,-,12,3,3,D,7,D,4,3,-,D,-,6,9,6,4,-,4,D,D,5,D,14,-,22,3,-,4,3,5,D,-,-,-,4,33,-,-,-,D,3,11,-,5,-,6
Slovak Republic,380,-,-,4,D,38,11,4,D,-,27,7,D,D,50,D,D,-,-,D,-,4,D,4,D,-,D,-,-,3,4,74,-,76,D,-,8,-,D,6,-,4,-,-,11,-,D,D,D,7,8,-,7,-,4
Slovenia,60,D,-,D,-,7,D,-,-,-,5,D,-,-,4,-,D,-,-,D,-,-,D,D,D,-,D,-,-,-,-,4,D,6,D,-,3,-,-,-,-,D,D,D,3,-,-,D,D,3,D,-,-,-,-
Solomon Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-
Somalia,"3,594",-,-,54,-,172,24,D,D,D,8,115,-,D,71,11,8,3,28,4,102,23,88,32,"1,497",-,91,-,8,D,-,4,-,41,35,17,498,-,65,14,-,D,3,90,90,-,-,12,D,85,229,-,30,-,31
South Africa,"2,069",6,D,60,11,465,74,19,4,D,207,115,8,4,81,27,5,8,5,11,D,27,57,26,22,6,25,D,D,21,10,71,3,82,45,D,47,8,26,32,3,35,D,27,218,-,D,19,D,46,52,5,17,D,12
"Soviet Union, former","2,813",4,10,23,D,529,37,17,D,9,111,35,D,4,249,6,5,6,6,3,D,72,144,40,70,3,16,D,D,10,7,181,7,481,17,D,34,D,283,60,13,8,3,10,59,-,-,D,D,65,104,-,20,-,36
Spain,"1,175",5,D,12,D,184,21,11,-,10,186,21,3,3,32,10,D,D,10,3,3,20,27,18,10,D,8,D,D,26,9,172,6,110,12,-,13,4,11,14,-,3,-,4,66,-,24,10,D,41,22,D,5,D,11
Sri Lanka,"1,024",3,-,21,D,264,6,11,4,5,31,10,14,3,37,8,D,3,5,D,-,62,30,15,28,D,9,-,D,10,D,66,D,128,23,-,26,6,8,17,-,3,D,D,88,-,-,3,D,28,8,-,17,-,8
Sudan,"2,785",11,4,111,4,141,91,25,D,6,70,104,D,6,86,19,76,25,43,7,36,59,86,81,126,8,59,-,181,13,39,32,5,128,94,49,56,D,11,144,D,6,63,86,217,-,-,55,10,162,99,-,10,-,36
Suriname,159,D,-,-,-,3,-,D,D,D,48,8,-,-,-,-,-,-,-,D,-,-,3,D,4,D,D,-,-,-,-,8,-,56,-,-,-,-,D,D,D,D,-,D,6,-,-,D,-,5,-,-,-,-,1
Swaziland,D,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sweden,786,-,4,9,D,229,25,12,D,3,82,23,8,3,23,D,-,D,5,D,D,9,30,15,13,-,7,3,3,7,8,28,D,37,24,-,12,-,13,22,D,6,-,D,40,-,3,9,D,20,27,D,D,-,5
Switzerland,501,4,D,11,-,139,12,7,D,3,55,8,7,D,15,3,-,D,D,D,-,4,17,5,6,-,3,-,D,5,6,25,6,46,7,-,6,D,8,7,-,4,D,D,17,-,-,6,D,10,18,-,12,D,3
Syria,"1,799",D,-,23,5,486,7,8,D,D,80,15,D,-,177,18,5,9,9,10,D,22,68,98,9,6,10,-,5,12,3,131,D,188,18,-,55,13,10,103,13,5,D,4,82,-,D,-,-,41,11,8,6,-,16
Taiwan,"7,486",15,4,71,15,"3,992",58,29,10,3,110,111,50,9,211,30,19,24,14,22,-,141,120,101,35,5,73,D,7,52,14,379,13,481,47,3,106,11,25,85,-,7,-,21,541,-,10,27,D,105,195,D,31,-,49
Tajikistan,109,-,D,-,D,12,9,-,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,D,D,-,D,-,3,D,-,4,-,38,D,-,3,-,6,D,-,-,D,-,-,-,-,-,-,3,17,-,-,D,-
Tanzania,356,D,-,4,D,57,D,D,D,D,13,22,D,-,8,3,3,3,D,D,-,20,16,7,12,-,5,-,-,3,D,15,-,39,6,-,5,D,D,10,-,D,-,6,41,-,-,-,-,17,15,D,D,-,6
Thailand,"4,438",16,25,47,8,"1,610",66,15,D,3,147,63,54,10,167,24,16,20,19,25,10,65,134,44,190,12,30,5,6,130,11,61,10,176,57,6,69,19,77,60,25,9,6,21,259,-,12,15,D,138,196,D,211,D,32
Togo,473,4,-,8,-,16,7,7,D,6,16,35,-,3,33,4,3,D,12,-,5,36,3,-,51,-,D,-,25,-,D,19,-,57,14,3,16,-,D,8,D,D,-,5,23,-,D,9,D,22,3,-,3,-,1
Tonga,251,-,D,7,-,127,D,-,-,D,D,-,41,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,4,-,-,-,-,-,8,-,-,38,-,-,4,-,-,-,7
Trinidad and Tobago,"4,514",9,-,15,D,107,13,27,17,34,769,142,8,3,34,8,D,6,12,9,D,200,144,19,12,D,11,-,4,10,4,304,7,"1,964",39,D,23,9,4,125,6,6,-,9,190,-,34,-,D,94,23,D,D,-,48
Tunisia,299,3,-,3,-,51,6,D,3,7,25,D,3,-,9,D,-,4,-,D,-,11,8,16,8,D,3,-,3,5,3,19,-,24,4,-,14,D,D,12,-,D,-,D,11,-,D,D,-,21,3,-,4,-,2
Turkey,"2,009",3,-,20,D,357,19,28,16,13,116,41,4,3,86,15,-,5,D,6,6,60,78,24,22,5,7,-,4,14,7,279,4,346,28,D,34,4,11,48,10,10,D,9,92,-,D,7,3,83,38,-,13,D,24
Turkmenistan,58,-,-,-,-,9,D,-,-,-,-,D,D,D,D,-,-,-,-,-,-,-,4,D,-,-,-,-,-,-,-,5,-,12,-,-,-,-,-,4,-,-,-,-,D,-,-,D,-,4,6,-,4,-,-
Turks and Caicos Islands,14,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U.S. Virgin Islands,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,344,-,-,D,-,56,6,3,-,-,17,10,-,-,24,4,-,D,D,D,-,18,47,9,11,-,D,-,D,-,-,17,D,16,4,-,9,D,3,5,D,-,-,D,44,-,D,-,-,9,13,-,-,-,3
Ukraine,"8,594",6,19,58,7,"1,636",153,64,9,13,224,99,5,20,599,54,13,14,34,11,8,122,236,104,173,5,73,5,36,30,21,343,10,"1,714",79,D,402,8,187,452,23,23,31,34,159,-,-,19,D,82,"1,050",7,66,6,42
United Arab Emirates,253,-,-,7,D,34,-,D,-,-,8,4,-,-,26,-,-,-,3,D,-,6,3,5,9,-,D,-,-,D,-,11,-,18,8,D,14,D,4,11,D,-,-,D,50,-,-,-,-,14,5,-,D,-,2
United Kingdom,"7,752",38,15,195,12,"1,650",165,123,9,43,776,227,44,28,273,64,21,33,24,34,27,163,256,187,77,12,50,20,8,75,52,366,37,603,157,5,166,24,96,195,15,55,7,68,563,-,16,48,17,226,224,8,68,7,80
United States,41,-,-,D,-,12,D,-,-,-,D,-,D,-,D,-,D,-,-,-,-,D,D,-,-,-,-,-,-,D,D,D,D,8,-,-,D,-,-,D,-,-,-,D,3,-,-,-,-,-,D,-,-,-,1
Uruguay,496,-,D,6,D,60,D,4,D,4,124,16,-,-,7,3,-,D,-,D,-,8,18,D,D,-,-,-,-,8,7,85,-,65,3,-,4,D,-,5,D,4,-,D,20,-,D,5,-,13,D,3,D,-,3
Uzbekistan,"1,148",-,3,21,-,186,20,3,-,-,37,16,D,-,32,D,D,4,3,-,-,13,31,12,7,D,9,D,D,D,-,46,-,498,5,D,34,D,9,41,-,3,-,3,18,-,-,D,-,27,41,D,8,-,5
Vanuatu,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,"3,575",8,-,35,4,277,51,11,4,6,"1,413",110,D,6,83,21,5,9,18,24,D,42,91,25,22,5,15,D,10,14,8,157,9,264,52,-,51,15,12,44,19,11,D,9,361,-,57,33,D,60,28,4,17,D,45
