Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Gambia,330,D,D,5,-,12,D,3,D,D,6,39,-,-,-,9,-,D,3,6,-,D,36,3,9,10,-,D,-,D,-,D,4,-,53,8,-,16,-,D,8,-,5,-,-,5,12,-,-,D,-,8,35,-,12,-,4
Georgia,627,-,-,-,-,153,8,13,-,D,20,9,-,-,D,25,D,-,D,D,-,D,16,13,6,5,-,4,-,D,7,D,88,-,139,7,-,13,-,12,19,-,4,-,-,D,7,-,-,D,-,12,31,-,D,-,3
Germany,"4,708",42,16,125,14,804,159,51,8,9,534,159,D,40,18,156,38,19,23,44,13,23,120,107,114,33,6,60,12,12,51,23,209,26,248,73,D,90,33,72,136,7,8,74,5,59,345,10,-,36,15,210,112,7,57,6,33
Ghana,"4,557",6,D,20,8,157,87,93,21,11,70,212,-,3,-,180,11,9,8,17,6,4,443,306,31,68,5,16,-,4,12,6,513,6,779,82,-,277,34,10,97,D,22,8,D,36,217,8,-,14,3,548,31,7,13,D,31
Gibraltar,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Greece,"1,314",7,-,11,-,145,7,32,4,D,105,13,-,D,D,114,4,3,5,3,D,4,52,114,35,9,-,8,D,D,7,5,113,4,201,32,-,54,D,5,67,-,4,19,-,6,34,-,-,3,D,40,20,D,7,-,6
Grenada,850,-,-,3,D,16,3,5,D,4,95,13,-,D,-,6,-,-,D,D,D,-,27,15,-,D,-,D,-,-,D,D,47,-,518,9,-,D,-,D,15,-,-,8,D,-,20,D,10,-,-,13,D,-,-,-,4
Guadeloupe,39,-,D,-,-,3,-,-,-,-,11,-,-,-,-,D,-,-,-,-,-,-,D,3,-,D,-,-,-,-,-,-,D,-,6,-,-,-,-,-,D,-,D,-,-,-,D,-,5,-,-,-,-,-,-,-,-
Guatemala,"17,087",17,6,252,55,"8,833",107,129,14,28,"1,160",176,D,5,21,657,56,48,40,16,67,7,397,481,29,53,9,28,D,99,308,9,636,34,831,80,D,35,50,127,79,12,271,38,17,64,898,D,-,134,D,486,90,3,28,-,60
Guinea,225,-,-,D,-,7,6,D,-,3,4,22,-,-,-,D,11,D,-,-,-,-,20,11,5,3,-,D,-,-,-,-,15,D,34,4,-,11,-,D,19,-,4,-,-,D,6,D,-,-,-,16,7,-,-,-,4
Guinea-Bissau,14,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,3,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Guyana,"8,290",4,4,13,-,107,9,114,24,22,"1,232",266,-,5,-,26,5,D,8,3,4,-,296,64,17,100,D,6,-,5,9,D,888,D,"4,529",53,-,35,4,D,136,3,4,12,-,14,87,6,3,D,D,85,9,3,9,-,56
Haiti,"21,229",8,3,29,D,98,12,318,62,14,"11,675",515,D,10,4,133,23,D,8,17,39,3,251,"1,999",28,6,4,32,D,D,24,17,"1,595",3,"3,241",57,D,33,-,7,441,6,56,30,D,28,57,13,6,4,-,104,21,-,3,D,181
Honduras,"8,794",19,D,80,15,"1,383",54,54,5,13,"2,273",133,D,7,5,168,49,31,21,14,365,D,213,258,29,28,11,46,D,30,74,3,602,7,"1,008",123,-,37,22,29,92,26,25,35,5,63,840,8,-,31,D,285,49,3,29,-,86
Hong Kong,"4,940",5,6,51,D,"2,409",22,22,9,5,117,48,9,77,D,106,7,9,15,7,10,-,99,174,25,34,5,24,-,-,61,6,171,3,686,15,-,42,8,41,84,4,5,17,D,9,185,-,-,15,D,71,178,-,23,-,15
Hungary,"1,089",6,3,21,D,221,15,24,D,D,212,18,-,6,D,30,8,D,-,5,D,-,17,23,20,5,3,8,D,D,29,5,75,3,84,9,-,29,D,12,41,D,5,D,3,10,44,D,-,8,-,35,20,D,12,-,6
Iceland,83,D,-,D,-,19,3,-,-,-,15,3,-,-,-,D,-,-,D,-,-,-,3,7,D,-,-,-,-,-,-,-,4,-,D,-,-,D,D,-,-,-,D,-,D,D,5,-,-,-,-,5,4,D,-,-,-
India,"65,971",227,12,768,202,"14,126",524,825,214,27,"2,123","1,962",-,22,33,"4,914",590,235,372,289,157,35,"1,884","1,650","2,274",633,98,523,D,154,186,197,"9,737",56,"3,488",730,11,"1,777",226,475,"2,782",4,47,372,21,607,"4,839",5,22,110,25,"3,488","1,106",65,449,D,267
Indonesia,"1,823",4,-,32,3,893,48,7,3,3,57,36,D,5,3,38,5,D,8,9,5,D,42,27,20,12,D,9,4,D,21,4,42,4,66,11,-,26,11,34,50,-,4,D,-,7,123,D,D,6,-,47,64,D,12,D,5
Iran,"11,813",30,D,217,16,"6,330",122,56,10,17,287,256,-,12,13,213,32,14,51,50,29,6,524,153,117,53,4,93,D,14,119,5,171,21,402,70,3,110,66,109,109,D,13,21,D,95,719,-,-,81,D,644,222,12,32,D,62
Iraq,"5,057",7,-,278,D,709,81,21,-,3,101,107,-,-,15,320,27,10,13,66,11,3,25,81,"1,212",50,D,127,-,205,33,19,37,18,94,9,5,72,9,54,70,D,8,12,-,326,294,D,-,63,D,258,100,4,15,D,77
Ireland,"2,179",5,D,37,-,398,21,46,3,5,169,37,-,5,3,145,11,D,4,19,7,5,35,238,17,11,D,6,-,3,13,21,131,3,410,23,-,32,3,16,83,D,13,13,-,8,62,-,-,6,3,53,27,D,15,-,6
Israel,"2,933",10,5,53,6,684,21,20,D,5,367,35,-,3,D,101,14,4,11,8,8,D,71,102,43,13,D,30,-,D,49,D,252,8,495,25,D,65,D,17,60,D,D,21,D,17,132,-,3,5,D,65,25,-,11,-,52
Italy,"2,991",5,D,60,8,474,23,85,7,5,311,45,D,6,5,145,12,D,8,D,5,4,56,165,86,16,3,10,3,D,19,6,324,D,567,17,-,53,-,7,123,9,17,16,-,9,78,7,D,14,D,89,37,D,19,D,17
Jamaica,"21,324",17,6,40,8,372,35,885,85,61,"7,133","1,096",5,26,D,232,38,9,19,18,22,8,758,553,115,21,14,32,-,10,18,6,"1,606",4,"6,170",132,3,127,14,19,570,-,37,53,D,41,312,15,12,3,9,310,31,10,40,-,159
Japan,"2,712",12,4,39,D,"1,178",31,11,4,D,76,33,14,234,D,54,12,4,4,8,7,D,38,36,29,12,-,12,D,6,53,D,131,7,231,18,-,30,7,45,32,-,3,15,D,12,67,D,D,20,D,63,82,3,9,D,11
Jordan,"2,632",14,-,45,3,447,15,10,3,D,163,26,-,5,D,320,30,D,11,27,44,D,47,25,108,16,6,38,-,5,13,3,216,11,149,38,-,128,13,22,74,5,D,14,D,38,250,-,6,11,D,132,21,-,34,-,36
Kazakhstan,908,D,4,20,D,158,29,8,-,3,36,14,-,-,-,30,4,D,3,D,-,5,19,41,6,18,D,8,D,-,D,-,48,-,106,6,-,14,4,60,37,-,D,6,4,D,30,D,-,8,D,40,110,-,5,D,5
Kenya,"2,218",20,4,32,8,253,21,10,26,8,111,140,-,D,D,58,26,20,64,8,5,D,148,120,22,111,-,50,-,9,17,10,168,4,64,43,-,47,18,13,55,-,6,19,3,23,268,D,-,7,D,83,49,D,16,3,17
Kiribati,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-
Korea 1,"22,759",54,57,170,17,"8,360",334,108,47,8,369,919,91,354,15,803,75,39,75,52,24,7,"1,076",235,271,57,14,74,9,20,226,15,"1,844",14,"1,621",186,4,140,50,215,649,D,13,49,3,126,954,40,D,47,4,"1,715",926,9,39,6,127
Kosovo,89,-,-,6,-,D,4,D,-,D,D,9,-,-,-,5,-,D,-,D,-,-,D,-,7,-,-,D,-,-,-,-,4,-,12,5,-,D,-,4,3,-,-,-,D,D,10,-,-,-,-,5,-,-,-,-,1
Kuwait,"1,031",8,-,27,D,182,8,3,D,D,82,20,-,3,D,62,6,5,13,7,22,-,20,17,39,9,D,12,-,D,D,4,55,D,39,29,D,51,7,13,19,D,D,8,D,20,133,-,4,D,-,57,7,D,11,-,9
Kyrgyzstan,361,-,6,3,-,48,6,D,-,-,15,5,-,D,-,7,D,-,D,D,D,-,8,23,4,5,-,D,D,D,D,-,13,D,39,-,-,3,D,28,10,-,-,D,-,4,6,6,-,5,-,8,86,D,-,-,2
Laos,"5,553",15,24,43,86,"1,641",93,45,3,-,90,174,-,35,34,97,17,89,92,5,19,7,25,103,114,642,5,30,D,30,40,13,22,14,66,215,-,78,36,118,47,D,66,61,23,107,215,D,-,68,D,63,160,3,535,-,40
Latvia,455,3,D,5,-,61,11,8,D,-,32,6,-,D,-,34,7,-,-,3,-,-,7,12,12,13,D,3,-,6,D,-,31,D,76,10,D,4,D,17,17,-,-,D,D,4,18,-,-,D,D,7,26,D,6,-,1
Lebanon,"3,399",10,-,47,6,733,27,31,3,6,196,50,-,3,D,73,12,5,15,7,24,5,45,277,629,28,5,15,-,4,28,20,131,4,162,23,-,126,11,34,65,4,22,12,-,24,258,D,D,9,7,140,27,5,5,-,22
Lesotho,6,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-
Liberia,"2,468",5,-,17,D,74,11,21,30,5,41,165,-,6,D,33,18,14,-,10,D,D,226,115,45,296,-,24,D,5,3,D,260,-,147,72,-,52,10,4,355,-,116,16,D,19,97,D,-,D,-,98,4,D,19,-,21
Libya,198,D,-,3,-,42,9,4,-,-,10,6,D,-,-,8,5,D,-,3,-,-,D,D,10,D,-,3,-,D,-,-,11,-,8,3,-,8,D,6,7,-,D,D,-,D,17,-,-,-,-,11,5,-,D,D,1
Liechtenstein,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,969,-,D,4,-,79,22,18,D,D,62,23,-,D,D,395,4,D,D,3,D,D,21,29,12,11,-,D,-,D,4,D,73,4,72,4,D,14,D,9,13,-,D,D,-,D,11,-,-,4,D,20,17,D,13,-,2
Luxembourg,17,-,-,-,-,D,-,-,-,-,D,-,-,D,-,D,-,-,-,D,-,-,D,-,-,-,-,D,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-
Macau,181,-,-,-,-,101,3,-,D,-,D,D,-,9,-,5,-,-,-,D,-,-,D,5,-,-,-,-,-,D,D,D,5,-,22,-,-,3,-,D,4,-,-,-,-,D,5,-,-,D,-,D,4,-,D,-,-
Macedonia,756,D,11,11,-,25,D,28,-,-,30,3,-,-,-,102,31,D,D,D,D,D,4,D,102,3,-,5,-,-,4,-,171,D,100,3,-,33,D,6,14,-,-,-,D,3,13,-,-,-,D,11,3,D,19,-,5
Madagascar,43,-,-,D,-,7,-,D,-,D,3,D,-,-,-,D,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,D,D,-,9,-,-,-,-,-,D,-,-,-,-,-,D,-,-,D,-,7,-,-,-,-,-
Malawi,64,-,-,D,D,13,-,D,-,-,D,8,-,-,-,3,D,-,-,3,-,-,4,4,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,D,D,-,-,D,-,D,6,-,-,-,-,5,D,-,-,-,-
Malaysia,"1,705",9,-,31,5,500,16,21,D,5,54,46,D,16,3,53,17,4,21,9,7,-,28,38,12,24,5,23,-,5,18,3,97,D,236,12,-,33,19,18,35,-,D,4,D,17,132,-,D,5,D,51,50,D,5,-,6
Mali,124,D,-,D,-,4,7,-,-,D,D,6,-,D,-,3,3,-,-,-,-,D,14,5,D,3,-,D,-,-,-,-,-,-,26,4,-,7,D,-,10,-,3,D,-,-,D,D,-,-,-,5,4,-,3,-,1
Malta,71,-,-,D,-,16,D,D,-,-,4,D,-,-,-,D,-,-,-,-,-,-,-,D,7,4,-,-,-,-,-,-,3,-,21,-,-,-,D,D,D,-,-,D,-,-,D,-,-,-,-,-,D,D,-,-,-
Marshall Islands,12,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,D,-,-,-,D,-,-,D,-,-,-,-,D,D,-,-,-,1
Martinique,21,-,-,-,-,D,-,-,-,-,3,-,-,-,-,-,D,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,D,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,3,-,-,-,-,-
Mauritania,122,-,D,3,-,3,D,-,-,-,4,4,-,-,-,D,8,D,-,15,-,-,3,D,4,D,-,3,-,-,-,-,-,-,22,-,-,26,-,-,5,-,-,-,-,4,4,D,-,D,-,D,D,-,-,-,1
Mauritius,70,-,-,D,-,9,3,-,-,-,6,3,-,-,-,-,-,-,-,3,D,-,-,4,3,5,-,D,-,-,D,-,6,-,D,D,-,D,-,D,D,-,-,-,-,-,6,-,-,-,-,6,-,-,D,-,-
Mexico,"231,815",276,100,"14,083",869,"118,062","4,159",209,114,27,"4,182","2,466",9,133,"1,172","13,608","1,205",955,"1,396",257,187,17,435,233,872,632,101,606,43,944,"4,901",41,994,"1,926","1,751","1,114",10,434,"1,186","2,454",629,80,43,339,54,587,"40,068",48,D,"1,710",D,806,"3,174",27,"1,189",107,786
"Micronesia, Federated States",62,-,3,-,-,5,-,-,-,-,-,4,4,13,D,D,-,-,D,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,6,4,-,-,-,3,5,-,D,-,1
Moldova,"1,328",D,4,7,-,279,11,3,-,D,50,28,-,D,D,22,3,-,5,4,3,-,19,77,13,87,-,6,-,D,D,-,32,D,124,41,-,9,7,80,65,-,-,5,-,6,18,D,-,4,-,23,271,-,3,-,6
Monaco,9,-,-,-,-,D,D,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-
Mongolia,129,D,-,-,D,32,20,-,-,-,-,-,-,D,-,12,-,-,D,-,D,-,6,-,D,D,D,D,-,-,D,D,4,-,4,-,-,D,-,-,4,-,-,-,-,D,D,-,-,7,-,15,3,-,D,-,2
Montenegro,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,D,7,-,-,-,-,-,-,-,D,-,13,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,1
Montserrat,87,-,-,-,-,4,-,D,-,-,12,D,-,-,-,-,-,-,D,-,-,-,3,16,-,-,-,-,-,-,-,-,3,-,29,-,-,-,-,-,D,-,D,D,-,-,D,-,8,-,-,3,-,-,-,-,-
Morocco,"3,383",6,D,29,4,230,87,55,17,16,383,60,-,3,3,132,24,9,4,26,5,4,89,428,18,40,8,19,D,7,26,12,222,8,336,59,-,86,17,10,176,3,13,24,D,16,149,3,D,5,-,446,24,D,15,-,20
Mozambique,73,D,-,-,-,11,-,D,-,-,6,-,D,-,-,D,-,D,D,-,-,-,4,4,-,-,-,D,-,-,D,-,10,-,6,D,-,D,-,-,D,-,4,-,-,D,5,-,-,4,-,D,-,-,D,-,1
Namibia,38,-,-,3,-,3,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,D,D,D,D,4,D,-,D,-,-,D,-,-,-,-,-,D,-,-,-,-,3,-,-,4,-,-
Nauru,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Nepal,953,4,-,11,4,114,59,17,D,D,30,15,-,-,3,20,4,3,8,D,4,-,87,52,25,20,-,11,-,24,3,13,20,6,63,8,-,15,-,19,13,-,5,3,-,6,93,D,-,3,-,133,12,-,10,-,7
Netherlands,"1,219",9,5,36,3,278,34,15,D,D,138,33,D,8,6,27,11,4,4,3,D,5,34,34,26,10,-,10,3,3,11,9,49,4,67,13,D,25,9,24,27,D,5,13,-,10,86,-,6,15,3,35,34,D,15,D,9
Netherlands Antilles,43,-,-,D,-,D,-,D,-,-,10,3,-,-,-,D,-,-,-,-,-,-,3,-,-,-,-,-,-,-,D,-,5,-,9,-,-,-,-,-,D,-,D,-,-,-,D,-,D,-,-,D,-,-,-,-,-
New Caledonia,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
New Zealand,649,D,5,16,-,172,45,3,3,3,32,7,4,19,D,20,6,D,7,3,D,D,10,13,10,5,D,4,D,D,9,D,14,D,27,7,-,8,D,22,14,-,D,-,D,7,36,D,-,21,D,23,32,-,14,D,2
Nicaragua,"17,954",18,5,112,17,"4,258",40,45,5,23,"9,968",174,D,6,5,97,44,22,26,12,133,-,280,56,23,25,18,19,D,10,184,D,340,12,364,137,D,28,7,22,65,14,5,47,-,47,649,9,-,37,D,331,44,6,39,-,119
Niger,73,-,-,D,D,6,-,D,D,-,3,D,-,-,-,3,7,D,-,D,-,-,6,-,-,-,-,-,-,5,-,-,D,-,6,3,-,4,D,-,6,-,-,-,-,D,3,-,-,-,-,3,-,-,-,-,5
Nigeria,"8,597",23,4,79,23,780,63,67,24,59,252,656,D,5,8,515,97,10,35,25,32,4,"1,207",274,138,182,16,117,D,15,24,8,609,7,744,114,4,140,40,26,212,D,57,43,3,113,"1,387",15,-,8,D,185,35,3,31,D,72
Northern Mariana Islands,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,153,-,D,4,-,22,4,D,-,D,25,3,-,D,-,4,D,D,D,D,D,-,D,D,D,-,-,D,3,-,6,D,10,D,8,D,D,D,D,D,D,-,-,D,-,-,14,-,-,-,-,8,11,-,3,-,-
Oman,33,-,-,-,-,7,-,-,-,-,3,D,-,-,-,D,D,-,-,D,-,-,D,D,D,D,-,-,-,-,-,-,D,-,3,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,3,-,-,-,-,1
Pakistan,"11,813",30,3,94,17,"1,505",65,175,34,12,470,310,D,4,D,932,90,20,74,30,58,4,623,190,369,83,17,119,D,15,62,22,980,18,"1,449",114,D,164,68,40,265,D,18,24,-,46,"1,723",D,D,31,6,"1,166",84,16,89,D,75
Palau,62,-,D,D,-,9,3,-,-,-,D,D,10,D,-,D,-,-,D,-,-,-,D,D,-,D,-,D,-,-,-,D,-,-,D,4,-,-,D,D,-,-,-,-,-,-,6,D,-,-,-,D,6,-,-,-,2
Panama,"2,870",24,3,39,8,307,33,17,7,9,742,150,-,6,5,53,16,6,13,12,21,D,91,50,19,21,10,14,D,D,25,D,100,9,348,70,D,28,18,8,35,35,D,28,-,32,251,10,-,8,-,120,19,7,16,-,17
Papua New Guinea,14,-,-,-,-,3,-,-,-,-,D,D,D,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-
Paraguay,386,D,-,4,-,30,6,14,-,D,58,4,-,D,-,9,D,D,8,D,D,D,31,4,D,D,-,D,-,-,3,-,29,-,95,6,-,6,D,5,8,D,D,-,-,D,16,D,-,5,-,20,D,-,D,-,3
Peru,"15,016",25,8,145,16,"2,503",138,325,13,32,"3,618",240,D,19,31,207,34,15,39,32,17,9,467,198,31,44,12,46,3,13,128,6,"2,424",19,"1,481",121,D,91,50,58,181,43,34,39,3,49,565,10,-,182,3,985,106,7,60,5,82
Philippines,"58,792",88,400,865,94,"27,347",307,328,96,61,"2,239",392,760,"2,766",63,"2,779",223,82,120,125,86,46,"1,365",313,589,236,89,255,25,65,"2,197",58,"3,408",66,"1,890",329,11,357,126,427,563,5,50,281,19,272,"2,376",118,23,153,15,"1,761","1,594",31,160,15,283
Poland,"14,237",7,6,145,6,480,117,676,8,D,456,86,-,11,6,"5,816",57,10,6,11,4,15,109,335,423,38,5,33,8,11,61,26,"2,032",5,"1,981",54,D,129,6,43,386,3,60,25,D,19,149,D,-,20,13,78,103,3,77,D,69
Portugal,"3,988",3,-,10,-,361,5,169,D,4,147,13,-,D,10,D,D,-,D,-,D,D,67,"1,325",5,3,D,3,-,-,6,18,"1,019",3,198,D,-,-,D,D,59,D,407,3,D,D,22,-,-,5,-,73,7,-,D,-,21
Puerto Rico,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,85,-,-,5,-,11,D,-,D,D,5,D,-,-,-,15,-,D,3,D,D,-,D,-,D,-,D,D,-,-,-,D,5,-,8,D,-,D,-,D,-,-,-,-,-,D,11,-,-,-,-,3,-,-,-,-,1
Reunion,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Romania,"4,515",12,6,205,8,670,64,58,5,7,319,203,-,5,22,550,26,8,11,11,12,3,66,53,380,34,5,44,4,4,64,9,162,6,332,36,D,217,11,141,136,D,6,26,D,44,192,4,-,8,4,87,186,-,20,-,25
Russia,"10,778",34,50,110,18,"2,023",341,123,12,19,525,167,D,19,29,424,62,43,38,51,25,21,349,502,151,188,10,71,10,44,89,44,658,23,"1,489",91,5,217,42,297,419,D,23,47,8,69,327,6,D,90,14,317,875,11,96,5,52
Rwanda,101,-,-,4,-,6,-,-,-,-,4,6,-,-,-,D,D,D,-,3,-,D,6,-,D,D,D,D,-,D,-,3,4,D,22,4,-,8,D,-,-,-,D,-,D,3,5,D,-,D,-,3,-,-,-,-,-
Saint Helena,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts-Nevis,529,-,-,-,-,4,-,9,D,D,93,26,-,-,-,3,D,-,-,-,-,-,14,8,-,D,-,D,-,-,-,-,38,-,118,8,-,D,D,-,3,7,D,5,-,-,11,D,154,D,-,7,D,-,-,D,7
Saint Lucia,779,D,D,-,D,12,3,25,3,D,121,28,-,-,-,4,-,D,D,D,6,-,42,13,D,-,D,D,D,-,D,-,35,-,249,4,D,3,-,-,14,3,D,3,D,D,60,D,107,-,-,11,D,-,3,-,8
Saint Vincent and the Grenadines,623,D,D,D,-,19,3,6,-,D,61,23,-,-,-,3,D,D,-,D,-,-,20,16,D,3,-,-,D,-,D,-,27,-,350,8,-,D,-,-,24,-,D,D,-,3,11,D,12,D,-,7,4,-,-,-,3
Samoa,204,D,5,4,D,77,4,-,-,-,4,-,-,31,D,D,D,-,-,D,-,-,D,-,-,D,-,6,D,-,6,-,D,-,D,-,-,-,-,4,-,-,-,-,-,D,3,-,-,35,-,-,8,-,-,-,3
San Marino,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-
Saudi Arabia,615,4,-,13,4,102,4,3,3,-,32,13,-,4,-,54,6,D,4,6,D,-,20,13,32,10,D,8,D,D,4,D,23,D,23,10,-,23,5,5,7,-,-,5,3,5,77,D,D,4,D,62,5,-,D,-,6
Senegal,566,D,D,3,-,41,6,6,-,D,12,29,-,-,-,11,16,6,D,10,D,-,45,21,19,3,-,5,-,D,D,D,30,-,104,21,-,44,D,D,12,-,20,6,-,3,23,-,5,-,D,31,4,-,6,-,6
Serbia,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Serbia and Montenegro 2,"3,582",6,7,97,10,347,33,89,D,4,236,45,-,6,15,406,34,32,14,65,6,8,49,80,249,25,D,60,-,10,37,12,193,D,672,37,9,108,13,40,72,-,6,5,10,28,126,D,D,36,6,88,42,3,65,D,33
Seychelles,26,D,-,-,-,D,4,-,-,-,5,-,-,D,-,-,-,-,-,-,D,-,D,D,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,3,-,-,-,-,-
Sierra Leone,"2,018",3,D,12,3,104,7,13,10,28,26,78,-,D,-,24,6,4,D,3,-,D,514,64,20,35,D,18,-,D,3,4,179,D,114,42,D,99,-,D,155,-,D,4,D,11,90,-,-,D,-,288,10,D,7,D,22
Singapore,433,-,D,14,3,170,7,D,-,-,14,10,-,7,-,10,D,D,3,-,-,D,5,12,9,8,D,D,D,D,3,D,17,D,29,8,-,D,-,5,5,-,D,D,-,-,35,D,-,3,D,17,16,-,D,-,1
Slovak Republic,498,-,-,8,-,47,11,9,-,D,58,9,-,D,-,51,D,-,D,D,-,-,7,13,4,7,D,7,D,-,6,D,101,-,54,-,-,16,D,4,22,-,D,4,D,4,9,-,-,D,-,14,8,-,6,-,4
Slovenia,80,-,-,D,-,9,D,D,-,-,10,D,-,-,-,5,-,D,D,D,D,-,D,D,D,-,-,9,-,-,D,-,D,-,8,-,-,D,-,D,D,-,-,-,-,D,3,D,-,-,-,4,4,-,-,-,1
Solomon Islands,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
