Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Chad, 90 , - , - , D , - , D , D , - , - , - , D , - , - , - , - , 5 , 12 , 4 , - , - , - , - , 8 , - , D , D , - , D , - , D , - , - , 4 , - , 14 , D , D , 4 , - , - , 7 , - , - , - , - , - , 12 , - , - , D , - , D , D , - , - , - , 3 
Chile," 1,784 ", 6 , - , 33 , 5 , 213 , 29 , 25 , 5 , 11 , 426 , 65 , - , 4 , 5 , 22 , D , 3 , 3 , 6 , 5 , 4 , 50 , 38 , 20 , 14 , 3 , 12 , D , 4 , 16 , 4 , 92 , 5 , 164 , 47 , - , 11 , 6 , 22 , 30 , 4 , 4 , 13 , - , 14 , 123 , D , D , 72 , D , 60 , 43 , D , 14 , - , 21 
"China, People's Republic"," 39,490 ", 135 , 23 , 323 , 74 ," 10,875 ", 397 , 285 , 89 , 57 , 939 , 851 , 18 , 320 , 60 ," 1,272 ", 277 , 142 , 138 , 127 , 138 , 31 , 820 ," 1,574 ", 554 , 441 , 64 , 253 , 13 , 64 , 401 , 71 ," 1,083 ", 73 ," 8,527 ", 555 , 12 , 530 , 144 , 402 ," 1,130 ", 19 , 59 , 141 , 10 , 223 ," 2,782 ", 11 , 14 , 147 , 18 , 793 ," 1,162 ", 29 , 218 , 15 , 567 
Colombia," 17,126 ", 38 , 4 , 121 , 22 , 805 , 116 , 295 , 28 , 33 ," 6,189 ", 709 , D , 10 , 12 , 264 , 52 , 23 , 28 , 46 , 60 , 7 , 210 , 439 , 54 , 47 , 17 , 36 , D , 21 , 121 , 42 ," 1,576 ", 29 ," 2,056 ", 407 , 3 , 75 , 46 , 51 , 279 , 72 , 99 , 203 , 4 , 79 ," 1,424 ", 4 , D , 95 , 3 , 304 , 102 , 9 , 57 , 6 , 289 
Comoros, 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Congo, Democratic Republic"," 2,877 ", 10 , D , 79 , - , 79 , 85 , 49 , D , 3 , 28 , 115 , - , D , 39 , 119 , 36 , 181 , 27 , 147 , 7 , 38 , 97 , 68 , 81 , 36 , - , 38 , - , 9 , 11 , 38 , 17 , 8 , 124 , 242 , 20 , 106 , 3 , 20 , 60 , - , 8 , 7 , 12 , 38 , 499 , - , - , 30 , 13 , 86 , 65 , D , 19 , D , 72 
"Congo, Republic", 351 , D , - , 11 , - , 10 , 17 , D , - , - , 5 , 10 , - , - , D , 25 , 4 , 7 , D , 7 , D , 6 , 15 , 3 , 16 , 7 , - , - , - , D , - , - , 11 , D , 36 , 11 , - , 11 , - , D , 10 , - , D , D , - , 6 , 62 , - , - , 5 , - , 5 , 6 , - , D , - , 28 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Costa Rica," 1,859 ", 7 , 3 , 29 , 3 , 162 , 27 , 19 , D , 6 , 367 , 75 , - , 5 , 4 , 22 , 20 , 3 , 5 , 4 , 12 , D , 36 , 30 , 17 , 17 , 3 , 11 , D , D , 15 , D , 260 , 3 , 117 , 112 , - , 15 , 7 , 15 , 42 , 5 , 5 , 36 , - , 21 , 164 , - , D , 14 , - , 51 , 15 , 5 , 16 , D , 44 
Cote d'Ivoire," 1,206 ", 3 , D , 16 , D , 34 , 19 , 11 , 8 , 9 , 20 , 93 , - , D , 3 , 23 , 13 , 14 , D , 9 , 4 , D , 94 , 37 , 11 , 28 , - , 10 , D , 15 , 10 , 5 , 52 , - , 227 , 40 , 7 , 42 , 4 , D , 63 , - , 11 , 6 , 3 , 12 , 118 , D , - , 8 , - , 35 , 21 , - , 8 , D , 47 
Croatia, 412 , D , - , 10 , D , 52 , 9 , 3 , D , D , 39 , 20 , - , D , D , 22 , 8 , 11 , D , 3 , D , D , 5 , 9 , 11 , 4 , D , 11 , - , D , 7 , D , 11 , - , 48 , 6 , - , 19 , 3 , D , 11 , D , - , D , D , 6 , 28 , - , - , D , - , 10 , 3 , D , 10 , - , 7 
Cuba," 36,246 ", 23 , 3 , 180 , 6 , 326 , 68 , 27 , 6 , 15 ," 29,570 ", 283 , - , 3 , 4 , 90 , 35 , 25 , 31 , 550 , 95 , 4 , 31 , 65 , 79 , 24 , 14 , 60 , 4 , 82 , 585 , 4 , 524 , 62 , 386 , 243 , 5 , 42 , 23 , 74 , 129 , 106 , 5 , 40 , 7 , 68 ," 1,589 ", D , D , 21 , - , 101 , 49 , D , 38 , D , 436 
Curacao, 30 , - , - , - , - , D , - , - , - , - , 8 , D , - , D , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , D , - , 5 , D , - , - , - , - , D , D , - , - , - , - , 4 , - , - , - , - , D , - , - , - , - , - 
Cyprus, 115 , - , - , D , - , 11 , 3 , D , - , D , 13 , 4 , - , - , - , 5 , D , - , D , - , - , - , D , 4 , 4 , D , - , - , - , - , - , - , 8 , D , 24 , D , - , D , D , - , D , - , - , 4 , - , 3 , 7 , - , - , D , - , 4 , D , - , - , - , - 
Czechia, 600 , 6 , 4 , 6 , D , 85 , 24 , 5 , - , 3 , 95 , 27 , - , 5 , 3 , 55 , D , D , 3 , 5 , D , D , 8 , 19 , 9 , D , - , 3 , 3 , D , 7 , 5 , 18 , D , 47 , 20 , - , 3 , - , 5 , 20 , - , D , 3 , - , 10 , 31 , - , - , 3 , 4 , 15 , 15 , D , D , - , 9 
Czechoslovakia (former), 325 , 3 , D , 15 , D , 45 , 13 , D , - , D , 40 , 18 , - , D , D , 15 , D , - , D , - , D , D , 3 , 10 , 6 , 3 , D , 5 , D , - , 6 , D , 16 , - , 19 , 8 , D , 6 , D , 3 , 13 , - , - , D , - , 4 , 16 , - , - , 5 , - , 7 , 9 , - , 4 , - , 12 
Denmark, 656 , D , - , 17 , D , 145 , 14 , 10 , D , D , 61 , 28 , - , D , D , 18 , 6 , 4 , - , 8 , 4 , 3 , 8 , 20 , 9 , 13 , - , 5 , D , D , 9 , D , 26 , D , 43 , 16 , - , 6 , D , 16 , 16 , - , D , 6 , - , 5 , 54 , - , D , 5 , D , 19 , 22 , - , 7 , D , 10 
Djibouti, 96 , - , - , - , - , - , 4 , - , - , - , - , 3 , - , - , D , 3 , D , D , D , 6 , - , 8 , - , D , - , 37 , - , - , - , - , - , - , - , - , 5 , - , - , 4 , - , - , D , - , - , - , D , D , 5 , - , - , - , - , D , 6 , - , - , - , D 
Dominica, 740 , - , D , - , - , 9 , D , 5 , D , D , 114 , 50 , - , - , - , 5 , - , - , - , D , - , - , 26 , 12 , 4 , D , - , D , - , - , D , - , 56 , - , 132 , 7 , - , D , D , - , 10 , D , D , D , - , 4 , 54 , - , 147 , D , - , 11 , 4 , - , - , - , 70 
Dominican Republic," 23,101 ", 25 , 42 , 35 , 8 , 110 , 23 , 467 , 38 , 49 ," 2,685 ", 272 , D , 5 , 3 , 102 , 62 , 7 , 17 , 13 , 83 , 5 , 239 ," 2,060 ", 80 , 39 , 27 , 34 , D , 8 , 37 , 98 ," 3,379 ", 3 ," 8,546 ", 330 , D , 132 , 12 , 16 ," 1,534 ", 634 , 547 , 57 , - , 39 , 271 , 4 , 97 , 29 , 4 , 124 , 24 , 5 , 50 , D , 584 
Ecuador," 7,731 ", 10 , 5 , 25 , 7 , 292 , 19 , 316 , 12 , 23 ," 1,110 ", 105 , - , 5 , D , 244 , 18 , 22 , 8 , 10 , 14 , 4 , 86 , 94 , 11 , 141 , 4 , 10 , - , 7 , 24 , 6 ," 1,408 ", 9 ," 2,530 ", 195 , D , 42 , 5 , 14 , 142 , 12 , 15 , 32 , D , 28 , 294 , - , - , 80 , - , 82 , 25 , 3 , 12 , - , 167 
Egypt," 8,311 ", 25 , D , 52 , 7 ," 1,503 ", 17 , 44 , 19 , 18 , 706 , 95 , - , D , D , 164 , 96 , 33 , 20 , 37 , 27 , 5 , 109 , 232 , 110 , 75 , 4 , 19 , D , 11 , 28 , 13 ," 1,289 ", 5 , 866 , 180 , - , 155 , 12 , 50 , 360 , D , 9 , 52 , D , 474 , 570 , 3 , D , 7 , D , 477 , 105 , 4 , 24 , D , 187 
El Salvador," 18,260 ", 28 , 14 , 128 , 204 ," 5,343 ", 148 , 64 , 12 , 167 , 649 , 443 , - , D , 14 , 124 , 100 , 73 , 82 , 19 , 35 , 8 ," 1,373 ", 453 , 42 , 118 , 12 , 59 , - , 88 , 321 , 7 , 514 , 19 ," 1,594 ", 500 , 5 , 66 , 32 , 58 , 81 , 8 , 18 , 37 , 14 , 95 ," 2,951 ", D , - , 144 , - ," 1,427 ", 145 , 8 , 16 , D , 393 
Equatorial Guinea, 15 , - , - , D , - , - , - , - , - , D , D , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , 3 , D , - , D , - , D , - , - , - , - , D 
Eritrea," 1,951 ", D , - , 27 , - , 203 , 69 , 7 , D , 54 , 19 , 88 , - , - , 11 , 27 , 30 , 76 , 17 , 17 , D , - , 86 , 31 , 14 , 59 , D , 40 , - , 7 , 40 , - , 9 , 3 , 46 , 86 , 3 , 85 , 11 , 24 , 25 , - , 6 , 5 , 27 , 18 , 315 , - , - , 11 , - , 143 , 152 , 5 , 18 , - , 31 
Estonia, 210 , - , - , 4 , - , 18 , 3 , 5 , - , D , 23 , 7 , - , D , D , 9 , D , - , 4 , - , D , - , 7 , 7 , D , D , - , D , D , D , - , - , 10 , - , 36 , 10 , - , 5 , D , 4 , 6 , - , D , 3 , - , - , 6 , - , - , D , - , 8 , 16 , - , - , - , D 
Eswatini (formerly Swaziland), 25 , - , - , D , - , 4 , D , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , D , D , 3 , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , D , 4 , - , - , - , - , - , D , - , - , - , - 
Ethiopia," 9,065 ", 21 , 3 , 82 , 4 , 606 , 426 , 13 , 5 , 351 , 98 , 565 , - , D , 12 , 162 , 48 , 94 , 71 , 58 , 10 , 8 , 901 , 164 , 51 , 949 , 7 , 96 , D , 46 , 270 , D , 38 , 4 , 114 , 132 , 12 , 268 , 25 , 80 , 133 , D , 4 , 6 , 73 , 183 , 891 , 7 , - , 15 , 3 , 958 , 621 , 9 , 38 , 3 , 322 
Falkland Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Fiji, 778 , - , D , 9 , - , 561 , 4 , - , - , - , 9 , D , - , 7 , - , D , - , - , - , D , - , - , 4 , - , D , D , - , 4 , - , D , 10 , - , 5 , 3 , 8 , D , - , 7 , - , 25 , 4 , - , - , - , - , - , 12 , - , - , 7 , - , 7 , 61 , D , 4 , - , 13 
Finland, 343 , D , 3 , 8 , D , 73 , 9 , 7 , - , 3 , 43 , 11 , - , D , D , 8 , 3 , D , - , D , 5 , 4 , 12 , 5 , 4 , 7 , D , 3 , D , - , 3 , - , 8 , D , 28 , 8 , - , 4 , - , 3 , 3 , - , - , D , D , - , 37 , - , - , D , - , 6 , 9 , - , 7 , D , D 
France," 3,315 ", 6 , D , 32 , 4 , 704 , 51 , 24 , D , 26 , 401 , 103 , - , 12 , 9 , 93 , 16 , 8 , 7 , 11 , 10 , 3 , 68 , 140 , 50 , 52 , 3 , 17 , D , 4 , 31 , 10 , 123 , 15 , 440 , 76 , - , 31 , 7 , 32 , 84 , 6 , 12 , 28 , - , 17 , 261 , D , 6 , 21 , 6 , 68 , 99 , 4 , 19 , D , 57 
French Polynesia, 18 , - , - , - , - , D , - , - , - , - , 4 , - , - , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - 
Gabon, 113 , - , D , D , D , 6 , 5 , - , - , D , D , 11 , - , - , - , D , - , - , D , D , - , D , D , 3 , D , - , - , D , - , 5 , - , - , D , - , 11 , 4 , - , 4 , - , - , D , - , - , - , - , D , 29 , - , - , - , - , 4 , 6 , - , - , - , D 
Gambia, 729 , 3 , 5 , 5 , 3 , 12 , 4 , D , - , 3 , 8 , 97 , - , - , D , 6 , 3 , 5 , 6 , 13 , D , - , 46 , 13 , 11 , 25 , 5 , 4 , - , 5 , - , - , 8 , - , 122 , 34 , D , 42 , D , D , 17 , - , 16 , D , - , 13 , 38 , - , - , - , - , 19 , 78 , - , 30 , - , 21 
Georgia, 973 , - , - , D , - , 97 , 6 , 21 , - , 8 , 39 , 15 , - , - , - , 18 , D , - , D , D , D , - , 28 , 10 , 5 , 4 , D , D , - , D , 4 , D , 100 , - , 422 , 11 , - , 17 , - , 5 , 66 , - , - , D , - , 3 , 19 , - , - , 4 , - , 20 , 20 , - , - , - , 16 
Germany," 4,745 ", 56 , 13 , 97 , 19 , 696 , 158 , 36 , 9 , 15 , 500 , 200 , - , 34 , 13 , 154 , 44 , 21 , 24 , 37 , 29 , 14 , 85 , 123 , 129 , 54 , 14 , 70 , 8 , 12 , 42 , 13 , 123 , 29 , 312 , 156 , 3 , 81 , 33 , 46 , 132 , D , 7 , 85 , 6 , 69 , 386 , 12 , D , 35 , 13 , 159 , 144 , 11 , 61 , 6 , 114 
Ghana," 6,936 ", 15 , D , 46 , 5 , 178 , 136 , 169 , 56 , 20 , 109 , 428 , - , 5 , 3 , 227 , 49 , 25 , 18 , 37 , 10 , 7 , 571 , 383 , 51 , 116 , 4 , 44 , D , 15 , 24 , 11 , 615 , 7 ," 1,146 ", 171 , 29 , 479 , 37 , 18 , 189 , - , 17 , 12 , D , 64 , 440 , 8 , - , 14 , 8 , 625 , 51 , 8 , 29 , D , 201 
Gibraltar, D , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
Greece," 1,137 ", 4 , - , 7 , - , 86 , 8 , 23 , 8 , D , 89 , 22 , - , D , D , 73 , 15 , D , D , 6 , 9 , 5 , 35 , 98 , 21 , 4 , D , 8 , - , - , 8 , 8 , 67 , D , 227 , 26 , - , 17 , 4 , D , 62 , - , 6 , 13 , D , 5 , 49 , D , - , D , D , 31 , 16 , D , 10 , D , 45 
Greenland, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Grenada, 640 , D , - , - , D , 11 , - , 7 , - , 5 , 45 , 20 , - , - , - , 3 , D , D , D , D , - , - , 23 , 6 , 3 , D , - , - , - , D , D , - , 19 , - , 405 , 8 , - , 3 , D , - , 11 , - , D , D , - , D , 24 , - , 4 , - , - , 11 , 3 , - , D , - , 11 
Guam, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Guatemala," 8,948 ", 73 , 10 , 120 , 49 ," 2,922 ", 84 , 130 , 16 , 18 , 670 , 271 , D , D , 10 , 285 , 51 , 76 , 40 , 28 , 39 , 6 , 254 , 319 , 37 , 61 , 9 , 46 , 3 , 80 , 151 , 4 , 353 , 23 , 577 , 134 , 7 , 60 , 45 , 120 , 106 , 9 , 149 , 30 , 13 , 63 , 724 , - , - , 106 , - , 279 , 83 , 3 , 18 , 3 , 177 
Guinea," 1,069 ", 12 , - , 7 , D , 10 , 9 , 16 , 4 , 3 , 6 , 70 , - , D , - , 14 , 23 , 8 , D , 6 , - , D , 87 , 28 , 24 , 22 , D , 6 , - , D , D , D , 38 , D , 361 , 23 , 4 , 66 , - , - , 83 , - , 5 , 4 , - , 18 , 24 , - , - , D , - , 24 , 10 , 3 , 5 , - , 31 
Guinea-Bissau, 23 , - , - , D , - , 3 , - , - , - , - , D , D , - , - , D , D , - , - , - , D , - , - , 3 , D , - , - , - , D , - , - , - , - , D , - , D , - , - , D , - , - , D , - , D , - , - , - , - , - , - , D , - , - , - , - , - , D , - 
Guyana," 5,089 ", 3 , - , 12 , D , 46 , 6 , 63 , 13 , 11 , 422 , 158 , - , 3 , - , 20 , 4 , D , 3 , D , D , - , 119 , 37 , 10 , 76 , D , 7 , - , 4 , 9 , 3 , 387 , - ," 3,253 ", 43 , - , 21 , D , D , 77 , - , - , 9 , - , 13 , 79 , - , 5 , D , D , 36 , 7 , D , D , D , 111 
Haiti," 14,308 ", 14 , D , 18 , D , 79 , 15 , 252 , 75 , 8 ," 6,415 ", 327 , - , 3 , D , 67 , 68 , 15 , 8 , 42 , 21 , 7 , 204 ," 1,394 ", 20 , 17 , D , 33 , - , 4 , 14 , 11 , 992 , 3 ," 2,778 ", 131 , 3 , 37 , 12 , 15 , 417 , D , 50 , 22 , D , 35 , 89 , 4 , 21 , 20 , D , 70 , 26 , D , 10 , 3 , 425 
Honduras," 6,353 ", 27 , 3 , 35 , 19 , 638 , 59 , 51 , 11 , 19 ," 1,406 ", 172 , - , 5 , 4 , 99 , 50 , 20 , 30 , 29 , 257 , 3 , 158 , 150 , 25 , 50 , 14 , 37 , - , 17 , 46 , 12 , 321 , 8 , 526 , 262 , D , 42 , 21 , 19 , 80 , 5 , 7 , 53 , - , 81 , 916 , 4 , - , 44 , 3 , 296 , 39 , 3 , 35 , D , 139 
Hong Kong," 1,924 ", 4 , D , 16 , 3 , 718 , 13 , 14 , D , 3 , 49 , 31 , 3 , 28 , D , 44 , 8 , 7 , 7 , D , 3 , - , 24 , 86 , 22 , 12 , 3 , 9 , D , D , 35 , D , 57 , - , 304 , 27 , - , 14 , 4 , 15 , 34 , D , 4 , 5 , - , 11 , 120 , - , - , 17 , D , 21 , 106 , - , 8 , - , 24 
Hungary, 983 , 4 , D , 19 , 3 , 131 , 24 , 16 , D , D , 203 , 19 , - , 9 , 3 , 34 , 8 , D , 3 , 5 , D , 3 , 15 , 18 , 11 , 10 , D , 9 , D , - , 17 , 3 , 45 , - , 109 , 29 , - , 26 , 4 , 9 , 22 , - , - , 14 , - , 12 , 58 , - , D , D , D , 23 , 19 , - , 11 , - , 20 
Iceland, 101 , D , - , - , - , 17 , 3 , D , - , - , 24 , - , - , - , - , - , - , - , 3 , - , D , D , D , 5 , - , - , - , - , D , - , - , - , D , D , 8 , 3 , - , - , D , D , D , - , - , - , D , - , 5 , D , - , D , - , 6 , 4 , - , 3 , - , D 
India," 64,631 ", 327 , 11 , 790 , 214 ," 11,678 ", 460 , 809 , 199 , 42 ," 1,940 "," 3,339 ", D , 33 , 44 ," 3,971 ", 728 , 264 , 321 , 289 , 136 , 21 ," 1,443 "," 1,657 "," 1,582 ", 644 , 149 , 538 , 5 , 143 , 212 , 153 ," 6,409 ", 84 ," 3,363 "," 2,143 ", 13 ," 1,360 ", 183 , 327 ," 2,468 ", - , 42 , 396 , 24 , 600 ," 9,116 ", D , 11 , 148 , 34 ," 2,640 "," 1,688 ", 26 , 531 , 4 , 874 
Indonesia," 2,093 ", D , 4 , 32 , 20 , 654 , 74 , 9 , D , 6 , 86 , 83 , D , 10 , 7 , 47 , 16 , 5 , 8 , 4 , 12 , 3 , 42 , 32 , 19 , 17 , 5 , 7 , D , 4 , 28 , 24 , 42 , - , 141 , 38 , - , 34 , 19 , 25 , 109 , - , D , 9 , D , 11 , 202 , 4 , - , 13 , 3 , 48 , 77 , 3 , 9 , 4 , 36 
Iran," 11,310 ", 30 , 5 , 163 , 12 ," 5,193 ", 109 , 40 , 7 , 39 , 255 , 299 , - , 6 , 24 , 235 , 38 , 24 , 38 , 46 , 21 , 3 , 374 , 220 , 126 , 72 , 8 , 48 , D , 23 , 148 , 12 , 137 , 19 , 330 , 126 , - , 93 , 63 , 107 , 108 , D , 10 , 29 , D , 72 ," 1,437 ", D , - , 92 , 6 , 550 , 264 , 13 , 39 , D , 189 
Iraq," 18,366 ", 12 , 3 , 847 , 12 ," 3,102 ", 347 , 77 , - , 3 , 437 , 229 , - , - , 122 , 905 , 58 , 73 , 45 , 298 , 40 , 167 , 155 , 530 ," 3,574 ", 282 , 3 , 216 , D , 364 , 67 , 38 , 86 , 56 , 572 , 228 , 20 , 429 , 60 , 196 , 339 , - , 19 , 22 , 11 , 318 ," 2,156 ", - , D , 186 , 19 , 648 , 465 , 6 , 169 , D , 351 
Ireland," 1,698 ", 4 , D , 21 , 4 , 257 , 19 , 28 , D , 8 , 88 , 39 , - , 3 , D , 94 , 11 , 6 , 4 , 11 , D , D , 33 , 167 , 16 , 13 , D , D , - , 4 , 11 , 5 , 74 , D , 343 , 43 , - , 15 , 3 , 21 , 66 , - , 6 , 16 , - , 10 , 74 , D , - , D , D , 41 , 56 , D , 22 , - , 44 
Israel," 3,265 ", 3 , D , 31 , D , 698 , 39 , 20 , D , 10 , 414 , 82 , - , 7 , 3 , 111 , 10 , 7 , 5 , 9 , 13 , - , 59 , 98 , 47 , 14 , - , 11 , D , 3 , 79 , 4 , 218 , 4 , 628 , 31 , - , 40 , 5 , 20 , 77 , D , D , 21 , D , 14 , 208 , D , D , 3 , 3 , 38 , 66 , - , 14 , - , 84 
Italy," 3,244 ", 9 , D , 33 , 4 , 476 , 48 , 66 , 5 , 33 , 440 , 66 , - , 11 , 6 , 143 , 22 , 4 , 4 , 5 , 8 , 4 , 53 , 124 , 82 , 11 , 6 , 18 , D , D , 30 , 3 , 185 , 14 , 606 , 73 , 3 , 52 , 10 , 22 , 136 , 8 , 10 , 23 , D , 20 , 136 , 7 , - , 15 , D , 67 , 40 , D , 17 , - , 76 
Jamaica," 18,010 ", 55 , 9 , 47 , 12 , 251 , 49 , 836 , 51 , 44 ," 4,747 "," 1,221 ", - , 11 , 5 , 184 , 33 , 8 , 9 , 16 , 32 , 41 , 670 , 549 , 109 , 33 , 32 , 56 , D , 4 , 32 , 13 , 948 , 9 ," 5,505 ", 264 , 7 , 117 , 17 , 13 , 604 , - , 32 , 86 , D , 57 , 416 , 10 , 10 , 13 , 11 , 235 , 27 , 14 , 50 , 8 , 394 
Japan," 1,969 ", 9 , 4 , 28 , 6 , 595 , 31 , 12 , D , 6 , 62 , 53 , 9 , 154 , 5 , 62 , 11 , D , 3 , 13 , 4 , D , 26 , 40 , 43 , 14 , 3 , 9 , D , 5 , 25 , D , 64 , 4 , 185 , 31 , D , 30 , 5 , 39 , 25 , D , D , 9 , - , 15 , 84 , 3 , D , 19 , D , 51 , 91 , 3 , 12 , D , 51 
Jordan," 3,430 ", 38 , - , 61 , 16 , 392 , 32 , 23 , 5 , 3 , 228 , 51 , - , D , 3 , 435 , 52 , 15 , 15 , 37 , 82 , - , 27 , 52 , 172 , 27 , 15 , 44 , - , 7 , 13 , 7 , 178 , 13 , 190 , 121 , 3 , 201 , 13 , 15 , 81 , 8 , 4 , 21 , D , 80 , 369 , D , 15 , 5 , - , 114 , 26 , D , 61 , - , 54 
Kazakhstan," 1,147 ", 3 , 5 , 10 , - , 192 , 30 , 4 , 3 , 4 , 115 , 17 , - , D , 3 , 38 , 8 , 7 , D , D , 3 , 7 , 21 , 38 , 10 , 15 , - , 7 , D , - , 9 , - , 33 , D , 188 , 27 , - , 15 , 7 , 26 , 52 , - , D , 7 , D , 4 , 77 , - , - , 6 , D , 54 , 65 , D , 6 , D , 15 
Kenya," 5,329 ", 59 , 6 , 115 , 10 , 325 , 84 , 22 , 68 , 14 , 96 , 314 , - , 8 , 6 , 71 , 61 , 64 , 99 , 51 , 10 , 10 , 225 , 273 , 57 , 480 , 7 , 130 , D , 38 , 23 , 17 , 154 , 17 , 147 , 187 , 20 , 146 , 46 , 36 , 164 , - , 5 , 16 , 3 , 68 , 920 , D , - , 27 , 10 , 116 , 295 , D , 61 , D , 141 
Kiribati, 6 , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , D 
"Korea, North", 25 , - , - , - , - , 5 , 3 , - , - , - , - , 3 , - , D , - , D , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , 5 , D , - , - , - , - 
"Korea, South"," 16,298 ", 209 , 55 , 121 , 27 ," 4,396 ", 220 , 73 , 29 , 32 , 278 ," 1,002 ", 33 , 201 , 10 , 588 , 84 , 34 , 39 , 39 , 29 , 8 , 541 , 280 , 241 , 105 , 19 , 75 , 3 , 22 , 119 , 14 ," 1,119 ", 19 ," 1,632 ", 252 , D , 127 , 57 , 148 , 428 , D , 16 , 51 , D , 110 ," 1,275 ", 44 , 11 , 71 , 3 , 797 , 695 , D , 69 , 3 , 438 
Kosovo, 597 , D , D , 6 , 3 , 9 , 8 , 19 , - , D , 33 , 23 , - , - , D , 30 , D , 11 , - , 6 , 3 , D , 3 , 10 , 48 , 6 , D , 3 , - , - , D , D , 27 , D , 188 , 10 , D , D , 13 , 4 , 14 , - , - , 4 , - , D , 50 , 3 , - , D , - , 18 , 4 , - , 17 , - , 5 
Kuwait," 1,111 ", 13 , - , 22 , - , 142 , 7 , 7 , D , - , 64 , 25 , - , D , - , 72 , 13 , 10 , 10 , 17 , 16 , 16 , 14 , 41 , 62 , 12 , D , 11 , - , - , 4 , 3 , 50 , D , 51 , 31 , D , 46 , 6 , 14 , 24 , D , - , 10 , - , 21 , 143 , D , D , 20 , - , 52 , 22 , - , 10 , - , 21 
Kyrgyzstan, 534 , - , D , 3 , - , 79 , 9 , 3 , - , - , 25 , 9 , - , D , D , 77 , 4 , D , 3 , D , 3 , D , 5 , 15 , D , 10 , - , 3 , - , D , 3 , - , 14 , - , 79 , 4 , D , 19 , - , 16 , 26 , - , - , 7 , - , 3 , 24 , D , - , 5 , - , 22 , 36 , D , 3 , D , 7 
