Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total," 843,593 "," 2,982 "," 1,144 "," 14,277 "," 2,327 "," 148,765 "," 10,840 "," 8,460 "," 1,547 "," 2,090 "," 96,149 "," 25,858 ", 578 ," 4,110 "," 1,660 "," 30,472 "," 7,386 "," 4,984 "," 3,875 "," 4,723 "," 3,130 "," 1,076 "," 19,349 "," 22,894 "," 16,464 "," 14,092 "," 1,138 "," 5,501 ", 361 ," 3,662 "," 9,046 "," 1,585 "," 36,661 "," 3,363 "," 85,444 "," 17,314 ", 719 ," 14,004 "," 3,790 "," 6,715 "," 21,014 "," 1,127 "," 2,312 "," 3,995 ", 780 ," 6,720 "," 97,675 ", 367 , 797 ," 5,365 ", 614 ," 23,345 "," 18,510 ", 492 ," 5,692 ", 330 ," 15,923 "
Afghanistan," 2,794 ", 5 , - , 55 , - , 823 , 59 , 21 , 4 , 13 , 44 , 83 , - , - , 24 , 35 , 19 , 10 , 6 , 16 , D , 18 , 51 , 25 , 18 , 13 , D , 26 , - , 19 , 20 , D , 45 , 23 , 249 , 51 , - , 32 , D , 24 , 51 , - , D , 7 , 3 , 13 , 177 , D , - , 33 , - , 534 , 61 , - , 6 , 3 , 67 
Albania," 2,778 ", - , D , 23 , - , 52 , 7 , 149 , 4 , D , 268 , 16 , - , 4 , 4 , 169 , 6 , 4 , D , D , D , 4 , 25 , 333 , 396 , 6 , - , 36 , D , - , 15 , 15 , 138 , - , 562 , 22 , D , 72 , 4 , 3 , 202 , D , - , 15 , D , 9 , 69 , D , - , 6 , D , 34 , 13 , - , 32 , D , 46 
Algeria," 1,235 ", 4 , - , 4 , - , 135 , 33 , 19 , - , D , 49 , 24 , - , - , D , 83 , 27 , D , 48 , 12 , 13 , D , 11 , 58 , 26 , 6 , - , 12 , - , D , - , D , 74 , D , 102 , 32 , - , 71 , 3 , 3 , 163 , D , D , D , - , 4 , 116 , - , - , D , - , 40 , 17 , - , 8 , - , 25 
American Samoa, 279 , D , 17 , 3 , - , 39 , 3 , D , - , - , D , 7 , D , 38 , D , D , D , - , D , D , 4 , - , - , D , - , - , - , D , - , - , D , - , - , D , 3 , 17 , - , D , 4 , 3 , - , - , - , 3 , - , D , 23 , D , D , 19 , - , 4 , 48 , - , - , - , 21 
Andorra, D , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Angola, 136 , - , - , D , - , 8 , D , D , - , 4 , 6 , D , - , - , - , 3 , - , - , - , D , D , D , 3 , 25 , - , - , - , - , D , - , D , - , 7 , D , 12 , 4 , - , 4 , D , - , 5 , - , 4 , - , - , - , 24 , - , - , D , D , 5 , D , - , - , - , 4 
Anguilla, 25 , - , - , - , - , - , - , - , - , - , 7 , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , 3 , - , - , D , - , - , D , - , - , - , - , - , - , - , 4 , - , - , D , - , - , - , - , D 
Antigua and Barbuda, 386 , D , - , D , - , 4 , - , 5 , 3 , - , 56 , 21 , - , - , - , D , D , - , - , - , D , - , 5 , 9 , D , D , - , 3 , - , - , - , - , 27 , - , 122 , 16 , - , D , - , D , 12 , - , - , 3 , - , D , 17 , - , 52 , - , - , 5 , D , - , D , - , 10 
Argentina," 3,956 ", 5 , D , 21 , 9 , 452 , 57 , 64 , 6 , 23 ," 1,481 ", 79 , - , 11 , D , 64 , 10 , 9 , 8 , 7 , 10 , 4 , 67 , 56 , 32 , 37 , 4 , 17 , D , D , 29 , 5 , 157 , D , 286 , 64 , - , 27 , 9 , 15 , 67 , 20 , 4 , 23 , 3 , 20 , 359 , D , - , 85 , D , 108 , 38 , - , 20 , D , 71 
