Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Austria,307,-,D,3,-,70,7,9,D,D,20,4,D,D,9,4,-,-,D,D,D,6,9,12,D,-,3,D,-,D,D,16,D,49,4,-,10,-,D,8,D,D,-,D,9,3,D,13,8,-,D,-,D,2
Azerbaijan,904,-,D,4,-,185,7,6,-,D,26,D,D,4,17,6,-,D,6,D,D,17,49,20,5,-,8,-,D,5,D,21,D,323,4,4,16,D,4,35,4,-,4,D,16,6,D,9,62,-,D,-,-,10
Bahamas,343,D,D,D,-,15,D,-,-,D,176,12,D,-,3,D,-,D,D,-,-,11,4,4,3,-,D,-,D,D,D,10,-,34,3,-,D,D,-,4,D,D,-,5,11,D,-,15,D,D,D,-,D,7
Bahrain,57,-,-,D,-,10,D,-,-,-,3,D,-,-,3,-,-,-,-,-,-,D,D,-,3,-,-,-,D,D,-,3,D,7,D,-,D,D,-,D,-,-,-,-,6,-,-,4,D,-,-,-,-,-
Bangladesh,"5,503",10,D,18,5,385,13,95,15,10,166,129,D,D,77,7,-,13,7,12,3,119,87,349,26,D,22,-,4,14,D,269,-,"2,642",37,-,59,30,8,162,6,3,-,15,313,3,-,305,17,D,11,-,3,26
Barbados,778,D,-,6,-,18,D,22,D,-,46,17,D,-,3,D,-,-,D,-,-,19,91,5,D,-,D,-,-,D,-,46,-,409,4,-,3,-,-,24,D,D,-,-,18,-,-,14,D,-,D,-,4,10
Belarus,"1,549",D,D,9,D,235,42,24,D,D,28,5,D,5,77,5,-,-,7,-,D,31,66,13,52,D,11,-,5,3,D,77,-,517,12,-,52,3,29,70,D,3,D,D,20,3,D,21,67,D,29,-,-,8
Belgium,247,-,-,4,-,49,D,5,-,D,23,3,D,-,8,D,-,D,D,3,-,8,11,7,4,D,D,D,-,6,-,13,D,43,6,D,4,-,D,4,D,D,-,D,6,-,-,10,3,-,3,-,-,2
Belize,704,3,-,10,-,301,3,D,-,-,36,9,4,-,77,D,-,-,D,4,-,5,6,3,D,-,-,D,-,8,-,12,D,117,9,-,D,3,D,5,D,D,-,D,46,D,-,13,D,-,D,D,D,8
Benin,56,-,D,-,D,D,-,D,-,-,D,D,-,-,D,3,-,-,-,-,-,3,D,3,-,-,-,-,-,-,-,4,-,8,D,-,D,-,D,3,-,-,-,-,7,-,-,5,-,-,D,-,-,1
