Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Jamaica,"13,674",15,8,24,D,312,28,775,56,25,"2,904",384,20,D,152,18,-,13,20,15,7,486,418,81,18,8,22,-,D,10,8,"1,021",9,"5,521",119,5,80,17,9,356,17,13,-,21,184,D,5,214,45,6,35,-,19,143
Japan,"2,154",8,3,14,6,857,19,27,D,6,47,15,313,D,43,7,-,D,9,6,4,37,21,24,10,D,12,D,D,34,D,60,5,177,15,D,37,7,34,19,D,D,D,11,50,20,D,49,87,D,9,-,13,17
Jordan,"2,464",D,D,20,5,523,12,13,3,3,109,28,D,D,305,20,-,16,17,35,D,38,51,114,23,5,27,-,D,9,D,167,5,148,42,-,143,8,17,69,D,9,-,37,203,8,-,95,29,D,45,-,19,32
Kazakhstan,726,-,4,5,-,134,14,8,D,D,14,4,D,D,8,D,-,-,D,-,10,11,58,3,15,D,D,D,D,4,D,19,D,148,6,-,12,D,25,46,-,-,D,6,14,4,-,33,85,-,8,D,D,8
Kenya,"1,158",4,D,11,D,138,8,5,17,D,65,47,3,D,24,9,-,13,8,4,D,51,71,20,51,-,11,D,D,5,7,101,D,38,26,D,38,4,6,49,D,4,3,6,166,D,D,59,41,-,5,-,-,24
Korea,"19,223",31,86,90,17,"7,363",206,86,45,11,208,333,563,16,712,46,D,52,37,30,D,555,206,189,63,9,69,D,15,147,15,"1,315",24,"2,281",136,D,161,42,156,548,14,27,D,102,685,53,5,"1,182","1,009",3,49,3,80,140
Kuwait,846,4,D,9,3,152,D,3,-,D,48,9,-,D,57,13,-,7,4,14,-,8,16,57,9,D,12,D,D,D,-,32,3,42,38,-,66,8,7,21,5,D,-,29,86,4,-,28,5,D,20,-,4,10
Kyrgyzstan,217,-,-,-,-,40,D,-,-,D,7,-,D,-,4,-,-,D,D,-,D,D,9,5,5,-,-,D,D,-,-,8,-,26,D,-,5,D,11,11,D,D,-,-,3,D,-,12,47,D,D,-,D,3
Laos,"5,261",10,34,29,72,"1,293",38,37,D,D,118,78,36,5,147,9,14,55,D,27,3,12,133,107,"1,009",D,11,D,24,43,9,13,16,63,161,D,79,15,59,41,54,10,3,135,174,75,D,61,161,D,650,D,D,125
Latvia,348,-,D,7,-,50,8,6,D,-,10,4,-,-,21,D,-,-,D,-,-,7,14,11,7,-,3,-,-,-,-,18,3,88,5,-,8,D,7,14,3,D,-,D,3,D,D,6,22,-,6,-,-,5
Lebanon,"3,288",3,D,25,D,905,25,47,D,D,126,38,-,-,103,17,-,13,4,8,D,31,287,608,21,D,11,-,5,30,3,108,4,163,33,D,129,12,24,50,12,6,-,20,198,9,D,123,23,11,11,-,6,24
Liberia,"1,548",D,D,7,-,64,6,17,12,9,21,68,3,-,31,13,-,5,3,3,D,110,67,37,189,-,4,-,D,-,D,116,-,134,54,-,45,7,3,174,113,7,D,12,79,3,D,74,10,D,10,-,3,26
Libya,173,-,-,D,-,32,6,6,-,D,9,3,D,-,8,D,-,-,D,-,-,D,7,9,D,-,-,D,-,D,D,6,D,12,D,-,8,-,7,-,-,-,D,3,13,-,-,8,9,3,D,-,-,3
Lithuania,887,-,D,D,D,78,6,23,-,D,44,8,D,-,404,9,-,-,D,D,-,10,32,12,8,-,-,D,-,10,-,39,D,90,D,-,24,D,3,12,-,-,4,D,8,D,-,14,16,-,7,D,-,7
Macau,195,-,-,D,-,113,-,-,-,-,D,-,8,-,3,D,-,-,-,-,-,-,16,D,-,-,D,-,-,D,-,3,-,31,-,-,-,-,-,3,-,-,-,-,5,-,-,-,4,-,-,-,-,1
Macedonia,651,-,6,3,-,22,D,37,-,D,22,-,-,-,87,30,-,D,D,-,-,-,5,75,5,-,4,-,-,7,-,135,D,87,-,D,36,-,D,10,-,-,-,-,21,-,-,12,D,-,30,-,-,5
Malawi,60,-,-,-,-,11,-,-,-,D,3,3,D,-,D,3,-,-,-,-,-,D,3,5,-,-,D,-,-,-,-,-,-,-,-,D,4,D,-,3,-,D,-,D,8,-,-,3,D,-,D,-,-,1
Malaysia,"1,221",5,D,6,D,385,20,10,3,D,36,25,12,D,36,8,-,11,6,4,D,25,23,12,20,3,8,3,D,8,3,40,D,215,6,3,21,5,9,39,D,D,D,14,92,-,D,28,40,-,7,-,D,13
Mali,85,-,-,D,-,10,3,D,-,D,-,9,-,-,D,D,-,-,D,D,-,4,3,-,D,-,-,-,-,-,-,-,-,25,D,-,3,D,-,9,D,-,-,-,D,-,-,D,D,-,D,-,-,2
Malta,67,-,-,-,-,11,-,-,-,-,6,-,-,-,D,-,-,-,-,-,-,-,D,6,D,-,-,-,-,-,-,3,-,27,D,-,D,D,-,-,-,-,-,-,4,-,D,D,D,-,-,-,-,-
Mauritania,56,-,-,-,-,-,D,D,-,-,D,-,-,-,D,-,-,D,D,-,-,-,-,D,D,-,D,-,-,-,-,-,-,12,D,-,15,-,-,D,-,-,-,3,3,-,-,D,6,-,-,-,-,-
Mexico,"77,089",54,84,"2,667",263,"40,510","1,180",141,70,10,"1,039",478,71,282,"4,818",449,97,392,77,66,9,152,129,452,293,53,176,14,375,"1,600",14,370,640,"1,021",479,7,201,329,656,232,40,63,16,229,"12,736",528,4,340,"1,236",10,591,49,53,"1,244"
Moldova,927,D,D,6,D,230,4,5,D,-,17,9,-,D,17,-,-,D,-,3,D,10,39,9,24,-,D,-,D,7,-,25,D,203,11,-,25,D,24,48,-,-,D,D,13,3,D,21,141,D,4,-,-,7
Montserrat,78,-,-,-,-,-,-,D,-,-,9,4,-,-,D,-,-,D,-,-,-,D,20,D,D,-,-,-,-,-,-,3,-,22,-,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,9,1
Morocco,"2,628",D,-,4,D,251,72,63,D,8,256,19,4,D,112,13,-,3,8,4,3,55,346,37,27,D,6,3,-,11,7,142,D,368,56,-,108,14,11,126,6,12,D,13,96,3,D,269,33,-,26,-,D,21
Mozambique,50,-,-,D,-,16,-,D,-,-,D,-,-,-,-,D,-,-,-,-,-,D,3,-,-,-,D,-,-,-,-,9,-,3,-,-,D,-,-,4,D,-,-,-,D,D,-,4,-,-,-,-,-,-
Nepal,417,-,-,10,D,68,25,11,D,4,8,7,D,D,8,D,-,D,7,-,-,46,19,6,6,-,-,D,5,-,4,6,3,24,8,-,8,D,10,4,-,-,-,D,34,3,D,57,10,-,D,-,-,2
Netherlands,860,3,D,24,3,210,28,24,3,D,66,17,4,3,17,D,-,D,3,4,5,23,34,20,14,D,D,D,3,8,D,32,6,58,13,-,25,4,13,25,4,3,-,9,45,6,6,34,30,-,8,-,3,8
New Zealand,444,-,4,10,4,138,16,5,-,-,24,4,18,D,4,7,-,-,D,3,D,9,12,10,3,-,D,D,D,8,D,4,D,27,9,D,3,4,6,8,4,-,D,D,19,17,4,13,25,D,D,-,-,4
Nicaragua,"5,080",8,D,17,6,"1,522",20,17,3,5,"2,257",25,7,D,31,7,D,3,3,52,4,102,19,8,13,5,8,D,4,42,-,108,D,187,48,-,12,4,10,22,3,5,-,12,178,11,D,156,31,D,27,-,12,55
Nigeria,"6,894",23,4,68,11,742,44,83,18,62,174,358,D,-,430,45,D,22,8,34,4,702,222,141,164,5,52,-,20,13,9,470,6,879,142,3,170,33,15,155,71,16,4,76,"1,069",6,3,157,46,D,35,D,4,68
Norway,136,-,-,D,-,31,3,8,D,D,14,D,D,-,3,-,-,D,-,D,-,3,4,D,3,-,-,-,-,D,D,3,-,14,D,D,D,-,4,3,-,-,-,-,6,D,D,8,8,-,D,-,-,1
Pakistan,"9,699",17,5,19,11,"1,308",50,181,32,D,301,153,6,4,784,54,D,54,22,54,4,319,180,214,60,10,44,-,8,45,18,717,8,"2,036",120,-,133,74,19,211,20,11,4,35,"1,255",28,4,809,104,9,68,-,D,72
Panama,"1,643",9,10,14,5,179,16,16,D,6,276,56,16,5,25,10,-,8,11,12,D,31,32,12,13,9,8,6,4,20,D,74,3,294,51,3,17,11,4,22,D,7,-,19,138,6,-,92,27,D,6,-,28,24
Paraguay,202,-,-,3,-,12,D,6,-,D,23,4,D,D,5,-,-,D,-,-,D,10,D,-,-,D,D,-,-,-,-,18,D,68,D,-,D,D,-,5,-,-,-,-,7,D,-,14,4,-,-,-,D,2
Peru,"7,904",5,9,43,12,"1,593",56,219,4,22,"1,192",68,13,10,109,23,-,17,20,14,4,211,136,18,20,5,10,D,5,60,3,"1,298",5,"1,224",64,D,51,28,32,96,19,11,-,21,279,86,-,571,94,5,14,D,24,77
Philippines,"36,673",36,277,280,47,"17,802",160,241,42,26,"1,087",133,"1,893",54,"1,778",89,4,65,62,64,26,557,194,406,116,59,119,15,36,"1,152",28,"1,770",62,"1,668",206,15,243,88,239,290,49,50,10,129,"1,606",70,5,"1,125","1,246",23,110,9,477,335
Poland,"9,801",9,4,65,8,333,77,555,3,5,224,38,8,7,"3,537",41,-,3,7,4,9,46,311,246,26,D,25,D,3,25,10,"1,288",3,"2,014",37,D,141,6,15,251,36,13,D,17,82,3,7,46,74,D,66,-,D,61
Portugal,"2,403",D,-,D,D,237,3,124,-,-,56,9,D,D,D,D,-,D,3,5,D,24,829,D,D,D,D,D,D,3,11,546,D,169,D,-,3,D,3,37,224,D,-,-,10,D,-,47,6,-,D,-,D,24
Qatar,66,-,-,3,-,12,D,-,-,-,5,4,-,-,6,D,-,-,-,-,-,D,D,5,D,-,-,-,-,-,-,-,-,D,-,-,D,-,D,D,-,-,-,-,5,-,-,7,D,-,D,-,-,1
Romania,"4,602",13,4,139,16,739,29,74,D,9,178,108,3,9,516,26,-,9,4,6,3,56,74,494,36,D,23,D,D,69,8,164,7,598,47,D,265,7,156,117,7,7,8,35,167,10,5,67,205,8,18,D,D,49
Russia,"8,297",14,37,59,11,"1,642",235,95,14,7,213,86,13,8,247,44,-,28,22,10,18,166,446,114,152,5,46,5,15,33,19,451,18,"1,922",71,4,191,19,169,334,24,10,3,41,234,37,8,193,618,5,53,D,D,85
Rwanda,123,-,-,D,-,5,D,5,D,-,D,3,-,D,4,D,-,-,4,-,-,D,D,11,3,-,D,-,D,-,-,D,-,15,6,-,18,-,-,6,-,-,-,7,9,D,-,D,D,D,4,-,-,2
Saint Kitts-Nevis,331,-,-,-,D,10,-,6,-,-,39,9,D,-,4,D,-,D,D,D,-,13,14,D,-,-,D,-,-,D,-,10,-,89,9,D,4,D,-,3,4,3,-,D,11,-,-,10,D,-,-,-,74,4
Saint Lucia,515,D,-,D,-,10,D,18,D,-,53,16,D,-,-,D,-,D,-,8,-,13,12,D,D,D,D,-,-,D,-,19,-,217,3,-,8,-,-,11,-,-,D,3,25,-,-,13,D,-,6,-,62,1
Saint Vincent and the Grenadines,491,D,-,3,-,16,-,3,D,7,32,4,D,-,D,-,-,D,D,-,D,8,12,D,-,D,-,-,-,D,-,20,-,329,4,-,D,-,-,9,D,D,-,D,5,-,-,9,D,-,-,-,9,4
Samoa,165,-,5,-,-,48,D,-,-,D,D,-,56,D,D,-,-,-,-,-,-,D,-,-,D,-,3,-,-,4,-,D,D,D,-,D,D,-,3,-,-,-,-,D,7,11,-,D,9,-,-,-,D,1
Saudi Arabia,397,D,-,5,D,74,10,D,D,-,23,5,-,-,27,D,-,-,-,D,-,6,6,23,6,D,D,-,D,3,-,16,D,19,5,-,23,D,D,12,D,D,-,4,45,-,-,42,6,-,6,-,D,5
Senegal,401,-,D,D,-,30,4,D,-,6,13,9,D,D,6,3,-,-,D,-,D,28,22,11,D,D,D,-,D,D,-,20,-,106,4,-,47,D,D,11,19,-,-,4,13,-,-,10,5,-,5,-,-,7
Serbia and Montenegro,"5,857",4,13,178,4,446,32,185,D,7,415,90,5,63,565,49,D,8,103,6,13,50,191,372,41,5,73,-,26,52,19,291,3,"1,251",43,10,152,-,42,174,8,-,16,58,245,52,9,106,106,D,201,-,D,68
Sierra Leone,"1,043",-,-,9,D,88,4,7,3,10,17,26,-,-,4,D,-,D,D,3,-,201,43,19,39,-,6,-,-,D,D,82,D,70,17,-,57,3,5,72,D,D,-,9,43,-,-,152,5,-,9,-,-,25
Singapore,338,-,-,7,-,146,5,6,-,-,14,5,11,-,7,D,-,-,D,D,D,6,3,3,5,D,D,-,-,3,D,6,-,27,D,-,7,-,8,5,-,-,-,D,21,3,-,6,17,-,4,-,-,2
Slovak Republic,362,-,D,3,D,28,9,12,D,D,30,D,-,D,35,3,-,-,-,D,-,5,6,9,-,-,D,D,-,6,-,80,-,55,3,-,11,D,D,21,-,-,-,-,14,3,-,4,5,D,4,-,-,1
Slovenia,58,-,D,D,-,11,D,D,-,-,D,D,-,D,D,-,-,D,-,-,-,D,4,D,-,-,-,-,-,-,-,7,-,7,D,-,6,-,-,3,-,-,-,D,D,-,-,-,D,-,D,-,-,-
Somalia,"3,238",-,-,44,-,180,8,11,-,D,D,67,-,D,49,6,D,4,23,-,65,29,98,78,"1,154",-,75,-,5,D,-,3,D,62,33,-,546,-,36,9,D,-,D,67,87,19,-,157,268,D,3,-,-,39
South Africa,"1,495",6,-,22,3,396,59,27,3,3,138,77,8,3,41,16,-,11,17,7,D,30,55,23,13,4,9,D,D,29,5,47,5,66,31,D,21,D,15,31,D,10,-,32,109,13,-,37,41,-,12,D,-,9
Soviet Union (former),"3,668",D,D,27,D,597,40,47,D,6,124,30,-,D,497,15,-,D,6,6,5,85,384,118,73,D,19,-,4,14,5,197,6,675,34,-,87,D,80,80,20,4,D,10,72,11,6,76,126,-,15,-,D,52
Spain,"1,256",D,D,13,D,197,15,17,D,8,198,6,5,D,26,9,D,D,4,3,4,30,31,16,16,D,5,D,D,15,-,182,3,169,9,-,11,D,4,24,9,3,D,6,68,6,-,39,20,D,5,-,54,8
Sri Lanka,927,D,D,5,-,277,3,6,-,4,34,4,10,-,20,D,-,D,5,3,-,69,28,14,15,4,8,D,D,8,-,54,D,118,11,D,34,D,6,22,3,3,-,4,49,D,-,55,15,D,8,-,D,8
Sudan,"1,551",4,D,51,D,111,66,25,-,5,30,17,-,D,51,D,3,5,9,11,17,46,33,33,90,D,29,-,62,6,7,38,-,71,75,12,30,-,8,69,-,-,27,55,110,21,-,196,50,-,22,-,-,47
Suriname,125,-,-,-,-,8,D,D,D,-,34,4,-,-,-,-,-,-,-,-,-,3,D,D,-,-,-,-,-,D,-,7,-,51,-,-,-,-,-,-,-,-,-,-,4,-,-,3,-,-,-,-,D,2
Sweden,980,3,6,19,D,306,26,29,D,6,67,10,5,3,22,D,-,-,4,D,7,19,32,9,23,D,D,D,-,7,13,35,5,85,14,-,11,D,9,25,D,4,-,5,55,9,D,27,54,D,6,-,-,6
Switzerland,541,-,5,7,D,151,14,19,-,3,40,12,4,D,15,4,-,D,D,D,D,6,16,12,6,D,-,D,-,5,3,30,D,56,10,-,D,D,6,13,3,-,D,5,32,D,D,20,13,-,7,D,-,4
Syria,"2,252",5,-,10,15,667,13,17,4,D,103,15,D,-,143,17,-,4,D,6,D,19,58,135,4,D,10,-,4,16,D,144,D,299,20,-,70,12,16,172,11,3,D,16,80,-,-,58,19,16,11,-,3,27
Taiwan,"8,295",7,4,78,9,"4,715",36,47,12,D,90,74,86,5,132,26,D,15,7,9,-,158,196,84,27,4,36,-,7,56,9,342,12,567,59,-,123,14,51,94,4,4,D,37,502,36,3,148,293,7,24,-,7,34
Tajikistan,116,-,-,D,-,13,5,3,-,D,D,D,-,D,-,-,-,-,-,-,-,D,D,D,D,-,-,-,D,-,-,D,-,56,-,-,3,-,4,D,-,-,-,-,5,-,-,D,10,-,-,-,-,1
Tanzania,363,-,-,4,D,53,D,5,-,4,35,7,-,-,13,8,-,D,-,D,D,21,6,5,12,-,-,-,-,3,-,27,6,39,7,-,8,D,D,13,D,6,-,3,42,-,-,12,D,D,5,-,D,3
Thailand,"4,314",17,30,34,15,"1,614",48,30,7,4,170,42,44,D,118,17,D,18,14,11,16,78,214,48,151,D,13,D,7,107,6,61,8,193,59,D,69,16,55,72,29,D,D,32,206,34,4,175,192,4,174,4,9,33
Togo,291,D,-,7,-,18,4,5,-,D,6,12,-,-,17,6,D,D,4,-,D,32,7,D,41,-,3,-,11,D,-,8,-,37,11,-,8,-,D,8,D,-,-,-,7,D,-,22,D,-,D,-,-,-
Tonga,246,-,7,D,-,130,D,-,-,D,D,-,28,5,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,D,-,-,-,D,D,-,D,-,7,-,-,-,-,-,9,42,-,D,D,-,-,-,-,1
Trinidad and Tobago,"4,832",4,D,8,4,118,17,53,21,26,675,100,6,3,25,11,-,6,15,9,3,225,148,16,11,D,11,-,3,8,5,367,7,"2,321",59,D,24,15,4,114,7,6,D,10,145,D,-,114,22,3,5,D,20,50
Tunisia,226,-,-,-,-,53,3,D,D,-,18,6,D,-,8,3,-,D,-,D,-,9,4,10,4,D,D,-,D,D,-,4,D,28,D,D,6,-,-,10,-,-,D,3,13,-,D,19,3,-,D,-,-,2
Turkey,"2,231",5,D,19,3,394,23,47,20,3,86,24,5,-,72,8,-,D,8,6,5,49,100,37,12,-,6,D,-,20,5,335,5,452,25,D,56,4,11,83,7,D,-,15,81,D,4,124,30,D,10,D,5,13
Turkmenistan,59,-,-,-,-,10,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,D,3,D,-,-,-,-,-,D,-,D,D,17,D,-,-,-,D,4,D,-,-,D,-,-,-,D,4,-,4,-,-,-
Uganda,340,D,D,8,-,55,5,4,3,-,17,10,-,-,11,4,-,D,-,D,-,15,34,7,11,-,D,-,D,3,-,18,D,20,6,-,10,4,D,12,D,5,-,5,24,D,-,15,17,D,D,-,-,4
Ukraine,"9,343",6,13,30,5,"1,718",126,103,9,D,196,57,5,27,426,29,-,14,28,9,18,166,345,113,134,3,50,D,12,21,14,378,7,"2,654",53,D,333,13,276,576,26,8,13,37,103,28,5,108,884,3,63,6,-,88
United Arab Emirates,197,-,-,D,-,34,4,D,D,-,8,8,-,-,14,D,-,D,-,-,-,3,6,16,5,-,D,-,-,-,-,6,-,26,D,-,D,4,D,D,-,-,-,4,31,-,-,8,4,D,D,-,-,-
United Kingdom,"8,087",15,19,150,27,"1,887",163,207,22,12,784,191,45,24,199,44,D,35,22,25,31,189,351,178,79,16,56,7,14,72,44,319,33,663,142,4,201,35,113,239,26,35,5,86,514,48,24,305,232,11,46,D,8,86
Uruguay,475,-,D,3,-,65,D,11,D,-,88,11,D,D,D,D,-,-,D,-,-,8,17,D,-,-,-,-,-,5,D,100,-,74,D,-,7,D,D,4,D,D,-,D,15,9,D,20,5,-,-,D,5,2
Uzbekistan,"1,588",D,-,18,-,193,14,3,-,D,24,9,D,D,23,D,-,5,D,-,-,23,24,8,5,D,3,-,-,D,D,33,3,984,5,D,34,D,20,28,D,-,-,4,31,D,-,13,32,-,17,-,-,17
Venezuela,"2,659",4,5,9,4,233,17,37,4,9,899,53,8,D,49,10,-,4,13,16,-,30,92,28,8,7,9,-,4,14,11,132,D,254,49,-,34,18,7,67,23,11,-,21,213,38,3,80,21,8,9,D,58,31
Vietnam,"32,926",61,18,312,81,"14,234",489,185,10,33,938,689,235,40,625,120,54,232,130,309,41,362,"1,622",351,552,49,250,D,236,144,41,298,83,517,371,9,345,249,524,912,16,46,18,257,"3,452",224,24,"1,003","1,678",10,82,D,16,344
Yemen,814,D,-,3,D,166,-,13,D,-,D,-,-,-,33,14,-,-,-,-,D,3,D,246,D,D,-,-,-,D,-,6,3,245,14,-,5,-,4,3,-,-,-,3,5,-,-,17,8,-,D,-,-,9
Zambia,159,D,-,3,D,31,D,-,-,D,8,6,-,-,4,4,-,-,4,D,-,D,3,8,6,D,3,-,-,D,-,9,-,D,4,-,5,3,3,5,D,-,-,5,13,-,-,9,D,-,D,-,-,3
Zimbabwe,260,3,D,3,-,46,6,5,-,-,25,7,D,-,8,D,D,D,3,D,D,4,13,5,D,-,3,-,3,4,D,8,D,15,6,-,15,D,5,11,D,-,-,6,19,-,-,10,5,-,D,-,D,3
Other,707,-,1,10,2,95,8,11,1,3,66,23,17,-,13,-,-,-,2,2,3,27,25,6,9,2,4,-,1,5,2,30,-,97,6,-,17,-,2,17,2,2,-,7,41,15,3,34,19,-,4,-,37,36
Unknown,"1,270",-,2,6,5,204,30,1,1,-,59,13,5,7,150,14,-,16,7,10,-,8,16,39,17,2,8,2,6,11,1,26,2,71,14,-,80,10,13,6,1,3,-,7,129,18,-,42,38,-,25,-,7,138
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Based on N-400 data for persons age 18 and over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
