Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 761,901 "," 2,468 "," 1,379 "," 12,072 "," 2,070 "," 163,059 "," 7,973 "," 10,152 "," 1,546 "," 1,606 "," 95,978 "," 16,590 ", 849 ," 2,666 "," 2,103 "," 26,477 "," 6,578 "," 3,610 "," 3,936 "," 4,330 "," 2,986 "," 1,124 "," 12,434 "," 24,826 "," 14,338 "," 8,348 "," 1,126 "," 5,274 ", 401 ," 3,168 "," 7,369 "," 1,815 "," 40,089 "," 3,580 "," 81,404 "," 13,622 ", 514 ," 14,002 "," 4,051 "," 7,757 "," 19,007 "," 1,792 "," 3,046 "," 3,897 ", 625 ," 5,518 "," 64,685 ", 83 , 617 ," 3,408 ", 693 ," 18,118 "," 14,745 ", 573 ," 4,715 ", 256 ," 6,453 "
Africa," 64,934 ", 260 , 101 , 746 , 98 ," 4,707 ", 986 , 770 , 343 , 519 ," 2,568 "," 2,617 ", D , 42 , 176 ," 1,830 ", 912 , 855 , 531 , 805 , 217 , 263 ," 3,568 "," 3,800 ", 945 ," 3,263 ", 74 , 778 , 19 , 533 , 443 , 182 ," 3,658 ", 82 ," 5,331 "," 1,911 ", 222 ," 3,277 ", 412 , 498 ," 2,677 ", D , 671 , 328 , 196 ," 1,061 "," 5,658 ", 9 , 9 , 233 , 80 ," 3,091 "," 1,418 ", 100 , 426 , 18 , 609 
Asia," 275,621 "," 1,150 ", 743 ," 3,170 ", 688 ," 73,856 "," 2,476 "," 2,745 ", 602 , 300 ," 10,903 "," 6,270 ", 805 ," 2,163 ", 576 ," 10,303 "," 3,213 "," 1,399 "," 1,611 "," 1,898 "," 1,273 ", 427 ," 4,542 "," 7,924 "," 9,097 "," 3,204 ", 532 ," 2,346 ", 145 ," 1,333 "," 2,595 ", 744 ," 14,764 ", 592 ," 29,735 "," 5,391 ", 157 ," 7,263 "," 1,682 "," 3,002 "," 8,776 ", D , 466 ," 1,324 ", 292 ," 2,250 "," 19,707 ", D , 202 , 911 , 368 ," 8,304 "," 6,607 ", 250 ," 2,069 ", 65 ," 2,315 "
Europe," 71,436 ", 231 , 218 , 866 , 123 ," 10,297 "," 1,086 "," 1,960 ", 129 , 241 ," 7,387 "," 1,354 ", 16 , 154 , 281 ," 5,210 ", 540 , 325 , 182 , 375 , 241 , 211 , 857 ," 3,570 "," 2,058 ", 583 , 84 , 788 , 113 , 150 , 566 , 380 ," 4,667 ", 219 ," 8,827 "," 1,411 ", 46 ," 1,501 ", 240 ," 1,265 "," 2,599 ", 71 , 374 , 703 , 48 , 484 ," 2,538 ", 12 , 20 , 261 , 129 ," 1,590 "," 2,425 ", 69 , 650 , 49 , 662 
North America," 277,592 ", 646 , 199 ," 6,869 "," 1,062 "," 67,726 "," 2,904 "," 2,860 ", 389 , 394 ," 53,888 "," 4,622 ", 12 , 128 , 961 ," 8,104 "," 1,656 ", 893 ," 1,424 "," 1,046 "," 1,034 ", 172 ," 2,568 "," 6,749 "," 1,867 ", 934 , 370 ," 1,057 ", 91 ," 1,061 "," 3,356 ", 324 ," 10,255 "," 2,544 "," 25,735 "," 3,725 ", 67 ," 1,388 "," 1,491 "," 2,598 "," 3,848 "," 1,345 "," 1,232 ", 997 , 76 ," 1,382 "," 33,136 ", 14 , 370 ," 1,303 ", 80 ," 3,204 "," 3,614 ", 107 ," 1,338 ", 105 ," 2,272 "
Oceania," 3,792 ", 11 , 57 , 66 , 5 ," 1,435 ", 99 , 32 , 5 , 12 , 153 , 52 , 12 , 101 , 20 , 62 , 17 , 7 , 23 , 15 , 12 , 6 , 21 , 77 , 37 , 25 , 7 , 38 , 9 , 6 , 67 , 11 , 60 , 19 , 204 , 62 , 3 , 33 , 16 , 126 , 66 , - , 8 , 25 , 3 , 34 , 164 , D , 8 , 122 , 4 , 56 , 227 , D , 14 , 5 , 30 
South America," 67,892 ", 169 , 61 , 345 , 92 ," 4,898 ", 416 ," 1,782 ", 77 , 140 ," 20,968 "," 1,673 ", D , 74 , 86 , 958 , 232 , 127 , 163 , 190 , 208 , 44 , 876 ," 2,671 ", 323 , 334 , 57 , 261 , 24 , 83 , 342 , 168 ," 6,634 ", 115 ," 11,518 "," 1,106 ", 17 , 520 , 209 , 266 ," 1,026 ", 314 , 288 , 515 , 10 , 304 ," 3,452 ", D , 8 , 577 , 32 ," 1,864 ", 446 , D , 218 , 14 , 547 
Unknown, 634 , 1 , - , 10 , 2 , 140 , 6 , 3 , 1 , - , 111 , 2 , - , 4 , 3 , 10 , 8 , 4 , 2 , 1 , 1 , 1 , 2 , 35 , 11 , 5 , 2 , 6 , - , 2 , - , 6 , 51 , 9 , 54 , 16 , 2 , 20 , 1 , 2 , 15 , 3 , 7 , 5 , - , 3 , 30 , - , - , 1 , - , 9 , 8 , 1 , - , - , 18 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
