Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total," 761,901 "," 2,468 "," 1,379 "," 12,072 "," 2,070 "," 163,059 "," 7,973 "," 10,152 "," 1,546 "," 1,606 "," 95,978 "," 16,590 ", 849 ," 2,666 "," 2,103 "," 26,477 "," 6,578 "," 3,610 "," 3,936 "," 4,330 "," 2,986 "," 1,124 "," 12,434 "," 24,826 "," 14,338 "," 8,348 "," 1,126 "," 5,274 ", 401 ," 3,168 "," 7,369 "," 1,815 "," 40,089 "," 3,580 "," 81,404 "," 13,622 ", 514 ," 14,002 "," 4,051 "," 7,757 "," 19,007 "," 1,792 "," 3,046 "," 3,897 ", 625 ," 5,518 "," 64,685 ", 83 , 617 ," 3,408 ", 693 ," 18,118 "," 14,745 ", 573 ," 4,715 ", 256 ," 6,453 "
Afghanistan," 1,569 ", - , - , 30 , D , 570 , 18 , 7 , 7 , D , 34 , 37 , - , D , 25 , 27 , 9 , D , 5 , 15 , D , 5 , 16 , 10 , 7 , 6 , D , 26 , - , 6 , 21 , D , 47 , 4 , 191 , 14 , D , 27 , - , 20 , 18 , - , D , D , D , 6 , 56 , - , - , 8 , D , 240 , 27 , - , D , - , 11 
Albania," 2,203 ", D , D , 10 , D , 55 , 4 , 125 , - , 5 , 251 , 6 , - , - , 3 , 109 , D , D , D , D , D , 5 , 12 , 295 , 321 , 3 , - , 22 , - , - , 3 , 9 , 140 , 3 , 460 , 10 , D , 55 , D , 3 , 131 , - , - , 18 , - , 5 , 23 , - , - , 4 , - , 25 , 19 , - , 32 , - , 21 
Algeria, 918 , D , - , 3 , D , 104 , 13 , 4 , D , D , 39 , 5 , - , - , D , 62 , 15 , 4 , 50 , 9 , 11 , D , 11 , 63 , 16 , 3 , - , 9 , - , - , D , - , 55 , - , 89 , 25 , - , 54 , D , 4 , 120 , D , 3 , - , - , 3 , 67 , - , - , - , - , 35 , 9 , - , 14 , - , 8 
American Samoa, 182 , - , 29 , D , - , 34 , D , D , - , - , D , 6 , D , 11 , D , D , - , - , - , D , - , - , D , - , - , - , - , D , - , - , 3 , - , D , - , D , 3 , - , - , - , 6 , D , - , - , 7 , D , D , 8 , - , 4 , 12 , - , D , 39 , - , - , - , 1 
Andorra, D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Angola, 147 , - , - , D , - , 5 , D , 3 , - , D , 13 , D , - , - , - , D , D , - , - , D , 3 , - , 3 , 35 , D , - , - , D , - , - , - , - , 13 , - , 17 , 8 , - , D , - , - , 3 , - , 7 , - , - , - , 14 , - , - , - , D , 6 , D , - , - , - , 1 
Anguilla, 34 , - , - , - , - , - , - , D , D , D , 7 , D , - , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , 4 , - , - , D , - , - , D , - , - , - , - , - , D , - , 11 , - , - , - , - , - , - , - , - 
Antigua and Barbuda, 356 , D , D , 3 , - , 5 , - , 6 , D , - , 74 , 17 , - , D , - , 3 , D , - , D , D , D , - , 7 , 18 , D , - , - , D , - , - , - , - , 19 , - , 127 , 3 , - , 4 , - , - , 6 , - , 3 , - , - , D , 7 , - , 33 , - , - , 5 , D , - , D , - , - 
Argentina," 3,977 ", 8 , 6 , 30 , 16 , 515 , 41 , 70 , - , 12 ," 1,459 ", 83 , - , 6 , 9 , 65 , 21 , 11 , 13 , 20 , 13 , 4 , 45 , 72 , 35 , 24 , 4 , 31 , D , D , 35 , - , 224 , 13 , 331 , 60 , D , 23 , 13 , 26 , 61 , 28 , 5 , 28 , - , 27 , 245 , D , - , 57 , D , 100 , 44 , D , 14 , - , 21 
Armenia," 2,085 ", D , D , 4 , D ," 1,625 ", 8 , 4 , D , - , 23 , 5 , - , - , 3 , 10 , 3 , D , - , D , D , D , 10 , 55 , 8 , D , - , D , - , D , 25 , - , 33 , - , 107 , 5 , - , 18 , D , D , 16 , - , 3 , 7 , D , D , 13 , - , - , 8 , - , 12 , 20 , - , - , - , 39 
Aruba, 33 , - , - , - , - , 3 , - , - , - , - , 9 , 8 , - , - , - , - , - , D , - , - , - , - , D , D , - , D , - , - , - , - , - , - , - , - , 5 , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - 
Australia," 1,545 ", 4 , 7 , 25 , D , 351 , 58 , 23 , 3 , 10 , 111 , 29 , - , 18 , 11 , 48 , 12 , 4 , 14 , 8 , 4 , 3 , 13 , 53 , 26 , 15 , 3 , 15 , 4 , 4 , 21 , 7 , 43 , 10 , 161 , 39 , D , 22 , 8 , 38 , 37 , - , 6 , 12 , D , 15 , 88 , D , - , 18 , 4 , 33 , 65 , D , 13 , 3 , 20 
Austria, 238 , D , - , 7 , D , 52 , 4 , 3 , - , - , 28 , 4 , - , D , - , 6 , D , D , - , D , D , - , 5 , 9 , 7 , - , - , 3 , D , D , D , D , 9 , D , 29 , 3 , - , 3 , - , D , 5 , - , - , D , - , D , 10 , - , - , D , D , 11 , 8 , - , 4 , D , 2 
Azerbaijan, 512 , - , D , 4 , D , 130 , 4 , 5 , D , - , 27 , 5 , - , - , D , 17 , D , - , 3 , 7 , D , 3 , 5 , 26 , 8 , 8 , D , 4 , D , D , 4 , - , 15 , 3 , 92 , 17 , D , 14 , D , 5 , 21 , - , - , D , - , - , 26 , - , - , 3 , - , 18 , 18 , - , D , - , 5 
Bahamas, 590 , 7 , - , D , D , 7 , 3 , 5 , - , D , 364 , 39 , - , D , D , 5 , 5 , - , - , D , D , D , 9 , 8 , 6 , D , D , D , - , 4 , - , - , 7 , D , 24 , 20 , D , 3 , 3 , D , 9 , - , - , 6 , - , 6 , 22 , - , - , D , - , 4 , D , D , - , - , 2 
Bahrain, 86 , D , - , - , D , 12 , - , - , D , - , D , D , - , - , - , D , D , - , D , - , - , - , D , 3 , 9 , D , - , D , - , 3 , D , - , 6 , - , 7 , 3 , - , - , D , - , 7 , - , - , - , - , - , 10 , - , - , - , - , D , D , D , D , - , - 
Bangladesh," 7,797 ", 17 , D , 24 , 9 , 400 , 10 , 128 , 21 , 15 , 362 , 167 , - , 4 , - , 79 , 21 , 11 , 26 , 9 , 15 , - , 129 , 174 , 620 , 33 , D , 21 , - , 5 , 16 , 9 , 491 , 8 ," 3,735 ", 42 , - , 59 , 40 , 17 , 275 , - , 7 , 12 , 7 , 26 , 335 , - , D , D , D , 302 , 27 , 4 , 5 , - , 72 
Barbados, 555 , D , - , 3 , D , 10 , 4 , 7 , D , D , 97 , 12 , - , D , - , 4 , 6 , - , D , 9 , D , - , 10 , 50 , D , D , - , - , - , - , - , D , 30 , - , 218 , 8 , - , 8 , D , - , 24 , - , D , 3 , - , D , 20 , - , - , - , D , 7 , D , D , D , - , 2 
Belarus," 1,393 ", 4 , - , 7 , 3 , 220 , 24 , 31 , 5 , D , 126 , 15 , - , D , 3 , 81 , 7 , D , 3 , D , D , - , 22 , 87 , 14 , 31 , - , 12 , 4 , 5 , 7 , D , 109 , 4 , 221 , 20 , 3 , 26 , 4 , 24 , 100 , D , D , 18 , D , D , 24 , - , D , 3 , 3 , 30 , 49 , D , 14 , D , 10 
Belgium, 520 , D , - , 7 , D , 110 , 15 , 10 , - , D , 59 , 14 , D , D , D , 8 , 3 , 3 , D , 6 , 4 , D , 5 , 24 , 5 , 4 , - , D , D , D , 5 , 3 , 19 , 9 , 47 , 10 , - , 12 , 3 , 11 , 14 , - , 4 , 9 , 3 , 4 , 30 , - , - , D , - , 16 , 11 , D , 6 , D , 6 
Belize, 859 , 8 , D , 5 , 3 , 320 , 5 , 5 , - , D , 75 , 15 , - , D , - , 88 , 6 , D , D , 6 , 8 , D , 3 , 9 , D , 3 , 5 , 6 , D , - , 12 , D , 24 , D , 91 , 14 , - , 5 , 6 , D , 16 , - , - , 5 , - , 7 , 65 , - , - , D , D , 9 , 6 , - , 5 , D , 9 
Benin, 249 , D , - , 3 , - , 5 , 7 , 5 , - , D , D , 10 , - , - , - , 29 , 15 , 7 , D , - , D , - , 17 , 5 , 3 , 8 , - , 4 , - , 12 , D , - , 6 , D , 35 , 8 , D , 13 , D , D , 12 , - , - , 3 , - , - , 16 , - , - , D , - , 4 , D , - , D , - , 2 
Bermuda, 70 , - , - , D , - , 4 , D , D , - , - , 10 , 9 , - , - , D , D , - , - , - , - , - , - , - , 4 , - , - , - , D , - , - , - , D , - , - , 9 , 4 , - , D , - , D , 3 , - , D , 3 , - , 4 , D , - , - , - , - , D , D , - , - , - , 2 
Bhutan," 6,180 ", - , 8 , 44 , - , 29 , 83 , D , D , - , 13 , 185 , - , D , 53 , 55 , D , 116 , 69 , 259 , - , - , 64 , 219 , 113 , 36 , - , 66 , - , 59 , 20 , 120 , D , D , 425 , 162 , 49 ," 1,992 ", - , 57 ," 1,036 ", - , 3 , D , 75 , 68 , 187 , - , - , 45 , 185 , 141 , 66 , D , 25 , - , 44 
Bolivia," 1,575 ", 4 , 3 , 8 , 7 , 139 , 7 , 12 , 3 , 5 , 295 , 20 , - , - , - , 18 , D , D , 4 , 7 , 6 , D , 88 , 30 , 3 , 7 , D , 11 , D , D , 6 , 4 , 63 , 6 , 104 , 14 , D , 6 , 8 , 8 , 16 , D , 38 , 10 , - , 7 , 79 , - , - , 11 , D , 472 , 9 , 4 , 9 , - , 11 
Bosnia and Herzegovina," 1,805 ", 3 , - , 46 , D , 58 , 15 , 84 , - , 3 , 183 , 92 , - , - , 39 , 124 , 37 , 115 , D , 65 , D , 3 , 3 , 18 , 139 , 27 , - , 203 , - , 5 , 15 , 23 , 28 , D , 119 , 18 , 7 , 42 , D , 12 , 56 , - , - , 3 , 5 , 20 , 69 , D , - , 15 , 7 , 28 , 27 , - , 24 , - , 17 
Botswana, 38 , D , - , D , D , 6 , - , D , - , D , 3 , - , - , D , - , 3 , D , - , - , - , - , - , 3 , D , D , - , - , - , - , - , - , - , D , - , 3 , D , - , - , - , D , 4 , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - 
Brazil," 10,538 ", 41 , 11 , 76 , 12 ," 1,061 ", 82 , 441 , 14 , 17 ," 2,707 ", 355 , - , 41 , 17 , 138 , 48 , 30 , 35 , 28 , 48 , 11 , 113 ," 1,576 ", 98 , 43 , 13 , 50 , 10 , 17 , 64 , 82 , 777 , 18 , 699 , 156 , 5 , 104 , 21 , 53 , 188 , 8 , 43 , 107 , D , 56 , 479 , D , - , 118 , 6 , 197 , 107 , 6 , 39 , D , 67 
Brunei, 15 , - , - , - , - , D , - , - , - , D , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - 
Bulgaria," 1,825 ", 4 , 4 , 20 , D , 212 , 40 , 27 , 4 , 13 , 219 , 51 , - , 3 , 3 , 294 , 6 , 7 , 3 , 7 , 4 , 11 , 18 , 150 , 33 , 25 , 3 , 16 , D , - , 51 , 10 , 89 , D , 140 , 31 , D , 24 , 6 , 7 , 56 , D , 3 , 11 , D , 8 , 54 , - , D , 4 , D , 62 , 41 , - , 24 , 3 , 14 
Burkina Faso, 347 , D , - , 3 , D , 7 , 8 , D , D , 4 , 5 , 15 , - , D , D , 7 , 4 , - , D , D , D , - , 16 , 5 , 4 , 3 , - , 6 , - , 11 , - , D , 34 , - , 86 , 5 , D , 20 , D , D , 18 , - , - , - , - , D , 37 , - , - , 3 , - , 7 , 8 , - , 10 , - , 3 
Burma," 7,858 ", 4 , D , 98 , 16 , 452 , 81 , 20 , 4 , D , 288 , 226 , - , 7 , 53 , 213 ," 1,308 ", 287 , 150 , 244 , 17 , D , 151 , 68 , 250 , 528 , 5 , 134 , - , 359 , 8 , 6 , 26 , 10 , 599 , 395 , D , 191 , 244 , 126 , 134 , - , 4 , 52 , 60 , 96 , 466 , - , - , 62 , 16 , 51 , 97 , 5 , 164 , 3 , 75 
Burundi, 284 , D , - , 18 , - , 7 , 6 , 3 , - , D , 4 , D , - , - , 8 , 14 , D , 25 , D , 17 , - , 11 , 5 , 7 , 3 , 6 , - , 4 , - , D , - , 6 , D , - , 19 , 7 , D , 9 , - , 3 , 4 , - , D , 3 , 3 , 12 , 46 , - , - , 6 , 3 , 6 , 5 , - , - , - , 2 
Cabo Verde," 1,429 ", - , - , D , - , D , - , 30 , - , - , 28 , D , - , - , - , - , - , - , - , D , - , - , D , 998 , - , - , - , - , - , - , - , - , 16 , - , 13 , - , D , - , - , - , 11 , - , 308 , - , - , - , 4 , - , - , 3 , - , - , - , - , - , - , 11 
Cambodia," 2,467 ", 8 , D , 25 , 14 , 726 , 13 , 32 , D , D , 79 , 59 , - , 3 , 5 , 28 , 17 , 13 , 13 , 36 , 16 , 16 , 15 , 313 , 15 , 91 , 11 , 25 , D , 3 , 6 , 12 , 12 , 5 , 37 , 39 , - , 52 , 15 , 26 , 172 , - , 57 , 21 , D , 20 , 143 , - , - , 18 , - , 47 , 164 , - , 20 , D , 16 
Cameroon," 2,319 ", 10 , 4 , 25 , 9 , 103 , 13 , 13 , 23 , 66 , 59 , 85 , - , 5 , - , 71 , 17 , 20 , 8 , 21 , 18 , 4 , 557 , 97 , 31 , 89 , 4 , 17 , - , 16 , 9 , D , 44 , 11 , 80 , 53 , 7 , 120 , 57 , 9 , 64 , D , D , 23 , 3 , 12 , 270 , - , - , D , 3 , 105 , 10 , 9 , 21 , D , 16 
Canada," 9,379 ", 39 , 39 , 268 , 30 ," 1,496 ", 202 , 168 , 15 , 28 ," 1,119 ", 175 , D , 40 , 73 , 206 , 86 , 34 , 50 , 58 , 34 , 68 , 71 , 386 , 458 , 100 , 21 , 78 , 41 , 25 , 107 , 83 , 261 , 27 , 610 , 293 , 13 , 231 , 51 , 180 , 234 , 5 , 15 , 118 , 4 , 108 , 581 , D , D , 78 , 44 , 196 , 505 , 13 , 83 , 12 , 114 
Cayman Islands, 23 , - , - , - , - , - , - , D , - , - , 9 , D , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , D , D , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , 2 
Central African Republic, 73 , - , - , 5 , - , - , 3 , - , - , D , D , 5 , - , - , - , D , - , - , - , D , - , 5 , 10 , 4 , D , - , - , D , - , - , - , D , - , - , 5 , 3 , - , 6 , - , D , D , - , - , - , - , - , 4 , - , - , 6 , - , 4 , D , - , - , - , 1 
Chad, 72 , - , - , 4 , - , D , D , D , - , - , D , 7 , - , - , - , D , 11 , - , D , - , - , - , 4 , - , - , - , - , D , - , 3 , - , - , 6 , - , 10 , D , - , 4 , - , D , 4 , - , - , - , - , - , 6 , - , - , - , - , - , D , - , - , - , - 
Chile," 1,752 ", 4 , 6 , 16 , D , 246 , 18 , 22 , 5 , 5 , 429 , 30 , D , 4 , 4 , 35 , 6 , 10 , 4 , 10 , 3 , - , 23 , 47 , 14 , 17 , D , 12 , - , D , 22 , 3 , 108 , 8 , 199 , 36 , D , 23 , 3 , 29 , 44 , 14 , 5 , 8 , - , 13 , 90 , - , - , 51 , 3 , 58 , 32 , D , 16 , - , 8 
"China, People's Republic"," 39,600 ", 153 , 26 , 309 , 73 ," 11,725 ", 329 , 410 , 89 , 43 ," 1,148 ", 663 , 33 , 224 , 43 ," 1,185 ", 292 , 121 , 163 , 109 , 141 , 32 , 701 ," 1,976 ", 489 , 303 , 60 , 305 , 25 , 75 , 354 , 62 ," 1,238 ", 73 ," 8,944 ", 561 , 11 , 568 , 147 , 510 ," 1,246 ", 25 , 69 , 163 , 15 , 266 ," 1,872 ", D , 18 , 98 , 25 , 598 , 948 , 28 , 230 , D , 277 
Colombia," 17,564 ", 43 , 13 , 63 , 14 , 891 , 87 , 345 , 20 , 31 ," 6,842 ", 501 , D , 8 , 20 , 252 , 57 , 23 , 44 , 40 , 56 , 9 , 152 , 467 , 62 , 54 , 15 , 60 , 4 , 26 , 73 , 41 ," 1,911 ", 25 ," 2,365 ", 321 , D , 90 , 51 , 40 , 258 , 112 , 136 , 204 , 4 , 72 ," 1,025 ", - , D , 57 , D , 272 , 103 , 8 , 39 , - , 152 
Comoros, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Congo, Democratic Republic"," 1,776 ", 8 , - , 35 , D , 55 , 42 , 31 , D , D , 31 , 85 , - , - , 45 , 116 , 30 , 97 , 9 , 113 , 4 , 28 , 71 , 57 , 48 , 14 , - , 36 , - , 15 , 6 , 22 , 6 , - , 89 , 139 , 14 , 90 , 8 , 22 , 35 , - , 4 , 3 , 5 , 25 , 195 , - , - , 14 , 15 , 46 , 34 , - , 10 , - , 19 
"Congo, Republic", 316 , 3 , - , 14 , - , 12 , 10 , 6 , - , - , 4 , 14 , - , D , 5 , 22 , D , 8 , 5 , 4 , D , 3 , 8 , 12 , 6 , 4 , - , 3 , - , 6 , 5 , D , 5 , 3 , 28 , 25 , 6 , 18 , D , 4 , 9 , - , - , - , - , 6 , 25 , - , - , 3 , 3 , 4 , 6 , D , D , - , 8 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Costa Rica," 1,860 ", 8 , D , 13 , 6 , 181 , 13 , 23 , 4 , 4 , 403 , 53 , - , 3 , D , 23 , 17 , D , 3 , 9 , 14 , D , 23 , 30 , 20 , 12 , 5 , 5 , 3 , 3 , 19 , 6 , 382 , 5 , 148 , 85 , D , 17 , 4 , 21 , 38 , 9 , 3 , 30 , D , 19 , 94 , - , - , 7 , D , 26 , 27 , D , 11 , - , 17 
Cote d'Ivoire, 908 , - , D , 9 , - , 38 , 13 , 18 , 10 , 8 , 19 , 49 , - , D , 3 , 22 , 11 , 10 , 5 , 12 , D , - , 69 , 29 , 7 , 11 , D , 8 , D , 7 , D , 4 , 45 , D , 210 , 33 , 5 , 36 , 5 , D , 48 , - , 11 , 4 , D , 13 , 64 , D , - , 5 , - , 30 , 9 , D , 6 , D , 7 
Croatia, 371 , - , - , 13 , 3 , 33 , 7 , D , - , D , 41 , 7 , - , - , - , 16 , 8 , D , D , 6 , 4 , 6 , D , 11 , 11 , 4 , D , 12 , - , D , 7 , D , 23 , D , 65 , 8 , - , 16 , D , D , 10 , - , D , D , - , D , 12 , - , - , 4 , - , 5 , 6 , - , 10 , - , 4 
Cuba," 32,089 ", 36 , 4 , 109 , 7 , 367 , 40 , 46 , 6 , 8 ," 27,111 ", 163 , D , D , 4 , 107 , 25 , 15 , 26 , 434 , 104 , 6 , 22 , 54 , 73 , 14 , 8 , 72 , D , 111 , 383 , 9 , 520 , 62 , 310 , 142 , 5 , 55 , 16 , 87 , 110 , 119 , 5 , 43 , D , 84 , 782 , - , - , 16 , - , 95 , 32 , 4 , 13 , D , 218 
Curacao, 20 , - , - , - , - , - , - , - , - , - , 7 , D , - , - , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , D , - , - , 4 , - , - , - , - , - , - , - , - , - , - 
Cyprus, 125 , - , - , D , - , 21 , - , 4 , - , D , 8 , 4 , - , - , - , 3 , D , D , - , D , D , - , D , 6 , - , - , - , - , - , - , - , - , 5 , - , 38 , 3 , - , 6 , - , - , 4 , - , - , - , - , - , 5 , - , - , - , - , 4 , D , - , - , - , 3 
Czechia, 644 , 3 , D , 10 , - , 108 , 20 , 12 , - , - , 124 , 25 , - , 7 , 3 , 47 , 3 , 4 , D , 5 , 3 , 5 , 8 , 18 , 11 , 7 , - , 3 , D , D , 7 , 3 , 14 , 4 , 53 , 10 , - , 12 , 5 , 5 , 21 , 3 , - , 10 , - , 5 , 11 , - , - , D , 6 , 18 , 13 , D , 6 , - , 2 
Czechoslovakia (former), 260 , D , D , 6 , D , 46 , 11 , 5 , - , D , 42 , 8 , - , D , D , 16 , D , 3 , D , - , 3 , 3 , D , 10 , D , - , - , D , D , D , 4 , D , 13 , D , 11 , 9 , D , 5 , D , 7 , 5 , D , D , 3 , - , - , 6 , - , - , D , D , 6 , 7 , - , D , D , 1 
