Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total," 628,254 "," 3,490 ", 624 ," 13,672 "," 2,182 "," 112,738 "," 8,263 "," 6,813 "," 1,034 "," 1,464 "," 78,641 "," 18,694 ", 473 ," 2,522 "," 1,390 "," 19,835 "," 5,107 "," 3,539 "," 3,035 "," 2,627 "," 3,650 ", 710 ," 19,878 "," 20,367 "," 9,074 "," 12,016 ", 972 ," 4,050 ", 290 ," 2,705 "," 10,200 ", 986 ," 22,185 "," 2,285 "," 56,273 "," 13,261 ", 683 ," 9,553 "," 2,553 "," 4,398 "," 12,925 "," 1,187 "," 1,476 "," 3,436 ", 834 ," 7,449 "," 66,942 ", 379 , 455 ," 5,226 ", 391 ," 17,360 "," 15,969 ", 318 ," 3,556 ", 208 ," 7,911 "
Afghanistan," 4,025 ", 8 , - , 89 , D , 991 , 106 , 41 , 4 , 8 , 74 , 121 , - , - , 19 , 66 , 32 , 21 , 12 , 26 , 5 , 7 , 120 , 46 , 11 , 32 , D , 31 , D , 33 , 45 , 5 , 37 , 9 , 221 , 48 , 6 , 69 , 4 , 20 , 58 , - , D , 11 , D , 32 , 469 , 5 , D , 42 , - , 844 , 119 , - , 14 , D , 53 
Albania," 2,308 ", D , D , 19 , 4 , 40 , 4 , 124 , 3 , 6 , 220 , 15 , - , D , - , 129 , 4 , D , D , - , D , D , 25 , 358 , 229 , 4 , - , 40 , - , - , 24 , 3 , 117 , D , 531 , 15 , - , 50 , - , 3 , 128 , - , - , 9 , - , 7 , 65 , D , - , 7 , - , 30 , 13 , - , 46 , - , 23 
Algeria," 1,063 ", 3 , - , 8 , D , 175 , 32 , 15 , - , 3 , 37 , 19 , - , D , D , 67 , 22 , D , 45 , D , 11 , - , 19 , 58 , 12 , 12 , D , 4 , - , D , 7 , D , 42 , D , 107 , 12 , - , 70 , D , 4 , 91 , D , - , D , D , 9 , 88 , - , - , D , - , 37 , 9 , - , 7 , - , 21 
American Samoa, 177 , - , 13 , 3 , - , 34 , D , - , - , - , D , D , - , 18 , - , - , - , - , - , D , - , - , D , D , - , - , - , D , - , D , D , - , - , D , 4 , D , - , D , D , 3 , - , - , - , D , - , D , 9 , - , D , 9 , - , 4 , 37 , - , D , - , 18 
Andorra, D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Angola, 94 , - , - , D , - , 3 , 3 , 4 , - , - , 9 , D , - , - , D , D , - , - , - , - , D , D , D , 21 , D , D , - , - , - , - , - , - , D , - , 4 , 6 , - , D , - , - , 4 , - , 3 , - , - , D , 12 , - , - , D , - , D , D , - , - , - , 3 
Anguilla, 19 , - , - , - , - , - , - , - , - , - , 6 , D , - , - , - , - , - , - , - , - , - , - , 3 , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , 6 , - , - , - , - , - , - , - , - 
Antigua and Barbuda, 265 , - , - , D , D , 6 , - , 6 , D , - , 39 , 8 , - , - , - , - , D , - , - , - , 3 , D , 10 , 5 , - , D , - , - , - , - , - , D , 9 , - , 93 , 3 , - , 5 , - , - , 10 , - , D , - , - , 4 , 13 , - , 32 , - , D , 3 , - , - , - , - , 6 
Argentina," 2,884 ", 18 , 6 , 25 , 9 , 347 , 36 , 30 , 3 , 15 ," 1,099 ", 43 , - , 8 , 7 , 52 , 14 , 5 , 3 , 4 , 13 , D , 72 , 46 , 10 , 17 , 3 , 13 , D , 6 , 60 , D , 90 , 4 , 208 , 55 , - , 20 , 3 , 13 , 40 , 12 , 7 , 18 , D , 24 , 186 , D , D , 94 , D , 55 , 33 , 3 , 5 , D , 38 
Armenia," 1,852 ", - , - , 6 , D ," 1,401 ", 6 , 6 , - , 5 , 18 , D , - , - , D , 14 , D , - , 4 , - , 3 , D , 29 , 48 , 3 , 6 , - , 5 , D , D , 55 , - , 20 , D , 85 , 3 , - , 9 , - , 5 , 17 , - , 5 , 7 , - , 6 , 16 , - , - , 16 , - , 14 , 10 , - , D , - , 20 
Aruba, 37 , D , - , - , - , - , - , D , D , - , 13 , - , - , - , - , - , - , - , - , - , - , - , D , 4 , D , - , - , - , - , - , - , - , D , - , 5 , - , - , D , - , - , D , - , D , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - 
Australia," 1,436 ", 9 , - , 31 , 5 , 363 , 54 , 18 , D , 4 , 73 , 33 , - , 13 , 5 , 48 , 17 , 5 , 5 , 7 , 5 , D , 21 , 39 , 12 , 26 , D , 17 , 3 , D , 31 , 7 , 32 , 4 , 127 , 35 , - , 16 , 5 , 16 , 18 , - , D , 9 , 4 , 30 , 113 , D , D , 37 , 3 , 26 , 73 , D , 9 , - , 18 
Austria, 160 , D , - , 5 , - , 44 , - , D , - , - , 20 , 9 , - , D , - , 4 , D , D , - , - , - , - , D , 4 , 3 , D , - , D , D , - , D , - , 7 , - , 15 , D , - , 5 , - , D , 5 , - , - , D , - , - , 4 , - , - , 5 , - , 6 , D , - , D , - , D 
Azerbaijan, 451 , - , - , 10 , D , 127 , 3 , 5 , D , 3 , 9 , 11 , - , - , D , 11 , - , D , D , - , - , - , 21 , 17 , 4 , D , - , 6 , - , - , 4 , - , 9 , 3 , 86 , 9 , - , 7 , - , 5 , 10 , D , D , 3 , D , D , 33 , - , - , 6 , - , 11 , 16 , - , 3 , - , 7 
Bahamas, 481 , 6 , - , 4 , D , 14 , D , 3 , - , - , 257 , 37 , - , - , - , 4 , 6 , - , - , 4 , 3 , - , 8 , 6 , 4 , 7 , D , D , - , D , D , D , 4 , - , 22 , 17 , - , 5 , 3 , - , D , - , - , 7 , - , 8 , 25 , - , - , D , - , D , D , - , D , - , 10 
Bahrain, 79 , D , - , 3 , D , 13 , D , D , - , - , D , 4 , - , - , - , D , D , D , D , - , - , D , 3 , D , D , - , - , D , - , - , - , - , 3 , D , D , D , - , D , D , - , 3 , - , - , - , - , D , 15 , - , - , - , - , 5 , - , - , D , - , D 
Bangladesh," 6,883 ", 30 , D , 70 , 9 , 367 , 12 , 118 , 10 , 8 , 291 , 231 , D , 4 , D , 54 , 18 , 8 , 9 , D , 21 , - , 209 , 148 , 376 , 20 , 6 , 13 , - , D , 20 , D , 371 , 5 ," 3,111 ", 50 , 5 , 47 , 26 , 12 , 189 , - , D , 4 , D , 43 , 506 , - , D , 6 , D , 276 , 42 , 5 , 9 , - , 110 
Barbados, 399 , 5 , - , 4 , - , 5 , 3 , 10 , D , - , 46 , 26 , - , - , - , - , D , - , - , 4 , - , - , 20 , 35 , - , D , D , D , - , - , 3 , D , 19 , - , 142 , 11 , - , - , D , - , 11 , - , 3 , - , - , 5 , 15 , D , - , - , D , 9 , 3 , D , D , - , 7 
Belarus," 1,302 ", - , - , 3 , - , 192 , 28 , 36 , D , - , 109 , 28 , - , D , - , 71 , 10 , D , - , 4 , - , D , 24 , 80 , 8 , 44 , - , 6 , D , 3 , 7 , 3 , 48 , D , 236 , 44 , - , 19 , D , 19 , 74 , - , D , 13 , D , 6 , 47 , D , - , 8 , 3 , 27 , 67 , D , 7 , - , 12 
Belgium, 430 , D , - , 15 , 3 , 77 , 8 , 4 , - , 5 , 46 , 12 , - , D , D , 11 , D , D , D , 3 , 10 , D , 19 , 18 , 4 , 5 , D , 3 , D , D , 6 , - , 9 , D , 40 , 8 , D , 7 , D , 5 , 13 , - , - , 4 , - , 7 , 34 , D , - , 3 , - , 11 , 10 , - , 3 , - , 7 
Belize, 669 , 4 , - , 14 , 3 , 191 , 6 , 3 , - , - , 54 , 22 , - , - , D , 55 , 5 , D , D , 4 , 8 , - , 7 , 4 , D , 3 , - , 7 , - , - , 17 , - , 7 , - , 92 , 13 , D , D , D , - , 8 , - , - , 5 , - , 10 , 85 , D , - , 3 , - , 10 , 6 , - , D , - , 12 
Benin, 297 , - , - , D , - , 4 , 7 , D , - , D , 9 , 7 , - , - , - , 19 , 7 , 12 , D , 3 , D , - , 55 , 5 , D , 12 , - , 4 , - , 19 , - , D , 6 , D , 36 , 5 , D , 3 , D , D , 16 , - , - , D , - , D , 20 , D , - , - , - , 17 , 3 , D , 4 , - , 4 
Bermuda, 52 , D , - , - , - , 4 , - , D , - , - , 7 , 7 , - , - , - , - , - , - , - , - , - , D , 3 , 6 , - , - , - , - , - , - , - , - , D , D , 5 , 5 , - , D , - , - , D , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , D 
Bhutan," 4,536 ", - , - , 30 , - , 16 , 118 , 3 , - , - , - , 239 , - , - , 24 , 53 , D , 146 , 35 , 110 , - , - , 55 , 126 , 87 , 121 , - , 73 , - , 87 , 6 , 26 , D , - , 209 , 167 , 101 ," 1,131 ", - , 18 , 649 , - , - , - , 165 , 83 , 271 , - , D , 52 , 62 , 89 , 80 , - , 6 , - , 93 
Bolivia," 1,208 ", 3 , - , 5 , 3 , 91 , 8 , 5 , - , 7 , 229 , 14 , - , D , - , 22 , D , - , D , - , 6 , - , 118 , 21 , 4 , 3 , D , 6 , - , D , 14 , - , 26 , - , 68 , 21 , - , 4 , - , 4 , 8 , D , 21 , 5 , - , 5 , 81 , - , D , 16 , - , 348 , 13 , D , 3 , - , 13 
Bosnia and Herzegovina," 1,059 ", 5 , D , 72 , - , 36 , 13 , 38 , - , D , 81 , 72 , - , 3 , 11 , 80 , 15 , 57 , D , 33 , 6 , 3 , 3 , 6 , 65 , 7 , D , 103 , - , 3 , 16 , 3 , 8 , - , 59 , 17 , 5 , 24 , 3 , 6 , 19 , - , - , D , 4 , 22 , 63 , D , - , 14 , 4 , 30 , 20 , - , 17 , - , 5 
Botswana, 34 , - , - , - , - , D , D , D , - , - , 3 , 3 , - , - , - , - , - , - , - , - , - , D , 4 , D , - , - , - , - , - , D , - , - , - , - , 5 , - , - , D , D , - , D , - , - , - , - , - , 3 , - , - , - , - , - , D , - , D , - , - 
Brazil," 8,323 ", 60 , 6 , 77 , 18 , 823 , 102 , 213 , 12 , 20 ," 2,159 ", 367 , - , 35 , 11 , 111 , 58 , 22 , 21 , 9 , 42 , 7 , 165 ," 1,090 ", 74 , 56 , 13 , 48 , 4 , 11 , 101 , 47 , 423 , 18 , 421 , 170 , D , 70 , 20 , 37 , 130 , 9 , 25 , 67 , 5 , 68 , 490 , 5 , D , 156 , 6 , 145 , 130 , 6 , 43 , D , 92 
Brunei, 19 , - , - , D , - , D , - , D , - , - , - , D , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , D , - , D , - , - , - , - , D , - , D , - , - , - , - , - , - , 5 , D , - , - , - , - , D , - , - , - , - 
Bulgaria," 1,656 ", 7 , 3 , 35 , D , 188 , 41 , 14 , 6 , 7 , 126 , 68 , - , 4 , 5 , 308 , 7 , D , 6 , 3 , 10 , 4 , 51 , 130 , 10 , 8 , - , 20 , D , D , 113 , 5 , 54 , 3 , 100 , 12 , - , 20 , 5 , 6 , 31 , - , D , 10 , 3 , 10 , 56 , D , - , 6 , - , 61 , 55 , - , 24 , D , 12 
Burkina Faso, 376 , D , D , D , D , 5 , 5 , - , D , 3 , 7 , 15 , - , - , D , 8 , 6 , - , D , D , 4 , - , 38 , D , D , 8 , - , D , D , 12 , - , - , 13 , - , 114 , 5 , D , 19 , D , D , 23 , - , - , D , D , 5 , 31 , 4 , - , D , - , 8 , 12 , - , 5 , - , 4 
Burma," 9,181 ", 7 , D , 159 , 66 , 383 , 177 , 7 , D , - , 221 , 483 , - , 6 , 26 , 284 , 916 , 510 , 132 , 210 , 33 , D , 297 , 39 , 184 , 997 , 10 , 127 , D , 341 , 17 , 4 , 20 , 3 , 434 , 418 , 3 , 122 , 274 , 71 , 120 , - , 5 , 39 , 61 , 223 ," 1,082 ", D , D , 103 , 6 , 45 , 134 , D , 243 , - , 130 
Burundi, 280 , 4 , - , 21 , - , 6 , 9 , 8 , - , - , 3 , 5 , - , - , 6 , 13 , D , 22 , D , 10 , D , 17 , 9 , 3 , 13 , 5 , - , 3 , - , - , D , 3 , - , D , 3 , 3 , D , 7 , D , 4 , 3 , - , D , D , 5 , 6 , 59 , - , - , 3 , D , 4 , 4 , - , - , - , 6 
Cabo Verde, 930 , - , - , - , - , D , - , 20 , - , - , 13 , D , - , - , - , - , - , D , - , - , D , D , D , 752 , - , - , - , - , - , - , - , - , 8 , - , D , - , - , - , - , - , - , - , 113 , - , - , D , - , - , - , D , - , D , D , - , - , - , 10 
Cambodia," 2,405 ", 8 , - , 45 , 17 , 546 , 22 , 24 , - , - , 57 , 69 , - , 4 , D , 29 , 4 , 5 , 12 , 25 , 28 , 8 , 32 , 337 , 22 , 133 , 10 , 9 , D , 3 , 13 , 6 , 10 , D , 28 , 41 , - , 41 , 12 , 22 , 106 , - , 30 , 22 , 3 , 25 , 234 , - , - , 21 , - , 70 , 232 , - , 9 , - , 26 
Cameroon," 2,873 ", 14 , 3 , 45 , 10 , 76 , 19 , 10 , 14 , 56 , 46 , 111 , - , - , D , 49 , 12 , 27 , 10 , 12 , 8 , 3 ," 1,010 ", 101 , 42 , 120 , 4 , 19 , - , 17 , 10 , 5 , 35 , 5 , 82 , 46 , 10 , 87 , 47 , 10 , 43 , - , 4 , 17 , D , 17 , 438 , 4 , - , 11 , - , 77 , 13 , D , 12 , D , 57 
Canada," 8,423 ", 77 , 8 , 377 , 30 ," 1,213 ", 223 , 88 , 6 , 22 , 831 , 221 , - , 53 , 53 , 183 , 71 , 48 , 40 , 36 , 58 , 64 , 122 , 264 , 283 , 123 , 17 , 65 , 43 , 19 , 134 , 40 , 146 , 28 , 541 , 288 , 14 , 155 , 34 , 106 , 165 , - , 10 , 125 , 15 , 182 , 769 , 3 , 5 , 118 , 28 , 179 , 499 , 16 , 57 , 6 , 122 
Cayman Islands, 20 , D , - , - , - , D , - , 3 , - , - , 3 , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , 3 , D , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D 
Central African Republic, 82 , - , - , 6 , - , 4 , 7 , - , D , D , 6 , 9 , - , - , D , D , D , D , - , - , - , - , 10 , D , D , - , - , 3 , - , - , - , - , D , - , 3 , 5 , D , 4 , - , - , D , - , - , - , - , - , 4 , - , - , D , - , D , - , - , - , - , D 
Chad, 56 , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , 9 , - , D , - , - , - , 5 , D , D , D , - , - , - , D , - , - , D , - , 5 , 8 , 3 , - , - , - , 5 , - , - , D , - , D , 3 , - , - , - , - , 4 , - , - , - , - , D 
Chile," 1,329 ", 18 , D , 17 , 3 , 147 , 28 , 19 , 3 , 6 , 337 , 35 , - , 6 , D , 17 , 9 , 12 , D , 6 , 3 , D , 44 , 31 , 6 , 18 , D , 3 , 3 , D , 14 , 4 , 51 , 5 , 120 , 36 , - , 15 , 3 , 10 , 11 , 7 , D , 6 , - , 17 , 84 , D , - , 61 , 3 , 39 , 33 , - , 10 , 3 , 14 
"China, People's Republic"," 26,110 ", 135 , 11 , 306 , 41 ," 8,279 ", 249 , 165 , 35 , 26 , 657 , 536 , 4 , 174 , 31 , 690 , 184 , 75 , 74 , 46 , 105 , 15 , 764 ," 1,292 ", 312 , 283 , 40 , 180 , 3 , 38 , 388 , 33 , 560 , 29 ," 4,578 ", 387 , 11 , 321 , 61 , 249 , 599 , 11 , 41 , 101 , 14 , 218 ," 1,647 ", 19 , 9 , 141 , 6 , 485 ," 1,085 ", 19 , 103 , 10 , 235 
Colombia," 12,768 ", 58 , D , 95 , 19 , 569 , 86 , 236 , 15 , 29 ," 5,160 ", 516 , D , 6 , 10 , 187 , 36 , 11 , 27 , 21 , 58 , 5 , 223 , 351 , 37 , 45 , 12 , 34 , 3 , 14 , 91 , 31 , 945 , 18 ," 1,136 ", 365 , 5 , 65 , 35 , 30 , 177 , 76 , 74 , 192 , 3 , 102 , 911 , 14 , D , 74 , - , 259 , 95 , 5 , 33 , - , 165 
Comoros, D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
"Congo, Democratic Republic"," 2,482 ", 9 , D , 121 , - , 61 , 76 , 36 , D , 3 , 20 , 116 , - , - , 40 , 115 , 48 , 147 , 25 , 99 , 6 , 27 , 94 , 83 , 59 , 39 , - , 47 , - , 6 , 15 , 35 , 9 , 5 , 82 , 172 , 11 , 94 , 5 , 19 , 32 , - , D , 8 , 14 , 67 , 411 , D , D , 58 , 9 , 44 , 58 , - , 23 , - , 28 
"Congo, Republic", 191 , D , - , 5 , - , 3 , 11 , D , - , - , 4 , 3 , - , - , 4 , 19 , D , D , - , D , D , D , 8 , 5 , 7 , 5 , - , - , - , 5 , D , - , D , - , 14 , 4 , D , 8 , - , D , 7 , - , - , D , - , 3 , 41 , - , - , - , D , D , 5 , - , - , D , 8 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Costa Rica," 1,394 ", 5 , D , 22 , 7 , 129 , 16 , 28 , 7 , 5 , 259 , 45 , - , 6 , 3 , 19 , 9 , D , 7 , D , 15 , D , 24 , 34 , 7 , 21 , 3 , 4 , D , 3 , 30 , 3 , 194 , 8 , 61 , 105 , - , 14 , 4 , 10 , 25 , 6 , 4 , 28 , D , 19 , 97 , D , - , 18 , D , 34 , 18 , D , 8 , D , 17 
Cote d'Ivoire," 1,012 ", D , D , 7 , D , 34 , 28 , 12 , 4 , D , 20 , 75 , - , D , D , 10 , 18 , 7 , D , 4 , D , D , 133 , 22 , 12 , 27 , - , 6 , - , 11 , 11 , D , 29 , - , 196 , 30 , 7 , 25 , 5 , 3 , 51 , - , 5 , 7 , 4 , 13 , 90 , D , - , 5 , D , 30 , 20 , - , 13 , D , 19 
Croatia, 271 , D , - , 13 , D , 24 , 6 , D , - , - , 25 , 9 , - , D , - , 24 , 4 , 8 , 4 , D , D , - , 9 , 10 , 6 , - , D , 3 , D , - , 10 , - , 7 , - , 28 , 6 , - , 4 , D , 3 , 3 , - , - , - , - , 7 , 14 , - , - , D , - , 9 , 8 , - , 7 , D , 6 
Cuba," 31,369 ", 53 , 4 , 194 , 7 , 245 , 52 , 24 , 7 , 10 ," 25,728 ", 215 , D , 4 , 4 , 73 , 22 , 15 , 35 , 366 , 134 , 3 , 43 , 33 , 83 , 10 , 5 , 55 , - , 99 , 871 , 3 , 311 , 53 , 226 , 206 , 3 , 31 , 11 , 40 , 83 , 76 , 6 , 49 , 6 , 103 ," 1,374 ", 3 , D , 16 , - , 60 , 33 , D , 16 , D , 261 
Curacao, 28 , - , - , - , - , 3 , - , - , - , - , 4 , D , - , - , - , - , - , - , - , - , 3 , - , D , - , - , - , - , - , - , - , - , - , 3 , - , 4 , D , - , - , - , - , - , D , - , - , - , - , 4 , - , - , - , - , D , - , - , D , - , - 
Cyprus, 81 , - , D , D , - , 18 , - , D , - , D , 7 , D , - , - , - , 3 , D , - , - , - , 3 , - , 4 , 4 , 3 , - , - , - , - , - , - , - , D , - , 9 , D , D , 4 , D , - , D , - , - , D , - , D , 3 , - , - , - , - , D , D , - , D , - , D 
Czechia, 426 , 6 , D , 4 , - , 56 , 12 , 9 , D , D , 64 , 20 , - , 3 , - , 47 , 3 , D , D , D , 6 , D , 8 , 16 , 3 , 4 , - , 5 , D , - , 6 , - , 8 , - , 30 , 18 , - , 5 , - , 3 , 5 , - , D , 5 , - , 6 , 22 , D , - , 4 , - , 12 , 16 , D , 3 , D , 4 
Czechoslovakia (former), 206 , D , D , 7 , - , 26 , 11 , 5 , - , D , 24 , 5 , - , - , D , 12 , D , - , - , - , - , D , 5 , 7 , D , 7 , - , 6 , D , D , 4 , D , 9 , - , 12 , 9 , - , D , - , 4 , 6 , - , - , 5 , - , D , 4 , - , - , 3 , D , 4 , 7 , - , 4 , - , 3 
Denmark, 508 , - , - , 14 , D , 103 , 15 , 8 , - , D , 38 , 26 , - , D , D , 9 , D , 3 , 4 , - , 3 , - , 23 , 19 , 8 , 11 , - , 8 , D , - , 10 , D , 11 , 5 , 26 , 12 , - , 6 , - , 7 , 8 , D , D , D , - , 4 , 44 , - , - , 8 , D , 18 , 28 , D , 8 , - , 7 
