Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 628,254 "," 3,490 ", 624 ," 13,672 "," 2,182 "," 112,738 "," 8,263 "," 6,813 "," 1,034 "," 1,464 "," 78,641 "," 18,694 ", 473 ," 2,522 "," 1,390 "," 19,835 "," 5,107 "," 3,539 "," 3,035 "," 2,627 "," 3,650 ", 710 ," 19,878 "," 20,367 "," 9,074 "," 12,016 ", 972 ," 4,050 ", 290 ," 2,705 "," 10,200 ", 986 ," 22,185 "," 2,285 "," 56,273 "," 13,261 ", 683 ," 9,553 "," 2,553 "," 4,398 "," 12,925 "," 1,187 "," 1,476 "," 3,436 ", 834 ," 7,449 "," 66,942 ", 379 , 455 ," 5,226 ", 391 ," 17,360 "," 15,969 ", 318 ," 3,556 ", 208 ," 7,911 "
Africa," 66,436 ", 336 , 60 ," 1,066 ", 99 ," 4,167 "," 1,273 ", 553 , 224 , 512 ," 1,761 "," 3,022 ", D , D , 142 ," 1,546 ", 759 , 873 , 468 , 525 , 242 , 203 ," 6,101 "," 3,305 ", 714 ," 5,362 ", 65 , 715 , 19 , 527 , 639 , 144 ," 2,318 ", 66 ," 4,816 "," 1,730 ", 284 ," 2,437 ", 278 , 409 ," 1,992 ", 6 , 299 , 291 , 232 ," 1,623 "," 7,084 ", 52 , 5 , 430 , 45 ," 2,887 "," 2,020 ", 41 , 485 , 12 ," 1,145 "
Asia," 246,099 "," 1,712 ", 312 ," 4,570 ", 798 ," 59,697 "," 2,902 "," 1,952 ", 400 , 286 ," 8,274 "," 8,080 ", 450 ," 2,056 ", 438 ," 8,563 "," 2,527 "," 1,656 "," 1,237 "," 1,142 "," 1,665 ", 257 ," 7,322 "," 6,788 "," 5,777 "," 4,553 ", 488 ," 1,918 ", 80 ," 1,343 "," 4,115 ", 405 ," 8,391 ", 479 ," 20,017 "," 5,645 ", 274 ," 4,972 "," 1,115 "," 1,836 "," 5,881 ", 32 , 284 ," 1,225 ", 426 ," 3,147 "," 26,556 ", 162 , 148 ," 1,696 ", 181 ," 8,838 "," 8,524 ", 150 ," 1,631 ", 59 ," 2,667 "
Europe," 57,403 ", 330 , 102 ," 1,106 ", 120 ," 7,965 "," 1,090 "," 1,310 ", 82 , 199 ," 5,808 "," 1,423 ", D , 149 , 161 ," 4,516 ", 412 , 208 , 158 , 186 , 293 , 103 ," 1,243 "," 2,753 "," 1,186 ", 688 , 62 , 500 , 76 , 80 , 864 , 157 ," 2,296 ", 133 ," 6,940 "," 1,313 ", 43 , 906 , 137 , 608 ," 1,609 ", 39 , D , 602 , 56 , 677 ," 3,065 ", 75 , 11 , 389 , 81 ," 1,396 "," 2,302 ", 30 , 480 , 33 , 703 
North America," 204,250 ", 856 , 101 ," 6,473 "," 1,071 "," 36,359 "," 2,470 "," 1,926 ", 270 , 333 ," 46,350 "," 4,495 ", 5 , 125 , 577 ," 4,395 "," 1,186 ", 707 ," 1,061 ", 678 ," 1,200 ", 120 ," 3,865 "," 5,513 "," 1,175 ", 984 , 300 , 707 , 93 , 686 ," 4,057 ", 170 ," 5,675 "," 1,534 "," 17,665 "," 3,404 ", 71 , 870 , 870 ," 1,340 "," 2,735 ", 877 , 602 , 869 , 103 ," 1,596 "," 26,848 ", 54 , 278 ," 1,709 ", 59 ," 2,748 "," 2,402 ", 67 , 808 , 93 ," 2,665 "
Oceania," 3,392 ", 12 , 25 , D , D ," 1,143 ", 96 , 25 , 3 , D , 114 , 46 , 5 , 95 , 11 , 61 , D , 12 , 10 , D , 9 , 6 , 33 , 64 , 16 , 34 , D , D , 8 , D , D , 8 , 39 , D , 176 , 58 , D , 31 , 10 , D , D , - , D , 17 , 5 , D , 200 , 4 , 3 , D , 5 , 60 , 266 , D , 13 , 3 , 61 
South America," 50,441 ", 244 , 24 , 394 , 83 ," 3,379 ", 432 ," 1,044 ", 55 , 127 ," 16,318 "," 1,621 ", D , 71 , 61 , 743 , 201 , 83 , 101 , 83 , 235 , 21 ," 1,311 "," 1,934 ", 197 , 395 , 53 , 177 , 14 , 63 , 450 , 102 ," 3,458 ", 65 ," 6,642 "," 1,105 ", D , 328 , 143 , 154 , 663 , 230 , 150 , 429 , 12 , 361 ," 3,158 ", 32 , 10 , 769 , 20 ," 1,426 ", 452 , D , 134 , 8 , 638 
Unknown, 233 , - , - , D , D , 28 , - , 3 , - , D , 16 , 7 , - , D , - , 11 , D , - , - , D , 6 , - , 3 , 10 , 9 , - , D , D , - , D , D , - , 8 , D , 17 , 6 , - , 9 , - , D , D , 3 , - , 3 , - , D , 31 , - , - , D , - , 5 , 3 , - , 5 , - , 32 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
