Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Albania," 3,131 ", D , 3 , 20 , D , 50 , 4 , 177 , D , 10 , 293 , 5 , - , D , 3 , 226 , 3 , 5 , 4 , D , - , 3 , 17 , 363 , 402 , 6 , - , 28 , D , D , 29 , 14 , 137 , D , 841 , 13 , - , 63 , 5 , D , 189 , - , - , 23 , D , 11 , 49 , - , - , 9 , - , 49 , 15 , D , 40 , - , 5 
Algeria, 928 , - , - , 5 , - , 130 , 18 , 12 , - , 6 , 39 , 17 , - , - , - , 61 , 11 , - , 8 , 6 , 9 , - , 16 , 72 , 21 , 13 , D , 4 , - , D , 4 , D , 72 , D , 138 , 23 , - , 33 , D , D , 84 , - , D , 4 , D , D , 54 , - , - , - , - , 45 , D , - , 8 , - , D 
American Samoa, 187 , - , 18 , D , - , 30 , D , - , - , - , D , 11 , - , 23 , - , - , D , - , 5 , D , D , - , - , - , - , D , - , 7 , - , - , 5 , - , - , - , D , 3 , - , - , 5 , - , - , - , - , 12 , - , D , 7 , D , - , 19 , - , 5 , 24 , - , - , - , D 
Andorra, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Angola, 145 , D , - , D , - , 7 , - , 6 , - , - , 11 , D , - , - , - , D , 3 , - , - , D , D , D , 3 , 42 , D , D , - , - , - , - , - , - , 13 , - , 9 , 6 , - , D , - , D , 4 , - , 6 , - , - , D , 14 , - , - , - , - , 5 , - , - , - , - , - 
Anguilla, 18 , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , D , - , - , D , - , - , - , - , - , - , - , 6 , - , - , D , - , - , - , - , - 
Antigua-Barbuda, 358 , - , D , D , D , 6 , - , 10 , D , D , 52 , 16 , - , - , - , D , - , - , - , D , D , - , 7 , 10 , D , D , - , - , - , - , D , - , 21 , - , 163 , 5 , - , D , D , - , 4 , - , - , D , - , D , 9 , - , 30 , - , - , 4 , - , - , - , - , D 
Argentina," 3,683 ", 4 , 3 , 22 , 7 , 521 , 45 , 57 , D , 13 ," 1,446 ", 65 , - , 8 , D , 74 , 25 , 4 , 7 , 8 , 12 , 4 , 46 , 77 , 22 , 26 , D , 10 , 3 , D , 36 , 4 , 188 , 11 , 298 , 52 , D , 41 , D , 10 , 53 , 36 , 4 , 26 , - , 27 , 192 , - , - , 57 , D , 82 , 21 , - , 16 , D , 6 
Armenia," 2,488 ", - , - , 6 , - ," 2,021 ", 18 , D , - , 7 , 19 , 3 , - , - , - , 17 , D , D , D , 3 , D , - , 14 , 50 , 12 , - , - , 3 , - , D , 40 , - , 25 , D , 106 , 4 , D , 23 , D , 6 , 19 , - , 5 , 3 , D , D , 22 , - , - , 6 , D , 16 , 19 , - , D , - , - 
Aruba, 28 , D , - , - , - , - , - , - , D , - , 5 , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , D , - , - , - , - , 3 , D , 5 , - , - , - , - , - , D , - , - , - , - , - , 4 , - , D , - , - , - , - , - , - , - , - 
Australia," 1,159 ", 4 , D , 25 , 4 , 267 , 34 , 22 , D , 5 , 65 , 35 , 3 , 10 , 11 , 31 , 9 , 4 , D , 9 , D , 7 , 26 , 35 , 17 , 22 , D , 8 , - , D , 21 , 3 , 41 , 3 , 114 , 30 , - , 13 , 3 , 13 , 19 , - , 6 , 6 , D , 23 , 72 , - , D , 24 , D , 42 , 47 , D , 8 , - , 5 
Austria, 223 , D , D , 4 , - , 38 , 5 , 5 , - , 3 , 15 , 7 , - , D , D , 12 , D , D , D , D , D , D , 5 , 8 , 6 , D , - , D , - , - , 3 , D , 11 , D , 17 , 3 , - , 3 , D , 3 , 6 , - , - , 5 , - , D , 15 , - , - , D , - , 11 , 5 , - , 5 , D , - 
Azerbaijan, 585 , - , D , 4 , - , 198 , 5 , 6 , D , D , 23 , 12 , - , - , D , 14 , D , - , D , 8 , D , D , 10 , 22 , 14 , 4 , - , D , - , D , 5 , D , 15 , - , 121 , 10 , - , 8 , - , 4 , 16 , - , D , D , - , D , 27 , - , - , D , - , 14 , 20 , - , 4 , - , - 
Bahamas, 545 , D , - , - , - , 11 , - , D , - , - , 370 , 36 , - , - , - , 7 , D , D , - , 3 , 4 , - , 3 , 9 , D , D , D , D , - , - , 6 , - , 7 , - , 14 , 15 , - , 4 , - , - , 9 , - , D , 7 , - , 4 , 12 , - , - , - , - , 10 , - , - , - , - , D 
Bahrain, 90 , - , - , 4 , - , 16 , D , - , - , - , 5 , 4 , - , - , - , 5 , - , D , - , - , - , - , - , D , 6 , D , - , - , - , - , - , - , 6 , - , 13 , - , - , D , D , D , 5 , - , - , D , - , D , 11 , - , - , - , - , D , D , - , D , - , - 
Bangladesh," 7,475 ", 16 , 5 , 56 , 27 , 507 , 11 , 124 , 23 , 14 , 396 , 203 , D , D , D , 103 , 37 , D , 22 , 13 , 24 , 4 , 147 , 141 , 379 , 40 , 14 , 29 , - , 5 , 28 , 4 , 493 , 3 ," 3,436 ", 31 , D , 44 , 16 , 7 , 233 , - , 3 , 24 , D , 20 , 408 , - , D , 8 , 4 , 305 , 31 , 10 , 11 , - , 5 
Barbados, 550 , - , D , D , - , 7 , D , 12 , D , - , 62 , 21 , - , D , - , 6 , D , - , - , D , D , - , 9 , 50 , D , 3 , - , - , D , - , D , D , 26 , - , 257 , 12 , - , 4 , D , D , 18 , - , 3 , 4 , - , D , 15 , - , D , - , - , 11 , 3 , D , D , - , 4 
Belarus," 1,437 ", - , 3 , 5 , D , 198 , 36 , 28 , 3 , D , 76 , 21 , - , D , 4 , 87 , 9 , D , 4 , 10 , D , 3 , 16 , 88 , 7 , 62 , - , 16 , 3 , D , 13 , 4 , 66 , D , 280 , 34 , - , 27 , 8 , 16 , 83 , - , 10 , 22 , - , 6 , 28 , - , - , 4 , D , 46 , 80 , D , 15 , D , D 
Belgium, 408 , 4 , D , D , D , 69 , 6 , 7 , D , 5 , 32 , 12 , - , - , D , 12 , 4 , 3 , D , D , 3 , 4 , 7 , 11 , 10 , 6 , - , 3 , D , - , 5 , D , 18 , - , 50 , 16 , - , D , 3 , 7 , 14 , - , D , 6 , - , 3 , 32 , D , D , 5 , D , 12 , 11 , - , 7 , - , D 
Belize, 773 , - , D , 16 , D , 261 , D , D , D , - , 70 , 6 , - , D , - , 92 , 3 , - , D , 3 , 7 , D , 6 , 5 , 3 , 3 , - , D , D , D , 14 , - , 20 , - , 109 , 11 , D , 5 , 4 , D , 11 , - , D , 11 , - , D , 62 , D , - , D , - , 18 , 4 , - , 3 , D , D 
Benin, 229 , - , - , 3 , D , 10 , 11 , D , - , - , 5 , 6 , - , - , - , 24 , 10 , D , D , D , 3 , - , 21 , 6 , 4 , 7 , D , 4 , D , 6 , - , - , 7 , - , 27 , 7 , - , 4 , 4 , - , 14 , - , - , 3 , - , D , 8 , - , - , D , D , 15 , 3 , D , - , - , D 
Bermuda, 67 , D , - , - , - , 3 , - , - , - , D , 14 , D , - , - , - , D , - , - , - , - , - , - , 3 , 9 , D , - , - , - , - , - , D , D , 4 , - , 9 , 3 , - , D , D , - , D , - , - , D , - , 3 , D , - , - , - , - , 4 , D , - , - , - , - 
Bhutan," 2,639 ", - , 3 , 119 , - , 63 , 68 , - , - , D , 11 , 177 , - , - , 16 , 65 , - , 35 , 15 , 75 , - , - , 64 , 69 , 52 , 63 , D , 50 , - , 10 , 9 , 107 , 6 , 5 , 237 , 64 , 43 , 346 , - , 49 , 255 , - , 5 , D , 30 , 28 , 146 , - , - , 102 , 69 , 48 , 128 , - , - , - , 3 
Bolivia," 1,527 ", D , D , 10 , 3 , 139 , 16 , 15 , D , 11 , 234 , 11 , - , D , D , 25 , 3 , - , D , 3 , 3 , - , 94 , 29 , 3 , 9 , D , 3 , D , - , 12 , D , 50 , 8 , 72 , 15 , - , 6 , 3 , 3 , 19 , 3 , 34 , 22 , - , 3 , 74 , D , - , 16 , - , 549 , 6 , D , 5 , - , D 
Bosnia-Herzegovina," 2,509 ", D , - , 90 , D , 75 , 35 , 69 , - , D , 213 , 179 , - , 3 , 43 , 163 , 44 , 133 , 6 , 93 , 9 , D , 13 , 31 , 106 , 44 , - , 306 , - , 16 , 31 , 25 , 26 , D , 161 , 30 , 19 , 77 , 4 , 18 , 66 , - , D , 5 , 16 , 46 , 100 , - , - , 59 , 9 , 60 , 42 , - , 28 , - , 5 
Botswana, 24 , - , - , - , - , - , D , D , - , - , 6 , - , - , D , - , D , D , - , - , D , D , - , D , D , - , - , - , - , - , - , - , - , D , - , D , D , - , - , - , - , - , - , - , - , - , D , 3 , - , - , - , - , - , - , - , D , - , - 
Brazil," 8,625 ", 27 , 6 , 54 , 16 , 862 , 48 , 287 , 6 , 24 ," 2,201 ", 292 , - , 31 , 8 , 114 , 34 , 18 , 21 , 19 , 39 , 8 , 131 ," 1,506 ", 68 , 49 , 7 , 26 , 5 , 13 , 53 , 64 , 664 , 13 , 579 , 131 , D , 64 , 16 , 24 , 125 , D , 36 , 75 , D , 43 , 380 , D , - , 115 , 4 , 164 , 93 , D , 32 , 4 , 17 
British Virgin Islands, 49 , - , - , - , - , D , - , - , - , - , 15 , D , - , - , - , - , - , - , D , - , - , - , D , 5 , - , - , - , - , - , - , - , - , - , - , 8 , - , - , - , - , - , - , - , - , - , - , - , 3 , - , 13 , - , - , - , - , - , - , - , - 
Brunei, 15 , - , - , - , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , D , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - 
Bulgaria," 2,226 ", D , 3 , 37 , 3 , 266 , 26 , 24 , 9 , 11 , 183 , 72 , - , 3 , 4 , 445 , 14 , 9 , 7 , 9 , 7 , 7 , 35 , 126 , 36 , 20 , - , 52 , - , 3 , 91 , D , 93 , 4 , 180 , 28 , 3 , 33 , 5 , 11 , 65 , D , 3 , 20 , 4 , 11 , 68 , - , - , 12 , D , 92 , 67 , D , 17 , - , D 
Burkina Faso, 235 , D , - , D , - , 7 , 3 , D , - , D , 5 , 8 , - , - , - , 6 , D , D , - , D , 4 , - , 16 , 6 , D , 3 , - , D , - , 4 , - , - , 14 , D , 63 , 4 , - , 6 , 9 , - , 12 , - , D , 8 , - , D , 20 , - , - , D , - , 13 , D , D , 3 , D , - 
Burma," 4,225 ", - , - , 66 , 4 , 490 , 44 , 60 , 3 , - , 122 , 80 , - , 6 , 26 , 144 , 362 , 54 , 52 , 51 , 4 , D , 164 , 41 , 50 , 391 , D , 41 , D , 159 , 13 , D , 28 , 10 , 538 , 237 , - , 73 , 61 , 30 , 66 , - , D , 31 , 44 , 53 , 327 , D , - , 69 , 15 , 50 , 69 , 9 , 76 , - , 3 
Burundi, 415 , D , - , 24 , - , 9 , 4 , D , - , - , 7 , 16 , - , - , 20 , 27 , - , 15 , 8 , 11 , D , 7 , 8 , 10 , 3 , 3 , - , 15 , - , 8 , - , D , D , 4 , 23 , 4 , D , 21 , D , 8 , 9 , - , D , 5 , 8 , 11 , 59 , - , - , 15 , 9 , 19 , 11 , - , D , - , - 
Cambodia," 2,866 ", 5 , 3 , 18 , 22 , 855 , 32 , 50 , D , D , 74 , 71 , D , 10 , 3 , 32 , 13 , 16 , 13 , 32 , 6 , 21 , 26 , 373 , 24 , 131 , 10 , 18 , - , D , 10 , 3 , 11 , - , 68 , 48 , - , 48 , 5 , 46 , 175 , - , 45 , 12 , 4 , 25 , 187 , - , - , 33 , - , 65 , 196 , - , 14 , D , 4 
Cameroon," 2,120 ", 6 , D , 23 , 10 , 103 , 19 , 5 , 28 , 34 , 38 , 103 , - , D , D , 69 , 7 , 3 , 13 , 19 , 13 , 10 , 616 , 81 , 35 , 94 , D , 17 , - , 11 , 6 , - , 49 , 12 , 88 , 28 , 5 , 65 , 34 , D , 28 , - , - , 45 , D , 12 , 223 , 3 , D , 3 , - , 126 , 6 , 5 , 9 , - , 5 
Canada," 8,385 ", 37 , 33 , 279 , 28 ," 1,239 ", 144 , 152 , 7 , 23 , 947 , 189 , - , 43 , 39 , 258 , 77 , 39 , 38 , 51 , 35 , 77 , 87 , 328 , 383 , 128 , 8 , 70 , 43 , 29 , 118 , 93 , 235 , 35 , 574 , 289 , 20 , 208 , 25 , 94 , 186 , D , 13 , 131 , 13 , 108 , 619 , D , D , 90 , 37 , 193 , 373 , 7 , 80 , 12 , 16 
Cape Verde, 979 , - , - , - , - , D , - , 23 , - , D , 18 , D , - , D , - , - , - , - , - , - , - , - , - , 726 , - , - , - , - , - , - , - , D , 10 , - , 14 , 3 , - , D , D , - , 3 , - , 165 , 3 , - , - , - , - , - , D , - , D , - , - , - , - , D 
Cayman Islands, 13 , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - 
Central African Republic, 44 , - , - , D , - , D , D , - , - , D , D , D , - , - , - , D , - , - , - , D , - , D , 5 , D , D , - , - , - , - , - , - , - , D , D , 4 , 3 , - , 3 , D , - , - , - , - , - , - , D , D , - , - , D , - , 4 , - , - , - , - , - 
Chad, 74 , - , - , D , - , D , D , D , - , - , - , D , - , - , - , D , 10 , - , D , D , D , D , 6 , D , D , - , - , - , - , D , D , - , 10 , - , 7 , - , - , 5 , - , - , 5 , - , - , D , - , - , 7 , - , - , - , - , D , D , - , - , - , 3 
Chile," 1,435 ", D , D , 14 , D , 186 , 17 , 23 , D , 10 , 380 , 24 , - , 5 , 4 , 29 , 10 , 3 , 3 , 4 , 12 , - , 38 , 45 , 9 , 7 , 3 , 5 , D , 3 , 13 , D , 67 , 5 , 159 , 26 , - , 9 , 4 , 15 , 35 , 6 , 5 , 13 , - , 9 , 75 , - , - , 53 , - , 59 , 24 , - , 12 , D , D 
"China, People's Republic"," 30,284 ", 62 , 18 , 213 , 57 ," 9,065 ", 196 , 262 , 49 , 42 , 681 , 463 , 33 , 211 , 32 , 978 , 190 , 49 , 91 , 72 , 124 , 40 , 518 ," 1,195 ", 306 , 271 , 62 , 204 , 15 , 36 , 341 , 32 , 879 , 46 ," 8,263 ", 352 , 18 , 403 , 122 , 224 , 887 , 21 , 45 , 209 , 18 , 182 ," 1,237 ", 9 , 4 , 80 , 18 , 610 , 530 , 28 , 153 , 8 , 30 
Christmas Island, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Colombia," 16,478 ", 23 , 15 , 86 , 17 , 807 , 80 , 295 , 10 , 27 ," 6,964 ", 529 , D , 13 , 17 , 258 , 48 , 18 , 19 , 23 , 52 , 7 , 207 , 499 , 45 , 54 , 15 , 57 , D , 14 , 90 , 30 ," 1,667 ", 16 ," 1,858 ", 332 , 5 , 74 , 36 , 17 , 220 , 89 , 140 , 194 , 5 , 79 , 892 , 10 , D , 87 , 3 , 266 , 70 , D , 59 , D , 32 
Comoros, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Congo, Democratic Republic"," 1,246 ", 9 , 6 , 38 , - , 43 , 28 , 19 , 4 , D , 13 , 65 , - , - , 31 , 82 , 10 , 32 , - , 34 , 11 , 11 , 65 , 44 , 18 , 22 , D , 12 , - , 9 , D , 16 , 11 , 3 , 56 , 118 , 5 , 34 , 6 , 6 , 26 , - , 4 , 7 , 24 , 21 , 195 , D , - , 15 , 11 , 52 , 14 , - , 4 , D , 4 
"Congo, Republic", 438 , D , D , 33 , - , 18 , 9 , D , D , 3 , 7 , 13 , - , - , 5 , 27 , 4 , 10 , D , 11 , 4 , 3 , 15 , 12 , 6 , 3 , - , 7 , - , 3 , D , - , 13 , 5 , 46 , 30 , 6 , 15 , D , 5 , 13 , - , - , 4 , D , 8 , 41 , - , - , 11 , 9 , 16 , 7 , - , - , D , D 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - 
Costa Rica," 1,461 ", 3 , - , 18 , 5 , 156 , 17 , 27 , 4 , 4 , 302 , 38 , - , D , 5 , 17 , 7 , 4 , 9 , 3 , 10 , D , 23 , 24 , 9 , 17 , 5 , 8 , - , D , 16 , - , 273 , D , 110 , 80 , D , 8 , 6 , 8 , 46 , 7 , 5 , 32 , - , 12 , 73 , - , D , 13 , 3 , 18 , 12 , 3 , 8 , - , 4 
Cote d'Ivoire, 910 , 3 , D , 8 , D , 37 , 12 , 9 , 5 , 5 , 12 , 48 , - , - , D , 34 , 10 , 3 , D , 6 , D , D , 90 , 20 , 14 , 17 , D , 4 , - , 4 , 4 , D , 51 , - , 259 , 17 , D , 19 , 5 , D , 45 , - , 3 , 16 , D , 9 , 48 , 4 , - , 6 , - , 34 , 17 , 3 , 9 , D , 5 
Croatia, 428 , D , D , 16 , - , 38 , 4 , 6 , 3 , 4 , 47 , 7 , - , - , D , 33 , 8 , D , D , 4 , - , D , 3 , 18 , 12 , D , D , 5 , - , D , 3 , 3 , 15 , - , 57 , 6 , - , 36 , D , 4 , 11 , - , - , D , D , 6 , 15 , - , - , D , D , 23 , 3 , - , 15 , - , D 
Cuba," 24,092 ", 11 , 6 , 104 , 4 , 260 , 22 , 30 , D , 5 ," 20,729 ", 131 , - , 5 , D , 69 , 10 , 8 , 22 , 221 , 85 , - , 12 , 39 , 49 , 18 , 12 , 50 , - , 54 , 388 , D , 385 , 69 , 245 , 88 , D , 15 , 10 , 56 , 91 , 92 , 3 , 50 , D , 64 , 400 , 6 , D , 10 , - , 106 , 21 , - , 5 , - , 21 
Curacao, 11 , - , - , - , - , D , - , - , - , - , 4 , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Cyprus, 112 , - , D , 3 , - , 20 , - , 4 , - , D , 8 , D , - , - , D , D , D , - , - , - , - , - , D , 6 , D , D , - , - , - , - , D , D , 8 , D , 23 , D , - , - , - , - , 5 , - , - , - , - , - , 7 , - , - , - , - , 5 , 4 , - , D , - , - 
Czech Republic, 565 , D , 4 , 7 , D , 88 , 14 , 8 , D , 6 , 80 , 12 , D , D , D , 55 , 8 , 5 , 5 , D , 3 , D , 14 , 26 , 13 , 9 , D , 3 , D , D , 4 , - , 16 , 4 , 40 , 20 , - , 3 , - , 3 , 14 , - , D , 4 , - , 5 , 21 , - , - , 4 , 3 , 21 , 19 , - , 5 , D , - 
Czechoslovakia (former), 303 , D , D , 5 , - , 53 , 5 , 4 , - , 5 , 35 , 7 , - , D , D , 20 , 4 , D , D , 3 , - , - , 5 , 10 , 3 , 3 , D , - , - , D , D , D , 12 , D , 30 , 11 , - , 4 , D , 5 , 9 , - , D , 3 , - , 4 , 7 , - , D , D , D , 8 , 22 , - , 4 , - , - 
