Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 653,416 "," 1,266 "," 1,076 "," 11,268 "," 1,671 "," 140,234 "," 5,965 "," 8,336 "," 1,175 "," 1,626 "," 79,637 "," 15,242 ", 709 ," 2,931 "," 1,560 "," 26,224 "," 4,274 "," 2,000 "," 2,743 "," 2,663 "," 2,616 ", 909 ," 13,707 "," 21,608 "," 11,809 "," 9,176 ", 931 ," 4,250 ", 304 ," 2,348 "," 7,891 "," 1,413 "," 32,939 "," 2,426 "," 77,717 "," 11,160 ", 525 ," 9,032 "," 2,472 "," 4,363 "," 14,500 "," 2,439 "," 2,479 "," 4,486 ", 676 ," 4,613 "," 52,879 ", 213 , 625 ," 4,314 ", 552 ," 19,646 "," 12,246 ", 415 ," 3,770 ", 217 ," 1,150 "
Africa," 62,175 ", 130 , 86 , 784 , 89 ," 4,515 ", 934 , 655 , 259 , 581 ," 1,954 "," 2,758 ", D , D , 121 ," 2,111 ", 699 , 465 , 359 , 484 , 214 , 254 ," 4,413 "," 3,550 ", 778 ," 3,496 ", 88 , 644 , D , 540 , 570 , 150 ," 3,221 ", 104 ," 6,382 "," 1,751 ", 168 ," 2,372 ", 405 , 357 ," 2,353 ", 4 , 477 , 618 , 237 , 936 ," 4,968 ", 33 , 3 , 318 , 145 ," 3,636 "," 1,403 ", 56 , 339 , 18 , 139 
Asia," 233,163 ", 599 , 535 ," 3,173 ", 643 ," 67,219 "," 1,882 "," 2,266 ", 453 , 302 ," 8,274 "," 5,561 ", 676 ," 2,267 ", 498 ," 9,910 "," 1,782 ", 692 ," 1,154 "," 1,104 "," 1,108 ", 347 ," 4,752 "," 6,062 "," 7,381 "," 3,485 ", 489 ," 1,808 ", 107 , 766 ," 3,001 ", 594 ," 11,546 ", 490 ," 26,516 "," 3,912 ", 198 ," 3,897 "," 1,101 "," 1,688 "," 6,139 ", 41 , 401 ," 1,438 ", 220 ," 1,914 "," 16,704 ", 70 , 98 ," 1,270 ", 226 ," 8,799 "," 5,264 ", 196 ," 1,658 ", 55 , 432 
Europe," 71,325 ", 147 , 200 , 946 , 130 ," 9,625 ", 952 ," 1,917 ", 109 , 252 ," 6,042 "," 1,597 ", 12 , 207 , 228 ," 6,862 ", 534 , 312 , 228 , 353 , 224 , 149 ," 1,096 "," 3,546 "," 1,959 ", 779 , 63 , 891 , 90 , 136 , 749 , 284 ," 4,298 ", 195 ," 10,087 "," 1,346 ", 83 ," 1,350 ", 148 , 901 ," 2,310 ", 56 , 238 , 666 , 103 , 494 ," 2,718 ", 13 , 21 , 393 , 97 ," 1,943 "," 2,368 ", 68 , 608 , 32 , 170 
North America," 222,547 ", 294 , 168 ," 5,982 ", 726 ," 52,951 "," 1,775 "," 2,121 ", 289 , 342 ," 43,862 "," 3,726 ", 6 , 162 , 631 ," 6,290 "," 1,022 ", 458 , 880 , 588 , 831 , 119 ," 2,376 "," 5,822 "," 1,415 ", 983 , 232 , 697 , 81 , 837 ," 3,166 ", 250 ," 8,090 "," 1,540 "," 24,800 "," 3,075 ", 59 , 972 , 678 ," 1,227 "," 2,834 "," 2,054 "," 1,059 "," 1,186 ", 97 , 960 ," 25,481 ", 60 , 483 ," 1,494 ", 64 ," 3,197 "," 2,674 ", 65 , 931 , 96 , 289 
Oceania," 3,399 ", D , 45 , D , D ," 1,288 ", 55 , 34 , D , 9 , 102 , D , 9 , 165 , 21 , 51 , D , 6 , D , 17 , 7 , 9 , D , 55 , 24 , D , D , D , D , D , D , 4 , D , 8 , 160 , D , D , 23 , 20 , 63 , 31 , - , D , D , 3 , 31 , 188 , 11 , 5 , 174 , 3 , D , 194 , D , 14 , D , 16 
South America," 60,665 ", 88 , 42 , 336 , 76 ," 4,615 ", 367 ," 1,340 ", D , 140 ," 19,393 "," 1,533 ", D , 91 , 61 , 997 , 221 , 67 , 103 , 113 , 225 , 31 ," 1,030 "," 2,569 ", 237 , 394 , 54 , 183 , 14 , D , 351 , 131 ," 5,727 ", 89 ," 9,763 "," 1,020 ", D , 395 , 120 , 127 , 833 , 284 , 293 , 541 , 16 , 274 ," 2,814 ", 26 , 15 , 665 , 17 ," 1,993 ", 340 , D , 217 , D , 99 
Unknown, 142 , D , - , D , D , 21 , - , 3 , - , - , 10 , D , - , D , - , 3 , D , - , D , 4 , 7 , - , D , 4 , 15 , D , D , D , - , - , D , - , D , - , 9 , D , - , 23 , - , - , - , - , D , D , - , 4 , 6 , - , - , - , - , D , 3 , - , 3 , - , 5 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 653,416 "," 1,266 "," 1,076 "," 11,268 "," 1,671 "," 140,234 "," 5,965 "," 8,336 "," 1,175 "," 1,626 "," 79,637 "," 15,242 ", 709 ," 2,931 "," 1,560 "," 26,224 "," 4,274 "," 2,000 "," 2,743 "," 2,663 "," 2,616 ", 909 ," 13,707 "," 21,608 "," 11,809 "," 9,176 ", 931 ," 4,250 ", 304 ," 2,348 "," 7,891 "," 1,413 "," 32,939 "," 2,426 "," 77,717 "," 11,160 ", 525 ," 9,032 "," 2,472 "," 4,363 "," 14,500 "," 2,439 "," 2,479 "," 4,486 ", 676 ," 4,613 "," 52,879 ", 213 , 625 ," 4,314 ", 552 ," 19,646 "," 12,246 ", 415 ," 3,770 ", 217 ," 1,150 "
Afghanistan," 1,853 ", D , - , 73 , D , 591 , 29 , 14 , 4 , - , 24 , 45 , - , - , 21 , 11 , 13 , D , 4 , D , 5 , 4 , 27 , 19 , 8 , 4 , - , 29 , - , 8 , 28 , 3 , 51 , 6 , 189 , 18 , D , 7 , D , 16 , 61 , - , D , 9 , D , 20 , 83 , - , - , 10 , D , 377 , 22 , D , 5 , - , D 
