Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Total," 753,060 "," 2,331 ", 972 ," 11,374 "," 1,809 "," 151,830 "," 8,679 "," 9,317 "," 1,386 "," 1,736 "," 88,764 "," 18,866 ", 711 ," 3,673 "," 1,533 "," 26,003 "," 5,113 "," 2,805 "," 3,050 "," 3,054 "," 2,846 ", 983 ," 19,775 "," 24,577 "," 13,576 "," 8,573 ", 990 ," 4,657 ", 314 ," 2,405 "," 8,923 "," 1,501 "," 40,344 "," 2,524 "," 93,376 "," 12,492 "," 1,046 "," 10,029 "," 3,953 "," 7,173 "," 17,239 "," 2,514 "," 2,736 "," 4,159 ", 647 ," 5,371 "," 63,945 ", 305 , 719 ," 3,775 ", 589 ," 20,437 "," 21,655 ", 495 ," 3,825 ", 233 ," 1,353 ",
Afghanistan," 1,444 ", D , - , 29 , D , 563 , 24 , 13 , 4 , D , 31 , 32 , - , - , 18 , 17 , 13 , - , - , 3 , 5 , 4 , 28 , 12 , 16 , 4 , - , 14 , - , 7 , 20 , - , 38 , 6 , 142 , 8 , - , 11 , D , 6 , 17 , - , D , 3 , - , 8 , 62 , - , - , 16 , - , 217 , 38 , - , 3 , - , 4 ,
Albania," 2,813 ", - , D , 18 , - , 39 , 3 , 177 , D , 4 , 219 , 16 , - , - , 3 , 159 , 3 , 5 , - , 4 , - , D , 28 , 363 , 416 , D , D , 23 , - , D , 14 , 9 , 171 , - , 724 , 10 , - , 64 , - , 7 , 150 , D , 3 , 17 , - , 7 , 52 , - , - , D , D , 35 , 18 , - , 30 , D , 7 ,
Algeria," 1,035 ", D , - , 6 , - , 163 , 13 , 13 , D , 3 , 37 , 23 , - , D , - , 62 , 9 , 5 , 25 , 7 , 11 , D , 21 , 75 , 23 , D , D , 4 , - , - , D , - , 65 , D , 143 , 24 , - , 30 , - , D , 122 , D , D , D , - , D , 63 , - , - , D , D , 42 , 18 , D , 5 , - , - ,
American Samoa, 285 , - , 17 , D , - , 32 , D , D , - , - , D , 17 , - , 39 , - , 3 , - , - , D , D , D , - , D , - , - , - , - , 4 , - , - , D , - , - , D , D , D , - , - , 10 , 5 , D , - , - , 19 , - , - , 8 , 4 , - , 16 , - , 8 , 52 , - , - , - , 35 ,
Angola, 131 , D , - , D , - , 8 , - , 4 , - , D , 17 , 5 , - , - , - , - , - , - , - , - , 3 , - , 5 , 28 , - , - , - , - , - , - , - , - , 10 , - , 9 , 6 , - , 3 , D , D , 8 , - , 3 , - , - , D , 12 , - , - , - , - , D , D , - , D , - , - ,
Anguilla, 16 , D , - , - , - , - , - , - , - , D , 4 , D , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - ,
Antigua and Barbuda, 383 , 4 , D , - , - , 7 , - , 13 , - , D , 53 , 16 , - , D , - , - , D , - , D , D , D , - , 11 , 14 , D , D , - , - , - , - , - , - , 25 , - , 135 , 7 , - , D , D , - , 5 , - , D , 3 , - , D , 8 , D , 53 , D , - , 7 , - , - , D , - , - ,
Argentina," 4,015 ", 8 , 3 , 22 , 7 , 590 , 38 , 63 , 3 , 15 ," 1,502 ", 69 , D , 8 , D , 51 , 15 , 8 , 6 , 4 , 16 , - , 77 , 75 , 32 , 14 , 4 , 12 , 4 , 4 , 47 , 3 , 217 , 6 , 340 , 55 , D , 34 , 13 , 22 , 62 , 23 , 6 , 28 , - , 19 , 238 , - , - , 74 , D , 101 , 46 , 3 , 18 , - , 4 ,
Armenia," 2,516 ", - , - , 6 , D ," 1,984 ", 13 , 7 , - , 3 , 33 , 8 , - , - , - , 16 , 3 , - , - , D , D , - , 15 , 56 , 7 , 4 , D , D , - , - , 38 , D , 34 , 3 , 134 , 3 , D , 9 , - , 9 , 16 , - , D , 6 , D , 4 , 19 , - , - , 17 , D , 18 , 32 , D , - , D , 1 ,
Aruba, 28 , D , - , D , - , D , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , D , - , 4 , - , 12 , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Australia," 1,389 ", D , 6 , 26 , D , 295 , 52 , 24 , D , 4 , 62 , 26 , D , 17 , 3 , 42 , 7 , 5 , 8 , 9 , 10 , 5 , 22 , 38 , 32 , 22 , 3 , 15 , 4 , 3 , 20 , 13 , 44 , 6 , 146 , 25 , 3 , 17 , 9 , 33 , 43 , - , 6 , 10 , D , 18 , 84 , D , - , 16 , D , 29 , 92 , D , 19 , 4 , 2 ,
Austria, 221 , - , D , 3 , - , 55 , 8 , 3 , - , - , 11 , 5 , - , D , D , 5 , D , - , D , D , D , D , D , 7 , D , 3 , D , 3 , D , D , D , - , 8 , D , 21 , 12 , - , 7 , - , 3 , 3 , - , D , D , - , 4 , 8 , D , - , 3 , D , 8 , 10 , - , D , - , 2 ,
Azerbaijan, 574 , - , D , 3 , D , 178 , 6 , 4 , - , D , 11 , 7 , - , - , D , 13 , D , - , 3 , 5 , 3 , D , 10 , 26 , 9 , 5 , - , D , - , - , 7 , - , 13 , - , 114 , 7 , - , 3 , - , 7 , 14 , - , 3 , D , - , 3 , 35 , - , - , 3 , D , 21 , 43 , 3 , - , - , 1 ,
Bahamas, 590 , 4 , D , D , - , 8 , - , 5 , - , - , 389 , 48 , - , - , - , 7 , 3 , D , - , D , D , - , 10 , 6 , 7 , - , D , - , - , - , 5 , - , 5 , D , 31 , 12 , D , - , 4 , - , 6 , - , - , 4 , - , D , 16 , - , - , D , D , 3 , 3 , - , - , - , - ,
Bahrain, 80 , D , - , D , D , 11 , - , D , - , - , 6 , D , - , - , - , 5 , - , - , - , - , - , - , D , 3 , D , D , - , D , - , - , D , - , 3 , - , 8 , 4 , - , D , - , D , 3 , - , D , - , - , D , 9 , - , - , - , - , 6 , D , D , D , - , - ,
Bangladesh," 9,949 ", 40 , 5 , 54 , 19 , 538 , 18 , 133 , 15 , 16 , 422 , 269 , D , 5 , - , 85 , 23 , 8 , 23 , 5 , 21 , D , 213 , 170 , 627 , 34 , D , 22 , D , 3 , 26 , 8 , 657 , 3 ," 5,034 ", 40 , 4 , 62 , 39 , 13 , 300 , - , 5 , 26 , D , 26 , 475 , - , D , 5 , D , 364 , 57 , 4 , 16 , D , 5 ,
Barbados, 651 , D , - , D , - , 12 , D , 15 , 3 , D , 73 , 28 , - , D , - , D , 3 , D , - , D , D , - , 18 , 68 , D , - , D , - , - , - , D , - , 35 , - , 310 , 6 , - , 4 , D , D , 20 , - , - , D , D , 3 , 13 , - , 4 , - , - , 10 , 3 , - , - , - , 1 ,
Belarus," 1,518 ", D , 5 , 11 , D , 205 , 34 , 26 , 7 , D , 95 , 29 , D , 6 , 6 , 91 , 5 , - , D , 6 , - , D , 41 , 84 , 11 , 51 , - , 11 , 6 , D , 17 , D , 68 , D , 297 , 22 , D , 21 , 5 , 28 , 105 , - , 3 , 18 , D , 6 , 25 , - , - , 5 , D , 34 , 106 , - , 10 , D , 4 ,
Belgium, 514 , D , - , 10 , 4 , 84 , 15 , 12 , - , 8 , 48 , 13 , - , D , D , 10 , 6 , D , D , D , 3 , - , 9 , 21 , 19 , 8 , - , D , D , - , 3 , D , 16 , 3 , 71 , 15 , - , 15 , D , 6 , 16 , D , D , 7 , D , 4 , 39 , D , - , 4 , - , 14 , 6 , D , 3 , - , 1 ,
Belize, 870 , D , D , 6 , D , 320 , D , 4 , D , D , 58 , 27 , - , - , - , 99 , D , D , D , D , 3 , - , 3 , 9 , 4 , D , - , D , - , - , 20 , D , 22 , - , 138 , 9 , D , D , 6 , 5 , 7 , - , D , D , - , 9 , 76 , D , - , 3 , - , 11 , 5 , - , 4 , - , - ,
Benin, 317 , D , D , D , 7 , 10 , 8 , D , - , 8 , 4 , 16 , - , - , D , 37 , 8 , D , D , 3 , D , - , 38 , 3 , 3 , 12 , - , 4 , - , 15 , D , D , 4 , - , 36 , 8 , D , 3 , D , 4 , 15 , - , D , 6 , - , D , 14 , - , - , D , - , 21 , 4 , - , D , - , 3 ,
Bermuda, 61 , D , - , D , - , 4 , - , D , - , - , 12 , 7 , - , - , - , D , D , - , - , - , - , D , 4 , 4 , D , - , - , D , - , - , D , - , D , - , 5 , D , - , D , - , - , 3 , - , D , - , - , - , 3 , - , - , - , - , D , D , - , - , - , - ,
Bhutan," 5,563 ", D , 10 , 71 , - , 50 , 239 , 6 , - , - , 8 , 286 , - , - , 55 , 106 , D , 119 , 41 , 179 , - , - , 76 , 136 , 192 , 81 , - , 65 , - , 19 , 9 , 111 , 5 , 11 , 428 , 149 , 95 , 992 , - , 61 , 918 , - , 20 , 5 , 52 , 63 , 320 , - , - , 92 , 129 , 148 , 192 , - , 15 , - , 5 ,
Bolivia," 1,862 ", D , - , 8 , D , 187 , 8 , 9 , D , 6 , 249 , 9 , - , D , D , 19 , 4 , D , D , 4 , 6 , - , 132 , 36 , 7 , 4 , D , 3 , - , D , 11 , - , 89 , 4 , 118 , 14 , - , 11 , 5 , 8 , 11 , 4 , 31 , 14 , - , 7 , 85 , D , - , 26 , D , 688 , 14 , D , 9 , - , 6 ,
Bosnia and Herzegovina," 2,257 ", 5 , D , 85 , - , 74 , 21 , 72 , - , 4 , 146 , 144 , - , D , 52 , 150 , 30 , 144 , 3 , 89 , 4 , 4 , 13 , 24 , 160 , 38 , D , 296 , - , 7 , 20 , 21 , 20 , D , 146 , 31 , 27 , 33 , 4 , 22 , 65 , D , D , D , 7 , 26 , 69 , - , - , 42 , 10 , 44 , 69 , - , 27 , - , D ,
Botswana, 29 , D , - , D , - , 4 , - , D , - , D , 3 , D , - , - , - , D , D , - , - , - , - , - , D , D , D , D , - , - , - , - , D , - , D , - , - , D , - , - , - , - , D , - , - , - , - , - , 3 , - , - , - , - , D , D , - , - , - , - ,
Brazil," 10,268 ", 38 , D , 61 , 9 ," 1,089 ", 100 , 430 , 7 , 18 ," 2,369 ", 365 , - , 56 , 11 , 154 , 51 , 15 , 22 , 16 , 43 , 18 , 188 ," 1,700 ", 102 , 21 , 14 , 31 , 3 , 9 , 71 , 54 , 737 , 13 , 796 , 143 , 4 , 70 , 28 , 71 , 165 , 7 , 40 , 69 , D , 54 , 460 , 5 , D , 122 , 5 , 192 , 158 , 5 , 40 , 3 , 11 ,
Brunei, 10 , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - ,
Bulgaria," 2,086 ", 4 , 5 , 37 , 4 , 280 , 29 , 18 , 6 , 10 , 175 , 73 , - , 3 , 3 , 394 , 7 , D , 12 , 8 , 14 , 8 , 42 , 108 , 35 , 13 , D , 35 , D , 3 , 78 , 4 , 78 , D , 155 , 20 , 5 , 18 , 9 , 16 , 52 , - , 8 , 15 , D , 8 , 92 , D , D , 9 , - , 74 , 86 , D , 17 , D , 2 ,
Burkina Faso, 322 , D , - , D , D , 5 , 3 , D , - , 3 , 3 , 17 , - , - , - , 14 , 5 , D , - , - , D , - , 42 , 3 , 5 , 3 , - , D , - , 12 , - , D , 24 , - , 88 , 3 , - , 5 , D , - , 12 , - , - , 5 , - , - , 14 , D , - , D , D , 19 , 12 , - , 5 , - , 2 ,
Burma," 6,956 ", 8 , - , 113 , 13 , 544 , 117 , 22 , 4 , 4 , 146 , 242 , D , 7 , 52 , 184 , 787 , 284 , 126 , 99 , 18 , 4 , 273 , 39 , 229 , 550 , D , 115 , 5 , 209 , 10 , 4 , 47 , 3 , 574 , 302 , 6 , 122 , 223 , 77 , 100 , - , 3 , 27 , 80 , 118 , 616 , D , - , 80 , 15 , 53 , 144 , 8 , 125 , - , 21 ,
Burundi, 406 , 11 , - , 21 , - , 9 , 7 , 6 , - , D , D , 12 , - , - , 5 , 9 , D , 30 , D , 11 , - , 8 , 9 , 6 , 10 , 4 , - , 13 , - , 3 , - , D , D , - , 28 , 12 , 9 , 15 , - , - , 14 , - , 5 , D , 12 , 24 , 66 , D , - , 13 , 3 , 11 , 9 , - , D , - , - ,
Cabo Verde," 1,207 ", - , - , - , - , D , - , 22 , - , - , 11 , D , - , - , - , - , - , - , D , - , - , D , D , 909 , D , - , - , - , - , - , - , D , 6 , - , 11 , 3 , - , D , - , D , 5 , - , 212 , D , - , 4 , D , - , - , D , - , D , D , - , - , - , 3 ,
Cambodia," 2,756 ", 11 , D , 30 , 15 , 748 , 29 , 23 , D , - , 42 , 77 , - , 3 , - , 28 , 17 , 13 , 10 , 40 , 14 , 28 , 29 , 331 , 23 , 137 , 9 , 16 , - , D , 17 , 10 , 16 , D , 53 , 34 , 3 , 49 , 13 , 53 , 130 , - , 57 , 14 , - , 26 , 196 , - , - , 19 , D , 59 , 309 , - , 15 , - , 1 ,
Cameroon," 3,088 ", 17 , D , 32 , 9 , 118 , 17 , 7 , 36 , 70 , 48 , 153 , - , - , 3 , 64 , 20 , 12 , 10 , 20 , 25 , 5 ," 1,059 ", 101 , 43 , 84 , 4 , 14 , 3 , 15 , 9 , D , 53 , 10 , 104 , 43 , 16 , 88 , 44 , 10 , 69 , - , - , 31 , D , 27 , 404 , D , - , D , - , 125 , 27 , 7 , 15 , - , 9 ,
Canada," 9,346 ", 49 , 34 , 273 , 23 ," 1,449 ", 216 , 133 , 5 , 30 , 967 , 237 , - , 49 , 54 , 223 , 104 , 28 , 41 , 44 , 48 , 73 , 113 , 344 , 408 , 150 , 12 , 90 , 41 , 21 , 110 , 96 , 239 , 24 , 676 , 279 , 38 , 163 , 50 , 164 , 196 , D , 24 , 99 , 10 , 114 , 594 , D , D , 99 , 45 , 205 , 737 , 10 , 77 , 8 , 24 ,
Cayman Islands, 20 , - , - , - , - , D , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Central African Republic, 80 , - , - , 3 , - , D , D , - , - , 6 , - , 5 , - , - , D , D , D , - , - , - , - , - , 13 , D , - , - , - , 8 , D , - , - , - , D , - , 14 , 7 , - , - , D , D , 5 , - , - , - , - , - , 4 , - , - , D , - , D , - , - , - , - , - ,
Chad, 105 , - , - , 3 , - , 6 , D , D , - , - , - , - , - , - , - , - , 15 , - , - , D , D , - , 10 , - , - , - , - , - , D , D , D , - , 14 , - , 22 , 3 , - , D , D , D , 3 , - , - , D , D , - , 10 , - , - , - , - , D , - , - , - , - , - ,
Chile," 1,666 ", 4 , D , 28 , D , 210 , 26 , 27 , 7 , 7 , 402 , 23 , - , D , 5 , 29 , 3 , 4 , 3 , D , 5 , D , 58 , 57 , 17 , 10 , 6 , 4 , D , 6 , 21 , 5 , 108 , 8 , 182 , 42 , - , 8 , 8 , 14 , 27 , 17 , 5 , 4 , - , 13 , 87 , D , - , 40 , D , 58 , 55 , D , 7 , - , 3 ,
"China, People's Republic"," 35,794 ", 137 , 29 , 242 , 61 ," 10,254 ", 303 , 274 , 54 , 17 , 708 , 661 , 26 , 305 , 34 ," 1,033 ", 192 , 81 , 108 , 87 , 119 , 33 , 803 ," 1,528 ", 403 , 259 , 53 , 232 , 11 , 63 , 332 , 48 , 921 , 45 ," 9,639 ", 394 , 18 , 471 , 152 , 414 , 979 , 23 , 57 , 178 , 16 , 204 ," 1,710 ", 13 , 11 , 81 , 26 , 674 ," 1,036 ", 25 , 167 , 8 , 42 ,
Colombia," 18,601 ", 46 , 14 , 70 , 20 ," 1,033 ", 81 , 390 , 18 , 38 ," 6,835 ", 614 , D , 15 , 11 , 286 , 49 , 17 , 45 , 29 , 64 , 10 , 249 , 574 , 56 , 45 , 18 , 54 , 9 , 22 , 92 , 43 ," 2,142 ", 27 ," 2,359 ", 409 , D , 64 , 41 , 47 , 302 , 134 , 154 , 230 , 5 , 73 ," 1,134 ", 5 , D , 87 , 5 , 320 , 121 , 4 , 39 , 4 , 43 ,
Comoros, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
"Congo, Democratic Republic"," 1,707 ", 11 , D , 41 , - , 59 , 68 , 13 , - , 4 , 25 , 66 , - , - , 26 , 71 , 16 , 60 , 3 , 56 , 6 , 38 , 101 , 57 , 31 , 22 , - , 27 , - , 18 , 7 , 16 , 3 , - , 95 , 151 , 37 , 49 , 3 , 32 , 33 , - , 4 , 4 , 17 , 16 , 270 , D , - , 12 , 12 , 53 , 58 , - , 11 , - , 2 ,
"Congo, Republic", 395 , D , - , 19 , - , 19 , 19 , 8 , D , 3 , 5 , 21 , - , - , 5 , 16 , 3 , 17 , 4 , 7 , 3 , 6 , 16 , 10 , 7 , 4 , - , 5 , D , 6 , 3 , - , 8 , D , 24 , 13 , 10 , 12 , 4 , 5 , 11 , - , D , D , - , 12 , 46 , - , - , D , 4 , 12 , 17 , - , D , - , - ,
Cook Islands, 4 , - , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - ,
Costa Rica," 1,862 ", 7 , D , 14 , D , 179 , 25 , 34 , 4 , D , 381 , 57 , - , 3 , D , 27 , 7 , D , 10 , 6 , 16 , D , 48 , 52 , 13 , 12 , 6 , 6 , D , 4 , 19 , 4 , 384 , 10 , 121 , 84 , - , 11 , 10 , 17 , 41 , 4 , - , 34 , D , 13 , 102 , D , - , 6 , - , 31 , 29 , 3 , 13 , - , 1 ,
Cote d'Ivoire," 1,127 ", 4 , D , 11 , - , 50 , 19 , 10 , 6 , 5 , 30 , 70 , - , - , - , 25 , 6 , 3 , 3 , 6 , D , D , 115 , 32 , 15 , 19 , - , 11 , D , 6 , D , D , 40 , D , 321 , 25 , 4 , 33 , 6 , 7 , 45 , - , 7 , 11 , 4 , 11 , 69 , 3 , - , 4 , D , 40 , 29 , - , 6 , - , 6 ,
Croatia, 438 , - , D , 18 , - , 40 , 7 , 4 , - , D , 38 , 11 , - , - , 4 , 29 , 14 , 6 , - , 3 , 3 , - , 10 , 11 , 12 , D , - , 12 , - , D , 16 , 3 , 21 , - , 50 , 11 , - , 32 , - , 3 , 12 , - , D , 4 , D , D , 20 , - , - , 6 , - , 8 , 8 , - , 12 , - , 1 ,
Cuba," 32,101 ", 35 , 3 , 158 , D , 346 , 21 , 25 , 4 , 4 ," 27,082 ", 186 , - , 6 , 3 , 95 , 17 , 12 , 26 , 308 , 94 , 4 , 36 , 50 , 103 , 15 , 14 , 79 , D , 75 , 563 , 8 , 634 , 78 , 356 , 144 , 3 , 29 , 16 , 82 , 110 , 130 , 8 , 43 , 3 , 78 , 803 , D , D , 16 , - , 95 , 50 , D , 19 , D , 23 ,
Curacao, 13 , - , - , - , - , D , - , - , - , - , 8 , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - ,
Cyprus, 105 , - , - , D , D , 11 , D , - , D , D , 4 , 4 , - , D , - , 4 , D , D , - , - , - , D , 4 , 9 , D , - , - , D , - , - , - , - , 9 , - , 23 , 3 , - , 3 , - , - , D , - , - , D , - , D , 3 , - , - , D , - , 7 , D , - , - , - , - ,
Czechia, 692 , 9 , D , 7 , D , 109 , 24 , 11 , D , D , 115 , 23 , - , 3 , 3 , 60 , 3 , - , D , D , D , D , 11 , 25 , 8 , 7 , D , - , - , - , 4 , D , 15 , D , 58 , 19 , D , 7 , 3 , 15 , 22 , - , D , 10 , - , 4 , 30 , - , - , 4 , 4 , 16 , 32 , D , 6 , D , 2 ,
Czechoslovakia (former), 344 , D , D , 5 , D , 43 , 22 , 7 , D , D , 36 , 13 , - , 4 , D , 16 , 3 , D , D , D , D , D , 7 , 17 , 10 , 5 , D , 3 , - , D , 3 , D , 12 , 3 , 29 , 6 , 3 , 5 , 3 , 4 , 6 , - , D , 5 , D , 6 , 10 , - , - , 3 , D , 10 , 16 , - , D , D , 1 ,
