Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 753,060 "," 2,331 ", 972 ," 11,374 "," 1,809 "," 151,830 "," 8,679 "," 9,317 "," 1,386 "," 1,736 "," 88,764 "," 18,866 ", 711 ," 3,673 "," 1,533 "," 26,003 "," 5,113 "," 2,805 "," 3,050 "," 3,054 "," 2,846 ", 983 ," 19,775 "," 24,577 "," 13,576 "," 8,573 ", 990 ," 4,657 ", 314 ," 2,405 "," 8,923 "," 1,501 "," 40,344 "," 2,524 "," 93,376 "," 12,492 "," 1,046 "," 10,029 "," 3,953 "," 7,173 "," 17,239 "," 2,514 "," 2,736 "," 4,159 ", 647 ," 5,371 "," 63,945 ", 305 , 719 ," 3,775 ", 589 ," 20,437 "," 21,655 ", 495 ," 3,825 ", 233 ," 1,353 ",
Africa," 72,338 ", 267 , 57 , 884 , 101 ," 5,149 "," 1,295 ", 649 , 292 , 671 ," 2,020 "," 3,218 ", 5 , 33 , 110 ," 2,004 ", 780 , 667 , 400 , 508 , 221 , 280 ," 6,253 "," 3,818 ", 996 ," 3,320 ", 88 , 816 , 33 , 514 , 552 , 165 ," 3,542 ", 106 ," 7,124 "," 1,926 ", 450 ," 2,479 ", 430 , 539 ," 2,728 ", 6 , 568 , 426 , 234 ," 1,163 "," 6,863 ", 45 , 8 , 240 , 84 ," 3,747 "," 2,813 ", 87 , 390 , 21 , 153 ,
Asia," 271,733 "," 1,148 ", 498 ," 3,314 ", 670 ," 75,783 "," 2,788 "," 2,270 ", 487 , 278 ," 8,158 "," 7,074 ", 670 ," 2,991 ", 505 ," 10,248 "," 2,311 "," 1,164 "," 1,272 "," 1,344 "," 1,208 ", 324 ," 6,533 "," 6,903 "," 8,156 "," 3,314 ", 451 ," 1,967 ", 95 , 877 ," 3,238 ", 592 ," 13,255 ", 460 ," 31,226 "," 4,453 ", 356 ," 4,722 "," 1,803 "," 2,725 "," 7,226 ", 51 , 416 ," 1,397 ", 253 ," 2,174 "," 21,424 ", 143 , 118 ," 1,016 ", 272 ," 9,175 "," 9,976 ", 216 ," 1,648 ", 68 , 529 ,
Europe," 74,344 ", 222 , 165 , 993 , 114 ," 10,432 "," 1,189 "," 1,760 ", 118 , 260 ," 5,935 "," 1,722 ", 11 , 203 , 263 ," 6,075 ", 490 , 283 , 178 , 342 , 227 , 160 ," 1,356 "," 3,378 "," 2,220 ", 716 , 80 , 830 , 79 , 102 , 696 , 268 ," 4,395 ", 168 ," 10,503 "," 1,374 ", 99 ," 1,283 ", 260 ," 1,359 "," 2,426 ", 67 , 271 , 712 , 64 , 495 ," 2,931 ", 35 , 21 , 359 , 121 ," 1,665 "," 4,007 ", 62 , 594 , 43 , 163 ,
North America," 259,845 ", 537 , 161 ," 5,789 ", 830 ," 53,562 "," 2,815 "," 2,725 ", 396 , 391 ," 52,549 "," 4,958 ", 5 , 164 , 580 ," 6,552 "," 1,286 ", 601 ," 1,044 ", 724 , 968 , 163 ," 4,104 "," 7,436 "," 1,807 ", 893 , 289 , 821 , 74 , 829 ," 3,966 ", 321 ," 11,531 "," 1,684 "," 32,132 "," 3,480 ", 127 ," 1,097 "," 1,231 "," 2,186 "," 3,748 "," 2,043 "," 1,176 "," 1,059 ", 79 ," 1,198 "," 28,864 ", 59 , 556 ," 1,363 ", 81 ," 3,548 "," 3,800 ", 92 , 948 , 79 , 344 ,
Oceania," 3,953 ", 6 , 48 , 61 , 7 ," 1,413 ", 99 , 34 , 4 , 7 , 113 , 81 , 17 , 163 , 15 , 64 , 12 , 9 , 14 , 15 , 15 , 6 , 36 , 68 , 46 , 33 , 3 , 27 , 10 , 5 , 50 , 16 , 58 , 9 , 189 , 43 , 4 , 27 , 26 , 94 , 67 , - , 8 , 45 , D , 31 , 159 , 9 , D , 126 , 6 , 65 , 398 , D , 33 , 7 , 47 ,
South America," 70,821 ", 150 , 42 , 333 , 87 ," 5,490 ", 493 ," 1,879 ", 89 , 129 ," 19,988 "," 1,811 ", 3 , 119 , 60 ," 1,058 ", 234 , 81 , 142 , 121 , 207 , 50 ," 1,492 "," 2,974 ", 350 , 297 , 79 , 196 , 23 , 77 , 421 , 139 ," 7,563 ", 97 ," 12,201 "," 1,216 ", 10 , 420 , 203 , 269 ," 1,044 ", 347 , 297 , 520 , D , 310 ," 3,703 ", 14 , D , 671 , 25 ," 2,235 ", 661 , D , 212 , 15 , 110 ,
Unknown, 26 , 1 , 1 , - , - , 1 , - , - , - , - , 1 , 2 , - , - , - , 2 , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , 1 , - , - , - , - , 1 , - , - , 1 , - , 1 , - , - , - , - , - , - , 1 , - , 2 , - , - , 2 , - , - , - , - , 7 ,
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
