Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
"Congo, Democratic Republic"," 3,313 ", D , D , 175 , D , 105 , 86 , 34 , D , 7 , 38 , 97 , - , D , 44 , 146 , 67 , 181 , 27 , 277 , 5 , 64 , 113 , 78 , 97 , 37 , D , 85 , - , 16 , 17 , 60 , 8 , 8 , 168 , 205 , 22 , 125 , 8 , 7 , 67 , D , 13 , 14 , 19 , 39 , 471 , D , D , 27 , 17 , 58 , 94 , D , 31 , D , 42 
"Congo, Republic", 240 , - , - , 12 , - , 16 , 19 , 3 , D , - , 5 , 5 , - , - , - , 10 , - , 3 , 3 , 4 , D , D , 11 , 5 , 13 , D , - , 3 , - , D , - , - , 7 , - , 28 , 9 , 4 , 5 , - , - , 7 , - , - , - , - , D , 36 , - , - , D , 3 , 4 , 9 , - , D , - , 6 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Costa Rica," 1,934 ", 9 , D , 45 , 4 , 219 , 27 , 32 , 5 , D , 424 , 56 , - , D , 4 , 26 , 11 , 7 , 5 , 6 , 11 , - , 25 , 43 , 18 , 13 , D , 8 , - , - , 21 , 4 , 321 , 4 , 128 , 101 , D , 16 , 4 , 12 , 62 , 6 , D , 15 , - , 9 , 124 , - , - , 13 , D , 40 , 15 , - , 13 , D , 18 
Cote d'Ivoire," 1,220 ", - , D , 10 , - , 48 , 10 , 9 , 6 , 4 , 27 , 49 , - , - , - , 14 , 11 , 7 , 6 , 10 , D , D , 142 , 32 , 15 , 18 , D , 19 , - , 6 , 6 , D , 62 , D , 311 , 36 , 11 , 42 , 12 , 3 , 49 , - , 9 , 7 , D , 6 , 106 , 5 , - , 4 , D , 48 , 18 , D , 7 , - , 21 
Croatia, 397 , - , - , 14 , D , 69 , 7 , 4 , D , D , 48 , 8 , - , D , - , 24 , 7 , D , - , 4 , 4 , - , 9 , 7 , 7 , D , D , 7 , - , - , 8 , - , 15 , - , 52 , 5 , - , 18 , D , 5 , 12 , - , - , 3 , D , D , 20 , - , - , D , D , 5 , 8 , - , 5 , - , 3 
Cuba," 47,919 ", 12 , 4 , 420 , 10 , 480 , 77 , 38 , 12 , 14 ," 38,708 ", 255 , - , 5 , D , 57 , 41 , 48 , 37 ," 1,064 ", 103 , 6 , 49 , 71 , 109 , 14 , 15 , 85 , - , 151 , 929 , 7 , 667 , 72 , 370 , 216 , 6 , 58 , 22 , 97 , 177 , 84 , 10 , 36 , 9 , 101 ," 2,589 ", 4 , 4 , 20 , D , 113 , 51 , 4 , 32 , D , 351 
Curacao, 27 , - , - , - , - , D , - , D , - , - , 4 , 5 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , 3 , D , - , - , - , - , 3 , D , - , - , - , D , D , - , D , - , - , D , - , - , - , - , - 
Cyprus, 107 , - , D , 3 , - , 17 , D , 3 , - , - , 11 , D , - , D , - , 8 , - , - , D , D , - , D , D , 3 , D , D , - , - , - , - , D , - , 7 , - , 20 , D , - , - , D , D , 4 , - , - , D , - , D , 4 , - , - , D , - , D , D , - , D , - , D 
Czechia, 505 , 4 , D , 6 , D , 87 , 20 , 5 , - , D , 100 , 12 , - , 6 , 4 , 29 , 4 , - , D , 4 , D , D , 11 , 20 , 4 , D , D , 3 , D , - , 10 , - , 18 , - , 48 , 8 , - , 8 , D , 8 , 7 , - , - , 5 , - , 4 , 19 , D , - , D , - , 12 , 13 , D , D , - , 6 
Czechoslovakia (former), 213 , D , - , 5 , - , 30 , 8 , 4 , D , - , 26 , 8 , - , - , - , 15 , D , - , D , D , D , - , 3 , 10 , 3 , D , D , D , D , - , 5 , 5 , 5 , D , 24 , 3 , - , 3 , - , 4 , 8 , - , - , D , - , - , 5 , - , - , D , D , 3 , 8 , D , 3 , D , 4 
Denmark, 625 , D , 3 , 6 , D , 178 , 13 , 8 , - , D , 61 , 18 , - , - , D , 23 , 7 , 5 , D , D , D , D , 8 , 25 , 10 , 10 , - , D , D , D , 7 , 3 , 21 , D , 39 , 11 , - , 5 , 4 , 8 , 10 , D , D , 3 , - , 4 , 44 , D , - , 7 , D , 19 , 31 , D , 4 , - , 4 
Djibouti, 103 , - , - , D , - , D , 3 , D , - , - , D , D , - , - , - , D , D , D , - , D , - , 11 , 3 , D , D , 34 , - , D , - , D , - , - , - , - , D , D , - , 7 , - , D , D , - , - , - , D , - , D , - , - , - , D , 3 , 7 , - , 5 , - , D 
Dominica, 515 , - , D , D , - , 8 , - , 12 , D , - , 95 , 20 , - , - , - , D , - , D , - , - , - , - , 17 , 16 , - , - , D , 3 , - , - , - , - , 44 , D , 122 , 7 , - , D , D , - , 12 , - , D , D , - , - , 39 , - , 73 , - , - , 6 , 3 , - , - , - , 21 
Dominican Republic," 28,103 ", 12 , 34 , 83 , 15 , 142 , 29 , 745 , 43 , 60 ," 3,169 ", 202 , - , 5 , 3 , 71 , 62 , 13 , 11 , 31 , 68 , 12 , 325 ," 2,161 ", 79 , 27 , 20 , 28 , - , 12 , 31 , 138 ," 4,231 ", 7 ," 11,462 ", 325 , 3 , 148 , 14 , 17 ," 1,933 ", 588 , 739 , 38 , D , 34 , 298 , 3 , 54 , 31 , 3 , 162 , 26 , 3 , 34 , D , 316 
Ecuador," 8,145 ", 3 , 5 , 39 , 10 , 453 , 25 , 421 , 14 , 14 ," 1,258 ", 85 , - , 8 , 4 , 185 , 18 , 13 , 8 , 14 , 16 , D , 112 , 116 , 8 , 109 , 3 , 12 , D , 7 , 29 , 13 ," 1,514 ", 11 ," 2,667 ", 173 , D , 42 , 15 , 12 , 175 , 10 , 12 , 21 , - , 24 , 210 , 5 , - , 41 , D , 62 , 39 , D , 19 , D , 79 
Egypt," 7,207 ", 16 , D , 67 , 8 ," 1,629 ", 26 , 65 , 22 , 4 , 504 , 61 , D , 5 , 3 , 104 , 55 , 23 , 15 , 19 , 21 , 3 , 110 , 249 , 93 , 39 , 8 , 22 , D , 14 , 26 , 20 ," 1,136 ", D , 925 , 115 , 3 , 119 , 13 , 33 , 267 , D , 10 , 27 , D , 326 , 410 , - , - , 4 , D , 360 , 111 , 6 , 33 , - , 69 
El Salvador," 18,340 ", 15 , 6 , 159 , 211 ," 6,904 ", 121 , 83 , 20 , 186 , 668 , 259 , - , 8 , 14 , 82 , 72 , 65 , 58 , 47 , 24 , 7 ," 1,491 ", 584 , 35 , 73 , 8 , 45 , D , 75 , 255 , 17 , 488 , 27 ," 1,339 ", 334 , 3 , 59 , 34 , 66 , 71 , 9 , 34 , 26 , 12 , 61 ," 2,396 ", 7 , D , 87 , - ," 1,327 ", 140 , 13 , 26 , 5 , 181 
Equatorial Guinea, 9 , - , - , D , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - 
Eritrea," 1,407 ", D , - , 26 , D , 197 , 50 , 3 , D , 25 , 12 , 46 , - , - , 5 , 22 , 25 , 50 , 18 , 11 , 3 , - , 85 , 24 , 22 , 33 , D , 12 , - , D , 37 , D , 6 , - , 36 , 39 , 8 , 56 , 4 , 13 , 29 , - , - , - , 30 , 12 , 196 , D , - , 6 , - , 97 , 138 , D , 4 , - , 17 
Estonia, 173 , D , - , 4 , - , 33 , 5 , - , D , - , 27 , D , - , - , - , 5 , 4 , - , D , D , - , - , 3 , 5 , - , - , - , D , - , - , D , - , 9 , - , 22 , D , - , D , D , 6 , 4 , - , D , - , - , 3 , 8 , - , - , D , - , 6 , 11 , D , 3 , - , - 
Eswatini, 19 , - , - , - , - , D , - , D , - , - , D , D , - , - , - , D , D , - , - , - , - , - , D , - , D , D , - , D , - , - , - , - , - , - , D , D , - , D , D , - , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - 
Ethiopia," 7,038 ", 5 , 5 , 83 , D , 625 , 325 , 16 , D , 250 , 65 , 296 , - , D , 10 , 66 , 38 , 62 , 45 , 39 , 13 , 10 , 973 , 139 , 35 , 595 , 5 , 79 , - , 39 , 203 , D , 36 , 4 , 124 , 109 , 11 , 189 , 13 , 92 , 123 , - , 3 , 3 , 77 , 81 , 644 , 6 , D , 13 , D , 833 , 532 , 10 , 29 , - , 77 
Falkland Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Fiji, 718 , - , D , 15 , - , 528 , D , D , - , - , 12 , 4 , - , 7 , D , D , - , - , D , - , - , - , D , - , 3 , - , - , D , - , - , 4 , - , 3 , D , D , 3 , - , 3 , D , 21 , 6 , - , - , - , - , - , 12 , D , - , - , - , 5 , 67 , D , - , - , 5 
Finland, 353 , - , - , 5 , D , 84 , 7 , 7 , - , D , 45 , 10 , - , D , - , 3 , D , - , D , - , D , 3 , 3 , 15 , 6 , 8 , - , D , D , D , 3 , 3 , 5 , D , 34 , 11 , D , 3 , - , 5 , 6 , - , - , D , - , - , 26 , - , - , D , D , 14 , 20 , - , 6 , - , D 
France," 3,610 ", D , - , 50 , 4 , 991 , 63 , 58 , 3 , 35 , 471 , 56 , - , 23 , 13 , 70 , 6 , 6 , 3 , 11 , 17 , 8 , 69 , 158 , 44 , 33 , D , 12 , 3 , 5 , 40 , 11 , 132 , 8 , 553 , 44 , D , 24 , 7 , 36 , 52 , 3 , 10 , 12 , D , 14 , 209 , 4 , - , 21 , 6 , 74 , 91 , D , 20 , D , 19 
French Polynesia, 13 , - , - , D , - , 3 , - , - , - , - , - , - , - , 6 , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Gabon, 131 , D , - , - , D , 4 , - , D , - , 6 , 4 , 8 , - , - , D , D , - , D , D , D , D , - , 12 , D , 3 , D , - , D , - , 3 , D , - , 4 , D , 18 , 4 , - , 8 , D , D , 6 , - , - , - , - , - , 22 , - , - , D , - , 5 , D , - , D , - , D 
Gambia, 826 , D , D , 3 , - , 9 , 7 , 6 , 4 , D , 7 , 65 , - , - , - , D , 4 , 4 , 5 , 20 , D , - , 71 , 8 , 25 , 20 , - , 3 , D , D , - , - , 10 , - , 230 , 29 , - , 42 , D , 6 , 15 , - , 22 , 3 , - , 12 , 53 , - , - , D , - , 11 , 69 , D , 36 , - , 14 
Georgia," 1,099 ", - , - , 3 , - , 139 , 10 , 29 , D , 4 , 38 , 19 , - , - , - , 29 , D , - , - , - , - , D , 23 , 11 , 9 , 8 , - , 5 , - , - , D , D , 104 , - , 492 , 5 , - , 9 , 3 , 5 , 74 , - , - , D , - , - , 12 , D , - , D , D , 18 , 19 , - , D , - , 16 
Germany," 3,248 ", 14 , 3 , 79 , 10 , 661 , 63 , 54 , 7 , 13 , 368 , 100 , - , 25 , 15 , 75 , 27 , 12 , 15 , 31 , 16 , 13 , 65 , 80 , 83 , 31 , 6 , 24 , 7 , 8 , 27 , 12 , 80 , 24 , 254 , 85 , 9 , 44 , 21 , 53 , 87 , D , 14 , 31 , 3 , 32 , 228 , 14 , D , 12 , 8 , 96 , 130 , 9 , 38 , 3 , 26 
Ghana," 6,077 ", 9 , 3 , 50 , 7 , 212 , 92 , 235 , 64 , 12 , 87 , 255 , - , 6 , 8 , 167 , 32 , 25 , 20 , 37 , 6 , D , 513 , 333 , 33 , 83 , 8 , 47 , 4 , 9 , 13 , 9 , 494 , 3 ," 1,293 ", 114 , 43 , 338 , 37 , 9 , 171 , - , 37 , 18 , D , 39 , 393 , 19 , - , 12 , 6 , 503 , 67 , 3 , 19 , D , 75 
Gibraltar, D , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - 
Greece," 1,164 ", - , - , 15 , - , 149 , 7 , 40 , 3 , 5 , 106 , 12 , - , D , - , 59 , 11 , - , 4 , 3 , D , D , 35 , 88 , 23 , 7 , - , 4 , - , D , 9 , 13 , 52 , 3 , 270 , 12 , - , 27 , - , 14 , 55 , - , 5 , 4 , - , 5 , 45 , D , - , D , D , 22 , 19 , D , 12 , - , 14 
Greenland, D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - 
Grenada, 642 , D , - , 3 , - , 8 , D , 5 , D , D , 38 , 7 , - , - , - , D , 5 , - , - , - , D , - , 18 , 7 , - , - , - , - , - , D , - , - , 25 , - , 431 , 6 , - , D , - , - , 18 , - , D , D , - , D , 27 , D , D , - , - , 12 , 5 , - , - , - , 10 
Guatemala," 9,532 ", 20 , 6 , 140 , 52 ," 3,924 ", 54 , 190 , 27 , 18 , 671 , 164 , - , 5 , 14 , 179 , 51 , 41 , 39 , 33 , 29 , D , 330 , 344 , 48 , 63 , 12 , 40 , - , 77 , 139 , 15 , 357 , 15 , 533 , 123 , 9 , 56 , 53 , 102 , 82 , 4 , 219 , 30 , 24 , 52 , 553 , 5 , D , 90 , D , 275 , 80 , 5 , 23 , 3 , 110 
Guinea," 1,016 ", 3 , - , 9 , - , 13 , 8 , 15 , - , 4 , D , 48 , - , D , D , 8 , 13 , 5 , 4 , 3 , - , - , 51 , 24 , 11 , 20 , - , D , - , - , D , 3 , 44 , D , 484 , 9 , 4 , 67 , D , D , 68 , - , 4 , - , - , 8 , 22 , D , - , - , D , 20 , 13 , - , 6 , - , 12 
Guinea-Bissau, 45 , - , - , - , D , - , D , - , - , - , 4 , D , - , - , - , - , - , - , - , D , - , - , D , 16 , - , - , - , - , - , - , - , - , 3 , - , D , D , - , D , - , D , - , - , 3 , - , - , - , - , - , - , D , - , D , - , - , - , D , D 
Guyana," 5,338 ", 9 , - , 8 , D , 45 , 4 , 132 , 16 , 12 , 443 , 99 , - , D , - , 9 , 5 , 5 , 6 , D , D , - , 122 , 38 , D , 52 , D , 6 , - , D , 7 , D , 493 , - ," 3,480 ", 35 , - , 16 , - , - , 83 , - , D , 6 , - , 5 , 52 , D , 12 , D , D , 40 , 9 , D , D , D , 64 
Haiti," 14,882 ", 10 , 4 , 29 , 6 , 111 , 18 , 418 , 104 , 4 ," 7,030 ", 248 , - , 7 , D , 52 , 79 , 24 , 14 , 40 , 26 , 10 , 266 ," 1,651 ", 20 , 17 , D , 36 , D , 6 , 17 , 17 , 944 , 4 ," 2,450 ", 105 , 17 , 46 , 10 , 9 , 392 , 6 , 74 , 12 , 3 , 29 , 101 , 5 , 27 , 20 , D , 89 , 16 , - , 16 , - , 237 
Honduras," 7,015 ", 14 , 3 , 60 , 28 , 940 , 49 , 81 , 8 , 20 ," 1,622 ", 184 , - , D , 9 , 88 , 63 , 24 , 34 , 34 , 180 , 5 , 197 , 178 , 42 , 32 , 12 , 46 , 7 , 19 , 51 , 12 , 381 , 11 , 647 , 278 , 5 , 43 , 34 , 22 , 85 , 10 , 27 , 39 , D , 68 , 833 , 7 , D , 39 , D , 286 , 46 , 4 , 26 , D , 72 
Hong Kong," 2,413 ", 4 , D , 21 , D ," 1,055 ", 24 , 17 , 3 , D , 64 , 17 , D , 34 , D , 49 , 13 , D , 5 , 4 , D , D , 30 , 91 , 13 , 11 , - , 6 , D , D , 28 , 6 , 79 , 6 , 405 , 24 , - , 14 , 6 , 20 , 33 , - , D , 3 , - , 3 , 108 , - , D , 22 , D , 29 , 128 , - , 8 , D , 10 
Hungary," 1,047 ", D , - , 18 , - , 198 , 13 , 27 , 4 , 7 , 224 , 9 , - , 5 , D , 19 , 3 , D , 7 , 5 , D , D , 12 , 25 , 7 , 7 , D , 6 , - , D , 26 , 5 , 62 , D , 112 , 22 , - , 25 , 3 , - , 22 , 4 , 3 , 11 , D , 8 , 52 , D , - , D , - , 19 , 28 , D , 17 , - , 14 
Iceland, 99 , - , - , 5 , - , 20 , D , D , - , - , 9 , - , - , - , - , - , D , D , - , - , - , - , 6 , 5 , - , 4 , - , D , - , - , D , D , D , - , 8 , 3 , - , D , D , 3 , D , - , - , - , D , - , 3 , - , - , D , D , D , 6 , 5 , D , - , - 
India," 57,043 ", 167 , 8 ," 1,080 ", 166 ," 11,319 ", 372 , 975 , 225 , 28 ," 1,956 "," 1,948 ", D , 21 , 42 ," 2,997 ", 621 , 160 , 216 , 244 , 107 , 28 ," 1,221 "," 1,666 "," 1,352 ", 555 , 128 , 429 , 13 , 116 , 126 , 177 ," 6,602 ", 59 ," 3,365 "," 1,537 ", 38 ," 1,201 ", 212 , 337 ," 2,326 ", D , 57 , 241 , 23 , 404 ," 7,028 ", 7 , 9 , 105 , 29 ," 1,921 "," 2,226 ", 41 , 485 , 7 , 313 
Indonesia," 1,638 ", 3 , D , 35 , 5 , 622 , 47 , 12 , 3 , 3 , 50 , 42 , D , 7 , 3 , 18 , 11 , 4 , 7 , 11 , 7 , 3 , 25 , 25 , 16 , 12 , - , 3 , 4 , D , 18 , 30 , 49 , 3 , 105 , 19 , D , 30 , 11 , 20 , 75 , - , D , 5 , D , 10 , 137 , D , D , 3 , - , 34 , 74 , D , 8 , - , 17 
Iran," 10,798 ", 12 , - , 202 , 18 ," 5,992 ", 75 , 47 , 3 , 21 , 268 , 184 , D , 5 , 17 , 161 , 31 , 9 , 18 , 32 , 17 , 7 , 326 , 192 , 97 , 31 , D , 40 , D , 9 , 113 , 10 , 115 , 14 , 289 , 97 , 10 , 98 , 52 , 95 , 93 , - , 5 , 24 , 4 , 48 , 993 , D , - , 31 , 5 , 428 , 339 , D , 21 , 4 , 90 
Iraq," 7,695 ", 5 , - , 701 , 4 ," 1,247 ", 143 , 34 , D , 6 , 170 , 60 , - , D , 45 , 300 , 29 , 27 , 16 , 121 , 22 , 123 , 72 , 209 ," 1,140 ", 91 , - , 81 , D , 105 , 21 , 29 , 57 , 27 , 257 , 67 , 24 , 166 , 25 , 92 , 111 , - , 9 , 10 , 7 , 145 , 987 , D , D , 95 , 12 , 345 , 330 , 3 , 54 , D , 64 
Ireland," 1,726 ", D , 3 , 25 , - , 292 , 18 , 52 , - , 9 , 81 , 24 , - , 3 , 3 , 61 , 14 , 5 , 3 , 10 , D , 12 , 28 , 224 , 14 , 17 , - , 3 , D , 5 , 13 , 17 , 72 , D , 381 , 27 , - , 19 , D , 29 , 66 , - , 13 , 8 , D , 6 , 60 , - , - , 6 , 4 , 21 , 49 , - , 11 , - , 9 
Isle of Man, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Israel," 3,454 ", D , 3 , 49 , 3 , 985 , 44 , 22 , - , 11 , 444 , 65 , - , 11 , D , 82 , 11 , 5 , 12 , 4 , 12 , D , 68 , 127 , 28 , 14 , D , 20 , D , - , 70 , 4 , 198 , 5 , 626 , 30 , D , 40 , D , 19 , 56 , 3 , D , 13 , - , 23 , 165 , D , D , 5 , 5 , 27 , 73 , 3 , 11 , - , 43 
Italy," 3,318 ", 4 , D , 48 , 3 , 652 , 49 , 97 , 5 , 25 , 504 , 44 , D , 18 , 3 , 90 , 26 , D , 6 , 13 , 4 , 6 , 54 , 164 , 62 , 8 , - , 16 , 5 , 3 , 25 , 8 , 192 , 8 , 600 , 47 , - , 44 , 5 , 13 , 105 , 6 , 12 , 13 , 3 , 13 , 126 , 7 , D , 15 , D , 52 , 50 , D , 13 , D , 44 
Jamaica," 20,716 ", 54 , 8 , 87 , 9 , 353 , 82 ," 1,358 ", 84 , 40 ," 5,620 ", 912 , - , 18 , D , 139 , 32 , 8 , 14 , 28 , 53 , 39 , 706 , 623 , 72 , 37 , 44 , 67 , D , 17 , 39 , 28 ," 1,261 ", 7 ," 6,360 ", 287 , 14 , 126 , 22 , 11 , 707 , D , 42 , 104 , 8 , 50 , 417 , 34 , 11 , 8 , 16 , 256 , 62 , 19 , 42 , 7 , 268 
Japan," 1,901 ", D , D , 35 , D , 699 , 22 , 11 , 3 , 9 , 57 , 24 , 10 , 144 , 6 , 37 , 12 , D , 6 , 7 , 3 , D , 28 , 36 , 19 , 7 , D , 7 , D , 3 , 24 , 4 , 57 , D , 204 , 19 , D , 37 , 3 , 25 , 29 , D , - , 8 , - , 7 , 79 , 8 , D , 19 , D , 39 , 104 , D , 15 , - , 12 
Jersey, 7 , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Jordan," 3,036 ", 8 , - , 67 , 14 , 445 , 21 , 35 , 5 , 4 , 227 , 32 , - , D , - , 301 , 48 , 8 , 10 , 42 , 68 , 4 , 53 , 60 , 129 , 21 , 17 , 43 , - , 8 , 7 , 12 , 179 , 9 , 181 , 62 , 3 , 186 , 16 , 13 , 98 , 3 , D , 13 , D , 66 , 318 , - , D , 10 , D , 79 , 30 , D , 42 , - , 30 
Kazakhstan," 1,074 ", D , 5 , 12 , D , 197 , 17 , 8 , D , 3 , 91 , 11 , - , D , D , 27 , 8 , D , D , 5 , D , 4 , 20 , 42 , 13 , 12 , - , 9 , D , D , 9 , 3 , 32 , 3 , 203 , 22 , - , 14 , 5 , 21 , 35 , - , 3 , 7 , D , D , 74 , D , - , - , 3 , 50 , 64 , - , 6 , - , 13 
Kenya," 4,715 ", 33 , D , 135 , 10 , 362 , 71 , 25 , 71 , 9 , 104 , 181 , - , 5 , 4 , 27 , 59 , 59 , 81 , 36 , 10 , 18 , 252 , 286 , 65 , 390 , 6 , 110 , 3 , 32 , 19 , 29 , 173 , 11 , 131 , 146 , 24 , 126 , 42 , 29 , 152 , - , 4 , 12 , 6 , 51 , 798 , 6 , D , 10 , 3 , 107 , 272 , 7 , 37 , 6 , 66 
Kiribati, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D 
"Korea, North", 16 , - , - , D , - , 5 , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , D , - , - , - , - , D 
"Korea, South"," 14,996 ", 94 , 41 , 137 , 31 ," 5,280 ", 148 , 89 , 18 , 13 , 186 , 710 , 27 , 166 , 10 , 327 , 59 , 22 , 36 , 35 , 15 , D , 527 , 210 , 205 , 35 , 6 , 55 , 4 , 11 , 107 , 15 ," 1,349 ", 26 ," 1,433 ", 191 , 9 , 105 , 42 , 121 , 342 , D , 21 , 41 , 3 , 55 , 970 , 42 , - , 51 , 6 , 784 , 641 , 5 , 30 , D , 106 
Kosovo, 622 , - , - , 17 , D , 19 , 4 , 46 , D , D , 34 , 14 , - , - , - , 15 , D , 6 , - , 13 , D , - , 9 , 20 , 44 , 3 , - , D , - , D , D , - , 41 , - , 204 , 4 , - , D , 5 , D , 30 , - , - , D , D , 3 , 40 , - , - , D , - , 6 , 3 , - , 17 , - , 5 
Kuwait, 826 , D , - , 22 , D , 143 , 4 , 6 , 3 , 8 , 50 , 13 , - , - , 3 , 40 , 13 , D , 5 , 8 , 7 , 11 , 15 , 20 , 35 , 9 , - , 4 , - , D , 3 , D , 45 , D , 45 , 21 , - , 39 , 3 , 7 , 19 , D , D , - , D , 11 , 121 , - , D , 5 , - , 34 , 20 , D , 7 , - , 10 
Kyrgyzstan, 565 , - , D , 3 , D , 77 , 9 , 3 , D , D , 42 , 14 , - , D , - , 75 , - , D , - , 4 , 4 , D , 7 , 13 , D , 5 , D , 4 , - , - , 3 , D , 17 , - , 106 , 8 , - , 11 , D , 10 , 43 , - , - , 5 , D , 3 , 29 , - , - , D , - , 14 , 29 , - , D , D , 8 
Laos," 1,874 ", 7 , 18 , 10 , 51 , 394 , 25 , 25 , - , - , 37 , 71 , - , 12 , D , 28 , 5 , 52 , 32 , D , 3 , D , 4 , 26 , 44 , 298 , - , 14 , D , 6 , 10 , D , 5 , D , 11 , 75 , - , 19 , 19 , 31 , 26 , - , 18 , 10 , 3 , 33 , 86 , D , - , 11 , - , 24 , 74 , - , 222 , - , 24 
Latvia, 297 , - , - , 6 , - , 48 , 9 , 5 , 3 , D , 32 , 4 , - , D , - , 18 , - , - , D , 3 , D , - , 8 , 6 , 7 , 6 , - , 3 , - , - , 4 , D , 12 , D , 48 , 3 , - , D , D , 5 , 5 , - , - , D , D , 5 , 10 , D , - , D , - , 10 , 9 , - , 8 , - , 5 
Lebanon," 2,213 ", D , - , 41 , - , 491 , 14 , 21 , 3 , 7 , 157 , 24 , - , D , - , 43 , 9 , 5 , 13 , 11 , 7 , 3 , 28 , 165 , 375 , 24 , D , 10 , 3 , - , 15 , 16 , 57 , D , 144 , 29 , D , 73 , 15 , 13 , 40 , 3 , 12 , 4 , D , 10 , 166 , D , - , 4 , - , 71 , 31 , 3 , 11 , D , 32 
Lesotho, 24 , - , - , - , - , 3 , - , D , D , D , D , D , - , - , - , D , - , - , - , - , - , - , D , - , - , D , - , D , - , - , - , D , - , - , D , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , D , - , - 
Liberia," 2,892 ", 3 , D , 40 , D , 49 , 25 , 24 , 50 , 6 , 32 , 105 , - , 3 , D , 20 , 22 , 105 , D , 37 , 5 , D , 217 , 87 , 36 , 291 , D , 22 , - , 3 , D , 6 , 177 , - , 145 , 115 , 121 , 86 , 10 , 10 , 515 , D , 148 , 10 , 43 , 23 , 139 , 3 , D , D , D , 62 , 18 , D , 4 , - , 54 
Libya, 348 , - , - , 9 , D , 52 , 17 , 9 , - , - , 20 , 6 , - , - , - , 7 , D , D , D , 3 , D , - , - , 8 , 13 , D , - , 11 , - , D , 6 , - , 15 , - , 18 , 7 , D , 15 , D , 5 , 15 , - , D , - , - , 7 , 38 , - , - , D , - , 29 , 11 , - , 6 , - , 8 
