Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total," 813,861 "," 1,614 ", 890 ," 17,512 "," 2,074 "," 171,863 "," 8,819 "," 11,705 "," 1,808 "," 1,822 "," 109,235 "," 16,476 ", 714 ," 3,801 "," 1,537 "," 22,684 "," 6,112 "," 3,304 "," 2,961 "," 5,047 "," 2,338 "," 1,153 "," 19,797 "," 24,085 "," 11,716 "," 9,400 ", 951 ," 4,540 ", 456 ," 2,655 "," 8,061 "," 1,960 "," 39,953 "," 2,556 "," 89,989 "," 13,173 "," 1,324 "," 11,284 "," 3,695 "," 6,422 "," 19,693 "," 1,174 "," 2,979 "," 2,544 ", 960 ," 4,625 "," 77,025 ", 596 , 414 ," 3,961 ", 591 ," 20,732 "," 19,511 ", 486 ," 5,029 ", 227 ," 7,828 "
Afghanistan," 4,198 ", D , - , 97 , - ," 1,218 ", 81 , 30 , D , 7 , 46 , 80 , - , D , 20 , 52 , 7 , 6 , 17 , 21 , 14 , 16 , 108 , 53 , 39 , 17 , D , 22 , - , 26 , 30 , 3 , 63 , 32 , 260 , 44 , 19 , 39 , 3 , 45 , 66 , - , D , 7 , 3 , 24 , 464 , D , - , 20 , D , 867 , 175 , D , 5 , - , 37 
Albania," 3,314 ", - , D , 31 , D , 98 , 7 , 233 , D , 7 , 282 , 8 , - , D , 4 , 160 , 5 , D , D , D , - , 10 , 27 , 445 , 342 , - , D , 18 , - , D , 15 , 13 , 184 , - , 848 , 23 , - , 65 , 3 , 3 , 247 , - , D , 8 , - , 4 , 58 , D , - , D , - , 37 , 18 , - , 57 , D , 33 
Algeria," 1,417 ", D , - , 8 , D , 205 , 30 , 20 , - , 4 , 49 , 14 , - , D , - , 86 , 9 , D , 32 , 15 , 7 , D , 14 , 71 , 11 , 7 , - , 7 , D , 6 , 3 , 10 , 112 , D , 180 , 20 , - , 80 , D , D , 191 , D , D , D , - , 4 , 112 , - , - , D , - , 54 , 12 , D , 16 , - , 10 
American Samoa, 173 , - , 14 , D , - , 32 , 3 , - , - , - , D , 5 , - , 12 , D , - , - , - , - , D , - , - , 3 , - , - , - , - , D , - , - , 4 , - , - , - , D , D , - , - , - , 12 , - , - , - , D , - , - , 8 , 3 , - , 13 , - , D , 34 , - , - , - , 19 
Andorra, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Angola, 137 , - , - , D , - , 4 , D , 3 , D , - , 10 , D , - , D , - , 4 , D , - , - , 4 , D , 6 , 7 , 31 , D , D , - , D , - , - , - , - , 9 , - , 8 , D , - , D , D , D , 3 , - , 5 , - , - , 3 , 17 , - , - , - , - , 3 , - , - , D , - , D 
Anguilla, 26 , D , - , - , - , D , - , - , - , D , 6 , D , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , D , - , 3 , D , - , - , - , - , - , - , - , - , - , - , - , - , 5 , - , - , D , - , - , - , - , D 
Antigua and Barbuda, 336 , D , D , D , - , 8 , - , 7 , 3 , D , 46 , 17 , - , D , - , - , - , - , D , - , D , - , 7 , 10 , D , - , - , - , - , - , D , - , 28 , - , 128 , 6 , - , D , D , D , 8 , - , 3 , D , - , 5 , 13 , - , 16 , - , - , D , D , - , D , - , 11 
Argentina," 3,968 ", 6 , D , 24 , 9 , 627 , 49 , 77 , 4 , 12 ," 1,424 ", 42 , - , 13 , 5 , 57 , 11 , 18 , 5 , 13 , 6 , 3 , 80 , 78 , 19 , 20 , 4 , 20 , 5 , 4 , 47 , 6 , 164 , 8 , 298 , 59 , D , 21 , 12 , 18 , 63 , 32 , 5 , 9 , 3 , 20 , 295 , - , - , 73 , D , 87 , 50 , D , 26 , - , 31 
Armenia," 3,525 ", 3 , D , 9 , D ," 2,899 ", 18 , 15 , - , 3 , 27 , 11 , - , D , D , 12 , D , - , D , - , D , - , 31 , 48 , 14 , 3 , D , 3 , - , - , 37 , D , 41 , - , 140 , 4 , - , 13 , - , 3 , 25 , - , D , 8 , - , 3 , 27 , - , - , 8 , - , 15 , 34 , - , 4 , - , 51 
Aruba, 33 , - , - , - , - , 4 , D , - , - , - , 3 , D , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , 10 , D , - , - , - , - , D , - , - , - , - , - , 6 , - , - , - , - , D , - , - , - , - , - 
Australia," 2,042 ", 5 , 4 , 56 , D , 573 , 77 , 38 , 4 , 12 , 107 , 31 , - , 25 , 10 , 54 , 17 , 9 , 5 , 13 , 11 , 10 , 29 , 48 , 32 , 29 , 6 , 22 , 9 , 4 , 15 , 3 , 55 , 8 , 194 , 46 , - , 24 , 11 , 54 , 37 , - , 5 , 11 , D , 27 , 130 , D , - , 29 , 5 , 34 , 72 , D , 12 , 4 , 19 
Austria, 169 , - , - , 8 , D , 36 , 5 , - , D , 3 , 20 , D , - , D , D , D , D , - , - , D , D , - , 7 , 6 , 4 , D , D , - , D , - , D , D , 6 , - , 18 , 4 , - , 3 , - , D , 3 , - , D , D , - , D , 10 , - , - , - , D , D , 7 , - , - , - , D 
