Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Guinea-Bissau,17,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,3,4,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,1
Guyana,"6,840",4,-,10,1,77,6,130,21,24,711,154,1,6,1,9,6,4,7,2,9,1,201,37,9,68,4,7,-,3,2,2,400,6,"4,516",71,-,17,2,1,101,2,2,19,-,7,43,1,10,1,-,65,11,1,5,-,42
Haiti,"13,290",7,1,19,2,73,10,316,54,14,"6,333",274,5,9,3,64,12,2,6,22,34,4,143,"1,223",21,5,4,23,1,2,11,10,785,1,"2,885",103,4,25,5,7,303,3,48,21,-,29,57,16,10,-,3,76,24,1,3,-,174
Honduras,"4,858",18,4,30,16,642,25,44,7,12,"1,131",75,2,9,4,79,36,13,16,8,308,2,89,130,9,27,29,32,3,13,34,9,259,8,590,190,1,23,19,8,46,10,6,33,3,34,432,3,-,17,1,193,43,2,22,1,58
Hong Kong,"3,329",6,1,34,3,"1,431",17,35,6,5,82,28,1,39,5,85,8,5,10,1,4,2,60,132,21,19,4,12,-,1,48,2,84,6,589,43,-,38,3,14,49,2,4,12,-,6,143,1,-,7,-,49,149,2,9,1,11
Hungary,"1,142",4,1,16,2,236,14,25,-,4,198,13,-,8,2,34,4,5,1,2,2,-,21,24,15,13,1,8,1,1,36,4,57,1,159,23,-,36,2,7,27,-,1,8,1,17,35,-,1,2,-,33,27,4,-,-,6
Iceland,75,2,-,2,-,15,3,1,-,-,6,2,-,-,-,-,-,-,-,-,1,1,3,1,2,-,-,1,-,-,-,-,-,1,7,2,-,1,-,1,3,-,-,1,3,-,1,-,-,-,-,7,4,-,3,1,-
India,"52,889",193,9,583,131,"10,631",279,993,268,41,"1,876","1,544",5,11,53,"3,078",495,196,279,244,214,32,"1,389","1,336","1,537",613,140,399,5,83,168,170,"5,551",67,"4,099","1,850",12,"1,185",150,235,"2,369",1,54,395,12,501,"4,274",4,20,75,31,"2,782","1,523",32,388,3,281
Indonesia,"1,794",2,4,31,2,909,23,14,2,3,50,32,1,12,12,38,8,5,7,4,12,1,33,14,10,10,3,7,1,4,23,13,40,4,91,21,1,15,5,15,45,-,2,8,1,12,88,1,-,4,-,41,87,2,10,-,11
Iran,"12,069",39,4,202,23,"6,312",96,46,10,25,335,238,-,14,12,222,40,13,56,46,18,6,451,155,94,72,8,89,5,16,112,5,155,26,529,143,-,94,46,100,91,1,10,17,1,141,783,-,-,55,-,667,321,16,26,2,81
Iraq,"4,197",6,-,273,2,731,30,44,1,6,79,85,-,2,8,227,18,10,13,52,18,1,18,57,892,47,1,107,1,90,19,15,40,16,126,25,6,53,11,38,82,-,6,11,4,301,238,-,1,25,-,195,90,-,15,-,61
Ireland,"1,296",1,6,14,2,209,11,35,6,4,93,24,-,2,1,69,8,3,2,11,3,4,23,118,13,6,2,6,-,1,7,14,62,4,298,30,2,14,-,4,33,-,4,13,-,7,44,1,1,2,1,26,36,3,4,-,9
Israel,"3,410",8,7,37,4,901,12,20,2,12,385,48,-,2,1,91,20,5,8,11,20,1,69,111,33,19,4,21,1,3,57,5,179,5,774,55,-,73,8,11,85,1,2,18,1,17,113,1,2,2,1,51,45,1,22,1,24
Italy,"2,552",7,-,39,5,434,18,83,10,12,240,29,3,9,4,90,10,2,6,5,1,3,60,113,48,14,3,11,1,1,9,9,209,4,564,47,1,26,4,10,117,6,10,12,-,13,68,3,-,7,3,78,47,7,10,-,27
Jamaica,"15,098",26,7,31,1,284,25,798,70,62,"4,256",742,8,29,3,137,25,6,18,13,14,4,484,346,64,29,24,27,-,5,16,13,823,6,"5,009",232,1,81,8,5,504,-,13,57,2,31,232,18,8,10,4,245,47,11,27,-,157
Japan,"2,192",7,2,38,4,859,28,18,5,11,68,41,15,161,5,51,13,3,7,6,6,2,28,37,24,9,3,9,3,1,46,3,57,8,234,32,-,17,5,18,21,-,-,14,-,7,58,5,1,14,-,63,97,-,5,-,23
Jordan,"2,891",19,1,49,9,502,16,19,3,9,187,38,-,3,1,304,32,9,27,23,79,2,28,37,110,24,10,43,-,5,11,1,167,4,180,102,-,128,10,16,90,10,2,17,1,41,297,-,4,4,-,109,26,5,35,1,41
Kazakhstan,917,4,8,13,3,120,15,8,-,2,32,12,-,-,-,26,10,-,9,3,1,2,14,45,13,14,2,2,1,2,8,4,30,3,191,14,-,11,2,29,43,-,1,9,1,9,32,-,-,1,1,41,112,1,10,-,3
Kenya,"2,546",30,1,40,5,232,9,13,40,6,112,124,2,6,7,50,30,21,72,7,4,-,175,152,29,191,3,54,-,9,13,21,118,7,67,141,3,45,17,13,80,-,4,15,1,20,321,3,-,5,8,83,102,2,6,-,27
Kiribati,5,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Korea, North",28,-,1,-,-,16,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
"Korea, South","17,576",33,79,166,25,"6,423",283,86,44,15,250,663,68,262,14,548,67,36,47,38,42,6,648,166,159,58,18,53,3,6,137,22,"1,100",16,"1,712",329,5,98,39,130,423,-,9,59,2,106,748,31,1,41,3,"1,148",947,4,28,3,129
Kosovo,397,3,-,6,-,14,3,18,-,3,25,14,-,-,2,13,-,4,-,19,-,-,5,18,20,2,1,7,-,2,6,-,13,1,105,5,-,-,3,1,17,-,-,1,-,8,31,-,-,5,1,6,4,2,8,-,1
Kuwait,"1,152",15,1,20,1,178,8,1,5,-,82,22,-,1,1,80,25,15,15,9,22,-,23,12,51,15,5,15,-,-,10,1,45,5,44,38,-,42,6,11,21,4,2,6,-,26,164,-,-,5,-,54,23,1,14,-,8
Kyrgyzstan,338,1,2,3,1,38,6,-,1,1,19,6,-,3,1,7,2,1,1,1,-,-,11,8,5,11,2,5,-,1,4,2,6,-,55,4,-,7,-,21,3,-,1,2,-,4,10,1,-,3,1,12,59,-,-,-,6
Laos,"3,081",20,23,24,52,732,29,45,1,-,71,88,-,33,22,50,15,49,59,-,40,2,7,55,48,406,4,11,1,7,30,7,6,6,31,204,-,46,21,53,29,-,37,22,5,76,121,-,-,23,2,51,118,-,265,1,33
Latvia,404,2,-,3,-,54,3,5,1,-,30,13,-,1,2,30,4,4,-,-,1,1,5,24,9,9,-,1,1,2,2,3,21,2,69,15,1,5,-,2,8,-,4,3,-,5,8,1,-,2,1,13,27,-,7,-,-
Lebanon,"3,787",11,1,56,4,884,12,41,1,10,265,34,-,3,2,59,17,6,17,10,24,6,30,280,634,34,-,20,1,8,24,35,109,5,219,70,-,168,20,26,64,4,22,14,1,19,295,2,-,2,-,139,39,2,8,-,30
Lesotho,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liberia,"2,767",3,-,32,2,96,7,27,22,4,48,143,1,5,5,46,10,26,1,18,3,3,188,93,33,377,3,20,1,5,2,6,194,2,192,146,6,64,6,8,480,-,135,15,9,24,96,3,-,1,1,81,29,-,13,-,32
Libya,249,-,-,7,-,41,8,6,-,-,17,5,-,-,-,5,2,1,4,3,1,1,2,9,4,10,1,5,1,1,-,-,7,-,10,1,-,7,-,6,7,-,1,-,2,4,31,-,-,-,-,12,11,2,8,-,6
Lithuania,786,-,1,3,-,81,15,17,1,-,63,9,-,1,-,322,3,-,1,1,2,-,10,26,10,9,-,2,-,-,3,-,22,-,77,9,-,8,-,2,19,-,1,3,1,8,5,1,-,6,3,14,19,1,5,-,2
Luxembourg,22,-,-,1,-,1,-,1,-,-,5,-,-,-,-,-,1,-,-,-,-,-,1,3,-,-,-,-,-,-,-,1,1,-,2,-,-,1,-,1,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
Macau,158,-,-,-,-,80,2,-,-,-,3,-,-,7,-,2,-,-,-,1,-,-,2,5,1,1,-,-,-,-,1,1,1,-,28,-,-,1,1,-,2,-,-,-,-,1,8,-,-,-,-,1,8,1,-,-,-
Macedonia,741,1,10,13,2,24,4,44,-,2,50,5,-,-,1,79,41,2,-,4,1,1,7,5,60,1,-,2,-,2,7,1,136,-,118,3,-,20,2,1,5,-,1,1,-,2,25,-,-,-,-,10,8,1,36,-,3
Madagascar,49,-,-,1,-,8,1,-,1,1,2,2,-,-,-,-,-,1,-,-,-,-,5,-,-,2,-,4,-,-,-,-,1,-,5,-,-,1,-,-,3,-,-,-,-,-,-,-,-,2,-,7,2,-,-,-,-
Malawi,58,1,-,1,-,16,-,1,-,-,4,-,-,-,-,2,3,-,-,1,1,-,2,-,-,1,-,-,-,-,-,-,1,-,1,1,-,-,4,-,2,-,-,1,1,2,9,-,-,-,-,3,-,-,-,-,-
Malaysia,"1,178",4,1,23,3,294,12,13,2,7,34,38,2,7,2,26,4,2,14,5,8,2,21,27,18,16,2,5,3,2,13,1,53,1,202,25,-,16,7,6,24,-,-,2,-,11,106,1,-,1,1,45,55,1,4,-,6
Maldives,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mali,149,2,-,2,-,4,12,1,1,-,-,9,-,-,-,1,6,-,1,-,2,-,15,3,1,5,-,-,-,-,-,-,2,-,32,3,-,4,1,-,22,-,2,-,-,1,3,-,-,1,-,3,5,-,3,-,2
Malta,72,-,-,-,-,13,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,1,-,-,1,-,2,-,34,2,-,1,-,-,-,-,-,1,-,-,2,-,-,-,-,3,1,-,-,-,-
Marshall Islands,29,-,-,-,2,1,2,-,-,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,1,3,-,-,-,-,-,-,4,-,-,-,-,7,2,-,-,-,-
Martinique,23,-,-,-,1,4,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,175,-,-,4,-,1,3,1,-,2,2,6,-,-,-,3,6,1,-,21,3,-,4,2,1,5,-,5,-,-,-,-,3,-,35,6,-,23,-,-,4,-,2,1,-,11,4,-,-,-,-,10,2,-,-,-,4
Mauritius,89,-,1,3,-,18,2,1,-,1,9,1,-,2,-,1,-,-,1,-,-,-,6,3,3,1,-,1,-,-,-,-,3,-,8,1,-,-,-,-,7,-,1,-,-,-,4,1,-,-,1,7,2,-,-,-,-
Mexico,"111,630",190,68,"5,412",511,"50,984","1,652",168,97,18,"2,443","1,364",22,120,678,"6,139",821,407,914,170,212,11,277,162,573,479,145,411,23,436,"2,237",20,480,"1,952","1,163","1,905",7,289,601,"1,062",414,30,41,308,15,436,"20,715",49,-,741,1,762,"1,948",12,693,70,772
"Micronesia, Federated States",125,-,2,-,-,12,4,-,-,-,2,9,3,15,1,-,-,-,1,6,2,-,-,-,-,-,-,1,-,1,-,-,1,1,4,8,-,-,1,-,1,-,-,-,-,1,9,5,-,-,-,20,14,-,-,-,1
Moldova,"1,239",-,4,3,1,222,12,16,-,-,37,21,-,1,2,29,10,4,4,1,3,-,21,75,10,52,1,8,4,2,3,3,27,2,144,54,2,14,2,45,37,-,-,3,2,16,15,1,-,4,-,29,280,-,7,-,6
Monaco,6,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
Mongolia,137,-,-,1,-,32,10,-,1,-,1,-,-,2,-,10,7,-,1,-,1,-,6,2,-,-,-,1,-,-,6,-,2,-,4,-,-,1,-,1,3,-,-,-,-,-,3,-,-,2,-,29,9,-,-,-,2
Montenegro,140,-,-,2,-,2,-,1,-,-,1,3,-,-,-,11,-,-,-,-,-,-,1,-,11,1,-,-,-,-,-,-,5,-,94,2,-,-,-,1,2,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
Montserrat,59,-,1,-,-,2,-,2,-,-,8,2,-,-,-,-,-,-,-,-,-,-,2,15,-,-,-,-,-,-,-,-,1,-,19,1,-,-,-,-,2,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-
Morocco,"4,556",12,-,21,6,277,69,108,16,22,476,86,-,5,-,156,30,17,17,22,15,4,115,573,20,36,22,17,1,1,36,17,206,4,622,199,3,112,38,17,249,1,23,45,3,23,180,-,2,5,6,488,63,3,40,1,26
Mozambique,47,2,-,1,-,3,-,1,-,-,4,2,-,1,1,-,-,-,-,-,-,-,2,3,-,1,-,1,-,1,-,-,5,-,1,1,-,1,-,-,2,-,1,-,-,2,6,-,-,-,-,3,2,-,-,-,-
Namibia,27,-,-,1,-,2,-,1,-,-,2,3,-,-,-,1,-,-,-,1,-,-,3,-,-,-,-,1,-,-,-,-,1,1,-,1,-,2,-,-,-,-,-,1,-,-,1,-,-,-,1,1,2,-,1,-,-
Nauru,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,"1,632",9,5,13,5,185,83,36,2,4,28,30,1,5,2,37,5,7,20,9,3,1,109,90,22,35,1,8,-,10,6,29,23,1,188,46,1,4,4,10,23,-,6,3,1,3,201,-,-,6,4,237,46,-,15,1,9
Netherlands,889,3,1,16,3,167,16,25,1,6,94,31,-,7,3,21,4,2,2,5,4,3,24,19,21,9,-,8,4,-,10,2,29,7,63,35,-,17,6,13,26,-,3,8,-,9,45,-,2,10,4,41,42,1,5,-,12
Netherlands Antilles,40,-,-,-,-,1,1,-,-,1,6,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,4,1,11,3,-,-,-,-,2,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,3
New Caledonia,5,-,-,-,-,2,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,562,2,3,23,4,145,23,6,-,5,28,13,-,16,5,8,7,3,3,6,3,1,10,16,6,7,1,4,-,1,10,1,9,4,24,16,1,5,1,11,11,-,1,2,1,1,32,-,-,12,1,26,29,1,10,1,3
Nicaragua,"7,445",9,2,24,8,"1,512",19,20,8,28,"3,899",84,5,11,6,40,20,8,3,7,91,2,141,34,6,20,9,10,-,1,66,2,133,10,196,197,-,17,8,13,51,9,5,32,1,26,299,10,-,8,2,195,43,2,18,-,75
Niger,67,1,-,1,-,4,-,-,-,3,1,1,-,-,-,-,4,-,-,-,-,-,9,1,1,3,-,-,-,4,-,-,1,-,4,8,-,5,-,-,1,-,-,1,-,2,1,-,-,-,1,2,1,-,-,-,7
Nigeria,"9,298",41,8,77,9,889,44,88,43,87,277,633,1,8,3,459,135,17,39,28,52,2,"1,186",262,152,187,18,91,-,18,45,10,496,5,"1,035",281,8,125,37,24,262,1,76,38,-,89,"1,478",10,1,6,1,195,67,9,44,2,99
Northern Mariana Islands,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Norway,128,2,-,6,-,19,3,10,-,2,11,1,-,-,-,5,-,-,1,-,1,-,1,1,1,2,1,2,1,1,-,2,4,1,8,2,-,1,1,1,3,-,-,-,-,-,12,-,-,1,1,7,6,-,5,-,2
Oman,32,-,-,-,-,2,-,1,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-,2,2,-,-,-,-,1,-,-,4,-,5,-,-,-,-,1,-,-,-,-,-,-,6,-,-,-,-,1,-,-,1,-,-
Pakistan,"12,528",41,4,63,19,"1,497",59,244,61,17,515,306,-,-,6,807,117,27,64,40,68,4,460,201,297,102,27,104,2,19,45,18,799,18,"2,272",265,-,150,72,32,294,-,25,38,4,73,"1,791",3,2,35,8,"1,058",146,10,103,2,94
Palau,54,-,-,1,-,7,2,-,-,-,2,1,4,5,-,-,-,-,1,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,2,2,-,-,-,1,-,-,-,1,-,2,5,3,-,-,-,9,3,-,-,-,-
Panama,"1,694",7,5,20,8,173,16,12,6,11,375,87,2,5,1,23,6,3,8,10,10,1,48,22,8,9,6,13,2,2,14,1,45,4,251,87,2,12,13,3,23,9,-,18,1,14,157,4,1,6,-,73,24,2,10,-,21
Papua New Guinea,18,-,-,1,-,5,2,1,-,-,-,-,-,4,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Paraguay,310,-,-,1,1,31,2,10,-,3,49,2,-,-,-,6,1,1,2,1,-,-,16,2,3,-,1,1,-,1,2,-,17,-,90,10,-,3,1,3,2,-,-,-,-,5,16,1,-,1,1,12,4,-,3,-,5
Peru,"10,349",15,6,54,15,"1,747",79,305,13,35,"2,580",169,4,20,38,148,41,10,25,17,20,5,305,150,41,40,11,29,4,12,90,5,"1,192",14,"1,018",245,1,62,37,35,119,42,19,38,1,43,356,6,-,123,5,695,121,3,43,5,93
Philippines,"38,934",95,315,589,76,"16,632",176,311,63,79,"1,659",290,381,"1,652",58,"1,533",207,85,80,76,111,36,871,260,320,218,84,190,23,57,"1,372",49,"1,759",66,"1,836",633,16,231,106,208,403,4,50,226,21,183,"1,835",57,25,71,14,"1,226","1,577",23,158,14,244
Poland,"10,604",10,12,80,5,398,53,664,15,12,458,59,4,4,2,"3,907",40,5,4,7,12,7,72,243,236,40,4,30,6,7,43,17,"1,169",8,"1,956",90,1,79,4,12,281,1,27,23,3,23,104,5,-,18,8,86,110,2,96,1,41
Portugal,"2,143",1,-,9,-,182,3,169,3,3,84,8,-,3,5,5,3,-,1,-,2,-,43,552,4,3,1,3,-,-,3,12,531,-,205,17,-,2,1,1,35,-,129,1,-,1,12,-,-,-,-,66,13,-,4,-,23
Puerto Rico,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Qatar,106,2,-,-,1,15,2,1,-,-,2,2,-,-,-,6,2,-,2,2,1,-,2,3,7,1,-,4,-,-,1,-,5,-,11,4,1,3,2,1,4,-,-,1,-,-,12,-,-,-,-,4,1,-,-,-,1
Romania,"4,388",13,3,159,11,613,47,78,5,11,305,153,-,6,24,417,33,9,7,14,12,3,51,73,293,40,7,50,3,4,68,21,171,14,504,71,1,193,9,101,136,1,10,24,1,51,167,2,-,9,1,96,228,5,23,2,35
Russia,"9,490",25,65,92,13,"1,813",206,122,14,29,454,161,2,19,34,370,85,24,48,33,15,15,215,429,124,169,9,68,9,21,93,38,359,16,"1,589",186,6,180,36,219,360,4,13,49,3,40,292,6,1,32,14,282,842,4,80,8,55
Rwanda,161,-,-,2,-,11,1,3,-,1,5,6,-,1,-,3,4,-,-,1,-,2,8,4,5,4,-,2,-,-,3,9,4,-,12,14,1,7,-,1,12,-,1,-,-,6,17,-,-,2,-,4,3,-,2,-,-
Saint Helena,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
Saint Kitts-Nevis,389,1,1,-,-,9,-,4,-,-,84,23,-,1,-,1,-,-,-,-,2,-,12,9,1,4,-,1,-,1,-,-,17,-,100,9,-,-,1,-,5,4,-,2,-,1,8,1,75,1,-,11,-,-,-,-,-
Saint Lucia,583,1,-,1,1,22,2,29,4,2,75,14,-,2,-,6,3,2,-,-,5,-,11,9,3,1,-,1,-,-,3,1,22,-,236,6,-,-,-,-,14,2,1,-,-,1,30,-,58,-,-,10,2,-,1,-,2
Saint Vincent and the Grenadines,513,1,-,3,3,13,-,8,1,3,33,8,-,-,-,1,2,-,1,-,1,-,9,13,3,-,-,1,-,-,-,-,21,-,314,6,1,2,1,1,23,-,1,4,-,3,2,1,13,-,-,11,2,-,-,-,3
Samoa,185,-,9,3,-,67,1,-,-,-,2,2,-,28,-,4,3,-,3,2,1,-,-,-,-,-,-,1,-,2,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,24,-,1,24,-,-,-,1
Sao Tome and Principe,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,768,5,-,13,2,121,10,6,2,5,52,18,-,-,-,48,6,9,6,2,6,-,22,15,39,10,7,8,-,1,1,1,40,-,56,18,-,24,10,4,16,-,2,2,1,4,93,-,-,-,-,59,14,-,5,1,4
Senegal,640,-,1,3,1,40,5,5,2,10,19,34,1,-,-,13,25,5,4,18,-,1,44,14,12,3,1,8,-,-,3,1,21,-,122,23,-,51,7,1,12,1,20,3,-,11,32,1,-,-,1,29,14,-,6,-,12
Serbia,15,-,-,1,-,2,-,-,-,-,3,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Serbia and Montenegro1,"2,597",1,6,66,3,249,15,62,2,17,189,41,-,2,13,254,33,12,1,22,9,1,22,55,177,18,2,31,-,4,38,3,152,4,649,48,3,48,4,14,66,-,-,6,8,11,74,-,1,8,2,55,32,-,45,-,19
Seychelles,19,1,-,-,-,3,-,1,-,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,4,-,-,-,-,-
Sierra Leone,"1,868",3,-,16,-,97,1,13,11,16,31,63,2,-,1,8,5,5,2,2,1,1,426,62,38,58,-,16,-,1,5,4,113,-,135,63,3,71,1,1,163,-,2,2,-,11,79,1,-,1,1,270,23,-,6,-,34
Singapore,403,2,-,9,1,132,8,2,4,3,16,8,1,6,2,10,5,3,3,1,1,-,9,6,5,4,1,3,-,-,5,4,9,2,23,12,-,5,-,10,6,-,-,-,-,3,37,-,-,4,-,10,25,-,2,-,1
Slovakia,488,3,2,6,1,50,8,9,1,-,51,9,-,2,1,51,5,5,2,-,1,-,6,5,6,8,2,4,-,-,3,1,77,1,87,10,-,3,2,2,17,-,2,7,-,3,8,1,-,1,-,5,13,-,4,-,3
Slovenia,64,-,-,-,-,16,-,2,-,1,5,-,-,-,2,3,-,1,-,1,-,-,2,2,1,1,1,-,-,-,4,-,3,-,8,-,-,3,-,-,-,-,-,1,-,1,1,-,-,-,-,3,2,-,-,-,-
Solomon Islands,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
Somalia,"3,818",1,1,102,-,225,30,6,-,4,9,101,-,1,4,51,8,11,8,31,3,79,31,106,46,"1,384",1,96,-,30,13,3,5,2,52,37,8,404,-,48,11,-,-,-,8,122,88,-,-,25,4,143,383,-,36,-,57
South Africa,"2,436",9,6,54,5,443,70,49,4,8,300,129,-,13,5,53,26,5,14,7,9,2,34,78,35,23,12,24,8,8,14,6,89,8,129,135,2,39,18,22,58,1,8,42,3,33,172,4,-,22,2,64,92,3,25,-,12
"Soviet Union, former","4,263",20,14,29,8,562,41,65,5,7,302,74,1,7,6,160,23,20,10,21,9,1,177,247,71,38,5,21,2,3,15,13,316,17,"1,062",95,1,41,11,45,130,-,6,37,6,38,135,-,1,12,6,134,151,1,18,-,23
Spain,"1,420",1,1,17,-,202,17,29,4,12,254,30,-,3,3,35,5,3,4,6,4,1,37,47,18,15,3,2,2,2,12,4,134,7,159,53,1,6,4,6,26,30,-,12,-,8,80,1,-,8,-,45,35,4,8,2,18
Sri Lanka,"1,367",2,3,18,8,381,5,31,1,4,30,19,-,7,3,21,5,4,9,4,4,1,106,42,17,25,2,6,-,3,20,2,87,1,169,30,2,20,4,13,19,-,3,7,-,9,86,1,1,2,-,72,42,1,8,-,7
Sudan,"2,855",13,4,120,6,141,82,32,4,13,72,105,-,4,13,77,15,100,14,33,5,47,61,47,58,114,5,74,-,120,11,41,33,1,183,150,25,39,2,8,91,-,5,9,54,85,247,-,-,46,12,293,92,-,17,-,32
Suriname,198,3,-,3,-,7,-,1,-,2,57,3,-,-,-,1,-,1,-,-,2,-,5,2,1,2,1,2,-,-,-,-,4,1,81,3,-,-,1,-,4,-,1,1,-,-,4,-,-,-,-,3,2,-,-,-,-
Swaziland,21,-,-,1,-,3,-,-,-,-,3,2,-,-,-,1,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
Sweden,940,3,2,18,3,224,23,36,2,8,99,19,-,5,3,27,5,-,3,4,4,2,18,23,13,16,3,3,3,-,8,5,29,5,61,39,-,11,3,17,26,1,8,6,-,6,38,-,-,7,1,39,46,-,7,1,7
Switzerland,529,3,2,8,-,149,12,12,-,2,54,4,-,7,1,21,3,-,-,-,4,-,11,21,9,4,-,3,1,1,6,1,18,2,44,17,-,6,-,7,14,2,2,11,2,3,17,2,-,2,4,17,13,-,3,1,3
Syria,"2,484",8,-,27,3,799,14,25,-,1,154,31,-,1,3,130,18,7,17,8,15,2,29,70,124,4,5,9,-,4,15,2,154,2,225,31,-,83,16,6,120,1,29,11,-,21,118,-,-,4,-,76,16,8,11,-,27
