Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Andorra,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,95,-,-,1,-,8,-,6,-,1,10,2,-,-,-,1,-,-,-,-,-,-,6,20,1,1,-,-,-,1,-,-,13,-,3,1,-,1,-,-,3,-,6,1,-,1,5,-,-,1,-,-,-,-,-,-,2
Anguilla,29,-,-,-,-,-,1,1,1,-,3,2,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,1,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,1,-,-,-,-,1
Antigua-Barbuda,456,1,-,2,1,8,1,4,-,-,74,24,1,-,-,2,-,-,1,1,1,-,17,10,1,2,-,2,-,-,3,-,24,-,154,14,-,1,-,-,15,1,2,1,-,-,14,-,52,-,-,12,3,-,-,-,7
Argentina,"3,153",3,4,26,3,613,30,57,4,22,"1,039",46,-,10,5,55,9,5,15,8,13,2,70,35,18,19,7,9,2,2,37,2,127,5,321,61,-,18,9,10,35,21,8,17,-,8,139,-,-,39,2,105,20,1,15,-,22
Armenia,"2,021",1,-,13,-,"1,610",10,5,-,2,23,4,-,4,2,10,1,1,-,1,-,-,12,43,6,5,-,6,-,1,31,-,29,1,83,13,-,8,-,1,13,-,3,2,-,1,16,-,-,9,1,20,20,-,3,-,7
Aruba,37,1,-,-,-,2,-,1,1,-,7,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,4,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Australia,"1,392",6,8,37,2,349,57,26,1,25,68,27,5,19,4,28,9,3,3,7,3,6,34,34,11,10,6,11,5,1,18,10,40,5,136,45,3,17,5,25,28,1,5,12,-,18,73,3,-,8,5,37,73,2,11,-,7
Austria,303,-,2,8,-,62,6,5,-,3,23,6,-,7,4,8,3,1,-,1,1,-,6,8,5,3,-,2,-,1,6,-,11,4,44,9,-,6,1,4,7,-,1,2,-,3,15,-,-,1,1,13,7,-,1,-,2
Azerbaijan,"1,005",-,3,10,-,252,15,12,-,-,23,8,-,-,7,16,5,-,6,7,2,-,19,28,18,11,-,9,-,2,9,1,24,-,255,17,-,13,-,10,27,-,-,-,-,5,35,-,-,7,9,23,110,-,3,-,4
Bahamas,569,8,1,2,-,6,2,5,-,5,367,29,-,1,-,5,1,-,-,1,2,-,13,6,1,2,-,-,-,1,1,-,6,-,21,20,-,-,2,-,9,-,1,2,-,5,17,-,-,-,-,11,6,-,1,-,9
Bahrain,91,2,1,3,-,6,3,-,-,-,6,5,-,1,-,6,1,1,-,-,1,-,1,2,1,-,-,1,-,-,2,-,3,-,9,5,-,3,3,-,4,-,-,-,-,-,11,-,-,1,-,4,3,-,1,-,1
Bangladesh,"6,644",16,-,69,8,544,19,129,19,14,377,151,-,-,-,59,21,7,35,13,12,4,148,113,274,85,2,22,-,3,30,2,375,2,"2,995",66,3,43,24,14,175,-,4,6,-,20,343,1,2,2,4,313,29,1,12,-,34
Barbados,878,-,-,3,-,17,2,15,3,2,118,28,-,-,-,9,2,-,1,1,2,-,22,60,2,1,1,1,-,-,1,1,39,-,423,19,-,3,1,-,34,-,-,6,-,5,15,5,1,-,-,23,3,-,2,-,7
Belarus,"1,583",2,2,13,1,220,35,42,2,3,68,18,1,-,3,85,7,2,1,4,1,3,28,69,17,67,-,20,6,3,7,4,62,2,378,26,-,26,3,20,77,-,3,14,-,11,24,1,-,2,1,41,137,-,17,-,4
Belgium,673,1,2,22,1,116,10,10,1,5,66,19,-,4,1,15,1,1,3,1,11,1,26,23,9,10,4,9,-,2,11,1,27,3,70,31,-,17,3,4,13,-,1,8,-,8,33,-,-,2,1,35,23,2,1,-,5
Belize,854,2,1,7,1,346,4,3,1,2,72,18,3,3,1,58,3,1,2,1,6,-,4,8,2,1,4,4,-,-,13,-,24,4,139,13,-,2,1,-,5,-,-,2,-,3,61,2,-,4,-,13,7,-,-,-,3
Benin,119,1,-,2,-,2,4,2,1,-,5,5,-,1,1,6,6,-,1,-,-,-,12,6,1,9,-,-,-,2,-,1,3,-,11,6,-,3,-,-,9,-,1,-,-,2,2,1,-,-,1,7,2,-,-,-,3
Bermuda,80,2,-,2,-,9,-,4,2,1,12,7,-,-,-,1,-,-,-,-,-,-,2,4,-,1,-,-,-,-,1,-,1,-,6,8,-,1,-,-,1,-,1,4,-,2,2,-,-,-,-,6,-,-,-,-,-
Bhutan,17,-,-,-,-,8,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
Bolivia,"1,700",1,3,9,2,213,6,7,2,14,211,8,-,-,2,20,5,-,1,-,-,-,118,27,3,5,3,6,1,1,12,2,56,8,131,31,1,5,2,5,8,-,37,8,1,3,83,3,-,14,-,584,10,-,10,1,17
Bosnia-Herzegovina,"4,544",7,7,170,-,157,63,80,2,2,314,215,-,1,80,319,74,221,14,175,25,16,26,54,236,76,3,448,-,26,75,63,53,-,329,116,33,117,3,44,138,-,3,11,9,52,114,1,-,85,40,123,194,2,82,-,46
Botswana,17,-,-,-,-,-,1,-,-,1,2,-,1,-,-,-,-,-,1,-,1,-,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,2,-,1,-,-
Brazil,"7,960",11,7,65,4,995,47,260,4,28,"1,844",208,1,40,10,105,32,20,18,21,23,18,160,"1,336",57,38,12,17,2,7,60,70,553,9,568,162,1,53,18,30,103,3,37,44,3,44,337,6,2,79,2,186,112,7,17,3,61
British Virgin Islands,43,-,-,-,-,2,-,1,-,1,6,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,-,6,1,-,-,1,-,-,-,-,-,-,-,-,-,17,-,-,1,1,-,-,-,1
Brunei,14,-,-,1,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,1,-,-,-,1
Bulgaria,"3,211",4,2,43,6,461,63,57,13,9,274,130,-,12,3,582,21,7,14,27,8,10,52,106,51,30,1,32,4,3,141,6,100,9,307,39,-,28,12,23,89,1,1,28,1,13,94,1,-,17,-,102,125,1,24,2,22
Burkina Faso,90,-,-,1,-,5,2,-,-,3,-,3,1,-,-,1,-,4,-,1,-,-,8,2,2,-,-,-,-,-,-,-,8,1,12,2,1,5,-,-,9,-,1,-,-,1,3,-,-,-,-,3,6,-,2,-,3
Burma,"1,447",1,2,14,3,578,2,4,2,1,55,20,2,7,2,25,41,1,4,5,1,1,56,17,9,26,-,5,-,6,14,3,31,1,280,42,1,10,1,9,23,-,-,7,-,5,42,-,1,3,-,44,31,1,3,-,5
Burundi,90,-,-,4,-,7,3,1,-,-,6,2,-,-,-,3,-,4,1,4,-,1,4,1,2,-,1,-,-,-,-,-,1,1,5,6,-,3,-,1,3,-,-,1,-,3,17,-,-,-,1,2,2,-,-,-,-
Cambodia,"4,673",26,1,40,5,"1,648",40,58,2,-,86,80,1,11,5,49,16,14,20,28,13,13,39,565,31,170,10,20,1,6,21,18,23,-,61,122,2,66,4,57,300,-,68,45,2,23,237,-,-,25,1,118,420,-,28,1,33
Cameroon,"1,098",3,1,9,3,78,5,10,20,9,12,87,1,2,2,35,4,-,7,15,6,2,291,53,15,38,-,8,-,2,7,-,29,3,41,27,1,27,8,1,21,-,1,1,-,8,107,3,-,4,1,52,9,3,3,-,23
Canada,"9,753",48,31,322,16,"1,503",183,212,17,46,"1,199",238,2,44,66,208,82,45,46,55,41,58,132,252,372,138,24,72,37,19,122,100,200,48,578,498,19,167,30,115,227,2,27,122,11,120,598,3,5,78,55,262,684,7,89,9,69
Cape Verde,903,-,-,1,-,5,-,25,-,-,16,1,-,-,-,-,-,-,-,-,-,-,3,622,-,-,-,-,-,-,-,-,7,-,5,-,-,1,-,-,3,-,186,-,-,-,3,-,-,1,-,5,-,-,-,-,19
Cayman Islands,22,-,-,-,-,1,-,1,-,-,9,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,-,-,-,-
Central African Republic,22,-,-,-,-,-,1,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,1,-,2,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,2,1,-,-,-,-,1
Chad,27,-,-,2,-,1,-,2,-,-,1,-,-,-,-,-,1,-,-,-,-,-,3,-,-,1,-,-,-,1,-,-,1,-,6,2,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,1,-,-,1,-,-
Chile,"1,585",3,1,12,3,278,15,34,5,17,368,27,2,6,5,27,7,1,6,4,7,2,47,45,5,19,-,6,-,2,20,1,98,5,182,38,-,5,-,12,24,7,3,11,1,10,79,-,-,33,2,56,30,-,5,1,8
"China, People's Republic","37,130",84,22,297,62,"12,048",235,463,89,63,746,448,33,279,60,"1,205",205,70,110,84,115,36,750,"1,579",482,312,52,249,10,37,353,64,"1,357",66,"8,210",599,11,441,72,384,"1,090",29,50,113,18,152,"1,536",13,6,88,19,806,"1,007",20,192,7,202
Colombia,"16,593",32,15,98,15,977,75,388,19,41,"6,238",421,3,22,13,239,36,26,31,26,57,5,187,437,51,59,19,33,3,21,109,46,"1,669",33,"2,377",432,1,66,25,15,303,76,133,207,3,56,793,9,3,45,4,312,101,3,34,2,149
Comoros,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Congo, Democratic Republic",349,2,-,9,1,13,16,1,-,1,14,25,-,-,-,20,4,-,2,7,2,-,28,7,6,7,1,4,-,-,1,2,6,1,17,44,-,5,3,2,5,-,-,-,8,1,48,2,-,3,3,17,9,-,1,-,1
"Congo, Republic",308,-,-,19,-,26,8,7,-,2,8,19,-,-,2,3,6,2,-,2,-,6,31,10,8,3,-,3,-,1,3,1,10,1,17,26,-,4,2,-,3,-,1,2,-,4,43,-,-,1,7,11,4,1,-,-,1
Costa Rica,"1,517",4,3,16,8,231,10,36,3,5,342,42,-,1,1,21,11,2,4,4,16,5,27,36,6,12,2,6,2,1,23,5,163,3,126,79,-,8,3,12,26,14,1,20,-,6,94,1,-,4,-,40,17,1,4,1,9
Cote d'Ivoire,589,1,1,3,-,35,12,7,1,6,19,38,-,3,-,14,7,2,1,2,1,1,68,21,7,19,-,1,1,-,2,2,30,1,117,33,-,5,1,-,23,-,4,5,-,6,25,-,-,1,-,40,12,-,4,-,7
Croatia,718,1,-,23,-,74,3,5,5,3,85,22,-,-,8,24,32,13,1,10,1,5,15,13,9,5,-,20,-,-,20,5,31,2,87,13,1,51,-,1,13,-,-,2,7,5,33,-,-,9,3,24,9,-,22,-,3
Cuba,"24,891",21,3,52,7,403,10,37,7,10,"21,310",129,2,4,3,77,7,4,7,205,77,1,27,38,67,14,11,35,1,11,264,4,535,45,308,135,-,23,7,36,67,108,4,35,1,54,252,6,1,16,-,52,25,2,8,1,322
Cyprus,160,-,1,1,-,19,2,5,-,-,13,5,1,-,-,6,2,-,-,-,-,-,3,-,1,-,-,1,1,-,2,-,8,-,51,6,-,4,-,1,2,-,-,-,-,-,10,-,-,-,-,14,1,-,-,-,-
Czech Republic,266,2,1,5,-,31,14,-,-,3,56,6,-,2,2,21,1,2,2,1,-,1,5,8,2,2,1,2,1,3,9,3,7,3,10,4,-,4,1,2,3,-,2,3,-,4,2,1,-,1,-,17,10,-,3,-,3
"Czechoslovakia, former",503,3,1,10,2,93,9,6,1,3,58,8,-,-,4,32,2,2,1,3,2,1,14,15,9,4,2,5,1,-,6,4,22,3,55,17,-,8,-,3,15,-,-,7,-,3,18,-,-,4,-,18,23,-,1,-,5
Denmark,156,-,1,5,-,40,3,1,1,1,14,6,-,1,-,2,1,-,-,-,2,1,1,4,2,4,-,1,-,-,1,1,5,-,18,6,-,-,1,4,3,-,-,5,1,1,7,-,-,-,1,1,7,-,3,-,-
Djibouti,19,-,-,1,-,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,-,-,-,-,-,1,1,-,-,1,-,2,-,-,-,-,1,-,-,-,2,-,-,-,-,-,1,-,-,-,-
Dominica,672,5,4,2,1,14,3,13,1,3,111,32,-,-,-,1,1,-,-,-,1,-,16,20,5,2,-,2,-,-,-,-,45,-,164,7,-,2,-,-,11,1,4,1,-,2,44,3,98,-,-,14,2,-,-,-,37
Dominican Republic,"20,778",4,25,29,6,91,15,381,32,73,"2,410",122,4,16,2,52,34,6,6,20,58,10,185,"2,036",78,16,10,8,1,-,26,63,"2,733",7,"8,914",260,2,74,4,1,964,689,532,39,1,28,119,10,131,18,-,157,30,2,38,-,206
East Timor,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,"7,609",10,6,28,3,462,17,280,6,18,"1,146",63,3,14,11,191,7,12,10,8,24,2,101,84,14,76,2,8,1,9,37,10,"1,244",11,"2,838",214,4,27,7,10,120,24,9,29,1,19,134,4,1,25,2,115,32,-,4,2,70
Egypt,"5,224",13,2,37,8,937,12,72,8,11,310,48,-,3,2,109,33,14,8,10,28,3,78,159,91,73,6,26,-,7,29,17,809,8,860,154,-,96,11,33,207,2,14,45,-,201,209,1,-,4,4,255,80,6,20,-,51
El Salvador,"18,927",7,12,122,161,"7,879",80,61,19,262,643,242,1,16,13,132,68,53,71,19,53,11,"1,154",485,18,72,13,36,3,39,347,11,482,22,"1,816",450,1,24,30,58,74,10,27,37,8,59,"1,863",7,-,58,-,"1,497",139,10,13,-,139
Equatorial Guinea,6,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Eritrea,760,1,-,10,-,132,11,3,-,21,12,40,-,1,-,22,9,1,3,3,4,-,45,17,6,37,-,12,-,3,21,-,13,-,7,27,-,27,1,16,15,-,1,1,2,7,46,1,-,-,-,77,97,2,1,-,5
Estonia,209,-,3,1,-,31,6,3,-,-,24,2,-,1,-,4,1,6,-,1,-,2,5,5,1,2,2,1,1,2,3,-,9,-,29,8,-,3,-,1,6,-,-,2,5,2,3,1,-,-,-,8,22,-,2,-,1
Ethiopia,"8,698",8,5,71,3,949,319,19,6,342,97,539,-,4,6,138,45,10,68,26,23,7,749,203,64,945,2,90,-,20,429,2,54,9,141,154,2,200,17,94,117,-,-,9,63,199,618,1,-,8,1,"1,007",711,10,24,-,70
Fiji,998,-,3,7,-,756,3,3,-,-,10,4,-,5,1,2,-,-,1,-,2,-,1,1,1,2,-,1,-,-,7,-,2,1,3,7,-,1,-,30,1,-,-,1,-,-,12,-,-,3,-,12,110,-,1,-,4
Finland,385,1,3,9,-,60,6,7,-,7,63,10,1,3,2,6,2,4,-,-,-,1,11,13,7,7,1,1,1,-,1,3,14,-,31,17,-,5,1,4,6,-,1,6,-,1,21,-,-,3,-,16,20,1,3,-,5
France,"2,464",3,1,32,2,628,36,54,5,31,258,60,1,13,5,65,17,7,6,8,9,-,70,93,19,32,1,9,2,3,22,4,101,13,268,58,-,29,3,19,61,2,7,26,1,18,125,3,2,14,8,91,83,1,16,2,17
French Guiana,8,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
French Polynesia,12,-,-,-,-,6,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
Gabon,35,1,-,-,-,1,-,-,-,-,1,3,-,-,-,1,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,1,1,9,2,-,1,-,-,1,-,-,-,-,-,3,-,-,1,-,1,2,-,-,-,1
Gambia,419,3,7,4,-,14,2,3,1,3,7,43,-,1,2,2,-,-,8,8,1,-,49,7,15,21,1,3,-,1,1,-,4,3,40,27,-,18,2,2,9,-,3,-,-,7,16,-,-,1,-,18,48,-,11,-,3
Georgia,864,1,-,3,2,164,11,18,1,4,24,19,-,-,-,22,1,1,-,3,3,1,10,14,2,6,-,5,-,1,7,2,87,-,306,7,-,17,1,6,29,-,1,2,-,4,17,1,-,3,-,16,36,-,3,-,3
Germany,"4,564",37,23,98,8,752,117,84,5,17,442,136,2,39,24,145,47,11,30,36,33,10,127,100,124,47,9,39,14,6,47,18,144,46,309,176,4,72,41,51,138,5,5,76,5,49,293,4,1,28,9,186,183,11,39,6,56
Ghana,"4,819",5,3,22,6,169,76,124,45,15,64,243,-,5,-,153,13,7,9,31,8,3,436,344,29,76,2,16,-,2,16,6,379,1,941,181,1,232,17,7,152,-,26,14,-,31,199,5,-,10,2,558,44,6,16,-,69
Gibraltar,6,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greece,"1,067",3,-,15,-,118,6,49,5,6,87,14,-,1,-,61,14,-,3,3,5,2,37,75,13,3,1,4,-,2,1,9,72,-,273,22,-,16,5,1,46,1,4,13,2,4,17,-,-,-,1,25,10,-,6,-,12
Greenland,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grenada,683,-,-,1,-,11,1,4,2,2,40,18,-,2,-,1,-,-,-,2,2,-,29,13,1,-,1,-,-,-,1,-,20,1,452,15,1,3,-,-,7,-,2,1,-,1,26,1,6,-,1,12,-,-,-,-,3
Guadeloupe,34,-,-,-,-,3,-,-,-,-,16,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,7,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-
Guatemala,"8,619",18,5,100,32,"3,924",41,126,11,28,560,118,-,10,15,284,43,36,22,12,65,2,208,286,30,28,5,8,-,56,130,3,288,22,585,143,-,18,27,49,60,4,168,27,13,44,453,6,-,54,2,294,64,1,15,2,74
Guinea,304,-,-,2,1,11,5,1,-,1,11,19,-,-,-,4,6,1,1,1,3,-,28,21,5,4,-,3,-,-,1,1,7,-,52,16,-,25,-,3,27,-,5,-,-,1,12,-,1,-,-,14,8,-,1,-,2
