Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Total," 730,259 "," 2,834 ", 964 ," 13,748 "," 1,576 "," 155,979 "," 9,423 "," 9,838 "," 1,633 "," 1,684 "," 81,960 "," 20,794 ", 712 ," 3,698 "," 1,427 "," 25,722 "," 4,686 "," 2,574 "," 2,830 "," 2,846 "," 2,956 "," 1,102 "," 18,390 "," 23,554 "," 12,473 "," 7,533 ", 946 ," 4,318 ", 249 ," 2,221 "," 7,900 "," 1,570 "," 34,857 "," 2,452 "," 90,368 "," 11,569 ", 561 ," 9,580 "," 3,858 "," 6,130 "," 16,554 "," 2,826 "," 2,728 "," 4,611 ", 542 ," 5,381 "," 65,467 ", 161 , 734 ," 4,838 ", 570 ," 18,391 "," 14,341 ", 501 ," 3,738 ", 257 ," 1,104 ",
Afghanistan," 1,589 ", D , - , 43 , - , 563 , 24 , 19 , 4 , - , 18 , 57 , - , D , 19 , 20 , 4 , - , D , 4 , 4 , 6 , 38 , 8 , 9 , 4 , D , 14 , - , 6 , 14 , D , 56 , 5 , 174 , 19 , D , 10 , 3 , 12 , 28 , - , D , 6 , - , 8 , 77 , - , - , 22 , - , 252 , 18 , - , 3 , - , 9 ,
Albania," 3,237 ", D , 3 , 27 , 5 , 66 , 13 , 248 , D , 5 , 263 , 8 , - , D , 3 , 170 , 8 , D , 7 , D , D , D , 24 , 425 , 429 , 5 , 3 , 33 , D , D , 13 , 14 , 166 , - , 809 , 9 , - , 91 , 5 , D , 198 , - , - , 15 , D , 10 , 45 , - , - , 6 , D , 43 , 13 , D , 35 , - , 3 ,
Algeria, 943 , - , D , 3 , - , 182 , 8 , 6 , - , 5 , 40 , 26 , - , - , - , 61 , 8 , D , 10 , D , 8 , - , 13 , 65 , 19 , 6 , - , D , - , - , D , D , 53 , - , 161 , 18 , - , 38 , D , 3 , 79 , - , D , 3 , - , 4 , 58 , - , - , D , D , 38 , 7 , D , 3 , - , 1 ,
American Samoa, 296 , - , 13 , - , - , 38 , 5 , - , - , - , D , 11 , - , 38 , D , D , - , - , D , - , - , - , - , - , - , - , - , D , - , - , D , - , - , D , 3 , 8 , - , - , 12 , 5 , D , - , - , 29 , - , D , 5 , 11 , - , 22 , - , 11 , 28 , - , - , - , 45 ,
Angola, 132 , - , - , 3 , - , 5 , D , D , - , D , 7 , 9 , - , - , - , D , - , D , - , - , - , - , 3 , 32 , - , D , - , - , - , D , - , - , 8 , - , 9 , 6 , - , D , D , - , 3 , - , 4 , D , - , - , 22 , - , - , - , - , 3 , D , - , D , - , - ,
Anguilla, 31 , - , - , - , - , D , - , - , - , - , 10 , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , D , - , - , - , - , - , - , - , - , D , - , 10 , - , - , D , - , - , - , - , - ,
Antigua-Barbuda, 381 , D , - , D , - , 7 , D , 9 , D , D , 46 , 22 , - , - , - , 3 , D , - , D , - , - , - , 8 , 12 , D , - , - , - , - , - , - , - , 21 , - , 156 , 9 , - , D , D , - , 8 , 6 , - , D , - , D , 11 , - , 43 , D , - , D , - , - , - , - , 1 ,
Argentina," 3,886 ", 3 , - , 48 , 3 , 537 , 53 , 50 , 4 , 15 ," 1,331 ", 80 , - , 23 , 8 , 85 , 14 , 4 , 9 , 6 , 14 , 4 , 80 , 51 , 20 , 25 , 5 , 13 , - , 4 , 50 , 4 , 200 , 7 , 373 , 49 , D , 25 , 17 , 31 , 49 , 34 , 4 , 25 , - , 14 , 247 , - , D , 98 , 4 , 106 , 38 , - , 17 , D , - ,
Armenia," 2,874 ", D , - , 7 , - ," 2,279 ", 14 , 10 , - , 4 , 27 , 11 , - , - , D , 16 , D , D , - , 6 , - , - , 29 , 63 , 5 , - , - , 5 , - , - , 53 , D , 42 , D , 157 , 4 , - , 18 , D , D , 19 , - , 6 , 7 , - , 6 , 24 , - , - , 7 , - , 19 , 21 , - , 3 , - , 2 ,
Aruba, 37 , - , - , - , - , - , - , - , - , - , 10 , 3 , - , - , - , D , - , - , - , - , D , - , - , D , D , - , - , - , - , - , D , - , D , - , 9 , - , - , - , D , - , - , D , - , - , - , - , 3 , - , D , D , - , - , - , - , - , - , - ,
Australia," 1,379 ", 8 , 6 , 30 , 6 , 319 , 69 , 16 , D , 10 , 62 , 45 , D , 21 , 5 , 48 , 15 , 6 , 6 , 3 , 9 , 3 , 23 , 34 , 25 , 13 , D , 10 , 3 , D , 25 , 4 , 41 , 7 , 143 , 28 , - , 16 , 8 , 31 , 22 , D , D , 11 , D , 12 , 88 , - , D , 23 , D , 33 , 61 , D , 9 , D , 3 ,
Austria, 207 , D , - , 5 , - , 52 , 8 , D , D , - , 20 , 6 , - , - , - , 4 , D , - , D , - , D , D , 4 , 11 , 3 , 3 , - , D , - , D , D , D , 11 , D , 18 , 5 , - , D , - , D , 4 , - , - , D , - , 4 , 10 , - , - , 6 , - , 5 , 4 , D , - , - , - ,
Azerbaijan, 568 , D , - , 3 , D , 185 , 4 , 6 , - , - , 26 , 9 , - , - , D , 11 , D , - , D , 6 , - , 8 , 12 , 18 , 12 , D , - , 5 , - , D , D , D , 13 , - , 126 , D , - , 15 , D , 5 , 16 , - , D , D , - , 5 , 26 , - , - , 4 , - , 6 , 28 , - , D , - , - ,
Bahamas, 570 , 5 , - , 3 , - , 15 , 3 , D , D , D , 336 , 53 , - , - , - , 11 , D , D , D , - , 5 , - , 15 , 6 , D , D , - , D , - , D , D , - , 10 , D , 25 , 10 , - , D , 5 , D , 4 , - , D , 3 , - , 3 , 21 , - , D , - , - , 8 , D , - , D , - , - ,
Bahrain, 79 , D , - , - , - , 10 , D , - , - , - , 10 , 5 , - , D , - , 6 , D , - , - , - , - , - , D , D , 4 , - , - , - , - , D , D , - , 11 , - , 3 , D , - , - , 3 , D , D , - , - , D , - , - , 7 , - , - , D , - , D , - , - , D , - , - ,
