Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Austria, 271 , - , D , 5 , - , 55 , 7 , 6 , - , D , 29 , 9 , - , 7 , D , 9 , D , 4 , - , D , - , D , 5 , 8 , D , 3 , D , D , - , - , 6 , - , 6 , D , 47 , 4 , - , 4 , - , - , 4 , - , - , D , - , D , 10 , - , D , D , D , 10 , 6 , - , 4 , - , 2 
Azerbaijan," 1,153 ", - , - , 7 , - , 538 , 7 , 10 , - , - , 33 , 11 , - , D , D , 20 , 3 , 4 , - , 8 , D , 3 , 15 , 34 , 20 , 12 , - , 8 , - , - , 5 , 4 , 15 , - , 205 , 8 , D , 13 , D , 10 , 33 , - , 5 , - , - , 5 , 27 , - , - , 6 , - , 16 , 54 , - , D , D , 3 
Bahamas, 609 , 5 , - , D , - , 13 , 7 , 4 , - , D , 361 , 56 , - , D , - , 12 , - , - , - , - , 4 , - , 8 , 9 , 4 , D , 6 , 5 , - , D , 4 , - , 8 , - , 15 , 14 , - , 5 , 3 , D , 4 , D , D , 7 , - , 5 , 17 , 3 , - , - , - , 10 , D , - , 3 , - , 5 
Bahrain, 80 , D , - , D , - , 17 , D , - , - , D , 5 , 3 , - , D , - , 8 , - , - , - , - , - , - , D , - , D , D , - , - , - , D , - , - , 3 , - , 7 , - , - , D , D , D , 4 , - , - , - , - , - , 10 , - , - , - , D , 5 , D , - , - , - , - 
Bangladesh," 7,325 ", 29 , 5 , 57 , 18 , 558 , 18 , 111 , 19 , 10 , 488 , 224 , D , 14 , D , 99 , 29 , 4 , 24 , 12 , 16 , 6 , 147 , 134 , 336 , 40 , 7 , 16 , D , D , 26 , 7 , 362 , 6 ," 3,284 ", 53 , 4 , 62 , 43 , 19 , 226 , - , D , 25 , D , 24 , 404 , D , - , 3 , - , 225 , 24 , 4 , 6 , - , 87 
Barbados, 648 , D , - , 3 , - , 18 , 4 , 15 , D , - , 83 , 30 , - , D , - , 5 , 4 , - , D , D , D , - , 23 , 49 , D , - , - , D , - , - , D , - , 28 , - , 256 , 17 , - , D , - , - , 27 , - , 3 , 7 , - , - , 25 , D , 5 , - , D , 17 , 3 , - , D , - , 7 
Belarus," 1,814 ", D , 5 , 13 , 3 , 290 , 46 , 17 , 6 , D , 103 , 36 , - , D , 3 , 115 , 13 , 4 , D , 5 , D , 6 , 47 , 92 , 16 , 70 , 3 , 16 , D , D , 10 , 4 , 89 , 3 , 339 , 25 , - , 28 , 11 , 24 , 94 , - , D , 29 , D , 7 , 23 , D , - , D , D , 34 , 128 , D , 18 , - , 18 
Belgium, 525 , D , - , 11 , 3 , 96 , 10 , 17 , D , 5 , 50 , 24 , D , D , D , 21 , 5 , D , D , D , 5 , - , 19 , 20 , 13 , D , D , D , D , - , 3 , D , 31 , 6 , 38 , 8 , D , 5 , - , 9 , 16 , - , D , 3 , D , D , 39 , D , D , 5 , - , 15 , 10 , - , 4 , - , 4 
Belize, 742 , D , - , 6 , D , 242 , 3 , 3 , D , - , 80 , 12 , - , D , D , 88 , D , D , 3 , 5 , 10 , - , 5 , 6 , D , D , D , D , D , - , 18 , - , 18 , 3 , 102 , 13 , - , 3 , 5 , D , 5 , - , - , 7 , - , 3 , 45 , 3 , - , - , - , 21 , 8 , D , 5 , D , 1 
Benin, 183 , D , - , - , - , 14 , 3 , 4 , - , - , 4 , 8 , - , - , - , 20 , 12 , D , - , D , - , D , 21 , 6 , 4 , 4 , D , 4 , - , D , - , - , 4 , - , 12 , 4 , - , 4 , D , - , 17 , - , D , 4 , - , 3 , 7 , D , - , D , - , 9 , - , - , D , D , 1 
Bermuda, 58 , 4 , - , - , - , 3 , - , 3 , - , - , 14 , 4 , - , - , - , D , D , D , D , - , - , D , 4 , 5 , - , - , - , - , - , - , - , - , - , - , 3 , 3 , - , - , - , - , D , - , D , D , - , - , D , - , - , - , - , 3 , - , - , - , - , - 
Bhutan, 55 , - , - , 3 , - , 15 , - , - , - , - , - , 11 , - , - , - , D , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , 10 , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , 5 , D , - , - , D , - 
Bolivia," 1,446 ", 7 , D , 6 , D , 142 , 16 , 8 , D , 5 , 229 , 10 , D , - , D , 19 , D , D , 7 , 3 , 6 , - , 98 , 26 , 3 , 9 , D , D , - , - , 11 , 7 , 49 , D , 104 , 8 , - , 8 , 3 , 7 , 16 , 4 , 28 , 16 , - , 7 , 68 , 3 , - , 15 , - , 350 , 13 , 5 , 3 , - , 116 
Bosnia-Herzegovina," 4,259 ", 6 , D , 163 , - , 172 , 45 , 91 , D , D , 459 , 204 , - , D , 62 , 306 , 56 , 179 , 8 , 194 , 15 , 18 , 19 , 63 , 182 , 87 , 4 , 427 , - , 26 , 54 , 59 , 48 , - , 272 , 53 , 44 , 157 , D , 42 , 120 , - , D , 4 , 18 , 50 , 157 , 4 , - , 89 , 32 , 55 , 133 , - , 51 , - , 23 
Botswana, 9 , - , - , - , - , D , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 
Brazil," 10,251 ", 25 , 9 , 62 , 13 ," 1,009 ", 73 , 378 , 14 , 12 ," 2,666 ", 329 , 4 , 45 , 10 , 137 , 35 , 13 , 19 , 11 , 33 , 15 , 152 ," 2,017 ", 78 , 45 , 8 , 31 , 3 , 6 , 66 , 97 , 708 , 11 , 641 , 113 , 4 , 88 , 22 , 31 , 140 , 5 , 58 , 74 , D , 39 , 401 , 15 , D , 111 , 15 , 136 , 89 , D , 35 , 4 , 91 
British Virgin Islands, 48 , - , - , - , - , D , - , D , - , D , 14 , D , - , - , - , D , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , D , - , 3 , D , - , - , - , - , D , - , - , D , - , D , D , - , 14 , - , - , - , - , - , - , - , 1 
Brunei, 11 , D , - , - , - , 3 , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - 
Bulgaria," 3,103 ", 11 , 3 , 71 , 7 , 409 , 52 , 32 , 9 , 4 , 242 , 114 , - , 6 , D , 599 , 16 , 4 , 12 , 17 , 9 , 11 , 54 , 155 , 47 , 30 , - , 42 , - , D , 131 , 13 , 101 , 6 , 260 , 31 , 3 , 32 , 9 , 23 , 95 , - , D , 45 , 4 , 13 , 117 , D , - , 9 , - , 74 , 114 , D , 27 , - , 32 
Burkina Faso, 163 , D , - , D , D , 9 , D , D , D , D , 4 , 7 , - , - , - , 6 , - , - , - , D , - , - , 17 , - , 5 , D , D , D , - , D , - , - , 7 , - , 38 , D , - , 5 , D , D , 7 , - , - , D , - , 5 , 5 , D , - , - , - , 8 , 9 , - , 3 , - , 3 
Burma," 2,321 ", 12 , 4 , 28 , 3 , 775 , 14 , 20 , 4 , 3 , 121 , 35 , D , 11 , 5 , 49 , 132 , 4 , 16 , 10 , 7 , 7 , 146 , 25 , 30 , 59 , 6 , 3 , - , 13 , 18 , D , 35 , 3 , 291 , 67 , D , 41 , 13 , 15 , 38 , - , 7 , 11 , D , 21 , 80 , 4 , - , 7 , 3 , 56 , 28 , D , 11 , - , 21 
Burundi, 168 , - , - , 12 , - , 8 , 4 , D , - , - , D , 8 , D , - , - , 5 , 3 , D , - , - , - , - , 10 , D , - , 4 , - , - , - , D , - , D , D , - , 26 , 5 , - , 10 , 5 , D , 5 , - , D , - , D , D , 22 , - , - , - , 4 , 7 , 5 , - , 3 , - , 4 
Cambodia," 4,589 ", 28 , 3 , 28 , 7 ," 2,040 ", 40 , 43 , - , D , 98 , 72 , - , 8 , D , 54 , 9 , 12 , 9 , 18 , 14 , 24 , 34 , 443 , 23 , 164 , 7 , 16 , - , 3 , 26 , 11 , 20 , D , 62 , 39 , 3 , 59 , 5 , 51 , 229 , - , 70 , 19 , - , 16 , 274 , D , - , 14 , - , 75 , 353 , - , 30 , D , 28 
Cameroon," 2,172 ", 12 , D , 25 , 9 , 115 , 16 , 9 , 15 , 16 , 45 , 144 , - , D , D , 70 , 4 , 4 , 5 , 15 , D , - , 669 , 101 , 35 , 93 , D , 27 , - , 9 , 6 , 8 , 47 , 5 , 76 , 25 , D , 81 , 22 , 6 , 25 , - , D , 29 , D , 15 , 224 , 4 , - , 3 , D , 71 , 15 , 4 , 15 , - , 40 
Canada," 9,318 ", 41 , 23 , 360 , 14 ," 1,254 ", 229 , 146 , 22 , 18 ," 1,064 ", 254 , D , 71 , 51 , 282 , 91 , 45 , 32 , 56 , 34 , 60 , 134 , 309 , 354 , 138 , 18 , 73 , 42 , 29 , 134 , 90 , 233 , 36 , 550 , 293 , 25 , 211 , 52 , 138 , 236 , D , 24 , 114 , 19 , 112 , 703 , 19 , 6 , 110 , 45 , 191 , 527 , 7 , 103 , 9 , 80 
Cape Verde, 974 , - , - , - , - , D , D , 18 , - , - , 8 , D , - , - , - , - , - , - , - , - , - , 3 , D , 732 , D , - , - , D , - , - , - , D , 10 , - , 11 , - , D , - , 3 , - , D , - , 166 , D , - , - , D , - , - , D , - , D , D , - , - , - , 4 
Cayman Islands, 15 , - , - , - , - , - , - , - , - , - , 7 , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Central African Republic, 34 , - , - , - , - , 3 , - , - , - , - , D , D , - , - , D , - , D , D , - , - , D , - , 6 , - , D , D , - , - , - , - , - , - , D , - , 3 , - , - , D , - , - , 3 , - , - , - , - , - , 4 , - , - , - , - , D , - , - , - , - , 1 
Chad, 50 , - , - , D , - , D , - , D , - , - , D , D , - , - , - , D , 10 , D , - , D , - , - , 6 , D , - , - , - , D , - , D , - , - , D , - , 8 , - , - , D , - , 3 , D , - , - , D , - , - , 3 , - , - , D , - , D , - , - , - , - , - 
Chile," 1,527 ", 11 , 3 , 23 , 6 , 219 , 27 , 23 , 8 , 6 , 385 , 25 , - , 3 , 6 , 35 , 6 , 6 , 3 , D , 7 , D , 32 , 44 , 4 , 10 , D , 8 , - , 10 , 18 , - , 93 , 7 , 154 , 34 , - , 14 , 5 , 15 , 27 , 7 , D , 20 , D , 10 , 62 , D , D , 38 , D , 40 , 42 , - , 8 , - , 13 
"China, People's Republic"," 32,864 ", 132 , 28 , 251 , 49 ," 10,619 ", 251 , 340 , 64 , 20 , 840 , 536 , 34 , 258 , 42 ," 1,079 ", 173 , 65 , 91 , 88 , 107 , 31 , 670 ," 1,508 ", 319 , 281 , 54 , 161 , 14 , 48 , 401 , 49 , 941 , 48 ," 7,329 ", 404 , 10 , 393 , 116 , 336 ," 1,013 ", 19 , 65 , 137 , 16 , 204 ," 1,447 ", 30 , 6 , 94 , 15 , 439 , 840 , 23 , 149 , 6 , 181 
Colombia," 22,693 ", 54 , 19 , 131 , 16 ," 1,031 ", 134 , 360 , 23 , 17 ," 10,883 ", 796 , D , 15 , 17 , 360 , 56 , 18 , 42 , 59 , 59 , 11 , 230 , 598 , 62 , 66 , 29 , 64 , 8 , 20 , 122 , 51 ," 1,710 ", 25 ," 2,107 ", 548 , 4 , 105 , 54 , 24 , 281 , 107 , 158 , 293 , D , 116 ," 1,059 ", 41 , 4 , 83 , 6 , 259 , 118 , 12 , 47 , 4 , 172 
Comoros, 8 , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - 
"Congo, Democratic Republic", 908 , 3 , - , 8 , D , 48 , 37 , 19 , D , - , 28 , 57 , - , D , D , 46 , 5 , 6 , D , 11 , D , 14 , 69 , 48 , 13 , 17 , D , 16 , - , 5 , D , 10 , 9 , D , 57 , 102 , - , 19 , D , 4 , 15 , - , D , 5 , 3 , 12 , 132 , D , D , 7 , 5 , 28 , 15 , D , 6 , - , 10 
"Congo, Republic", 345 , 3 , D , 6 , - , 31 , 8 , 5 , - , 3 , 9 , 18 , - , - , - , 23 , 3 , D , - , 3 , D , 3 , 25 , 11 , 5 , 5 , D , 4 , - , D , 4 , - , 7 , D , 41 , 23 , D , 10 , - , D , 10 , - , - , D , - , 7 , 31 , - , - , D , 5 , 10 , 8 , - , D , - , 8 
Costa Rica," 1,511 ", 8 , - , 17 , 4 , 173 , 13 , 31 , 3 , 3 , 374 , 37 , - , 7 , 3 , 36 , 5 , 3 , 5 , D , 9 , D , 35 , 34 , 15 , 11 , 5 , 3 , D , - , 20 , D , 207 , 8 , 90 , 63 , D , 13 , 9 , 8 , 36 , 12 , 5 , 28 , D , 21 , 69 , 4 , - , 8 , D , 22 , 15 , - , 15 , - , 16 
Cote d'Ivoire, 694 , 6 , - , 6 , D , 35 , 13 , 14 , 5 , D , 14 , 55 , - , - , - , 18 , 9 , 5 , D , D , D , D , 82 , 29 , 10 , 9 , D , 6 , - , D , D , - , 31 , - , 152 , 18 , - , 21 , D , 4 , 28 , - , D , 5 , - , 7 , 44 , D , D , D , D , 18 , 14 , - , 8 , - , 6 
Croatia, 569 , D , - , 14 , - , 38 , 8 , 7 , 4 , D , 51 , 19 , - , D , 4 , 48 , 18 , 6 , - , D , 5 , 6 , 3 , 22 , 12 , 8 , D , 10 , D , - , 14 , 5 , 24 , - , 57 , 11 , 4 , 44 , - , 3 , 18 , - , - , 3 , 6 , 5 , 23 , - , - , 7 , D , 11 , 14 , D , 18 , - , 7 
Cuba," 21,071 ", 17 , D , 101 , 4 , 283 , 21 , 27 , 3 , D ," 18,029 ", 108 , - , 4 , 3 , 77 , 9 , 3 , 8 , 162 , 48 , D , 26 , 44 , 55 , 13 , 12 , 26 , - , 12 , 265 , D , 407 , 48 , 261 , 80 , - , 25 , 15 , 65 , 93 , 108 , 5 , 31 , D , 39 , 309 , 10 , D , 26 , - , 47 , 22 , - , 16 , - , 97 
Cyprus, 115 , - , - , 4 , - , 19 , D , 4 , - , D , 9 , D , - , - , - , 5 , D , - , D , D , - , - , D , 5 , D , - , - , - , - , - , D , - , 7 , D , 23 , D , - , D , - , - , D , - , - , D , - , - , 7 , - , - , D , D , 6 , 3 , - , - , - , - 
Czech Republic, 485 , 7 , 5 , 5 , 3 , 66 , 18 , 4 , D , D , 105 , 15 , - , - , D , 32 , D , D , D , 3 , - , D , 13 , 15 , 4 , 3 , D , D , D , D , 9 , 4 , 21 , D , 25 , 12 , - , 7 , D , 7 , 11 , - , - , 9 , - , 4 , 18 , D , - , 5 , - , 10 , 14 , - , 8 , D , 3 
"Czechoslovakia, former", 310 , 4 , 3 , 5 , - , 42 , 12 , 4 , D , D , 48 , 6 , - , 5 , - , 23 , D , - , - , D , D , D , 4 , 8 , 7 , D , D , 4 , D , - , 3 , D , 16 , D , 16 , 6 , - , 4 , D , 5 , 8 , - , D , D , D , 3 , 15 , 4 , - , 8 , D , 4 , 12 , 3 , D , - , 3 
Denmark, 124 , - , - , 6 , - , 36 , 3 , D , - , - , 11 , D , - , D , D , 3 , D , - , D , D , - , - , 8 , 4 , 3 , D , D , D , D , D , D , - , 5 , D , 5 , - , - , - , - , D , 3 , - , - , - , - , D , 7 , - , - , D , - , 3 , 5 , - , - , - , - 
Djibouti, 22 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , D , - , 4 , - , D , - , 5 , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , D , - , - , - , - , - , - , - , 3 , - , - , - , - 
