Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 694,193 "," 2,439 "," 1,115 "," 12,784 "," 1,559 "," 151,183 "," 7,805 "," 8,370 "," 1,470 "," 1,016 "," 87,309 "," 17,761 ", 675 ," 3,450 "," 1,473 "," 29,133 "," 4,085 "," 1,840 "," 2,687 "," 2,778 "," 2,496 ", 999 ," 15,790 "," 22,812 "," 10,414 "," 11,044 ", 965 ," 4,175 ", 297 ," 1,876 "," 8,519 "," 1,607 "," 33,826 "," 2,434 "," 76,603 "," 11,360 ", 369 ," 9,326 "," 2,966 "," 5,657 "," 16,162 "," 1,692 "," 2,682 "," 4,033 ", 420 ," 5,396 "," 52,927 "," 1,167 ", 686 ," 3,595 ", 431 ," 13,782 "," 17,317 ", 348 ," 4,434 ", 228 ," 6,426 "
Africa," 69,738 ", 324 , 58 ," 1,032 ", 88 ," 5,686 "," 1,131 ", 660 , 345 , 375 ," 2,388 "," 3,253 ", D , 53 , 80 ," 2,333 ", 592 , 357 , 392 , 431 , 186 , 410 ," 5,017 "," 3,733 ", 812 ," 5,401 ", 68 , 652 , 20 , 483 , 649 , 202 ," 3,338 ", 65 ," 5,770 "," 1,839 ", 118 ," 2,680 ", 387 , 471 ," 2,591 ", D , 602 , 435 , 141 ," 1,337 "," 5,409 ", 90 , 11 , 339 , 74 ," 2,697 "," 2,460 ", 37 , 437 , 19 ," 1,174 "
Asia," 249,940 "," 1,101 ", 595 ," 3,156 ", 547 ," 78,467 "," 2,133 "," 2,327 ", 514 , 189 ," 9,868 "," 6,177 ", 623 ," 2,665 ", 337 ," 10,616 "," 1,635 ", 521 ," 1,029 "," 1,066 "," 1,122 ", 255 ," 5,317 "," 6,619 "," 5,739 "," 3,429 ", 492 ," 1,581 ", 83 , 483 ," 3,412 ", 542 ," 12,553 ", 451 ," 26,220 "," 3,857 ", 97 ," 3,467 "," 1,112 "," 1,974 "," 6,700 ", D , 460 ," 1,352 ", 100 ," 2,073 "," 17,671 ", 388 , 78 , 789 , 118 ," 6,039 "," 7,108 ", 159 ," 1,995 ", D ," 2,425 "
Europe," 82,209 ", 296 , 191 ," 1,377 ", 113 ," 10,760 "," 1,324 "," 2,014 ", 152 , 142 ," 7,103 "," 1,936 ", D , 221 , 253 ," 7,569 ", 560 , 357 , 177 , 533 , 208 , 179 ," 1,383 "," 3,585 "," 2,308 ", 915 , 85 ," 1,018 ", 89 , 154 , 852 , 402 ," 4,656 ", 230 ," 11,460 "," 1,490 ", 83 ," 1,611 ", 280 ," 1,288 "," 2,734 ", 54 , D , 649 , 98 , 608 ," 2,953 ", 154 , 17 , 406 , 130 ," 1,349 "," 3,962 ", 63 , 712 , 33 , 666 
North America," 217,750 ", 553 , 175 ," 6,709 ", 722 ," 49,466 "," 2,662 "," 1,840 ", 362 , 207 ," 43,350 "," 4,419 ", 9 , 234 , 724 ," 7,326 "," 1,057 ", 531 , 922 , 566 , 757 , 116 ," 2,828 "," 5,555 "," 1,225 ", 885 , 236 , 662 , 74 , 679 ," 3,110 ", 250 ," 7,313 "," 1,591 "," 22,819 "," 2,833 ", 57 ," 1,015 ", 951 ," 1,678 "," 3,076 "," 1,305 "," 1,049 ", 965 , 68 ," 1,012 "," 23,755 ", 388 , 555 ," 1,320 ", 69 ," 2,096 "," 3,063 ", 54 ," 1,064 ", 92 ," 1,351 "
Oceania," 3,734 ", D , 36 , 60 , 8 ," 1,568 ", 73 , 25 , 3 , 8 , 100 , 57 , 13 , 157 , 14 , 51 , 13 , 9 , 14 , 17 , 7 , 5 , 40 , 79 , 33 , 23 , 8 , 40 , 7 , D , 57 , 13 , 46 , 13 , 134 , 47 , D , 37 , 21 , 74 , 42 , - , D , 32 , 3 , 19 , 172 , 39 , 4 , 124 , 5 , 68 , 257 , D , 20 , D , 24 
South America," 70,485 ", D , 60 , 443 , 80 ," 5,195 ", 480 ," 1,502 ", 94 , 95 ," 24,473 "," 1,914 ", 10 , 120 , 65 ," 1,209 ", 222 , 64 , 151 , 159 , 204 , 34 ," 1,200 "," 3,241 ", 277 , 390 , 76 , 212 , 24 , D , 438 , 198 ," 5,914 ", 84 ," 10,178 "," 1,276 ", D , 488 , 213 , 172 ," 1,018 ", 279 , 319 , 599 , 10 , 337 ," 2,938 ", 108 , 17 , 616 , 35 ," 1,522 ", 463 , D , 204 , 13 , 771 
Unknown, 337 , 2 , - , 7 , 1 , 41 , 2 , 2 , - , - , 27 , 5 , - , - , - , 29 , 6 , 1 , 2 , 6 , 12 , - , 5 , - , 20 , 1 , - , 10 , - , 1 , 1 , - , 6 , - , 22 , 18 , - , 28 , 2 , - , 1 , 2 , - , 1 , - , 10 , 29 , - , 4 , 1 , - , 11 , 4 , - , 2 , - , 15 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 694,193 "," 2,439 "," 1,115 "," 12,784 "," 1,559 "," 151,183 "," 7,805 "," 8,370 "," 1,470 "," 1,016 "," 87,309 "," 17,761 ", 675 ," 3,450 "," 1,473 "," 29,133 "," 4,085 "," 1,840 "," 2,687 "," 2,778 "," 2,496 ", 999 ," 15,790 "," 22,812 "," 10,414 "," 11,044 ", 965 ," 4,175 ", 297 ," 1,876 "," 8,519 "," 1,607 "," 33,826 "," 2,434 "," 76,603 "," 11,360 ", 369 ," 9,326 "," 2,966 "," 5,657 "," 16,162 "," 1,692 "," 2,682 "," 4,033 ", 420 ," 5,396 "," 52,927 "," 1,167 ", 686 ," 3,595 ", 431 ," 13,782 "," 17,317 ", 348 ," 4,434 ", 228 ," 6,426 "
Afghanistan," 1,998 ", - , - , 85 , - , 661 , 32 , 20 , 5 , - , 32 , 53 , - , - , 19 , 33 , 5 , 5 , 5 , 5 , 3 , 4 , 29 , 29 , 23 , 7 , - , 33 , D , 20 , 12 , 3 , 48 , 11 , 261 , 10 , - , 9 , D , 20 , 25 , - , D , 5 , D , 17 , 94 , - , - , 18 , - , 247 , 29 , - , D , - , 74 
Albania," 4,267 ", 3 , 4 , 40 , D , 65 , 8 , 233 , 5 , D , 510 , 10 , - , D , D , 244 , 6 , 3 , D , 4 , D , 6 , 34 , 490 , 595 , 8 , - , 56 , - , D , 21 , 16 , 211 , 3 ," 1,122 ", 23 , - , 73 , 10 , 8 , 245 , D , - , 7 , - , 13 , 41 , - , - , 3 , - , 41 , 15 , D , 47 , - , 32 
Algeria, 773 , D , - , 6 , D , 104 , 12 , 8 , - , D , 52 , 11 , - , - , - , 43 , 9 , 4 , D , D , 7 , - , 19 , 86 , 21 , 4 , D , D , D , - , 6 , D , 52 , - , 101 , 15 , D , 27 , D , D , 52 , - , 8 , 3 , - , 3 , 45 , D , - , - , D , 19 , 17 , - , 6 , D , 14 
American Samoa, 205 , - , 14 , D , - , 45 , D , - , - , - , - , D , - , 37 , - , - , D , - , 4 , 3 , - , - , - , - , - , - , - , 3 , - , - , 4 , - , D , D , - , D , - , D , 4 , 3 , - , - , - , 5 , - , D , 8 , 11 , - , 11 , - , 12 , 30 , - , - , - , 1 
Andorra, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Angola, 162 , D , D , D , - , 6 , D , 3 , - , - , 14 , 5 , - , D , D , 8 , - , - , - , - , - , - , 7 , 42 , - , D , - , - , - , 4 , D , - , 10 , D , 7 , 5 , - , - , D , 4 , 6 , D , 8 , - , - , - , 11 , - , - , - , - , 4 , D , - , D , - , 1 
Anguilla, 38 , - , - , - , - , D , - , D , - , - , 3 , 6 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , 5 , D , - , - , - , - , - , - , - , - , - , - , D , - , 17 , - , - , - , - , - , - , - , - 
Antigua-Barbuda, 386 , - , - , - , D , 10 , - , 11 , D , D , 52 , 21 , - , D , - , 3 , - , - , D , D , D , - , 8 , 10 , - , 4 , D , D , - , - , - , - , 23 , D , 149 , 9 , - , D , D , - , 16 , - , - , 4 , - , D , 8 , D , 38 , - , - , 3 , - , - , - , - , - 
Argentina," 3,870 ", 3 , 3 , 34 , 6 , 518 , 51 , 44 , 4 , 9 ," 1,530 ", 64 , - , 20 , 3 , 81 , 12 , 4 , 13 , 13 , 15 , - , 64 , 76 , 36 , 21 , 6 , 15 , D , 5 , 44 , 5 , 159 , 7 , 309 , 72 , D , 30 , 9 , 15 , 72 , 40 , 10 , 24 , - , 25 , 171 , D , D , 57 , D , 68 , 33 , D , 24 , D , 36 
Armenia," 3,965 ", D , - , 21 , D ," 3,352 ", 20 , 7 , D , - , 41 , D , D , - , D , 20 , D , D , - , D , D , D , 22 , 66 , 9 , 6 , D , 4 , - , - , 67 , D , 43 , 5 , 122 , 9 , - , 17 , - , 3 , 15 , - , 8 , 6 , - , 7 , 21 , D , - , 4 , D , 16 , 21 , - , 6 , - , 7 
Aruba, 40 , D , - , - , - , D , - , - , - , - , 7 , D , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , 11 , - , - , D , - , D , - , D , - , - , - , D , 4 , D , 4 , - , - , D , - , - , - , - , - 
Australia," 1,291 ", - , 4 , 31 , 4 , 341 , 43 , 18 , D , 7 , 58 , 29 , 3 , 21 , 6 , 33 , 11 , 6 , 3 , 3 , 5 , D , 25 , 50 , 24 , 17 , 6 , 14 , D , D , 25 , 9 , 32 , 7 , 98 , 27 , - , 22 , 7 , 26 , 23 , - , D , 12 , D , 11 , 85 , D , - , 16 , 3 , 27 , 60 , D , 12 , 3 , 12 
