Return to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Haiti,"18,001",29,3,29,D,122,29,419,154,12,"7,422",448,0,9,5,81,252,13,15,54,47,3,260,"2,041",29,12,4,33,0,3,20,27,"1,736",7,"3,216",138,7,49,7,16,584,6,67,22,D,37,139,19,19,24,4,100,36,D,22,D,164
Honduras,"8,403",63,9,52,31,854,41,75,15,25,"1,524",289,0,7,13,134,89,32,40,50,290,6,244,188,35,53,15,53,D,25,64,9,585,6,843,265,0,61,29,27,98,18,16,87,3,88,"1,279",11,0,41,D,381,136,5,39,D,56
Hong Kong,"2,463",3,0,13,4,"1,049",10,12,D,9,48,40,3,21,3,44,8,3,11,0,4,0,45,80,14,9,0,12,0,3,39,4,79,0,370,18,0,15,D,24,34,D,3,5,0,5,126,D,D,18,3,23,216,D,12,D,10
Hungary,"1,038",3,D,13,0,199,16,16,0,D,202,24,D,8,6,18,7,3,6,5,D,4,12,19,6,6,5,8,0,4,17,6,73,3,134,15,D,8,3,17,37,0,D,6,0,6,42,0,0,4,D,19,35,D,7,0,3
Iceland,100,0,0,D,D,12,D,D,0,0,10,5,0,D,0,5,D,D,0,D,0,D,D,5,3,4,0,D,0,0,0,0,3,0,7,0,0,0,0,3,3,0,D,0,0,0,10,0,0,D,0,D,5,4,D,0,D
India,"65,960",416,14,645,196,"14,018",283,733,316,51,"1,774","3,086",D,25,23,"3,891",855,165,201,303,130,36,"1,266","1,566","1,299",482,112,308,4,69,137,142,"7,960",74,"3,903","1,203",18,"1,273",225,424,"2,762",5,38,503,12,575,"8,608",D,11,121,32,"2,060","2,823",39,398,5,338
Indonesia,"1,660",10,D,27,7,500,38,7,3,D,69,58,0,8,7,28,10,6,4,7,4,3,35,22,19,14,0,9,0,3,30,11,48,D,110,19,D,25,9,29,76,D,D,13,0,19,163,4,D,3,3,42,123,D,11,D,10
Iran,"15,752",29,D,203,26,"7,641",133,59,11,44,328,480,0,11,49,300,51,17,56,43,21,D,467,302,159,61,8,52,D,27,176,10,173,24,432,146,6,119,81,200,178,D,13,43,5,72,"1,837",D,0,71,6,714,726,8,37,3,86
Iraq,"11,503",13,0,725,9,"1,855",211,53,0,7,230,118,0,D,100,489,50,51,34,214,15,106,90,241,"1,712",156,3,155,10,295,43,22,70,46,342,88,27,360,43,158,186,0,27,21,4,192,"1,662",D,D,95,15,446,545,5,113,0,47
Ireland,"2,026",6,4,22,D,377,20,38,3,5,109,28,0,6,8,114,12,4,4,11,7,4,29,212,16,19,D,6,0,4,7,13,112,4,373,35,D,20,D,29,71,0,11,15,0,8,102,0,0,5,D,41,86,0,7,0,12
Israel,"3,709",9,3,32,D,930,42,33,4,9,380,126,0,5,4,86,6,3,7,6,13,0,62,124,41,17,3,14,0,D,65,6,311,6,703,30,0,71,3,32,77,4,3,14,D,15,192,0,D,D,D,30,144,0,15,0,21
Italy,"3,910",12,6,37,4,645,32,84,9,34,523,63,D,10,13,123,11,12,4,5,8,5,48,173,101,14,D,15,3,D,22,14,297,15,767,64,0,44,D,20,152,5,16,29,0,19,189,12,0,14,5,95,81,3,21,D,24
Jamaica,"22,963",89,12,89,9,327,85,"1,274",118,46,"5,242","1,691",0,19,7,193,71,13,21,36,88,73,843,674,116,52,42,59,0,10,48,23,"1,719",13,"6,828",294,12,146,25,17,794,D,37,160,8,87,626,48,12,13,21,370,86,28,43,D,200
Japan,"2,033",9,D,43,4,594,22,19,D,11,59,52,17,153,9,45,14,4,7,9,4,3,38,44,35,14,3,7,D,D,28,7,84,6,185,30,D,28,4,46,27,D,3,6,0,13,100,16,3,12,0,50,123,5,11,D,16
Jordan,"4,559",38,3,55,13,672,21,40,4,6,292,62,0,D,D,529,84,12,22,43,92,4,63,61,217,36,12,50,D,11,13,7,295,17,221,69,D,316,22,21,113,8,3,28,D,79,532,3,10,9,D,154,70,3,85,0,31
Kazakhstan,"1,243",3,D,6,D,231,28,5,D,5,93,19,0,3,6,56,7,6,3,8,3,3,17,23,6,18,0,8,D,D,8,D,40,4,193,23,0,31,6,28,50,0,0,14,0,7,102,D,0,5,0,46,101,D,10,0,4
Kenya,"6,090",72,4,123,15,372,80,28,98,21,96,292,0,8,16,82,81,63,120,52,11,11,256,292,52,713,7,129,3,53,19,21,257,6,149,138,29,198,41,53,189,D,6,19,6,60,"1,033",6,0,17,9,114,474,3,38,D,52
"Korea, South","14,880",193,31,107,21,"4,248",149,82,19,30,199,"1,099",37,156,15,461,73,17,38,31,30,5,458,215,207,48,10,50,4,8,141,5,"1,290",13,"1,437",178,4,140,35,152,381,D,6,43,D,72,"1,080",57,9,64,D,867,718,6,29,D,106
Kosovo,866,4,0,22,3,14,D,42,0,D,45,22,0,D,7,37,0,7,0,16,0,0,7,17,48,D,D,5,3,D,5,3,59,D,314,5,0,4,8,5,33,0,0,6,D,6,50,0,D,D,0,13,12,D,22,D,6
Kuwait,"1,189",7,0,18,3,193,11,7,0,4,56,25,0,0,7,66,18,4,13,10,13,5,16,33,64,10,D,10,0,5,6,D,82,3,74,15,0,44,7,8,32,0,D,7,D,13,173,D,4,D,0,49,45,D,16,0,4
Kyrgyzstan,763,D,D,4,D,112,9,4,0,3,34,14,0,D,D,139,3,D,D,D,0,0,4,22,D,16,0,9,0,D,0,D,20,D,104,10,0,28,4,18,43,0,0,4,0,4,40,D,0,D,0,33,53,D,D,0,6
Laos,"1,829",15,13,11,49,466,22,21,D,0,34,64,D,13,4,22,3,47,39,0,10,D,10,20,30,276,0,8,0,4,14,D,4,D,14,55,0,16,21,32,23,D,21,16,0,28,94,0,0,16,0,27,81,D,166,0,11
Latvia,351,3,D,5,0,69,6,8,4,D,39,9,0,D,D,15,0,0,D,3,D,0,7,11,D,6,0,D,D,D,D,D,15,D,49,7,0,3,D,8,8,0,0,7,D,D,20,D,0,0,0,5,13,0,5,D,D
Lebanon,"2,957",7,0,35,D,526,17,16,4,18,178,61,0,0,D,64,17,5,15,14,13,3,26,181,558,22,D,6,D,4,22,17,116,4,173,34,0,124,17,14,63,D,9,9,D,10,336,3,0,7,D,128,45,D,10,0,17
Liberia,"4,542",7,D,38,3,73,34,29,99,9,27,206,0,D,0,38,47,168,13,48,D,D,266,134,45,610,D,23,0,6,10,8,357,3,200,151,130,97,11,16,897,0,160,6,26,37,279,4,D,5,4,89,35,6,20,0,59
Libya,495,D,0,6,0,50,16,7,D,D,29,12,0,0,0,16,5,3,0,6,D,D,5,16,22,7,0,12,0,3,4,0,21,D,26,5,D,38,6,10,17,0,0,4,D,8,64,0,0,D,D,25,26,D,8,0,4
Lithuania,686,D,D,6,D,50,11,5,D,D,58,20,0,D,D,260,7,3,D,0,D,0,8,7,14,7,0,0,0,3,11,0,40,D,59,8,0,12,D,8,12,0,0,6,0,D,11,0,0,D,0,15,17,0,7,0,4
Macau,111,D,D,D,0,50,D,D,0,D,D,0,D,D,0,D,0,0,0,0,0,0,0,D,D,0,0,0,0,0,4,0,D,0,16,D,0,D,0,3,D,0,0,0,0,0,6,0,0,0,0,D,6,0,0,0,D
Malawi,168,3,0,D,D,10,0,D,D,D,6,15,0,0,0,4,15,0,D,4,0,0,9,7,11,D,0,D,0,0,0,D,4,0,10,D,0,5,4,0,5,0,0,0,0,3,23,0,0,D,0,8,3,0,3,0,D
Malaysia,"1,387",5,5,27,D,331,25,4,D,D,49,58,0,9,7,42,20,D,9,6,6,D,28,27,14,19,D,9,D,5,13,D,44,4,204,13,D,17,12,23,21,0,3,6,0,6,137,D,0,D,D,34,65,0,53,D,8
Mali,575,D,0,6,D,6,7,4,4,4,8,27,0,0,0,9,6,D,D,D,0,0,53,D,6,4,0,0,0,3,3,D,14,D,212,12,0,29,0,D,79,0,D,0,0,3,29,0,0,D,0,8,17,0,3,0,3
Mauritania,280,D,0,D,0,4,5,D,D,D,0,6,0,0,0,5,16,0,0,18,9,0,5,D,5,0,D,D,0,0,D,0,3,0,65,3,3,68,0,D,16,0,D,0,0,7,5,0,0,0,0,21,D,0,0,0,D
Mauritius,103,D,0,D,0,16,3,D,0,D,6,D,0,D,0,D,0,0,0,0,0,D,6,3,D,D,0,0,0,D,D,D,5,0,11,D,0,0,3,D,0,0,0,0,0,0,11,0,0,0,0,9,8,0,D,0,0
Mexico,"128,878",578,80,"6,623",740,"45,883","1,991",257,181,45,"3,032","2,714",3,89,770,"5,857","1,076",553,901,386,284,15,437,248,961,831,176,473,25,459,"2,480",36,"1,084","1,586","1,756","1,641",46,528,"1,164","2,499",693,71,43,493,37,737,"30,723",68,7,"1,242",8,648,"3,236",36,"1,052",86,"1,210"
Moldova,"2,791",32,11,20,D,420,53,7,6,D,294,90,0,4,5,436,8,4,D,5,12,D,24,89,15,45,D,16,D,3,42,3,56,5,217,69,11,36,4,52,57,0,D,40,4,24,95,D,0,11,13,61,359,D,4,4,10
Mongolia,672,D,D,3,D,222,45,4,0,4,7,6,0,5,D,103,3,D,D,D,0,0,11,8,D,4,0,D,0,3,6,0,11,D,24,0,0,D,5,D,4,0,0,D,0,D,14,D,0,4,0,89,48,D,9,0,7
Montenegro,297,0,D,D,0,21,0,3,0,D,5,D,0,D,0,26,D,D,0,0,0,0,5,0,43,0,0,0,0,0,3,0,27,D,132,D,0,D,0,0,8,0,0,0,0,D,5,0,0,D,D,D,D,0,0,0,0
Morocco,"3,885",14,D,25,9,257,58,75,16,15,381,97,0,4,3,161,36,10,13,54,12,D,54,403,44,27,9,10,D,D,24,15,314,4,406,115,D,116,39,24,253,D,17,27,D,12,207,D,D,8,3,392,48,8,29,D,23
Nepal,"9,408",37,5,62,18,936,281,73,16,10,90,212,0,13,20,118,34,71,41,217,20,D,487,321,101,95,7,46,D,79,14,83,167,19,"1,031",224,64,734,44,63,652,0,14,12,17,63,"1,514",7,D,60,55,693,287,7,76,D,93
Netherlands,918,6,D,21,8,147,19,11,D,7,90,26,0,4,6,13,8,D,7,9,5,3,23,25,22,8,4,7,3,0,6,5,33,4,60,17,0,17,D,20,30,D,D,7,3,22,97,0,0,5,3,25,53,D,12,0,7
New Zealand,789,4,4,14,4,196,24,8,D,D,33,12,D,24,3,24,D,5,D,3,3,3,9,14,13,12,D,4,3,0,10,D,11,0,55,13,0,14,8,33,14,0,D,8,0,11,51,D,0,17,D,26,78,D,3,0,D
Nicaragua,"4,609",14,D,39,8,"1,004",21,16,4,9,"1,920",102,D,D,0,41,24,9,6,12,45,D,116,19,11,17,3,10,0,5,74,D,126,3,147,82,0,13,6,27,44,9,3,19,D,26,352,5,D,17,0,103,35,3,19,D,27
Niger,172,D,D,D,D,D,D,D,0,0,5,5,0,0,D,D,21,0,0,0,D,0,9,D,5,D,0,0,0,D,0,D,4,D,33,18,0,5,0,0,28,0,D,D,0,D,4,0,0,0,D,4,D,0,0,D,D
Nigeria,"14,438",77,9,133,32,989,78,87,63,82,319,"1,126",D,11,14,608,306,18,53,48,44,9,"1,472",382,204,252,13,92,D,19,59,20,880,16,"1,217",237,22,283,118,59,373,0,70,49,5,109,"3,621",30,3,18,6,301,146,18,77,4,154
North Macedonia,"1,074",0,11,14,D,28,8,44,0,D,84,4,0,D,D,231,37,9,D,D,0,D,6,17,52,D,0,4,0,D,10,D,231,0,101,5,0,38,0,D,8,0,0,D,0,D,40,0,D,3,0,13,5,0,44,0,6
Norway,677,8,5,12,D,122,19,10,D,D,58,11,0,4,6,15,D,5,3,D,D,4,9,19,10,20,D,D,D,0,7,4,20,D,45,7,D,4,D,10,16,D,0,7,0,D,103,0,0,4,D,15,55,0,10,0,3
Pakistan,"18,006",86,6,91,33,"2,118",67,234,85,17,474,542,0,5,20,"1,060",145,22,59,71,69,10,674,302,389,66,9,113,D,19,63,28,"1,363",26,"3,218",265,D,273,93,33,591,0,28,23,4,74,"3,123",0,D,50,D,"1,357",334,25,125,D,115
Panama,"1,357",16,3,11,4,114,17,8,D,6,303,87,0,D,0,26,12,0,5,5,11,D,40,16,7,D,6,9,D,D,14,D,47,7,209,32,D,16,6,8,20,13,D,16,0,13,143,4,0,11,0,47,19,3,4,D,7
Paraguay,389,0,D,6,0,32,3,14,D,D,51,3,0,D,D,3,3,0,4,0,D,0,19,4,D,D,0,3,0,D,0,0,40,D,126,D,0,0,0,3,5,D,0,5,0,0,20,0,0,3,D,10,13,0,0,D,D
Peru,"10,822",38,15,73,16,"1,394",108,295,23,45,"2,076",296,0,9,41,141,46,13,16,33,17,12,345,152,50,59,9,33,11,8,91,10,"1,731",12,"1,144",151,3,92,40,62,172,32,15,57,3,46,626,6,0,207,3,617,175,6,62,7,78
Philippines,"53,413",244,371,881,161,"19,212",306,273,97,71,"2,143",568,640,"2,582",115,"2,270",349,91,137,170,286,61,"1,229",281,502,263,100,237,36,69,"2,094",61,"2,304",242,"2,805",471,96,457,181,474,609,D,34,254,41,332,"4,001",154,272,192,D,"1,356","2,541",73,240,32,328
Poland,"7,069",19,7,61,D,417,51,380,11,12,323,78,0,18,5,"2,215",32,5,5,8,8,4,44,130,144,30,3,6,5,5,36,15,922,6,"1,237",43,D,32,8,26,198,0,19,32,D,25,168,6,0,12,4,48,122,D,48,0,29
Portugal,"1,896",D,D,5,0,186,6,116,D,D,96,23,0,0,4,10,3,3,3,0,0,0,31,306,8,4,D,D,0,0,4,7,593,0,220,11,0,D,4,6,51,0,73,7,0,5,39,D,0,6,D,22,19,D,D,D,7
Qatar,161,D,0,D,0,25,4,0,D,0,5,7,0,0,0,5,0,D,3,D,0,0,6,3,7,0,0,D,0,0,0,0,6,0,12,9,0,6,D,D,D,0,D,0,0,0,32,0,0,0,0,14,D,0,D,0,D
Romania,"3,327",22,D,125,6,460,27,32,15,6,290,146,0,14,11,359,22,3,3,9,12,8,41,65,166,18,5,12,4,5,62,9,122,6,271,47,D,65,9,78,73,D,6,49,D,33,227,4,0,10,D,90,226,D,23,D,19
Russia,"8,654",37,27,68,7,"1,805",131,99,19,24,818,199,0,16,23,297,37,18,15,31,12,15,148,318,89,83,12,49,5,15,70,19,451,6,"1,122",148,8,118,26,178,316,4,15,89,8,46,494,4,5,34,4,229,704,7,62,8,62
Rwanda,877,5,3,63,0,23,5,D,D,0,4,23,0,0,11,24,33,24,4,86,0,45,15,10,36,5,0,11,0,D,3,15,5,D,19,12,D,105,3,7,16,0,D,8,D,25,164,0,0,20,D,9,11,0,8,0,7
Saint Kitts and Nevis,357,D,0,D,D,3,D,11,D,0,68,19,0,D,0,3,0,0,0,0,0,D,8,10,D,D,0,D,0,D,D,D,14,0,89,5,0,D,0,0,5,3,0,0,0,5,21,D,63,0,0,7,D,0,0,0,3
Saint Lucia,844,D,0,3,0,18,D,44,3,3,94,36,0,D,0,5,D,D,0,D,3,0,21,13,3,0,0,0,0,0,D,D,52,0,352,6,0,4,4,D,22,0,D,3,0,D,80,D,45,0,D,7,5,0,D,0,3
Saint Vincent and the Grenadines,510,3,0,3,0,11,0,10,D,D,41,20,0,0,D,3,D,0,0,0,0,0,12,7,D,0,D,0,0,0,0,0,37,D,292,6,D,D,0,0,23,0,3,D,0,D,8,0,4,0,0,6,D,0,0,0,4
Samoa,230,D,15,4,0,60,3,0,0,0,3,0,0,19,3,D,0,0,D,0,0,0,0,D,0,0,0,8,0,D,7,0,0,D,0,0,0,0,D,6,0,0,0,0,0,0,4,D,D,38,0,D,46,D,0,0,D
Saudi Arabia,"1,915",6,0,20,7,323,25,20,5,8,89,40,D,D,4,123,21,10,6,12,8,4,35,40,105,34,3,13,0,6,8,D,96,4,126,25,4,72,12,22,46,D,D,14,0,16,277,0,D,6,D,122,60,4,11,0,13
Senegal,"1,361",6,0,8,D,56,20,10,D,11,21,77,0,0,D,23,20,D,12,44,7,0,82,19,38,6,D,8,0,0,12,D,70,0,338,36,3,139,6,D,40,0,34,5,0,24,78,4,D,D,0,36,31,0,12,0,12
Serbia,"1,226",D,9,22,3,137,14,13,D,10,126,19,0,4,0,256,22,D,D,D,D,4,15,41,23,3,0,5,0,D,30,D,47,D,168,14,0,22,D,8,25,0,0,6,D,D,52,0,0,4,0,44,23,3,28,0,8
Serbia and Montenegro (former),664,0,D,20,D,85,4,16,D,4,51,13,0,D,D,72,12,4,D,3,D,D,16,14,44,5,D,6,0,0,9,3,32,D,117,7,D,25,D,7,15,0,0,0,0,4,16,0,0,4,0,7,19,D,6,0,6
Sierra Leone,"1,981",7,D,20,D,105,8,12,27,17,14,86,0,0,D,13,10,8,D,3,D,0,417,54,9,36,D,D,0,D,D,D,163,D,143,31,5,119,D,9,194,0,D,D,D,10,116,D,0,3,0,262,22,D,10,0,23
Singapore,386,D,D,5,D,96,8,3,0,D,20,10,0,D,0,14,D,0,D,0,D,0,5,14,5,D,0,D,0,0,6,0,22,D,41,5,0,3,4,3,5,0,0,D,0,D,42,D,0,3,3,12,30,0,D,0,3
Slovakia,466,D,0,8,0,57,7,15,4,0,52,13,0,D,D,34,D,4,D,D,0,0,5,12,3,3,3,D,0,0,3,D,60,D,53,12,0,10,3,5,23,0,3,6,0,4,21,0,0,D,D,7,13,0,D,0,3
Slovenia,103,D,0,0,D,30,0,0,0,D,8,3,0,D,0,4,D,0,0,D,0,0,D,3,0,D,0,D,0,0,D,0,0,D,14,D,0,4,0,D,3,0,D,D,0,0,5,D,0,D,0,D,3,0,0,0,0
Somalia,"7,699",D,14,106,0,112,172,5,0,3,5,82,0,D,22,40,32,71,49,372,0,78,20,108,49,"3,113",D,161,D,280,4,5,D,0,234,27,55,967,0,173,77,0,D,0,19,67,166,0,0,62,42,49,525,0,274,D,51
South Africa,"3,002",36,D,48,25,412,80,45,7,12,324,188,0,20,14,84,33,8,17,27,17,8,51,61,38,34,5,21,6,8,22,15,97,5,163,86,9,36,14,43,76,0,5,33,9,51,385,6,D,33,4,99,125,5,27,5,17
South Sudan,178,0,0,8,0,3,D,0,0,0,4,D,0,0,D,5,D,18,D,4,0,3,4,5,3,15,0,8,0,16,0,D,0,0,D,0,D,3,D,5,5,0,0,0,0,7,17,0,0,10,0,8,11,0,D,0,0
Soviet Union (former),"2,376",11,9,23,0,451,31,47,5,10,174,46,0,6,12,95,8,11,3,8,3,D,44,131,14,22,D,12,D,4,18,9,138,7,308,34,D,32,5,35,97,0,3,21,3,13,119,0,0,10,3,78,232,3,14,0,7
Spain,"2,577",11,0,25,7,419,35,33,5,33,489,54,0,10,4,71,20,5,7,9,7,0,47,110,21,11,D,13,4,5,19,6,181,8,305,43,D,28,3,28,52,34,5,15,0,14,185,4,D,17,D,68,78,D,9,0,13
Sri Lanka,"1,936",5,D,9,6,351,12,32,9,6,48,45,0,3,D,50,12,6,19,12,3,D,138,58,33,35,D,17,0,0,34,4,137,D,337,28,D,27,4,32,38,0,4,6,0,6,217,D,0,7,D,52,56,0,11,D,13
Sudan,"3,303",8,4,120,D,163,102,36,6,11,75,75,0,D,31,126,68,196,43,29,7,11,125,61,73,55,D,64,D,140,12,16,67,D,211,112,5,125,5,15,168,0,4,11,38,89,326,D,0,40,D,262,95,0,34,0,31
Suriname,194,0,0,0,0,4,0,4,D,0,41,9,0,0,0,0,0,0,0,0,0,0,6,D,D,D,0,0,0,0,D,0,14,0,83,0,0,D,D,0,7,0,0,D,0,D,6,0,0,D,0,3,D,D,0,0,D
Sweden,"1,115",6,4,17,5,333,22,11,D,7,95,29,0,13,5,27,4,3,D,3,D,D,17,35,10,12,D,7,0,0,8,D,51,6,81,38,D,13,3,13,22,0,D,4,D,6,70,D,0,12,3,27,59,D,6,D,9
Switzerland,544,D,D,6,0,126,15,7,0,D,59,18,0,9,4,14,4,D,D,3,D,D,10,20,6,D,D,3,3,3,5,0,27,3,60,13,0,6,4,8,10,0,6,4,3,D,27,0,0,5,D,11,19,0,D,0,4
Syria,"9,896",17,D,385,6,"1,775",91,184,D,9,469,198,0,0,56,598,141,31,38,211,21,58,187,227,"1,051",32,3,108,9,85,48,11,345,24,421,223,D,508,21,115,706,0,76,16,5,70,744,D,0,26,4,204,170,27,87,0,50
Taiwan,"5,559",7,5,60,0,"2,479",36,29,7,6,113,99,D,32,18,139,31,11,8,6,8,0,85,122,57,23,10,13,0,D,48,10,187,11,451,29,D,45,10,117,93,D,5,10,3,21,507,6,D,21,4,88,431,6,18,D,27
Tajikistan,528,0,0,4,D,44,35,D,D,0,17,5,0,3,0,19,D,D,0,0,D,0,9,3,D,D,0,7,D,30,4,0,30,0,176,D,0,5,0,10,29,0,0,D,0,4,19,0,0,0,0,37,21,0,D,0,D
Tanzania,866,12,0,34,0,44,7,11,4,5,31,39,0,4,9,21,10,29,16,35,3,D,53,27,25,24,0,10,0,3,5,9,19,D,58,24,4,33,3,D,25,0,D,D,D,15,119,0,0,7,D,26,28,0,14,0,9
Thailand,"6,502",38,38,126,44,"1,370",99,45,20,11,319,162,7,71,35,192,123,68,48,69,20,10,102,177,96,316,11,60,7,89,133,24,93,9,382,120,7,79,41,141,115,0,17,44,22,59,482,15,D,51,12,225,416,8,184,D,42
Togo,"1,483",15,D,16,0,28,15,32,6,11,15,96,0,D,D,113,31,80,8,28,4,0,176,11,5,75,D,14,0,58,5,D,50,4,192,49,5,41,D,4,49,0,D,11,3,13,74,6,0,6,0,77,16,D,17,0,14
Tonga,421,0,4,16,0,224,4,0,D,0,D,D,0,35,3,0,0,0,0,D,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,D,0,0,8,0,0,0,0,0,0,20,0,0,80,0,0,15,0,0,0,D
Trinidad and Tobago,"4,832",10,D,20,4,111,12,54,20,20,700,192,0,D,D,25,17,D,D,D,18,4,223,105,15,17,4,6,0,0,16,D,423,8,"1,982",54,D,23,5,7,193,D,10,14,0,14,314,4,13,6,D,85,24,D,5,D,37
Tunisia,509,5,D,4,5,82,5,4,5,6,53,12,0,D,0,18,5,3,D,4,D,0,14,12,18,D,0,D,0,0,D,D,21,0,55,11,0,14,0,11,30,0,0,D,0,6,36,0,0,0,0,39,8,D,5,0,4
Turkey,"4,725",23,D,38,17,765,34,73,26,18,329,137,0,7,4,134,17,10,9,8,13,5,103,185,49,26,D,23,4,D,22,18,653,8,667,75,D,62,13,36,142,0,5,22,D,32,452,5,0,7,4,205,186,D,16,D,27
Turkmenistan,228,0,0,5,D,33,D,D,3,D,16,4,0,0,0,10,0,0,0,D,0,0,D,D,5,6,0,0,0,0,3,D,13,D,48,D,0,D,D,D,12,0,0,D,0,0,21,0,0,D,0,3,14,0,8,0,D
Uganda,"1,296",12,D,19,5,148,31,11,3,8,29,31,0,D,6,47,17,8,6,12,4,3,72,243,21,50,D,11,D,5,6,4,40,4,53,23,D,36,9,13,35,0,4,9,0,17,106,D,0,8,3,41,56,0,5,D,12
Ukraine,"10,179",28,43,50,10,"1,571",148,128,19,25,562,195,0,14,64,846,36,22,18,57,15,11,103,184,184,100,D,91,11,18,34,19,523,7,"1,397",121,7,262,40,359,524,5,9,172,17,80,310,3,D,34,3,180,"1,383",8,46,D,79
United Arab Emirates,966,6,0,9,D,146,11,D,D,3,42,35,0,D,0,52,10,D,6,D,5,0,19,8,56,12,0,4,3,D,3,0,57,D,74,15,0,23,8,13,35,0,0,5,D,5,181,D,0,D,0,55,39,D,3,0,5
United Kingdom,"12,975",72,11,240,40,"2,405",237,250,32,65,"1,289",466,D,42,52,380,116,53,44,67,50,51,214,416,266,109,16,81,11,14,117,49,566,44,"1,133",322,3,180,52,225,359,D,44,164,4,138,"1,303",13,D,79,22,325,548,25,93,5,68
United States,392,D,0,7,3,64,0,4,0,D,45,10,0,4,D,5,3,0,0,D,D,D,11,8,3,11,D,D,0,0,4,0,26,3,48,9,0,6,4,D,8,0,D,D,0,D,58,0,0,D,D,17,9,0,D,0,D
Uruguay,"1,038",5,0,8,D,60,3,25,D,D,291,76,0,4,0,5,5,D,D,4,D,0,24,44,4,6,D,D,0,D,7,D,192,D,67,10,D,5,D,D,26,5,D,12,0,5,54,D,0,21,0,27,4,D,7,0,8
Uzbekistan,"3,030",7,D,14,D,252,23,13,D,3,195,54,0,D,9,112,17,D,5,17,D,0,71,33,26,15,D,28,0,D,12,4,98,D,"1,071",38,D,178,D,39,318,0,0,46,D,41,80,D,0,3,0,70,91,D,5,D,24
Venezuela,"11,497",46,5,64,11,403,57,55,22,33,"5,718",376,0,12,10,127,61,13,28,52,39,D,117,149,63,35,11,42,0,4,33,8,280,13,520,143,3,94,40,50,131,110,19,75,D,69,"1,836",4,D,96,D,181,117,D,17,3,94
Vietnam,"33,246",316,24,573,162,"10,151",391,168,39,26,"1,554","1,452",D,157,47,543,185,168,235,113,391,40,417,903,402,518,138,281,11,148,216,53,400,100,433,489,19,325,370,658,901,D,14,199,20,272,"5,845",25,0,125,11,975,"1,831",29,157,9,213
Yemen,"4,212",71,0,6,21,646,3,31,21,D,14,16,0,0,0,135,49,3,3,4,30,D,19,11,958,24,70,5,0,D,3,D,39,D,"1,515",147,D,29,D,11,48,0,0,7,D,86,44,0,0,0,D,63,26,9,5,D,25
Zambia,503,D,0,13,4,32,5,20,3,5,25,53,0,0,6,20,12,D,D,3,D,0,22,11,11,12,D,3,0,D,0,D,12,D,29,6,0,11,5,6,29,0,3,5,D,3,67,D,D,3,D,21,23,0,3,D,0
Zimbabwe,855,7,0,12,0,68,6,5,3,5,39,42,0,D,0,26,28,3,4,13,6,D,43,33,24,12,D,5,0,4,3,7,25,4,45,21,5,21,5,8,26,0,D,9,0,7,189,0,0,9,D,38,26,4,4,D,4
All other countries2,"1,326",10,D,15,D,125,12,19,7,10,185,67,6,26,D,24,12,D,8,4,5,3,55,57,21,9,0,4,0,D,13,D,70,D,144,27,0,19,3,19,45,D,10,14,3,16,105,4,17,12,0,38,52,D,7,D,8
Unknown,217,7,D,0,D,25,D,0,0,0,14,4,0,0,0,17,3,3,D,0,D,0,D,D,4,D,D,5,0,D,D,0,10,0,5,3,0,7,D,D,9,0,0,D,0,D,23,0,D,D,0,9,D,0,0,0,44
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Includes American Samoa, Northern Mariana Islands, and U.S. Virgin Islands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Includes countries with fewer than 100 naturalizations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office of Homeland Security Statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
