Return to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Argentina,"4,163",15,D,26,18,544,44,58,6,21,"1,296",95,0,21,5,76,16,8,D,6,8,D,69,71,19,16,D,14,D,3,39,5,247,5,385,50,D,32,8,43,73,36,4,15,D,23,455,3,0,70,4,86,58,D,29,D,25
Armenia,"2,741",0,0,23,0,"2,070",14,4,0,D,29,4,0,D,4,19,3,0,D,D,D,0,21,62,10,3,D,6,0,0,57,3,51,D,157,8,0,16,D,6,28,D,3,5,D,D,34,0,0,12,0,24,31,0,D,0,17
Australia,"2,213",6,6,40,9,512,68,27,3,11,130,44,D,21,13,68,16,10,10,13,3,10,29,66,31,20,D,20,4,4,36,8,74,9,228,30,0,22,4,50,38,D,D,26,D,29,190,3,D,32,6,45,145,0,21,4,12
Austria,202,D,0,4,0,45,D,D,0,D,21,6,0,D,3,8,3,D,0,D,0,0,5,4,4,3,0,D,0,0,D,D,8,0,14,3,0,D,D,D,6,0,0,D,0,3,17,0,0,3,0,9,10,D,3,0,D
Azerbaijan,741,0,D,6,0,152,8,7,D,3,38,13,0,0,D,34,D,D,10,4,D,D,23,34,6,4,0,D,0,0,5,0,18,0,140,8,0,16,0,3,25,0,D,D,0,4,80,0,0,0,0,40,38,0,3,0,3
Bahamas,758,5,0,4,D,14,5,4,5,D,386,79,0,0,0,6,4,0,D,3,3,D,9,12,D,4,D,D,0,0,D,D,9,0,36,26,D,6,6,3,11,0,D,8,D,5,54,0,D,0,0,15,8,0,6,D,6
Bahrain,134,D,D,4,0,25,0,3,0,D,4,6,0,0,0,9,D,D,0,0,0,D,D,4,6,0,0,D,0,0,4,0,9,0,11,0,0,3,0,0,6,0,0,0,0,D,13,D,0,0,0,4,6,0,3,0,D
Bangladesh,"14,177",30,3,55,20,631,27,212,39,12,421,395,0,4,D,101,46,14,23,8,16,D,287,232,939,42,0,30,D,3,19,3,978,5,"7,222",66,3,73,45,51,453,0,8,15,D,34,803,D,5,7,D,566,121,4,22,0,75
Barbados,668,D,0,D,D,15,3,11,6,D,77,46,0,D,0,5,4,0,D,D,0,0,24,44,D,D,D,D,0,D,D,D,61,D,250,11,0,4,D,0,34,0,0,5,0,D,20,0,3,D,D,9,5,D,3,0,D
Belarus,"2,163",12,0,14,D,375,36,22,14,4,172,41,0,5,6,122,8,5,D,8,3,4,39,89,14,48,0,12,D,D,12,6,134,D,342,45,0,28,D,39,128,0,D,36,D,6,70,D,0,4,D,43,181,D,8,D,11
Belgium,608,D,D,15,D,115,10,4,0,7,62,30,0,D,4,13,D,D,0,D,D,D,13,24,9,9,D,5,0,D,6,0,24,4,68,10,0,8,D,11,11,0,6,6,0,3,58,D,0,5,D,15,24,0,8,0,D
Belize,"1,114",8,0,12,D,293,3,6,4,D,90,23,0,3,D,104,3,D,D,8,4,D,11,3,5,3,D,6,0,0,24,D,38,0,188,8,D,7,D,9,17,D,D,8,D,10,158,D,0,5,0,16,12,0,D,0,6
Benin,539,0,0,3,D,12,27,4,0,3,5,27,0,D,0,42,41,20,3,4,D,0,46,D,4,26,0,4,0,16,D,0,14,0,62,8,D,19,8,D,34,0,D,4,0,4,39,0,0,D,0,23,10,0,6,0,8
Bhutan,"4,332",0,D,19,0,5,48,D,0,0,0,158,0,D,34,38,4,62,20,203,0,0,30,87,75,70,0,39,0,84,D,33,3,D,238,75,102,"1,318",0,15,"1,132",0,D,0,21,40,90,D,D,10,129,55,51,D,10,0,21
Bolivia,"1,753",5,D,5,3,151,6,14,D,15,229,23,0,3,D,17,12,D,5,3,4,3,121,33,10,7,D,7,0,D,14,D,83,D,103,10,D,5,6,10,13,D,29,8,0,4,124,D,D,13,0,603,15,3,5,0,15
Bosnia and Herzegovina,"1,742",9,3,84,D,69,17,65,D,D,118,160,0,D,17,165,33,96,D,80,4,3,5,13,117,24,0,101,0,3,24,17,21,D,96,28,8,40,D,11,51,D,0,7,3,21,85,0,0,14,5,33,50,D,21,0,8
Brazil,"13,203",67,11,111,27,"1,550",106,385,18,35,"2,946",554,D,51,17,210,64,24,41,32,44,9,190,"1,562",112,50,10,47,12,8,93,90,"1,071",19,833,217,4,112,40,78,280,9,45,102,5,63,975,10,D,147,8,248,312,14,49,7,76
Bulgaria,"2,182",6,6,16,D,291,45,11,19,12,186,69,0,8,3,401,6,3,6,9,5,4,43,119,21,10,0,19,D,D,84,4,125,0,178,27,0,18,9,14,54,0,4,24,0,13,77,D,0,13,D,73,106,0,18,4,11
Burkina Faso,569,D,D,D,D,8,D,D,D,6,4,22,0,0,0,9,7,D,D,6,D,0,44,6,0,3,0,5,0,10,D,D,40,0,191,4,0,35,D,3,37,0,D,D,0,3,58,D,0,D,0,13,23,0,5,0,6
Burma,"9,277",7,5,166,38,572,158,27,5,5,178,444,0,8,30,353,"1,306",310,159,322,29,D,254,30,174,738,3,81,5,199,13,6,27,7,565,255,5,110,343,118,202,0,D,25,43,128,925,D,D,49,5,46,178,6,562,D,44
Burundi,553,D,0,54,0,8,15,3,0,D,D,9,0,0,11,10,8,33,D,21,D,46,17,6,15,10,0,3,0,D,5,10,3,4,21,4,8,23,0,6,17,0,5,3,8,18,89,0,0,9,0,18,16,0,5,0,5
Cabo Verde,"1,673",D,D,D,0,4,D,41,0,0,17,5,0,D,0,D,0,0,0,0,0,0,D,"1,266",0,0,0,0,0,0,D,D,12,0,13,4,0,D,D,0,11,0,260,D,0,D,3,0,0,D,0,D,0,0,0,0,15
Cambodia,"3,183",13,5,36,16,840,34,23,D,D,76,56,0,11,D,41,19,11,11,64,22,9,30,415,30,146,7,17,D,D,16,9,16,D,28,42,D,54,15,40,185,0,38,21,3,33,264,0,0,22,D,73,352,0,9,0,21
Cameroon,"4,336",14,7,64,18,179,35,10,37,80,73,189,0,5,0,111,31,28,26,27,18,4,"1,175",178,54,131,4,21,D,27,21,7,76,8,131,55,20,232,88,13,100,D,D,9,0,23,713,12,0,6,0,159,36,D,26,D,48
Canada,"12,565",84,31,424,39,"2,093",231,134,26,48,"1,234",379,D,83,107,333,87,43,38,43,40,88,144,356,507,170,12,57,51,22,135,77,365,31,866,247,30,213,58,224,281,D,25,163,17,153,"1,102",8,3,113,54,201,"1,073",16,109,21,73
Central African Republic,170,0,D,13,0,D,14,D,D,5,10,7,0,0,5,17,D,0,0,D,0,4,19,6,3,D,0,D,0,0,D,0,3,D,11,4,0,3,0,D,9,0,0,0,0,0,9,D,0,D,0,5,3,0,D,0,4
Chad,105,0,0,3,0,D,D,8,0,0,D,D,0,0,0,D,12,0,0,D,D,0,8,4,D,0,0,0,0,0,0,0,10,0,11,D,D,6,0,D,6,0,0,D,0,D,14,0,0,D,0,3,D,0,0,0,D
Chile,"1,862",4,0,24,3,244,19,42,7,9,412,50,0,7,15,40,5,6,4,5,D,6,56,49,14,23,D,8,D,D,24,0,132,3,175,20,0,10,0,35,51,4,5,6,D,9,141,D,D,64,0,44,54,0,8,0,14
"China, People's Republic","27,038",71,14,186,20,"8,741",165,211,65,41,586,508,11,166,39,732,151,47,77,59,86,16,548,"1,017",330,210,24,100,9,20,270,41,900,29,"5,299",247,14,271,74,349,656,15,42,89,6,136,"1,802",33,7,74,8,484,"1,547",17,114,10,254
Colombia,"18,089",59,18,109,16,947,100,335,28,47,"5,744",711,0,13,20,273,59,20,28,41,57,9,243,496,58,55,12,40,D,19,93,35,"2,241",21,"2,264",328,5,92,50,45,339,76,123,260,D,84,"1,625",27,D,100,4,323,183,13,59,0,137
"Congo, Democratic Republic","6,438",11,5,298,4,133,133,66,D,6,64,280,D,D,154,305,206,359,72,514,5,76,164,139,168,55,3,155,0,26,29,88,23,17,243,272,24,457,7,48,153,0,14,21,16,128,988,3,D,64,33,114,160,D,84,D,42
"Congo, Republic",353,0,D,21,0,14,12,D,0,D,D,18,0,0,7,17,5,6,8,11,0,5,13,4,9,5,0,D,0,3,D,0,11,D,33,16,D,18,D,D,17,0,D,0,D,14,43,0,0,3,3,D,11,D,D,0,6
Costa Rica,"2,026",11,D,34,6,203,21,42,6,3,358,68,D,3,3,33,5,0,3,10,13,D,24,30,18,11,3,4,0,3,18,5,441,5,112,70,D,14,4,40,57,D,D,41,D,21,155,D,D,14,0,42,30,4,11,0,14
Cote d'Ivoire,"1,684",4,3,20,4,53,14,14,11,8,29,119,0,5,D,24,16,13,4,12,4,D,124,37,21,32,D,7,D,12,10,5,99,0,341,40,7,91,4,3,95,0,12,13,D,18,200,5,0,9,3,51,44,3,18,0,16
Croatia,502,D,0,20,D,70,5,4,D,D,44,25,0,D,4,43,10,10,D,D,3,4,D,6,12,0,D,6,D,0,9,D,21,D,80,7,D,12,D,7,14,0,0,D,D,D,28,D,0,6,0,9,7,0,9,0,3
Cuba,"46,913",62,7,368,8,395,65,49,13,11,"35,311",366,0,6,D,121,67,48,54,966,116,4,46,73,143,25,16,100,D,158,"1,173",8,877,82,439,243,3,49,31,126,274,101,14,60,18,143,"4,197",5,5,14,3,138,85,3,36,3,181
Cyprus,142,0,D,D,0,22,D,5,0,0,10,5,0,D,D,3,D,D,D,0,D,0,D,D,D,0,0,D,0,0,D,0,13,0,38,0,0,D,0,3,3,0,0,D,0,D,7,0,0,D,0,5,3,0,0,0,D
Czechia,591,4,4,16,0,87,20,6,D,3,99,28,0,4,D,56,3,3,3,4,3,0,7,18,5,4,D,3,D,0,8,D,24,D,33,14,0,8,D,8,17,0,D,6,0,4,29,D,0,D,3,13,19,D,3,0,6
Czechoslovakia (former),245,D,0,5,0,47,5,3,D,3,29,7,0,D,0,14,0,D,3,D,D,0,4,7,3,D,0,3,0,0,D,D,8,0,20,3,0,4,0,4,6,0,0,D,0,D,14,D,0,D,D,7,19,0,D,0,3
Denmark,691,3,D,16,D,188,16,6,0,4,65,30,0,4,0,21,7,0,D,D,D,D,8,13,7,11,0,3,D,D,11,D,34,D,47,16,D,3,4,13,11,0,0,D,D,D,47,0,0,13,D,12,46,D,7,D,0
Djibouti,170,D,0,7,0,4,D,0,0,0,D,D,0,0,0,0,0,0,0,5,D,27,8,6,0,51,0,D,0,D,0,0,D,0,5,0,0,5,0,D,D,0,0,0,D,0,9,D,0,D,0,D,10,0,15,0,0
Dominica,706,3,6,D,3,8,D,19,D,0,102,38,0,D,0,6,0,0,0,D,D,0,31,26,D,D,0,D,0,0,D,0,71,0,138,7,0,4,6,D,18,D,D,5,0,D,77,D,96,0,0,11,5,0,D,0,5
Dominican Republic,"34,525",31,44,48,9,151,25,788,70,58,"3,211",430,0,8,6,119,86,25,10,20,125,6,358,"3,260",109,42,18,48,0,17,51,124,"6,416",10,"12,402",331,D,209,10,20,"2,849",818,849,87,4,60,441,18,108,50,3,183,48,7,47,D,255
Ecuador,"10,100",15,4,34,4,346,36,466,16,17,"1,153",128,0,5,6,287,34,19,9,14,16,5,115,144,22,164,4,18,D,8,30,6,"2,344",10,"3,420",135,D,42,15,23,232,8,19,38,0,21,315,13,D,35,D,123,59,4,20,D,92
Egypt,"8,632",13,D,57,10,"1,405",27,76,42,14,499,105,0,7,7,138,75,34,22,24,20,D,111,299,123,68,3,27,0,20,17,8,"1,517",9,"1,057",121,D,160,16,52,373,D,11,70,0,460,734,3,D,6,4,469,215,12,25,D,59
El Salvador,"21,453",43,14,171,240,"6,329",124,78,17,196,694,495,D,11,17,153,124,91,85,37,48,11,"1,709",629,55,134,5,51,D,62,366,12,862,15,"1,918",390,0,102,30,117,135,10,33,43,12,91,"3,458",14,D,127,5,"1,685",183,8,33,D,176
Eritrea,"2,483",5,D,50,0,323,80,10,D,47,18,128,0,0,6,46,58,85,21,26,D,3,129,31,13,57,4,31,0,3,61,0,15,0,42,87,D,142,13,37,75,0,7,0,13,20,332,0,D,10,0,150,263,4,9,0,21
Estonia,224,D,D,5,0,36,4,4,0,3,41,5,0,0,D,6,0,D,0,D,0,D,5,6,0,4,0,D,0,0,D,D,7,D,27,D,0,4,0,5,5,0,0,D,0,D,16,0,0,D,0,3,15,0,0,0,D
Ethiopia,"10,858",12,7,88,3,829,480,25,5,346,112,672,D,D,20,164,83,101,95,72,12,11,"1,215",228,58,"1,151",5,109,D,54,296,D,75,D,141,118,6,356,30,188,185,0,3,12,55,141,874,4,4,23,3,"1,186","1,037",10,44,0,102
Fiji,"1,180",D,D,6,0,893,D,0,0,0,5,6,0,13,D,6,0,0,D,D,3,0,D,3,3,D,D,0,0,0,12,0,5,D,10,0,D,D,D,16,9,0,0,D,0,0,20,D,D,5,0,5,132,D,0,0,9
Finland,438,4,D,5,3,93,4,D,0,6,39,18,0,0,0,8,D,D,D,D,D,D,8,13,7,10,D,3,D,0,D,D,12,0,41,8,0,4,D,6,8,0,3,4,D,D,41,0,0,7,D,11,38,D,6,D,D
France,"4,351",16,D,53,4,"1,065",50,46,4,35,468,91,D,21,26,114,13,8,11,15,15,11,75,146,50,47,D,14,7,D,44,12,195,8,652,61,D,44,5,66,94,6,11,39,D,15,326,D,0,17,D,86,207,3,24,D,17
