Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 779,929 "," 1,811 "," 1,083 "," 13,165 "," 1,567 "," 164,792 "," 6,263 "," 9,253 "," 1,460 "," 1,854 "," 101,773 "," 19,534 ", 691 ," 3,494 "," 1,305 "," 27,706 "," 4,369 "," 2,503 "," 2,761 "," 3,341 "," 2,543 ", 988 ," 17,752 "," 21,404 "," 12,950 "," 10,526 ", 973 ," 4,817 ", 294 ," 2,418 "," 8,507 "," 1,589 "," 41,173 "," 2,371 "," 107,330 "," 12,150 ", 532 ," 10,664 "," 3,487 "," 5,784 "," 17,813 "," 2,447 "," 2,816 "," 4,770 ", 464 ," 5,004 "," 57,947 ", 310 , 673 ," 3,026 ", 496 ," 22,279 "," 17,589 ", 443 ," 4,532 ", 242 ," 2,101 "
Africa," 71,872 ", 224 , 73 ," 1,136 ", 79 ," 5,763 "," 1,039 ", 676 , 296 , 657 ," 2,135 "," 3,513 ", D , 50 , 118 ," 2,187 ", 654 , 551 , 377 , 655 , 181 , 319 ," 5,407 "," 3,297 ", 879 ," 4,736 ", 83 , 836 , 11 , 686 , 588 , 183 ," 3,594 ", 78 ," 6,440 "," 1,811 ", 208 ," 3,179 ", 443 , 450 ," 2,689 ", 4 , 535 , 599 , 178 ," 1,187 "," 5,687 ", 27 , D , 216 , 129 ," 3,943 "," 2,276 ", 59 , 430 , 18 , 293 
Asia," 275,700 ", 844 , 550 ," 3,579 ", 555 ," 84,764 "," 1,819 "," 2,493 ", 559 , 342 ," 9,363 "," 7,011 ", 640 ," 2,770 ", 391 ," 10,862 "," 1,815 ", 819 ," 1,191 "," 1,197 "," 1,107 ", 312 ," 6,027 "," 5,780 "," 7,624 "," 3,467 ", 478 ," 1,891 ", 80 , 735 ," 3,490 ", 558 ," 13,825 ", 496 ," 33,351 "," 4,247 ", 147 ," 4,103 "," 1,418 "," 2,153 "," 7,055 ", 54 , 424 ," 1,530 ", 136 ," 1,960 "," 19,663 ", 88 , 82 , 843 , 134 ," 9,872 "," 7,917 ", 202 ," 2,095 ", 76 , 716 
Europe," 80,333 ", 200 , 177 ," 1,167 ", 106 ," 11,455 "," 1,013 "," 2,001 ", 124 , 237 ," 6,645 "," 1,958 ", 17 , 208 , 233 ," 6,951 ", 557 , 449 , 175 , 464 , 220 , 168 ," 1,405 "," 3,117 "," 2,440 ", 914 , 90 ," 1,115 ", 103 , 161 , 782 , 379 ," 4,584 ", 201 ," 11,380 "," 1,473 ", 82 ," 1,714 ", 239 ," 1,162 "," 2,634 ", 56 , 271 , 734 , 87 , 564 ," 3,017 ", 18 , 18 , 332 , 113 ," 1,989 "," 3,564 ", 58 , 725 , 38 , 249 
North America," 271,807 ", 417 , 175 ," 6,780 ", 749 ," 55,702 "," 1,932 "," 2,414 ", 372 , 454 ," 59,983 "," 4,946 ", 10 , 198 , 504 ," 6,620 "," 1,092 ", 594 , 886 , 851 , 805 , 142 ," 3,487 "," 6,241 "," 1,687 ", 964 , 254 , 746 , 70 , 752 ," 3,162 ", 300 ," 11,891 "," 1,481 "," 41,135 "," 3,325 ", 64 ," 1,161 "," 1,143 "," 1,738 "," 4,287 "," 2,079 "," 1,310 "," 1,258 ", 52 , 986 ," 26,097 ", 125 , 550 , 981 , 94 ," 3,911 "," 3,013 ", 82 ," 1,053 ", 91 , 611 
Oceania," 3,849 ", 7 , 58 , 70 , 9 ," 1,527 ", 73 , 25 , D , D , 126 , 73 , 17 , 142 , 11 , 63 , D , 11 , D , 12 , 15 , 10 , D , 62 , 27 , 33 , D , D , 6 , 3 , D , 14 , 49 , 13 , 155 , 56 , 6 , 24 , D , D , D , - , 10 , 35 , 3 , 24 , 166 , 26 , D , D , D , D , D , D , D , 3 , 20 
South America," 76,167 ", 119 , 50 , 430 , 69 ," 5,557 ", 387 ," 1,644 ", D , 146 ," 23,505 "," 2,030 ", D , 126 , 48 ," 1,004 ", 226 , 79 , 117 , 156 , 207 , 37 ," 1,391 "," 2,900 ", 266 , 409 , D , 201 , 24 , 81 , 433 , 155 ," 7,221 ", 102 ," 14,864 "," 1,232 ", 25 , 462 , 205 , 212 ," 1,115 ", 254 , 266 , 611 , 8 , 277 ," 3,306 ", 26 , 13 , 519 , D ," 2,466 ", 510 , D , 209 , 16 , 207 
Unknown, 201 , - , - , 3 , - , 24 , - , - , - , D , 16 , 3 , - , - , - , 19 , D , - , D , 6 , 8 , - , D , 7 , 27 , 3 , D , D , - , - , D , - , 9 , - , 5 , 6 , - , 21 , D , D , D , - , - , 3 , - , 6 , 11 , - , - , D , - , D , D , - , D , - , 5 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 779,929 "," 1,811 "," 1,083 "," 13,165 "," 1,567 "," 164,792 "," 6,263 "," 9,253 "," 1,460 "," 1,854 "," 101,773 "," 19,534 ", 691 ," 3,494 "," 1,305 "," 27,706 "," 4,369 "," 2,503 "," 2,761 "," 3,341 "," 2,543 ", 988 ," 17,752 "," 21,404 "," 12,950 "," 10,526 ", 973 ," 4,817 ", 294 ," 2,418 "," 8,507 "," 1,589 "," 41,173 "," 2,371 "," 107,330 "," 12,150 ", 532 ," 10,664 "," 3,487 "," 5,784 "," 17,813 "," 2,447 "," 2,816 "," 4,770 ", 464 ," 5,004 "," 57,947 ", 310 , 673 ," 3,026 ", 496 ," 22,279 "," 17,589 ", 443 ," 4,532 ", 242 ," 2,101 "
Afghanistan," 2,074 ", 4 , - , 61 , - , 682 , 24 , 18 , 5 , D , 24 , 45 , - , D , 23 , 14 , 6 , 7 , 11 , 6 , 7 , 7 , 30 , 16 , 13 , 8 , - , 27 , D , 23 , 29 , 6 , 47 , 15 , 245 , 29 , - , 9 , 3 , 20 , 48 , - , - , 8 , D , 24 , 67 , - , - , 9 , - , 368 , 56 , - , 12 , 3 , 9 
Albania," 3,538 ", D , 3 , 23 , - , 54 , 9 , 184 , 4 , D , 309 , 7 , - , D , 3 , 191 , 7 , D , 3 , D , D , D , 31 , 349 , 612 , D , D , 39 , D , - , 26 , 18 , 204 , 3 , 899 , 26 , - , 97 , D , 5 , 239 , - , 3 , 19 , - , 9 , 26 , - , - , 5 , D , 38 , 19 , D , 48 , D , 10 
Algeria, 841 , D , D , 8 , - , 136 , 8 , 9 , D , D , 39 , 15 , - , D , D , 33 , 9 , 4 , 5 , 5 , 10 , D , 17 , 50 , 11 , 13 , D , 6 , - , D , 3 , 5 , 49 , D , 111 , 26 , - , 44 , D , 5 , 61 , - , 4 , 8 , - , 4 , 59 , - , - , 3 , D , 44 , 11 , - , 9 , D , D 
American Samoa, 265 , - , 26 , 5 , - , 27 , 5 , - , - , - , D , 12 , D , 28 , D , D , D , - , - , - , - , - , - , - , - , - , - , D , - , - , 3 , - , - , - , D , 3 , - , D , 10 , D , - , - , - , 14 , D , D , 10 , 8 , - , 17 , - , 10 , 67 , - , - , - , 3 
Angola, 143 , - , - , D , - , 11 , - , 6 , - , D , 13 , 3 , - , - , - , - , - , D , D , - , - , - , 8 , 26 , D , D , - , - , - , D , - , D , 16 , - , 6 , D , - , - , D , - , 10 , - , 8 , - , - , - , 17 , - , - , - , D , 5 , - , - , - , - , - 
Anguilla, 26 , - , - , - , - , - , D , - , - , D , D , D , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , 6 , D , - , D , - , - , - , - , - , - , - , - , D , - , 9 , - , - , - , - , - , - , - , - 
Antigua-Barbuda, 366 , - , - , D , - , 4 , - , 5 , - , D , 62 , 14 , - , D , - , D , D , - , D , - , - , - , 12 , 12 , D , D , D , - , - , - , - , - , 22 , - , 135 , 10 , - , D , D , - , 12 , - , - , D , - , D , 10 , - , 38 , - , - , 8 , - , - , D , - , 3 
