Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Argentina," 4,177 ", 8 , D , 44 , 5 , 592 , 38 , 63 , 5 , 17 ," 1,536 ", 91 , D , 15 , 7 , 71 , 20 , D , 11 , 13 , 14 , - , 76 , 83 , 27 , 24 , 6 , 26 , D , D , 58 , 3 , 195 , 20 , 395 , 45 , - , 33 , 8 , 21 , 57 , 36 , 10 , 21 , - , 21 , 205 , - , - , 40 , D , 141 , 45 , D , 15 , - , 5 
Armenia," 3,203 ", - , - , 13 , - ," 2,599 ", 16 , 5 , - , D , 37 , 9 , - , - , D , 14 , 5 , - , D , D , D , - , 24 , 47 , 11 , 7 , - , D , - , - , 56 , D , 46 , - , 122 , 4 , - , 23 , 4 , 10 , 25 , - , 7 , 6 , - , D , 23 , D , - , 9 , - , 25 , 34 , - , 6 , - , D 
Aruba, 42 , - , - , - , - , - , - , - , - , - , 14 , D , - , - , - , D , - , - , - , - , - , - , 4 , D , - , - , - , - , - , - , - , - , - , - , 9 , D , - , - , - , - , - , - , - , - , - , D , 5 , - , 3 , - , - , - , - , - , - , - , D 
Australia," 1,296 ", 4 , 5 , 30 , 7 , 310 , 44 , 18 , D , 13 , 73 , 34 , D , 11 , 6 , 42 , 12 , 9 , 5 , 3 , 12 , 6 , 21 , 42 , 13 , 24 , D , 11 , 4 , D , 13 , 8 , 33 , 7 , 121 , 30 , 4 , 16 , 12 , 14 , 21 , - , 8 , 8 , D , 13 , 75 , - , - , 16 , D , 43 , 66 , - , 14 , - , 8 
Austria, 248 , - , D , 3 , - , 55 , D , D , - , - , 32 , 7 , - , 3 , D , 13 , - , D , D , 3 , D , D , 5 , 9 , 3 , D , D , D , D , D , D , 4 , 9 , D , 22 , 3 , - , 5 , D , - , D , - , - , 4 , - , D , 16 , - , - , D , D , 12 , 7 , D , 3 , D , D 
Azerbaijan, 786 , D , D , 8 , D , 290 , 5 , 3 , D , 4 , 23 , 7 , - , - , 5 , 13 , 5 , 6 , - , 4 , D , D , 23 , 16 , 18 , 6 , - , 4 , - , - , 4 , D , 10 , - , 152 , 7 , - , 16 , 3 , 8 , 29 , - , - , D , D , - , 43 , - , - , 3 , D , 17 , 34 , D , D , - , D 
Bahamas, 681 , D , - , D , - , 14 , - , D , 3 , 3 , 463 , 29 , - , - , - , 8 , 3 , D , - , 5 , D , D , 10 , 10 , 4 , D , - , D , - , - , 3 , - , 10 , - , 24 , 10 , - , 10 , 3 , D , 7 , D , - , 6 , - , 8 , 15 , - , D , 3 , D , 8 , - , - , 3 , - , - 
Bahrain, 76 , D , - , 3 , - , 13 , D , - , - , - , 4 , D , - , - , D , 7 , - , - , D , - , - , - , 3 , D , D , D , - , - , - , - , D , - , 3 , - , 7 , - , - , D , D , - , D , - , - , D , - , D , 11 , - , - , - , - , 3 , D , - , - , - , - 
Bangladesh," 9,571 ", 35 , D , 66 , 13 , 613 , 23 , 136 , 19 , 12 , 480 , 259 , - , 5 , 3 , 86 , 11 , 10 , 30 , 7 , 21 , - , 201 , 121 , 363 , 35 , 3 , 20 , - , 15 , 21 , D , 525 , 9 ," 4,955 ", 32 , - , 61 , 43 , 20 , 245 , - , 7 , 17 , 3 , 32 , 543 , - , D , 5 , D , 386 , 50 , D , 8 , - , 15 
Barbados, 683 , D , D , - , - , 15 , 3 , 10 , D , D , 80 , 21 , - , D , - , 5 , D , - , - , - , D , - , 22 , 44 , - , D , D , - , - , - , D , - , 42 , - , 347 , 15 , - , 4 , D , D , 24 , - , - , 4 , - , - , 10 , D , 3 , - , - , 11 , - , 3 , D , - , D 
Belarus," 1,797 ", 3 , 4 , 13 , D , 271 , 32 , 24 , 5 , D , 92 , 27 , D , 7 , 4 , 90 , 13 , D , 3 , 4 , 5 , D , 20 , 105 , 16 , 93 , D , 9 , 11 , 5 , 6 , 4 , 102 , D , 329 , 33 , - , 45 , D , 35 , 112 , - , 5 , 32 , D , 14 , 31 , - , - , 5 , D , 45 , 110 , - , 16 , - , 4 
Belgium, 513 , D , D , 5 , - , 95 , 10 , 8 , - , 4 , 50 , 20 , - , - , 3 , 17 , D , - , - , D , D , D , 24 , 13 , 12 , 6 , - , 4 , D , - , D , 5 , 28 , 3 , 52 , 9 , - , 8 , - , 7 , 16 , - , 3 , 7 , - , 4 , 44 , - , - , D , - , 20 , 9 , D , 12 , - , - 
Belize, 966 , D , - , 13 , D , 399 , 3 , 4 , 3 , D , 81 , 23 , - , - , - , 92 , 9 , - , D , D , 7 , - , 10 , 7 , 6 , 5 , 4 , 3 , D , - , 19 , - , 10 , - , 119 , 10 , - , 6 , 4 , 4 , 7 , - , D , 8 , - , 5 , 67 , 4 , D , D , D , 11 , D , - , 4 , - , D 
Benin, 206 , - , - , D , - , 6 , 4 , - , - , D , 8 , 4 , - , D , - , 17 , 6 , 3 , D , 3 , D , - , 29 , 3 , 3 , D , - , - , - , 14 , D , - , 4 , - , 18 , 7 , D , 6 , 3 , - , 21 , - , - , 3 , - , - , 12 , - , - , - , D , 13 , 4 , - , D , - , - 
Bermuda, 59 , 5 , - , - , D , D , - , D , - , D , 11 , 4 , - , - , - , - , D , - , - , - , D , - , 5 , 3 , - , - , - , D , - , - , - , D , 4 , - , 3 , 4 , - , 3 , - , - , - , - , D , D , - , - , D , - , - , - , D , D , D , - , - , - , D 
Bhutan, 275 , - , D , 17 , - , 22 , D , - , - , - , D , 19 , - , - , 8 , 5 , D , D , D , 5 , - , - , 3 , 5 , D , 6 , - , 5 , D , - , - , 19 , - , - , 35 , 4 , 3 , 27 , - , 7 , 23 , - , - , D , D , D , 16 , - , - , 3 , 5 , 6 , 18 , - , - , - , - 
Bolivia," 1,961 ", 3 , - , 7 , 3 , 144 , 10 , 12 , D , 6 , 279 , 22 , - , D , D , 19 , 5 , - , 4 , 4 , 5 , 4 , 142 , 30 , 4 , 6 , 4 , 6 , - , 3 , 8 , 3 , 61 , 3 , 139 , 18 , - , 10 , 5 , 10 , 16 , D , 39 , 14 , - , 3 , 90 , - , - , 16 , - , 768 , 10 , 4 , 10 , D , 6 
Bosnia-Herzegovina," 3,662 ", D , D , 127 , D , 113 , 40 , 88 , D , D , 314 , 218 , - , D , 44 , 231 , 52 , 228 , 8 , 143 , 8 , D , 23 , 46 , 247 , 49 , - , 463 , D , 13 , 35 , 48 , 38 , - , 252 , 63 , 33 , 132 , 6 , 25 , 95 , - , - , 7 , 12 , 39 , 142 , - , - , 45 , 11 , 76 , 91 , D , 41 , - , 4 
Botswana, 29 , D , - , D , - , D , D , - , D , - , - , 6 , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , D , - , - , D , - , - , - , - , - , D , - , - , D , - , - , - , - , 3 , D , - , - , - , - 
Brazil," 9,565 ", 26 , 5 , 66 , 11 ," 1,054 ", 76 , 341 , 11 , 33 ," 2,255 ", 331 , - , 48 , 8 , 130 , 40 , 11 , 19 , 22 , 36 , 10 , 143 ," 1,776 ", 70 , 52 , 11 , 39 , 5 , 9 , 70 , 72 , 687 , 11 , 674 , 132 , 4 , 72 , 22 , 33 , 155 , 7 , 23 , 62 , D , 39 , 394 , 4 , - , 93 , 8 , 155 , 120 , 6 , 46 , 4 , 32 
British Virgin Islands, 45 , D , - , - , - , D , - , - , - , D , 10 , 5 , - , - , - , D , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , D , - , 5 , D , - , - , D , - , - , - , - , - , - , - , - , D , 12 , - , - , D , - , - , - , - , - 
Brunei, 11 , - , - , D , - , 4 , D , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Bulgaria," 2,646 ", D , D , 48 , D , 380 , 27 , 36 , 7 , 8 , 210 , 94 , - , 11 , 6 , 503 , 17 , 5 , 5 , 21 , 13 , 13 , 43 , 128 , 44 , 23 , 3 , 42 , D , D , 116 , 7 , 68 , 4 , 221 , 32 , D , 45 , 9 , 12 , 55 , - , 3 , 26 , - , 11 , 83 , - , - , 17 , D , 105 , 95 , D , 27 , - , 10 
Burkina Faso, 230 , - , D , 3 , D , 6 , - , 5 , 3 , D , 4 , 10 , - , - , - , 7 , D , - , - , - , - , - , 22 , - , D , 9 , D , D , - , D , D , - , 19 , D , 58 , 4 , - , 6 , D , - , 6 , - , - , 10 , - , - , 11 , - , - , - , - , 11 , 13 , - , 6 , - , - 
Burma," 3,489 ", 5 , D , 66 , 3 , 640 , 25 , 19 , - , D , 123 , 82 , D , 8 , 21 , 112 , 218 , 38 , 42 , 31 , 6 , 4 , 135 , 39 , 62 , 232 , D , 23 , - , 94 , 17 , D , 18 , 5 , 522 , 138 , - , 65 , 46 , 39 , 55 , - , D , 29 , 13 , 42 , 226 , - , - , 22 , D , 69 , 85 , D , 52 , - , 7 
Burundi, 379 , 6 , - , 23 , D , 11 , 13 , D , - , - , 5 , 7 , - , - , 7 , 8 , D , 13 , D , 13 , - , D , 8 , 7 , 3 , 4 , - , 16 , - , 9 , - , 3 , D , 3 , 28 , D , 3 , 20 , D , 15 , 7 , - , 3 , D , 5 , 11 , 56 , - , - , 7 , 17 , 21 , 11 , - , D , - , - 
Cambodia," 4,161 ", 7 , 4 , 23 , 13 ," 1,696 ", 35 , 42 , D , 4 , 86 , 81 , - , 7 , - , 41 , 15 , 9 , 16 , 35 , 14 , 26 , 29 , 359 , 38 , 157 , 3 , 11 , D , 7 , 24 , 10 , 20 , D , 61 , 61 , D , 65 , 9 , 55 , 286 , - , 55 , 24 , D , 26 , 234 , D , - , 19 , D , 84 , 335 , - , 20 , D , 6 
Cameroon," 2,541 ", 14 , 4 , 26 , 6 , 123 , 19 , 9 , 14 , 46 , 53 , 158 , - , 3 , D , 73 , 20 , 10 , 9 , 17 , 11 , 4 , 816 , 83 , 35 , 94 , 8 , 17 , - , 17 , 9 , 3 , 41 , 7 , 92 , 33 , 5 , 74 , 48 , D , 38 , - , D , 45 , 6 , 10 , 269 , D , D , D , - , 118 , 12 , D , 13 , D , 18 
Canada," 8,690 ", 30 , 29 , 312 , 11 ," 1,256 ", 149 , 130 , 22 , 25 , 892 , 264 , D , 61 , 49 , 271 , 78 , 43 , 42 , 43 , 35 , 71 , 131 , 307 , 409 , 150 , 14 , 61 , 29 , 29 , 115 , 89 , 216 , 37 , 508 , 292 , 33 , 212 , 37 , 150 , 192 , D , 23 , 122 , 6 , 81 , 650 , 7 , D , 65 , 65 , 194 , 509 , 8 , 101 , 8 , 22 
Cape Verde," 1,014 ", - , - , - , - , 3 , - , 32 , - , D , 15 , - , - , - , - , - , - , - , - , D , D , - , 3 , 765 , D , - , - , - , - , - , - , - , 6 , - , 9 , D , - , D , - , - , D , - , 159 , 5 , - , D , - , D , - , D , - , D , - , - , - , - , D 
Cayman Islands, 17 , - , - , - , - , D , - , - , - , - , 8 , D , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , 3 , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Central African Republic, 54 , D , - , D , - , D , D , - , - , D , - , D , - , - , - , 4 , D , - , - , 3 , - , - , 11 , - , - , - , - , - , - , - , - , - , - , - , 3 , 3 , - , 5 , - , - , 4 , - , - , - , - , - , 7 , - , - , - , - , 4 , - , - , - , - , - 
Chad, 64 , D , - , D , - , 4 , - , D , - , D , D , D , - , - , - , D , 6 , D , - , D , - , - , 6 , - , - , - , - , D , - , D , - , - , 11 , - , 6 , D , - , D , - , D , 5 , - , - , - , - , - , 3 , - , - , - , - , 3 , D , - , - , - , - 
Chile," 1,649 ", 4 , 3 , 21 , 3 , 240 , 14 , 26 , 7 , 11 , 463 , 34 , - , 5 , D , 21 , 9 , 3 , D , 4 , 3 , D , 32 , 47 , 12 , 17 , D , 8 , 3 , - , 12 , 5 , 106 , 4 , 165 , 41 , D , 20 , 5 , 16 , 45 , 8 , 3 , 12 , - , 13 , 67 , - , - , 36 , D , 42 , 33 , 3 , 6 , D , 5 
"China, People's Republic"," 35,387 ", 81 , 24 , 225 , 70 ," 10,600 ", 199 , 294 , 60 , 45 , 768 , 533 , 24 , 216 , 27 , 991 , 227 , 97 , 105 , 104 , 89 , 28 , 734 ," 1,206 ", 335 , 280 , 61 , 227 , 15 , 38 , 309 , 42 , 974 , 48 ," 10,209 ", 381 , 18 , 467 , 113 , 330 ," 1,010 ", 25 , 47 , 191 , 10 , 161 ," 1,462 ", 8 , 5 , 81 , 20 , 683 , 826 , 31 , 168 , 10 , 55 
Christmas Island, D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Colombia," 22,196 ", 42 , 16 , 110 , 20 ," 1,054 ", 67 , 366 , 25 , 22 ," 9,498 ", 775 , D , 18 , 8 , 265 , 41 , 23 , 31 , 34 , 63 , 5 , 274 , 513 , 56 , 65 , 18 , 41 , 6 , 34 , 109 , 41 ," 2,094 ", 31 ," 3,164 ", 459 , 6 , 85 , 49 , 29 , 321 , 86 , 133 , 298 , D , 74 ," 1,087 ", 7 , 6 , 75 , 4 , 339 , 95 , 8 , 50 , D , 50 
Comoros, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
"Congo, Democratic Republic"," 1,250 ", 4 , - , 48 , - , 75 , 28 , 25 , - , 5 , 24 , 70 , - , - , 23 , 54 , 10 , 16 , 7 , 25 , 3 , 23 , 84 , 48 , 16 , 18 , D , 21 , - , 7 , 3 , 9 , 8 , D , 75 , 119 , D , 35 , 3 , 14 , 17 , - , 5 , D , 11 , 13 , 193 , - , D , 7 , 9 , 61 , 14 , D , 7 , - , 4 
"Congo, Republic", 402 , 4 , D , 13 , - , 21 , 10 , D , D , D , 8 , 12 , - , D , 5 , 24 , D , 6 , - , 6 , 4 , 3 , 23 , 9 , 8 , D , - , 9 , - , 4 , 5 , 5 , 9 , 6 , 38 , 21 , - , 17 , D , 5 , 20 , - , D , D , D , 5 , 52 , - , - , 4 , 5 , 15 , 4 , - , - , - , 5 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
Costa Rica," 1,661 ", 3 , 3 , 14 , 3 , 172 , 15 , 34 , 3 , 4 , 346 , 64 , D , 3 , 3 , 23 , 10 , D , 8 , 3 , 11 , 5 , 30 , 32 , 7 , 12 , D , 9 , D , 5 , 23 , D , 272 , 5 , 144 , 76 , - , 10 , 7 , 12 , 39 , 10 , D , 34 , D , 14 , 96 , - , D , 10 , D , 37 , 20 , D , 14 , D , 4 
Cote d'Ivoire, 958 , D , D , 7 , D , 59 , 14 , 6 , 5 , 5 , 18 , 78 , - , D , - , 24 , 11 , 4 , D , 6 , D , - , 107 , 26 , 17 , 15 , - , 12 , - , 4 , 3 , D , 46 , D , 239 , 28 , D , 27 , 8 , 3 , 33 , - , 4 , 20 , - , 9 , 38 , - , - , 3 , - , 35 , 20 , D , 5 , - , 5 
Croatia, 561 , - , - , 19 , - , 66 , 7 , 8 , 5 , D , 68 , 17 , - , D , D , 27 , 17 , 15 , 4 , D , D , 4 , 7 , 17 , 11 , 8 , D , 16 , - , D , 7 , 4 , 20 , D , 51 , 15 , - , 53 , D , 3 , 10 , - , - , 4 , 3 , D , 19 , - , - , D , - , 10 , 6 , D , 18 , - , D 
Cuba," 30,482 ", 18 , 7 , 130 , 4 , 295 , 17 , 29 , D , 6 ," 26,231 ", 161 , - , 4 , 3 , 102 , 15 , 8 , 17 , 341 , 55 , D , 30 , 46 , 104 , 14 , 9 , 47 , - , 64 , 406 , 3 , 549 , 61 , 348 , 115 , 3 , 23 , 17 , 113 , 112 , 118 , 7 , 38 , D , 61 , 482 , 6 , - , 10 , - , 119 , 34 , D , 21 , - , 73 
Cyprus, 112 , - , D , 4 , - , 10 , - , 4 , - , - , 14 , D , - , - , - , 5 , - , - , D , D , D , D , - , 5 , 4 , - , - , D , - , - , D , - , 9 , D , 23 , 3 , - , - , D , - , D , - , D , - , - , 3 , 7 , - , - , - , - , D , D , - , D , - , - 
Czech Republic, 562 , 8 , D , 3 , D , 78 , 17 , 9 , - , D , 104 , 34 , - , 5 , D , 48 , D , D , 4 , 4 , D , D , 18 , 11 , 5 , 6 , D , 7 , D , - , 7 , 4 , 19 , - , 50 , 11 , - , 8 , D , 7 , 16 , - , D , 3 , - , D , 18 , D , - , D , D , 19 , 9 , D , 4 , - , - 
"Czechoslovakia, former", 232 , 4 , D , D , - , 32 , 9 , 6 , D , D , 26 , 10 , - , D , D , 12 , D , D , D , 3 , - , D , 6 , D , 5 , 6 , - , 5 , D , - , 3 , D , 11 , - , 18 , 5 , - , 4 , D , D , 4 , - , - , D , - , 5 , 7 , D , - , D , D , 8 , 12 , - , 3 , - , D 
Denmark, 127 , - , - , D , - , 28 , - , D , - , - , 10 , 7 , - , - , D , 3 , - , 5 , D , - , - , D , D , 7 , D , D , - , - , D , - , D , 4 , 6 , - , 8 , D , - , D , D , D , 5 , - , D , D , - , D , 8 , - , - , - , - , D , 6 , - , D , D , D 
