Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 707,265 "," 1,045 "," 1,011 "," 12,462 "," 1,328 "," 157,364 "," 6,104 "," 7,441 "," 1,453 "," 1,944 "," 69,485 "," 16,461 ", 842 ," 3,491 "," 1,994 "," 24,933 "," 6,420 "," 2,677 "," 3,152 "," 3,445 "," 2,160 "," 1,039 "," 17,729 "," 27,739 "," 12,725 "," 7,834 ", 662 ," 5,109 ", 347 ," 2,422 "," 7,438 "," 1,897 "," 38,611 "," 3,312 "," 86,407 "," 13,890 ", 607 ," 12,427 "," 3,769 "," 6,382 "," 14,898 "," 2,651 "," 3,415 "," 5,033 ", 632 ," 3,645 "," 50,552 ", 33 , 653 ," 3,141 ", 760 ," 21,930 "," 16,030 ", 560 ," 3,165 ", 247 ," 4,362 "
Africa," 61,851 ", 115 , 65 , 719 , 62 ," 4,504 ", 847 , 529 , 294 , 686 ," 1,563 "," 2,553 ", 3 , 34 , 128 ," 1,773 ", 837 , 645 , 412 , 524 , 178 , 250 ," 4,900 "," 4,211 ", 794 ," 3,006 ", 65 , 841 , 17 , 409 , 418 , 189 ," 3,014 ", 105 ," 5,961 "," 1,941 ", 265 ," 2,869 ", 499 , 384 ," 1,993 ", 5 , 710 , 523 , 169 , 842 ," 4,287 ", D , 7 , 235 , 78 ," 3,575 "," 1,820 ", 88 , 305 , 20 , 584 
Asia," 255,306 ", 472 , 513 ," 3,206 ", 429 ," 71,819 "," 1,748 "," 1,967 ", 562 , 330 ," 6,896 "," 6,173 ", 800 ," 2,949 ", 586 ," 9,836 "," 3,082 "," 1,050 "," 1,293 "," 1,415 ", 916 , 356 ," 6,365 "," 8,557 "," 7,799 "," 2,954 ", 292 ," 2,270 ", 130 , 856 ," 2,573 ", 877 ," 13,463 ", 520 ," 29,539 "," 5,225 ", 202 ," 6,070 "," 1,426 "," 2,497 "," 6,755 ", 50 , 505 ," 1,556 ", 297 ," 1,389 "," 14,808 ", 16 , 157 , 851 , 410 ," 9,912 "," 7,309 ", 243 ," 1,343 ", 67 ," 1,625 "
Europe," 65,141 ", 106 , 150 , 889 , 81 ," 9,885 ", 861 ," 1,356 ", 115 , 250 ," 4,394 "," 1,428 ", 14 , 179 , 248 ," 5,301 ", 538 , 226 , 169 , 369 , 147 , 207 ," 1,192 "," 3,851 "," 2,046 ", 599 , 40 , 773 , 93 , 135 , 561 , 321 ," 3,925 ", 198 ," 9,084 "," 1,398 ", 46 ," 1,501 ", 230 ," 1,139 "," 1,850 ", 64 , 363 , 730 , 44 , 293 ," 1,995 ", 4 , 10 , 250 , 131 ," 1,758 "," 2,597 ", 69 , 427 , 47 , 464 
North America," 258,371 ", 281 , 172 ," 7,193 ", 697 ," 64,403 "," 2,249 "," 2,182 ", 393 , 482 ," 41,338 "," 4,464 ", 15 , 125 , 927 ," 6,985 "," 1,666 ", 687 ," 1,114 ", 936 , 756 , 168 ," 3,910 "," 7,700 "," 1,698 ", 948 , 219 , 955 , 76 , 931 ," 3,481 ", 328 ," 10,938 "," 2,365 "," 30,595 "," 3,968 ", 72 ," 1,395 "," 1,388 "," 2,038 "," 3,324 "," 2,150 "," 1,467 "," 1,491 ", 105 , 890 ," 26,827 ", 8 , 469 ," 1,197 ", 106 ," 4,170 "," 3,601 ", 102 , 900 , 85 ," 1,241 "
Oceania," 3,327 ", D , 46 , 56 , 4 ," 1,329 ", 61 , 23 , 3 , 10 , 87 , 77 , 6 , 112 , 16 , 51 , 22 , 8 , 15 , 7 , 10 , 14 , 21 , 72 , 36 , 21 , 3 , 24 , 7 , 9 , 34 , 8 , 42 , 10 , 176 , 48 , D , 31 , 14 , 85 , 41 , - , 5 , 54 , D , 15 , 110 , D , 3 , 85 , 5 , 74 , 261 , 6 , 13 , 12 , 38 
South America," 63,063 ", D , 65 , 394 , 55 ," 5,402 ", 336 ," 1,382 ", 86 , 186 ," 15,186 "," 1,760 ", 4 , 89 , 89 , 978 , 272 , 61 , 147 , 194 , 153 , 44 ," 1,324 "," 3,338 ", 342 , 305 , 43 , 244 , 24 , 81 , 369 , 173 ," 7,219 ", 113 ," 11,030 "," 1,305 ", D , 558 , 212 , 236 , 933 , 382 , 364 , 678 , D , 215 ," 2,510 ", D , 7 , 522 , 30 ," 2,438 ", 442 , 52 , 177 , 16 , 391 
Unknown, 206 , - , - , 5 , - , 22 , 2 , 2 , - , - , 21 , 6 , - , 3 , - , 9 , 3 , - , 2 , - , - , - , 17 , 10 , 10 , 1 , - , 2 , - , 1 , 2 , 1 , 10 , 1 , 22 , 5 , - , 3 , - , 3 , 2 , - , 1 , 1 , - , 1 , 15 , - , - , 1 , - , 3 , - , - , - , - , 19 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
