Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total," 707,265 "," 1,045 "," 1,011 "," 12,462 "," 1,328 "," 157,364 "," 6,104 "," 7,441 "," 1,453 "," 1,944 "," 69,485 "," 16,461 ", 842 ," 3,491 "," 1,994 "," 24,933 "," 6,420 "," 2,677 "," 3,152 "," 3,445 "," 2,160 "," 1,039 "," 17,729 "," 27,739 "," 12,725 "," 7,834 ", 662 ," 5,109 ", 347 ," 2,422 "," 7,438 "," 1,897 "," 38,611 "," 3,312 "," 86,407 "," 13,890 ", 607 ," 12,427 "," 3,769 "," 6,382 "," 14,898 "," 2,651 "," 3,415 "," 5,033 ", 632 ," 3,645 "," 50,552 ", 33 , 653 ," 3,141 ", 760 ," 21,930 "," 16,030 ", 560 ," 3,165 ", 247 ," 4,362 "
Afghanistan," 1,414 ", - , - , 29 , D , 512 , 12 , 16 , 3 , D , 20 , 44 , - , - , 34 , 25 , 8 , - , D , 5 , 11 , D , 25 , 12 , 8 , 7 , D , 16 , D , D , 7 , D , 49 , 3 , 128 , 17 , - , 14 , D , 20 , 15 , - , - , 8 , 3 , 6 , 55 , - , - , 7 , - , 241 , 33 , - , 3 , - , 7 
Albania," 2,169 ", - , D , 19 , D , 48 , 5 , 106 , D , 9 , 184 , 6 , - , D , D , 111 , 6 , - , D , D , - , 3 , 14 , 315 , 359 , 3 , D , 27 , - , 3 , 11 , 9 , 93 , - , 492 , 13 , - , 69 , 4 , 6 , 113 , - , D , 14 , - , 6 , 28 , - , - , D , D , 27 , 15 , - , 15 , - , 20 
Algeria, 949 , D , - , 6 , - , 153 , 16 , 9 , - , 4 , 16 , 15 , - , - , D , 56 , 21 , D , 21 , 6 , 7 , D , 10 , 81 , 28 , 3 , D , 9 , - , - , - , D , 67 , D , 118 , 27 , - , 35 , 4 , D , 79 , - , D , 4 , - , 3 , 62 , - , - , - , - , 51 , 16 , D , 3 , D , 5 
American Samoa, 216 , - , 13 , D , - , 30 , - , D , - , - , 3 , 29 , D , 22 , D , 4 , - , D , D , D , 3 , - , - , D , - , - , - , D , - , D , D , - , - , - , 3 , 3 , - , - , 6 , D , - , - , - , 20 , - , - , 5 , D , D , 8 , - , 7 , 35 , - , D , - , 7 
Angola, 125 , - , - , 3 , - , 8 , D , - , - , - , 8 , 3 , - , - , - , 5 , D , D , D , D , - , - , 3 , 39 , D , D , - , - , - , - , D , - , 10 , - , 4 , D , - , - , 3 , D , 4 , - , 12 , - , - , D , 4 , - , - , - , - , 5 , D , - , - , - , - 
Anguilla, 20 , - , - , - , - , - , - , - , - , - , 6 , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , 8 , - , - , - , - , - , - , - , - 
Antigua and Barbuda, 311 , D , D , - , - , 3 , - , 6 , D , - , 48 , 19 , - , - , - , D , D , - , - , D , - , - , 9 , 13 , - , D , - , D , - , - , D , - , 16 , - , 132 , 5 , - , D , D , - , 4 , D , D , D , - , - , 4 , - , 25 , - , - , 5 , - , - , D , - , 3 
Argentina," 3,486 ", 7 , D , 26 , D , 556 , 32 , 58 , D , 16 ," 1,085 ", 73 , - , 7 , 6 , 60 , 22 , 7 , 7 , 13 , 10 , 4 , 76 , 93 , 35 , 9 , D , 27 , D , 8 , 39 , 3 , 204 , 8 , 341 , 53 , D , 36 , 7 , 28 , 46 , 46 , 3 , 27 , D , 12 , 145 , - , D , 37 , D , 134 , 34 , - , 14 , 4 , 16 
Armenia," 1,994 ", - , - , 7 , - ," 1,569 ", 9 , D , D , 3 , 20 , 3 , D , - , D , 16 , D , - , - , - , - , - , 16 , 39 , 12 , D , - , D , - , - , 30 , - , 36 , - , 104 , 3 , D , 21 , D , 3 , 10 , - , 6 , 5 , - , 3 , 9 , - , - , 9 , - , 13 , 32 , - , D , - , 4 
Aruba, 32 , - , - , - , - , D , - , - , - , - , 10 , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , D , - , 9 , D , - , - , - , - , D , D , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - 
Australia," 1,235 ", D , 5 , 24 , 4 , 339 , 33 , 16 , D , 10 , 51 , 18 , D , 8 , 7 , 28 , 14 , 5 , 11 , 5 , 4 , 6 , 15 , 53 , 28 , 7 , D , 9 , 4 , 5 , 14 , 4 , 31 , 7 , 137 , 33 , - , 18 , 3 , 35 , 26 , - , 4 , 18 , D , 9 , 53 , - , - , 13 , 3 , 37 , 55 , 3 , 6 , 4 , 4 
Austria, 177 , - , D , 4 , D , 39 , 4 , D , - , D , 15 , 9 , - , 3 , D , 3 , 3 , D , - , D , D , D , D , 4 , 5 , - , - , - , D , - , - , D , 9 , - , 16 , 4 , - , 7 , D , 4 , 7 , - , D , 3 , - , D , 8 , - , - , - , - , D , 5 , D , D , D , 1 
Azerbaijan, 483 , - , - , 5 , - , 127 , 4 , D , - , D , 10 , 5 , - , - , 6 , 10 , D , - , D , D , - , D , 13 , 21 , 6 , 3 , - , 8 , - , - , 5 , D , 8 , - , 108 , 8 , 3 , 13 , - , D , 11 , D , D , D , - , D , 27 , - , - , 3 , - , 29 , 23 , - , D , D , 3 
Bahamas, 481 , - , D , 4 , - , 10 , - , D , - , 3 , 263 , 46 , - , D , D , 6 , D , D , - , 4 , D , D , 11 , 6 , D , 3 , - , 4 , - , D , D , - , 10 , - , 28 , 14 , D , 6 , D , D , 8 , - , D , 5 , - , D , 16 , - , - , - , D , 8 , D , D , - , D , 1 
Bahrain, 77 , - , - , D , - , 17 , D , D , - , - , D , D , - , - , - , 4 , - , - , - , - , - , - , D , 4 , D , - , - , D , - , - , 3 , - , 5 , - , 9 , D , - , - , D , - , - , - , - , - , - , D , 6 , - , - , - , - , 6 , 5 , - , D , - , 1 
Bangladesh," 8,629 ", 16 , D , 53 , 9 , 447 , 17 , 114 , 21 , 20 , 315 , 216 , - , 4 , 4 , 73 , 20 , 7 , 20 , 15 , 15 , D , 191 , 191 , 563 , 35 , D , 21 , - , 9 , 20 , 5 , 487 , 5 ," 4,424 ", 61 , D , 48 , 30 , 23 , 262 , - , 4 , 24 , D , 9 , 329 , - , - , D , - , 395 , 39 , 11 , 11 , - , 37 
Barbados, 645 , - , - , D , - , 14 , 3 , 11 , D , D , 57 , 13 , - , - , - , 8 , D , - , - , 3 , D , D , 25 , 77 , 5 , 3 , D , D , - , - , D , D , 50 , D , 278 , 12 , - , 3 , - , D , 17 , - , 4 , 8 , - , D , 7 , - , - , D , - , 18 , D , D , D , - , 4 
Belarus," 1,313 ", D , D , 7 , D , 214 , 23 , 19 , 5 , D , 65 , 15 , - , D , 6 , 75 , 6 , D , D , D , - , D , 24 , 90 , 8 , 45 , - , 10 , D , 3 , 5 , 4 , 53 , - , 311 , 30 , - , 23 , 3 , 20 , 58 , - , 3 , 17 , D , 4 , 23 , - , - , - , D , 43 , 65 , D , 11 , - , 7 
Belgium, 493 , D , - , 9 , D , 88 , 12 , 12 , D , D , 45 , 12 , D , D , D , 20 , 7 , - , 3 , D , D , D , 11 , 20 , 11 , 5 , D , 6 , - , 3 , D , 3 , 17 , D , 67 , 21 , - , 12 , 5 , 3 , 7 , D , 4 , 8 , - , D , 24 , - , - , 3 , D , 10 , 7 , - , 4 , D , 8 
Belize, 810 , D , - , 11 , D , 339 , D , 3 , D , 3 , 58 , 10 , D , D , - , 71 , 10 , D , - , 6 , 4 , - , 7 , 3 , D , D , D , 4 , - , D , 10 , - , 19 , - , 123 , 12 , - , 7 , 6 , 4 , 10 , - , - , 7 , D , 4 , 39 , - , - , D , D , 8 , 6 , - , D , - , 5 
Benin, 309 , - , - , - , D , 6 , 9 , D , D , D , 4 , 18 , - , D , - , 31 , 24 , 4 , 3 , D , D , - , 41 , 4 , 5 , 9 , - , D , - , 14 , - , 3 , 5 , D , 31 , 14 , D , D , 5 , - , 17 , - , D , 6 , - , D , 12 , - , - , D , - , 13 , 3 , - , D , - , 7 
Bermuda, 65 , D , - , - , D , 4 , - , D , - , - , D , 9 , - , D , - , - , D , - , - , D , - , - , 3 , - , 3 , - , - , D , - , - , D , - , D , - , 12 , D , - , D , - , - , 3 , - , 3 , - , - , - , 4 , - , - , - , D , 4 , D , - , - , - , - 
Bhutan," 5,557 ", - , 6 , 58 , - , 30 , 103 , D , D , - , 7 , 170 , - , - , 58 , 107 , D , 89 , 45 , 147 , - , - , 51 , 180 , 105 , 73 , - , 75 , - , 46 , 20 , 161 , D , 4 , 483 , 147 , 68 ," 1,396 ", D , 50 , 983 , - , 14 , 4 , 71 , 58 , 224 , - , - , 53 , 214 , 134 , 77 , - , 18 , - , 21 
Bolivia," 1,806 ", D , 6 , 7 , D , 167 , 6 , 7 , - , 11 , 191 , 13 , - , D , D , 28 , 7 , D , 5 , 8 , 3 , D , 128 , 37 , 3 , 7 , - , 4 , - , D , 8 , D , 65 , 5 , 123 , 15 , D , 14 , 6 , 10 , 12 , 5 , 51 , 15 , - , 3 , 58 , - , - , 16 , - , 723 , 8 , D , 6 , D , 12 
Bosnia and Herzegovina," 1,780 ", D , - , 52 , 3 , 77 , 20 , 59 , D , 3 , 122 , 94 , - , D , 50 , 130 , 25 , 90 , 8 , 80 , 6 , D , 3 , 38 , 119 , 39 , - , 226 , D , 8 , 23 , 12 , 30 , - , 139 , 27 , 11 , 42 , D , 12 , 48 , - , - , D , 4 , 11 , 42 , - , - , 20 , 9 , 35 , 38 , - , 12 , - , 5 
Botswana, 27 , - , - , D , - , D , - , - , - , - , 4 , 4 , - , - , - , - , - , - , - , - , - , - , 4 , D , 3 , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , D , - , - , - , - , - , D , - , - , - , - , D , D , D , - , - , - 
Brazil," 9,701 ", 13 , 11 , 91 , 11 ," 1,098 ", 66 , 326 , 12 , 26 ," 1,715 ", 348 , - , 39 , 15 , 154 , 49 , 10 , 40 , 41 , 25 , 11 , 163 ," 1,965 ", 112 , 49 , 6 , 47 , 10 , 15 , 53 , 79 , 784 , 16 , 650 , 174 , 3 , 118 , 32 , 56 , 164 , 6 , 67 , 99 , 4 , 47 , 321 , - , - , 113 , 10 , 198 , 116 , 10 , 35 , 3 , 75 
Brunei, 11 , - , - , 3 , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - 
Bulgaria," 1,887 ", D , 4 , 25 , D , 254 , 39 , 21 , 12 , 6 , 99 , 63 , - , 9 , 5 , 366 , 14 , 3 , 5 , 7 , 4 , 21 , 46 , 124 , 34 , 10 , D , 25 , D , 5 , 67 , 6 , 92 , D , 159 , 39 , D , 21 , 7 , 11 , 38 , D , 4 , 18 , D , 4 , 57 , - , D , 7 , D , 59 , 45 , 3 , 12 , 3 , 18 
Burkina Faso, 303 , - , - , 7 , D , 8 , D , D , - , 8 , D , 19 , - , - , - , 9 , D , D , D , - , - , - , 22 , 5 , 3 , D , - , 4 , - , 8 , D , - , 25 , - , 93 , 3 , - , 12 , 6 , D , 10 , D , - , 7 , D , - , 12 , - , - , - , - , 11 , 3 , 3 , 4 , D , 4 
Burma," 6,825 ", 3 , D , 101 , 8 , 372 , 72 , 6 , D , 4 , 137 , 196 , - , 7 , 50 , 140 ," 1,114 ", 259 , 189 , 183 , 20 , D , 232 , 85 , 201 , 492 , D , 179 , 3 , 213 , 13 , 9 , 23 , 4 , 547 , 348 , - , 158 , 169 , 68 , 107 , - , 4 , 41 , 90 , 84 , 475 , - , - , 70 , 14 , 62 , 128 , 10 , 72 , - , 58 
Burundi, 266 , D , - , 14 , D , 3 , 3 , D , - , - , 4 , 4 , - , - , D , 8 , - , 33 , D , 11 , - , 8 , 7 , 6 , 3 , 3 , - , 6 , - , - , - , 4 , D , - , 18 , 3 , 5 , 14 , - , D , 9 , - , 4 , D , 7 , 5 , 40 , - , - , 4 , D , 12 , 11 , D , - , - , 3 
Cabo Verde," 1,355 ", D , - , - , - , D , - , 16 , - , - , 11 , 3 , - , - , - , D , - , - , 3 , - , - , - , D , 984 , - , - , - , D , - , - , - , - , 9 , - , 13 , D , - , D , D , - , D , - , 289 , D , - , D , D , - , - , D , - , D , - , - , D , - , 8 
Cambodia," 2,184 ", 4 , D , 19 , 10 , 594 , 19 , 16 , - , 3 , 44 , 64 , - , 6 , 3 , 20 , 10 , 14 , 10 , 27 , 14 , 26 , 24 , 300 , 21 , 93 , 9 , 17 , D , D , 9 , 11 , 8 , D , 43 , 39 , - , 47 , 10 , 28 , 110 , - , 53 , 20 , D , 16 , 142 , - , - , 10 , 3 , 78 , 150 , D , 13 , - , 20 
Cameroon," 2,416 ", D , 7 , 31 , 10 , 101 , 12 , 11 , 21 , 53 , 32 , 110 , - , - , D , 57 , 11 , 13 , 14 , 21 , 9 , D , 771 , 112 , 45 , 76 , 3 , 20 , - , 16 , 12 , 6 , 54 , 5 , 85 , 42 , 8 , 101 , 70 , 3 , 42 , - , D , 36 , - , 9 , 221 , D , - , 4 , - , 106 , 11 , 3 , 6 , - , 28 
Canada," 7,829 ", 28 , 20 , 239 , 11 ," 1,415 ", 111 , 99 , 13 , 19 , 654 , 212 , 5 , 44 , 40 , 206 , 89 , 24 , 40 , 63 , 29 , 71 , 94 , 356 , 362 , 115 , 6 , 59 , 27 , 22 , 82 , 79 , 218 , 41 , 605 , 263 , 19 , 204 , 46 , 119 , 139 , 3 , 32 , 117 , 8 , 69 , 434 , D , - , 52 , 60 , 212 , 428 , 13 , 59 , 17 , 35 
Cayman Islands, 23 , - , - , - , - , - , - , D , - , - , 9 , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , 7 , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Central African Republic, 61 , - , - , D , - , D , D , - , - , D , D , 3 , - , - , - , 3 , - , - , - , - , - , 6 , D , 5 , D , - , - , - , - , - , - , - , - , D , 4 , 4 , - , 3 , - , 4 , 3 , - , - , - , - , D , 4 , - , - , D , - , 4 , D , - , - , - , - 
Chad, 78 , - , - , D , - , 4 , - , - , - , 3 , D , - , - , - , - , D , 19 , D , - , D , - , D , 6 , D , D , - , - , D , - , D , - , - , 5 , - , 9 , - , - , 3 , - , - , 5 , - , - , - , D , - , 8 , - , - , - , - , - , D , - , - , - , - 
Chile," 1,620 ", D , 5 , 27 , D , 280 , 16 , 20 , D , 8 , 327 , 30 , - , 5 , 8 , 34 , 3 , D , 5 , 5 , 3 , 4 , 42 , 49 , 12 , 12 , 5 , 7 , D , D , 13 , 5 , 107 , 7 , 176 , 43 , - , 24 , 5 , 20 , 36 , 11 , 5 , 17 , - , 11 , 64 , - , - , 50 , D , 63 , 30 , D , 7 , D , 6 
"China, People's Republic"," 37,674 ", 51 , 19 , 315 , 53 ," 10,799 ", 234 , 297 , 77 , 46 , 755 , 623 , 47 , 370 , 51 ," 1,073 ", 305 , 89 , 113 , 112 , 95 , 52 , 841 ," 2,061 ", 521 , 254 , 41 , 289 , 17 , 69 , 304 , 77 ," 1,216 ", 71 ," 9,764 ", 578 , 14 , 601 , 149 , 364 , 939 , 26 , 66 , 224 , 17 , 154 ," 1,233 ", D , 16 , 81 , 35 , 712 , 931 , 31 , 145 , 10 , 245 
Colombia," 16,184 ", 24 , 17 , 94 , 14 , 946 , 58 , 296 , 21 , 26 ," 5,270 ", 608 , D , 11 , 18 , 247 , 63 , 8 , 26 , 45 , 48 , 12 , 226 , 601 , 56 , 46 , 7 , 64 , 6 , 21 , 89 , 39 ," 2,072 ", 29 ," 2,181 ", 427 , 10 , 92 , 52 , 38 , 237 , 109 , 166 , 276 , D , 54 , 776 , D , - , 58 , 5 , 327 , 106 , 6 , 42 , D , 107 
Comoros, 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
"Congo, Democratic Republic"," 1,437 ", 6 , D , 31 , D , 66 , 35 , 17 , - , D , 9 , 50 , - , - , 35 , 96 , 19 , 76 , 4 , 56 , - , 31 , 68 , 63 , 26 , 21 , - , 31 , - , 6 , 5 , 23 , 6 , D , 95 , 123 , 9 , 55 , 7 , 20 , 28 , - , 5 , 10 , 12 , 7 , 171 , - , - , 16 , 12 , 45 , 23 , D , 6 , D , 5 
"Congo, Republic", 322 , D , - , 19 , - , 17 , 9 , 3 , D , D , 4 , 16 , - , - , 12 , 20 , D , 7 , D , 4 , D , D , 17 , 11 , 11 , D , D , 5 , - , 3 , D , - , 7 , D , 30 , 24 , 7 , 14 , D , D , 3 , - , - , D , D , 3 , 24 , - , - , 5 , 8 , 5 , 5 , - , 6 , - , 2 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Costa Rica," 1,720 ", 5 , D , 18 , 9 , 196 , 20 , 19 , D , 3 , 350 , 41 , - , D , 5 , 21 , 10 , D , 4 , 3 , 12 , D , 37 , 58 , 12 , 14 , 4 , 4 , 3 , D , 19 , D , 333 , 6 , 124 , 92 , - , 14 , 5 , 12 , 45 , 4 , D , 31 , D , 11 , 65 , - , - , 7 , D , 46 , 20 , D , 12 , - , 9 
Cote d'Ivoire, 907 , D , D , 12 , D , 27 , 13 , 11 , - , 14 , 16 , 54 , - , D , D , 20 , 12 , 5 , D , 5 , 4 , D , 69 , 30 , 14 , 12 , D , 13 , D , 5 , D , D , 23 , D , 248 , 48 , 6 , 34 , 13 , D , 37 , - , 11 , 14 , 3 , 10 , 53 , - , - , D , - , 31 , 8 , - , 4 , - , 8 
Croatia, 351 , - , - , 7 , - , 53 , 3 , 3 , - , D , 30 , 19 , - , D , D , 27 , 10 , D , D , 3 , D , D , 3 , 9 , 8 , D , D , 5 , - , - , 11 , D , 18 , - , 43 , D , - , 14 , D , D , 9 , - , 3 , D , D , D , 21 , - , - , 7 , D , 6 , 6 , - , 8 , - , - 
Cuba," 25,961 ", 21 , 4 , 143 , D , 311 , 33 , 29 , 7 , 11 ," 21,175 ", 184 , - , - , 3 , 108 , 18 , 16 , 18 , 371 , 78 , 3 , 30 , 46 , 66 , 17 , 18 , 73 , D , 70 , 470 , 5 , 656 , 80 , 378 , 176 , 4 , 29 , 25 , 50 , 83 , 156 , 7 , 65 , 3 , 52 , 611 , D , 3 , 15 , 3 , 107 , 39 , D , 4 , - , 81 
Curacao, 16 , - , - , D , - , - , - , D , - , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - 
Cyprus, 84 , - , - , D , - , 14 , 3 , D , - , D , 5 , D , - , - , - , D , D , - , - , D , - , - , 4 , D , D , - , - , D , - , - , D , D , 6 , D , 26 , D , - , D , - , - , D , - , - , - , - , D , D , - , - , - , - , 3 , - , - , - , - , - 
Czechia, 595 , 3 , 3 , 12 , - , 100 , 13 , 9 , D , 3 , 108 , 15 , - , 4 , D , 38 , D , - , D , 8 , D , D , 15 , 32 , 9 , 3 , D , D , - , D , 6 , 3 , 12 , D , 52 , 19 , - , 14 , - , 7 , 13 , - , D , 9 , D , 6 , 16 , - , - , 3 , D , 17 , 16 , - , 5 , D , 1 
Czechoslovakia (former), 251 , - , - , 3 , D , 50 , 9 , D , - , D , 20 , 10 , - , D , - , 15 , D , - , - , - , - , D , 7 , 6 , 4 , D , - , 3 , - , - , D , 4 , 12 , D , 24 , 6 , - , 5 , D , 3 , 9 , D , - , 4 , - , 3 , 11 , - , - , D , D , 12 , 5 , - , - , 4 , 1 
Denmark, 769 , D , 3 , 17 , D , 203 , 17 , 9 , - , D , 32 , 15 , - , 4 , 3 , 21 , 4 , 3 , 4 , 4 , D , 5 , 23 , 30 , 9 , 16 , D , D , - , D , 8 , 8 , 35 , 4 , 55 , 30 , - , 7 , 3 , 15 , 19 , - , D , 8 , - , D , 42 , - , - , 3 , D , 25 , 58 , D , 7 , D , 6 
Djibouti, 48 , - , - , - , - , 3 , D , - , D , - , - , - , - , - , - , - , D , - , D , D , - , 11 , - , 3 , - , 8 , - , - , - , - , - , D , - , - , D , - , D , 3 , - , - , - , - , - , - , - , - , D , - , - , D , - , D , 3 , - , D , - , 1 
