"Table 1.  Persons naturalized by Country of Birth and State of Intended Residence, Fiscal Year 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Iceland,41,D,-,3,-,7,D,D,-,-,D,-,-,-,-,-,D,-,-,D,-,5,D,-,-,-,-,-,-,-,-,D,-,5,-,-,-,D,3,D,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-
Ireland,"2,583",4,D,32,D,508,18,44,3,5,108,52,D,-,169,15,4,-,12,6,3,29,302,12,6,D,7,D,D,13,22,81,4,784,15,-,26,-,15,71,6,9,-,13,53,-,D,8,3,17,50,D,12,-,33
Italy,"1,845",D,-,17,D,260,20,67,7,5,140,18,D,-,95,5,-,D,D,7,-,35,80,43,4,D,12,-,D,19,9,183,4,480,20,-,18,D,6,83,11,D,-,D,45,-,7,7,D,43,14,4,4,D,56
Kazakhstan,455,-,D,10,-,92,13,D,-,-,10,D,-,-,6,D,-,-,-,-,3,8,8,-,11,-,4,-,D,3,D,8,-,138,4,-,5,D,13,18,-,-,D,D,9,-,-,D,-,4,54,-,8,-,11
Kyrgyzstan,131,-,D,D,-,23,D,D,-,-,4,-,D,-,D,-,-,-,-,-,-,D,D,-,8,-,D,-,-,-,-,D,-,24,-,-,-,-,6,9,-,D,-,-,5,-,-,-,-,D,33,-,-,-,2
Latvia,224,D,-,3,-,45,5,4,-,-,6,6,-,-,13,D,-,D,-,-,-,5,3,5,-,D,-,-,-,D,-,25,-,52,D,-,3,D,7,7,D,-,-,-,6,-,-,-,-,D,14,D,D,-,1
Lithuania,457,-,-,6,D,60,6,3,-,D,20,9,-,-,160,D,-,-,-,D,D,16,8,8,3,-,D,-,-,4,-,21,-,66,D,-,D,D,4,10,D,-,D,D,7,-,-,D,D,8,13,-,3,-,5
Luxembourg,9,-,-,-,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Macedonia,376,D,11,3,-,13,D,11,-,-,10,-,-,-,56,28,4,-,-,-,-,-,D,45,-,-,D,-,-,3,-,75,D,58,-,-,D,D,D,6,D,-,-,-,14,-,-,D,-,-,D,-,20,-,6
Malta,61,-,-,-,D,12,-,D,-,-,3,D,-,-,-,-,-,-,-,-,-,-,D,5,-,-,-,-,-,-,-,D,-,27,-,-,-,-,-,-,-,-,-,D,D,-,-,-,D,D,D,-,-,-,-
Moldova,713,D,D,6,-,148,9,D,-,D,14,14,-,-,13,10,-,-,D,D,-,14,10,6,19,-,7,-,-,D,-,35,-,228,-,D,9,D,13,48,-,D,-,-,9,-,-,5,-,D,76,-,D,-,7
Monaco,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Netherlands,500,D,D,12,D,122,10,4,D,-,50,12,4,D,12,8,3,-,3,3,D,20,12,14,5,3,D,D,-,7,3,13,6,45,9,4,4,D,7,8,D,3,D,D,25,-,3,D,D,6,20,D,4,D,17
Norway,93,-,-,-,-,17,3,5,-,-,8,D,-,-,7,D,-,D,-,-,-,D,D,-,4,-,D,-,-,-,-,D,-,12,-,D,D,D,D,6,D,-,-,D,10,-,-,-,-,D,4,-,-,-,-
Poland,"9,139",5,7,59,5,388,63,351,8,3,266,29,7,-,"3,293",60,10,3,6,6,9,71,215,144,27,3,22,D,5,17,19,"1,223",9,"1,877",33,D,42,5,14,220,29,10,D,28,102,-,D,6,D,39,99,D,63,D,229
Portugal,"2,034",D,-,3,-,316,D,91,D,-,55,5,3,-,D,-,-,-,D,-,D,32,634,3,D,-,D,-,-,D,10,421,-,125,5,-,D,3,D,30,218,D,-,-,10,-,-,D,D,9,6,-,-,-,36
Romania,"3,267",3,4,148,8,709,32,43,3,3,131,159,3,-,409,21,4,5,11,D,6,70,35,171,25,-,27,-,D,25,16,91,6,349,24,-,62,3,168,103,D,5,D,21,108,-,D,3,D,27,164,D,9,-,42
Russia,"6,669",15,30,73,3,"1,431",205,50,12,10,157,121,7,-,186,44,12,27,19,7,11,218,229,53,147,4,81,D,D,27,21,298,6,"1,750",33,3,108,24,97,301,20,14,4,17,138,-,D,28,11,115,377,D,43,-,74
San Marino,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Serbia and Montenegro,"2,012",6,D,47,7,256,25,21,D,-,111,17,D,D,240,33,D,6,18,3,6,29,30,99,25,-,21,-,3,27,5,94,D,545,12,D,36,D,21,70,3,D,4,10,60,-,-,8,9,22,20,-,24,-,24
Slovak Republic,286,-,-,3,-,20,6,7,D,-,23,5,D,-,37,-,-,-,-,D,D,6,5,D,D,-,D,D,-,D,D,62,-,46,D,D,5,-,5,11,-,D,-,-,9,-,-,D,3,5,D,-,D,-,8
Slovenia,43,-,-,D,-,6,D,-,-,-,4,D,-,-,3,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,D,-,8,D,-,D,-,-,4,-,-,-,D,D,-,-,D,-,-,D,-,D,-,-
"Soviet Union, former","3,437",6,8,42,3,534,40,29,D,D,89,58,-,D,608,17,6,10,7,4,3,157,288,59,99,D,27,-,D,6,4,226,D,500,16,D,28,4,42,126,11,8,3,9,62,-,-,12,5,41,123,3,16,D,85
Spain,552,D,-,13,D,106,11,8,D,4,91,13,D,-,16,D,-,D,D,4,-,20,6,3,3,D,5,D,D,6,D,47,3,64,7,D,5,D,5,7,3,3,-,-,36,-,7,3,-,18,4,D,3,D,11
Sweden,948,D,D,28,D,260,32,20,D,6,76,32,6,D,46,9,D,5,D,4,3,22,19,7,22,-,10,D,4,6,5,26,5,73,9,-,8,-,12,13,D,4,-,9,44,-,-,6,4,21,51,D,12,-,14
Switzerland,430,-,4,14,-,122,19,8,-,D,35,9,3,D,13,5,D,D,-,5,D,7,13,5,5,-,5,-,-,4,4,19,D,43,D,-,D,D,5,6,D,10,D,3,15,-,D,D,D,10,10,-,D,-,8
Tajikistan,127,-,D,-,D,7,D,4,-,3,-,3,D,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,3,-,83,-,-,D,-,5,-,-,-,-,-,D,-,-,-,-,D,4,-,-,-,2
Turkmenistan,43,-,-,D,-,11,D,-,-,-,D,-,-,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,D,-,17,-,-,-,-,D,D,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-
Ukraine,"8,236",14,10,33,3,"1,887",97,46,11,D,137,108,5,-,318,50,7,25,22,3,7,215,148,61,128,D,53,D,8,17,15,290,D,"2,814",24,5,161,10,148,513,13,4,3,11,76,-,D,17,D,50,500,-,77,-,84
United Kingdom,"6,717",33,11,138,21,"1,568",154,129,20,15,709,206,23,3,181,61,8,17,28,29,15,205,241,116,64,17,70,7,12,79,51,249,21,579,87,D,74,21,81,196,37,54,D,58,367,-,5,34,17,183,225,9,42,10,133
Uzbekistan,"1,480",D,6,27,-,187,19,5,-,-,13,27,D,-,12,D,-,7,5,D,-,22,5,4,7,-,7,-,-,D,D,24,-,943,3,-,14,-,18,58,D,-,-,-,9,-,D,4,-,8,29,-,3,-,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"1,235",4,D,18,-,674,16,D,3,D,3,21,-,-,9,5,D,4,D,D,5,24,D,D,4,-,4,-,4,14,-,39,6,151,D,-,D,-,6,8,-,-,-,11,21,-,-,D,-,136,12,-,D,-,17
Bahrain,31,-,-,D,-,5,-,-,-,-,D,-,-,-,6,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,D,-,-,6,-,-,-,-,3,-,-,-,-,-
Bangladesh,"4,345",13,D,46,5,441,14,46,19,13,153,191,D,-,74,20,7,17,3,12,-,153,43,125,27,5,19,-,-,32,6,169,D,"1,960",20,D,18,21,10,120,6,-,D,7,240,-,3,D,D,155,27,10,5,-,78
Bhutan,3,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brunei,9,D,-,D,-,3,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
