"Table 1.  Persons naturalized by Country of Birth and State of Intended Residence, Fiscal Year 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Cape Verde,429,-,-,-,-,D,-,17,-,-,5,D,-,-,-,-,-,-,D,-,D,3,273,-,D,-,D,-,-,-,-,5,-,8,D,-,D,-,-,D,97,D,-,-,-,-,-,D,-,-,D,-,-,-,8
Central African Republic,6,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chad,24,D,-,-,-,D,D,D,D,-,3,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-,3,-,-,-,-,3,-,-,D,-,D,-,-,-,-,-
Comoros,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-
"Congo, Democratic Republic",101,D,-,3,-,19,D,D,-,-,5,3,-,-,5,-,D,D,-,-,D,12,D,D,D,-,-,-,-,-,3,4,D,3,D,-,-,D,D,3,D,D,-,D,12,-,-,-,-,3,D,-,-,-,4
"Congo, Republic",123,-,D,-,-,21,D,D,D,D,D,4,-,-,D,D,4,D,-,-,-,18,4,-,3,-,D,-,-,-,D,-,D,12,10,-,D,D,D,3,-,D,D,-,8,-,-,-,D,9,-,-,D,-,1
Cote d'Ivoire,264,-,-,3,-,18,6,D,D,8,3,25,3,-,5,D,-,D,-,D,-,47,6,6,D,-,D,-,-,D,3,11,-,47,7,D,D,-,D,12,-,-,D,D,9,-,-,-,-,11,11,-,D,-,4
Djibouti,16,-,-,D,-,D,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,D,-,-
Egypt,"2,922",10,-,35,D,729,20,16,7,5,112,48,-,-,82,21,D,4,9,10,D,69,68,45,32,4,19,-,D,9,3,459,D,425,40,D,35,13,32,94,5,4,3,98,115,-,-,D,-,96,50,-,19,-,65
Equatorial Guinea,D,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eritrea,819,D,-,14,D,194,32,3,D,8,9,61,-,-,21,15,-,5,-,5,D,47,13,8,60,-,20,-,D,30,-,4,-,14,13,-,9,-,8,22,-,D,3,4,60,-,-,D,-,44,79,-,D,-,4
Ethiopia,"3,820",5,-,42,D,691,149,9,D,85,41,317,D,D,73,34,6,43,4,6,5,469,97,18,305,D,32,-,4,89,D,37,-,87,39,-,37,18,49,62,-,D,12,32,268,-,D,D,D,320,278,5,5,-,33
Gabon,11,D,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gambia, The",113,-,D,-,-,4,D,-,-,D,5,15,-,-,D,-,-,-,3,D,-,15,-,-,6,-,D,-,-,-,D,D,-,13,9,D,-,-,D,D,3,D,-,-,3,-,-,-,-,D,20,-,-,-,-
Ghana,"2,831",5,D,15,D,162,41,42,8,5,27,158,10,-,139,14,4,6,16,9,-,398,138,18,36,3,10,D,D,5,6,285,D,609,36,D,37,21,5,71,9,3,D,7,124,-,D,5,3,231,29,D,9,-,57
Guinea,81,-,-,-,-,4,-,-,3,-,D,9,-,-,D,D,-,-,-,D,-,18,D,D,3,-,-,-,-,-,-,4,D,16,-,-,-,-,-,4,D,-,-,D,3,-,-,-,-,D,3,-,-,-,3
Guinea-Bissau,15,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,3,-,-,-,D,-,-,-,-,D,-,-,-,-,-
Kenya,823,5,-,6,D,123,5,6,9,D,44,62,D,-,28,4,D,12,6,D,-,55,30,12,36,D,12,-,3,7,11,62,4,43,20,-,7,5,5,21,-,3,D,6,76,-,D,D,D,26,29,3,7,-,15
Lesotho,D,-,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,D,-,-
Liberia,917,D,-,4,D,55,7,7,5,11,20,81,-,-,14,4,D,D,4,D,D,153,37,11,73,D,4,-,D,D,3,47,-,53,32,-,10,4,D,81,48,D,-,13,38,-,D,-,D,40,7,-,D,-,28
Libya,112,D,-,-,-,24,6,D,D,-,D,4,-,-,5,D,-,-,4,-,-,3,D,D,D,-,3,-,-,-,-,3,-,9,D,-,-,-,3,6,D,D,-,D,11,-,-,-,D,6,4,-,D,-,4
Madagascar,22,-,-,D,-,-,-,-,D,-,-,D,-,-,D,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,D,-,8,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-
Malawi,25,D,-,-,-,7,-,D,-,-,-,D,-,-,D,-,-,-,-,D,-,3,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,D,-,-,-,D,-,D,D,-,-,-,-,D,-,-,-,-,-
Mali,64,-,-,D,-,7,D,-,-,D,D,4,-,-,-,-,-,D,-,-,-,9,-,-,D,-,D,-,-,-,-,-,-,14,-,-,D,D,D,12,D,-,-,-,D,-,-,-,-,D,D,-,-,-,-
Mauritania,29,-,D,D,-,D,D,-,-,D,D,D,-,-,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,D,-,4,-,-,D,-,-,5,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-
Mauritius,42,-,-,-,-,7,D,-,-,-,5,3,-,-,-,-,-,-,-,D,-,D,-,D,-,-,-,-,-,-,D,-,-,6,D,-,-,-,-,D,-,-,-,-,3,-,-,-,-,4,D,-,D,-,-
Morocco,"1,283",4,-,10,-,153,48,12,D,7,141,26,7,-,59,10,-,4,7,8,D,42,124,14,15,D,7,-,-,15,5,69,D,225,18,-,9,4,5,29,-,3,-,D,55,-,-,D,D,95,17,D,6,-,17
Mozambique,32,D,-,D,-,8,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,7,-,-,-,-,D,-,-,D,3,-,-,-,D,-,-,-,-,-,-,-,-,-,1
Namibia,13,-,-,D,-,D,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,-,-,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Niger,46,-,-,-,-,9,-,-,-,D,D,4,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,18
Nigeria,"5,691",34,3,29,7,600,37,30,19,60,158,475,13,-,327,57,6,24,17,35,D,888,121,57,135,6,56,-,8,13,3,331,8,624,85,D,46,36,19,122,42,15,-,55,816,-,5,6,-,121,45,-,23,D,70
Rwanda,77,-,-,D,-,7,-,-,-,D,D,6,-,-,D,3,-,-,-,-,-,D,-,D,3,-,D,-,-,-,3,-,-,5,3,-,9,-,3,3,-,-,-,8,7,-,-,D,-,D,D,-,-,-,1
Sao Tome & Principe,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-
Senegal,274,-,D,-,D,27,4,4,D,4,9,17,-,-,3,D,-,-,6,-,-,37,8,D,D,-,3,-,-,-,-,13,D,64,6,-,6,D,-,4,9,-,-,D,8,-,D,-,-,15,8,-,-,-,6
Seychelles,15,-,-,-,-,8,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,1
Sierra Leone,777,-,-,3,-,62,9,D,5,7,16,46,D,-,D,D,D,3,-,6,-,255,23,5,17,-,8,-,D,-,D,49,-,40,20,-,7,D,D,39,D,D,-,3,33,-,-,-,-,80,6,D,D,-,19
Somalia,"2,235",D,-,37,-,187,37,5,-,-,4,193,-,-,29,12,5,D,15,-,40,45,88,37,804,-,82,-,-,-,-,D,-,26,27,4,19,-,62,D,-,D,D,39,42,-,-,28,D,74,255,-,9,-,21
South Africa,"1,262",4,4,38,4,315,32,18,-,D,127,98,7,-,27,9,4,4,6,9,-,30,29,13,10,4,19,-,-,12,5,29,4,68,28,-,7,5,22,37,D,6,D,12,92,-,-,23,3,28,36,D,D,-,26
St. Helena,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan,839,9,-,10,-,88,29,6,-,6,17,27,-,-,22,12,29,3,4,-,3,52,14,5,60,3,16,-,25,D,-,16,D,39,47,D,3,D,9,47,D,D,6,11,77,-,-,9,-,91,20,-,4,-,10
Swaziland,7,D,-,-,-,-,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Tanzania,295,-,-,D,-,52,-,-,-,D,13,24,-,-,19,5,-,D,D,D,-,14,3,3,17,-,D,-,-,D,D,21,3,36,3,-,D,-,D,12,-,4,-,D,28,-,-,D,-,8,6,-,7,-,1
Togo,153,-,-,D,-,9,5,-,-,D,-,16,-,-,7,D,-,-,-,D,-,31,-,D,14,-,-,-,8,-,-,9,-,18,D,-,D,-,-,D,D,D,-,-,8,-,-,D,D,10,D,-,D,-,1
Tunisia,119,-,-,D,-,22,3,-,-,-,10,D,-,-,4,D,-,-,-,-,-,7,D,3,3,-,D,-,-,D,-,5,-,11,D,-,D,D,D,7,D,-,-,D,10,-,-,-,-,14,5,-,-,-,-
Uganda,279,4,-,4,-,55,8,D,-,-,8,14,D,-,9,5,D,6,-,-,-,27,16,5,9,-,3,-,-,-,D,17,D,12,-,-,4,-,-,7,-,7,-,D,26,-,-,-,-,10,11,D,D,-,2
Zambia,134,-,-,-,-,29,D,D,-,-,7,13,-,-,4,3,-,4,-,-,-,10,-,8,-,-,3,-,-,-,D,D,-,12,3,-,D,-,D,4,-,D,-,D,14,-,-,-,-,D,8,-,-,-,2
Zimbabwe,210,3,D,D,D,40,D,D,D,D,18,19,D,-,7,D,-,D,-,-,-,8,4,4,5,4,3,-,-,D,D,5,D,10,7,-,4,-,D,8,-,D,-,D,18,-,D,D,D,8,4,D,-,-,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,117,-,8,-,-,33,-,-,-,-,-,-,34,-,D,-,-,D,-,-,-,-,-,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,3,-,-,-,-,-,4,-,-,4,-,D,24,-,-,-,1
Australia,882,12,6,24,D,284,42,14,-,3,33,17,D,-,22,8,3,6,D,3,3,19,37,D,18,D,7,-,D,6,4,29,10,66,11,-,4,3,22,12,-,6,D,5,40,-,D,4,D,24,38,D,8,D,11
Cook Islands,5,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Fiji,"1,206",3,-,D,-,"1,017",3,-,-,-,3,4,4,-,D,-,-,D,D,-,-,-,D,-,D,-,D,-,-,5,-,D,D,-,D,-,4,-,35,D,D,D,D,D,5,-,-,-,-,5,95,-,-,-,4
French Polynesia,9,-,-,-,-,D,-,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,1
Guam,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Marshall Islands,D,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-
"Micronesia, Federated States",6,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,D,-,-,-,-
Nauru,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-
New Caledonia,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,340,D,4,5,D,134,13,4,-,D,4,5,7,-,8,3,D,D,-,D,-,10,4,D,5,-,4,-,D,8,D,D,D,21,6,-,D,D,7,8,-,D,-,D,15,-,-,4,-,6,22,-,D,-,8
Palau,12,-,D,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,D,-,D,-,-,D,D,-,-,-,-
Papua New Guinea,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Samoa,117,-,5,D,D,47,3,-,-,-,D,D,24,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,3,-,-,-,D,-,-,-,-,D,-,-,-,-,-,3,-,D,9,-,D,10,-,-,-,1
Solomon Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-
Tonga,182,-,D,3,-,104,D,-,-,-,6,-,14,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,4,-,-,-,-,-,12,-,-,27,-,-,3,-,-,-,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"6,399",28,28,250,18,"1,142",150,119,5,8,739,221,37,8,181,70,16,41,43,42,66,107,160,213,111,9,55,20,7,71,132,112,22,356,85,22,58,33,137,114,14,44,10,42,381,-,7,59,67,96,443,10,51,5,134
Greenland,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-
Mexico,"55,946",66,44,"2,784",177,"27,956",905,51,49,8,"1,008",590,53,3,"3,978",398,190,400,71,64,6,154,42,172,223,30,233,7,170,"1,066",11,215,392,661,271,5,76,248,518,164,24,56,13,105,"9,584",-,20,313,4,154,908,5,298,38,965
United States,37,-,-,-,-,D,D,-,-,-,3,D,-,-,3,D,-,-,-,-,D,4,D,-,D,-,-,-,-,-,D,D,D,D,-,-,-,-,D,-,D,-,-,-,D,-,-,-,-,D,D,-,D,D,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,24,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,5,D,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,1
Antigua-Barbuda,325,-,D,-,-,5,D,8,-,-,45,20,3,-,D,D,-,D,-,D,-,7,7,D,-,-,D,-,D,-,-,25,-,130,3,-,-,D,D,D,-,-,-,-,3,-,42,-,-,3,-,-,-,-,10
Aruba,28,-,-,-,-,D,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5,D,-,-,-,-,-,-,-,-,D,-,9,D,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
"Bahamas, The",342,-,D,D,-,10,3,D,-,D,226,15,D,-,5,D,-,-,-,D,-,12,D,D,D,D,-,-,-,D,D,5,-,20,3,-,-,3,-,D,-,-,-,6,3,-,-,-,D,5,3,-,-,-,2
Barbados,663,-,D,-,D,10,D,17,4,D,52,9,4,-,5,-,-,D,D,-,D,20,37,D,4,-,-,-,-,D,D,41,-,376,8,-,D,D,-,14,4,3,D,D,11,-,3,-,-,10,5,-,-,-,7
Bermuda,38,D,-,3,-,D,-,-,-,-,7,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,3,-,6,4,-,D,-,-,3,-,D,-,D,D,-,-,-,-,D,D,-,-,-,1
British Virgin Islands,22,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,D,-,5,-,-,D,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,1
Cayman Islands,7,-,-,-,-,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"7,698",9,3,26,D,221,8,16,4,-,"6,191",47,D,-,57,10,D,8,42,18,D,34,27,13,6,D,18,-,D,96,D,307,14,145,31,D,5,9,18,29,4,3,-,9,95,-,56,D,-,26,16,-,3,-,60
Dominica,361,D,4,-,-,5,D,7,D,-,37,17,3,-,6,-,-,D,4,D,-,13,12,D,-,-,-,-,-,D,-,35,D,75,3,-,-,-,-,4,-,-,-,D,13,-,84,-,-,8,D,-,-,-,18
Dominican Republic,"12,607",-,9,16,4,75,6,111,13,22,"1,039",58,6,-,38,14,5,8,13,17,5,101,"1,085",34,7,-,17,D,5,15,36,"1,799",D,"6,717",59,D,16,8,D,232,286,8,-,10,86,-,297,5,D,79,15,D,15,-,207
Grenada,524,D,D,-,-,14,D,D,-,5,44,11,D,-,3,-,-,D,D,D,-,23,4,-,D,D,-,-,-,-,-,13,-,344,5,-,D,-,-,6,-,-,-,D,14,-,10,-,-,9,D,-,-,-,4
Guadeloupe,18,-,-,-,-,-,D,-,-,-,7,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,D,-,-,-,-,-,-,3,-,-,-,D,-,-,-,-
Haiti,"7,247",11,D,10,-,83,15,127,48,8,"3,035",119,12,-,93,17,D,6,14,16,3,134,703,11,10,3,33,-,3,5,11,556,-,"1,643",31,D,4,5,12,181,26,5,-,17,26,-,10,3,-,51,17,-,D,D,123
Jamaica,"11,218",9,11,22,D,258,22,414,29,42,"3,057",427,23,-,173,18,-,9,16,20,4,508,198,34,22,3,24,D,4,10,7,802,6,"4,032",62,D,26,7,10,263,12,30,-,23,153,-,21,3,D,145,22,7,14,D,207
Martinique,10,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montserrat,64,-,-,-,-,-,-,-,-,D,D,5,D,-,-,-,-,-,-,-,-,D,12,-,-,-,-,-,-,-,-,D,-,29,-,-,-,-,-,D,D,-,-,D,-,-,6,-,-,D,-,-,-,-,1
Netherlands Antilles,19,-,-,-,-,D,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,3,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,1
St. Kitts-Nevis,321,-,D,-,-,7,D,4,5,D,36,9,-,-,-,-,-,-,D,-,D,9,5,-,-,D,D,-,-,-,-,16,-,93,8,-,-,-,-,D,-,-,-,3,5,-,94,-,-,10,3,-,-,-,5
St. Lucia,366,-,-,3,-,14,3,17,-,-,36,12,D,-,D,-,-,D,-,D,-,25,3,4,-,-,-,-,-,-,-,15,-,138,8,-,D,D,D,D,D,D,-,-,19,-,44,-,-,8,D,-,D,-,4
St. Vincent & the Grenadines,374,D,-,D,-,14,-,D,4,D,26,9,D,-,3,D,-,D,-,D,-,15,6,-,D,-,-,-,D,D,-,7,-,232,D,-,-,D,-,6,-,-,-,-,10,-,8,-,-,8,-,-,D,-,7
Trinidad & Tobago,"3,774",5,D,10,D,105,9,46,14,28,603,106,14,-,17,12,D,D,9,13,D,312,91,9,6,3,5,-,D,7,D,274,4,"1,615",30,-,13,8,D,71,7,14,-,10,113,-,24,D,D,79,19,4,3,-,47
Turks & Caicos Islands,15,-,-,-,-,-,-,-,-,-,9,D,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
U.S. Virgin Islands,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,665,3,D,7,-,309,D,D,-,-,44,9,D,-,57,D,-,D,D,11,D,10,3,D,D,-,6,-,-,4,-,17,D,97,6,-,D,3,D,3,-,D,-,-,33,-,D,-,-,12,4,-,-,-,8
Costa Rica,868,D,D,10,-,212,7,10,-,D,190,11,-,-,10,-,D,9,D,5,D,13,23,3,5,D,D,-,-,18,3,80,-,93,9,-,4,D,7,13,3,D,-,4,52,-,6,4,D,12,12,-,4,-,20
El Salvador,"8,719",6,15,68,38,"4,344",41,22,4,74,246,90,10,D,99,23,7,25,7,11,D,557,114,7,28,D,25,-,21,157,5,299,8,679,58,3,8,9,27,20,17,6,D,17,877,-,6,41,-,440,67,-,7,-,80
Guatemala,"4,551",7,3,59,8,"2,151",18,37,D,6,282,60,7,-,283,19,10,9,9,29,D,154,69,6,12,3,15,D,21,73,3,139,16,369,27,-,10,11,34,21,74,9,D,8,204,-,5,35,-,109,40,D,8,D,72
Honduras,"3,004",8,3,30,5,540,29,20,3,8,673,46,7,-,64,12,9,14,4,148,3,72,56,9,15,9,26,-,5,32,D,211,7,460,30,-,6,12,6,18,6,7,D,13,220,-,5,11,3,50,27,D,7,-,50
Nicaragua,"3,044",D,D,18,3,935,12,6,-,11,"1,268",23,6,-,25,3,D,5,9,44,-,81,8,3,10,D,6,-,4,22,-,55,3,131,28,-,4,3,14,14,4,8,D,3,118,-,4,3,D,74,19,D,13,D,34
Panama,"1,248",10,D,20,4,132,23,3,D,5,216,69,9,-,21,11,D,12,12,6,-,48,14,14,6,9,13,D,D,12,D,28,6,209,34,D,6,9,4,22,3,9,-,15,104,-,10,D,D,50,24,D,5,D,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"1,879",4,D,23,D,480,14,30,7,13,393,25,5,-,40,9,3,5,D,9,D,49,23,22,11,D,13,-,-,26,5,114,3,259,8,D,12,7,10,23,6,4,-,3,87,-,20,29,4,26,20,-,D,D,23
Bolivia,932,-,D,12,-,177,3,9,5,D,93,10,-,-,17,3,-,D,D,4,-,90,10,D,D,-,6,-,-,D,3,37,D,103,9,-,-,D,5,5,18,D,-,D,39,-,D,9,-,227,5,-,D,-,11
Brazil,"3,091",9,5,31,4,518,24,73,3,7,757,68,17,-,45,10,D,14,6,5,3,122,248,10,19,-,14,-,D,28,17,280,5,327,27,D,9,5,11,46,8,6,-,12,128,-,3,22,7,45,31,-,7,D,48
Chile,"1,073",3,D,21,-,229,13,11,D,3,227,14,3,-,17,D,D,8,-,D,D,28,24,6,8,D,9,-,-,13,D,72,3,153,9,-,7,D,15,13,-,4,D,4,47,-,9,27,-,28,15,-,3,-,14
Colombia,"7,939",9,7,51,8,639,28,158,11,11,"2,370",192,17,D,169,17,9,18,13,20,D,123,160,12,23,13,21,4,7,45,8,"1,079",9,"1,543",87,-,19,15,19,137,105,33,-,19,305,-,41,16,3,125,57,5,14,D,139
Ecuador,"5,061",D,D,18,3,406,14,95,6,4,541,37,5,-,226,4,3,13,7,14,3,78,51,5,26,D,4,-,D,20,6,869,5,"2,134",42,D,11,5,6,55,15,13,-,4,96,-,6,16,D,69,15,-,9,D,93
French Guiana,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guyana,"4,929",9,D,7,D,85,8,65,11,16,369,106,8,D,16,5,D,-,4,15,D,202,25,4,74,D,6,-,D,11,4,418,3,"3,161",23,D,10,5,-,57,4,8,-,6,53,D,9,-,D,47,12,-,D,-,46
Paraguay,175,-,D,D,-,18,D,D,D,D,10,5,-,-,D,-,-,4,-,D,-,20,-,D,D,-,D,-,-,-,-,15,D,58,D,-,-,-,D,6,-,D,-,-,4,-,D,-,-,5,3,-,D,-,4
Peru,"6,130",11,11,38,5,"1,307",59,136,6,7,"1,204",81,15,-,98,20,3,11,11,15,D,252,52,9,24,6,20,D,8,29,4,913,12,886,45,D,19,18,16,74,7,5,D,14,171,-,11,67,3,256,55,D,11,D,96
Suriname,120,-,-,D,-,6,-,-,-,-,46,5,-,-,D,-,-,-,-,D,-,D,D,-,D,-,D,-,-,-,-,D,-,35,-,-,D,-,-,D,-,-,-,-,6,-,-,-,-,5,D,-,-,-,1
