Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
"China, People's Republic"," 33,969 ", 105 , 21 , 315 , 52 ," 11,271 ", 230 , 322 , 104 , 33 , 771 , 501 , 34 , 222 , 44 ," 1,063 ", 207 , 68 , 89 , 101 , 105 , 40 , 821 ," 1,474 ", 433 , 246 , 39 , 198 , 15 , 40 , 376 , 73 ," 1,153 ", 56 ," 7,167 ", 455 , 9 , 400 , 100 , 319 , 961 , 31 , 53 , 118 , 29 , 140 ," 1,705 ", - , 5 , 74 , 32 , 582 , 806 , 46 , 172 , 14 , 129 
Colombia," 18,417 ", 45 , 13 , 103 , 7 , 830 , 110 , 258 , 21 , 23 ," 8,582 ", 680 , 9 , 28 , 19 , 310 , 57 , 17 , 41 , 51 , 44 , 4 , 205 , 473 , 43 , 58 , 26 , 65 , 8 , 28 , 66 , 47 ," 1,489 ", 21 ," 1,671 ", 372 , D , 93 , 55 , 34 , 275 , 94 , 115 , 183 , D , 59 ," 1,004 ", D , 3 , 86 , 7 , 303 , 96 , 5 , 53 , 6 , 117 
Comoros, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Congo, Democratic Republic", 744 , D , - , 18 , - , 46 , 24 , 15 , - , D , 29 , 40 , - , - , - , 18 , 12 , 5 , 3 , 16 , D , 10 , 74 , 42 , 11 , 8 , D , 11 , D , D , D , 11 , 7 , - , 39 , 77 , - , 21 , D , 4 , 16 , - , D , - , 7 , 10 , 94 , - , - , 8 , 11 , 25 , 8 , 4 , D , - , 4 
"Congo, Republic", 313 , D , - , 5 , - , 10 , 3 , 6 , - , - , 4 , 19 , - , - , - , 17 , 4 , D , - , 9 , - , 5 , 23 , 12 , 4 , 6 , - , 7 , - , - , 6 , 3 , 10 , - , 33 , 30 , D , 13 , - , D , 5 , - , D , - , - , D , 35 , - , D , 3 , 7 , 9 , 5 , - , 5 , - , 5 
Cook Islands, D , - , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Costa Rica," 1,114 ", 4 , - , 15 , 3 , 111 , 11 , 16 , 3 , D , 260 , 40 , - , 3 , - , 21 , 8 , 3 , 6 , D , 14 , D , 18 , 18 , 8 , 9 , 8 , 5 , D , 4 , 23 , D , 150 , 5 , 74 , 49 , - , 13 , 3 , 8 , 25 , D , D , 11 , D , 9 , 66 , - , - , 7 , D , 32 , 17 , D , 10 , - , 10 
Cote d'Ivoire, 549 , D , D , 8 , D , 29 , 13 , 3 , 10 , D , 9 , 48 , - , 3 , - , 13 , 12 , D , D , D , - , D , 59 , 24 , 9 , 9 , - , 3 , - , D , D , D , 35 , - , 94 , 20 , - , 7 , 3 , D , 22 , - , 4 , D , D , 6 , 30 , - , - , D , D , 27 , 14 , D , 5 , - , 4 
Croatia, 589 , - , D , 18 , D , 49 , 8 , 11 , D , D , 51 , 9 , - , D , 3 , 49 , 26 , 11 , - , 4 , 5 , 4 , 7 , 13 , 10 , 5 , - , 20 , - , D , 11 , D , 23 , - , 56 , 8 , D , 53 , - , D , 18 , - , D , D , D , 5 , 33 , - , - , 4 , 3 , 11 , 16 , - , 21 , D , 9 
Cuba," 14,050 ", 15 , D , 56 , 4 , 183 , 15 , 21 , 5 , 10 ," 11,701 ", 92 , D , 9 , 3 , 74 , 11 , D , 10 , 129 , 41 , D , 22 , 21 , 36 , 15 , 15 , 27 , - , 5 , 201 , D , 345 , 39 , 190 , 58 , D , 10 , 13 , 45 , 54 , 77 , 3 , 18 , - , 32 , 215 , - , - , 9 , D , 56 , 21 , D , 13 , - , 118 
Cyprus, 118 , - , - , D , D , 11 , 3 , D , - , D , 9 , D , - , - , - , 8 , - , - , D , D , - , - , 6 , 6 , - , - , - , - , - , - , - , - , 9 , D , 31 , D , - , D , D , - , 3 , - , - , - , - , D , 7 , - , - , D , - , 7 , D , - , D , - , 1 
Czech Republic, 367 , 4 , - , 5 , - , 64 , 11 , 7 , - , - , 67 , 8 , - , D , - , 36 , D , D , D , - , 3 , - , 7 , 13 , 7 , 3 , D , D , - , - , D , 3 , 16 , 3 , 19 , 10 , - , 5 , - , D , 11 , - , - , D , - , 6 , 16 , - , - , D , - , 8 , 12 , - , 3 , D , 1 
"Czechoslovakia, former", 372 , 6 , D , 4 , - , 48 , 4 , 8 , D , - , 45 , 14 , - , 4 , D , 27 , 3 , 5 , D , 3 , D , D , 5 , D , 14 , 7 , D , D , D , D , 3 , D , 19 , 3 , 32 , 4 , D , 10 , D , 9 , 9 , - , D , D , - , 9 , 13 , - , - , D , D , 10 , 16 , 3 , 3 , - , 1 
Denmark, 123 , D , - , D , - , 38 , D , D , - , D , 12 , - , - , 3 , D , 5 , D , D , D , - , D , D , D , 5 , D , - , - , D , - , - , D , - , D , - , 3 , 4 , - , 4 , - , D , 3 , - , D , D , D , - , 6 , - , - , D , - , 3 , 7 , - , D , - , - 
Djibouti, 17 , - , - , D , - , D , - , - , - , - , - , D , - , - , - , 3 , - , - , - , - , - , 3 , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , D , - , - 
Dominica, 543 , D , - , 4 , 3 , 6 , - , 15 , - , D , 78 , 27 , - , D , - , 12 , D , D , D , 3 , 4 , - , 20 , 15 , 3 , D , - , 3 , - , - , D , D , 50 , - , 90 , 4 , - , D , D , - , 9 , 3 , D , 3 , - , D , 30 , - , 118 , - , - , 9 , 3 , D , - , - , 13 
Dominican Republic," 15,451 ", 6 , 11 , 18 , 8 , 63 , 14 , 188 , 38 , 32 ," 1,699 ", 130 , 5 , 9 , D , 43 , 26 , 5 , 7 , 10 , 50 , 11 , 129 ," 1,650 ", 52 , 11 , 10 , 13 , - , D , 20 , 68 ," 2,365 ", D ," 6,051 ", 154 , D , 84 , 7 , D , 783 , 755 , 414 , 30 , D , 16 , 111 , D , 65 , 11 , - , 113 , 10 , 3 , 24 , D , 120 
East Timor, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ecuador," 5,931 ", 4 , 4 , 28 , 4 , 288 , 27 , 190 , 11 , 8 , 941 , 97 , - , 8 , 3 , 203 , 12 , 13 , 12 , 11 , 12 , 3 , 109 , 98 , 11 , 66 , 6 , 14 , - , D , 27 , 11 ," 1,150 ", 12 ," 1,833 ", 121 , - , 22 , 14 , 8 , 112 , 11 , 4 , 28 , D , 9 , 145 , D , - , 31 , - , 97 , 34 , D , 15 , D , 57 
Egypt," 5,860 ", 14 , D , 52 , 3 ," 1,011 ", 19 , 53 , 12 , 3 , 348 , 86 , - , 7 , D , 117 , 38 , 9 , 10 , 17 , 23 , D , 93 , 262 , 110 , 55 , 4 , 23 , D , 5 , 19 , 14 ," 1,018 ", 14 , 832 , 113 , - , 119 , 7 , 24 , 261 , 3 , 20 , 61 , D , 286 , 255 , - , - , 5 , D , 252 , 69 , 15 , 22 , D , 66 
El Salvador," 10,343 ", 12 , 12 , 87 , 96 ," 3,729 ", 93 , 35 , 9 , 97 , 380 , 181 , - , 10 , 13 , 106 , 30 , 34 , 44 , 13 , 37 , D , 735 , 294 , 17 , 47 , 4 , 31 , D , 63 , 193 , 7 , 307 , 12 , 850 , 163 , - , 16 , 21 , 51 , 45 , 8 , 18 , 22 , 4 , 40 ," 1,354 ", D , - , 73 , - , 753 , 96 , 8 , 16 , 3 , 70 
Equatorial Guinea, 12 , - , - , - , - , - , - , - , - , - , D , D , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , 3 , - , - , D , - , - , - , - , - , - , - , - , D , - , - , D , - , D , - , - , - , - , - 
Eritrea, 991 , D , - , 6 , D , 182 , 40 , 4 , D , 23 , 11 , 59 , - , - , - , 33 , 16 , - , D , D , 4 , D , 95 , 21 , 8 , 37 , D , 12 , - , - , 27 , - , 8 , D , 22 , 20 , - , 38 , D , 13 , 15 , - , - , 3 , D , 18 , 66 , - , - , D , - , 79 , 103 , 3 , - , - , 7 
Estonia, 185 , - , D , 3 , D , 27 , 3 , 3 , - , D , 22 , 4 , - , - , - , 7 , - , D , D , D , - , - , 6 , 6 , D , D , D , - , - , - , D , D , 11 , - , 25 , 14 , - , 3 , D , 4 , 8 , - , - , - , D , - , 5 , - , - , D , - , 6 , 8 , - , D , - , 2 
Ethiopia," 8,903 ", 13 , 9 , 90 , D ," 1,000 ", 383 , 15 , 5 , 288 , 106 , 630 , D , 8 , 3 , 174 , 43 , 23 , 60 , 25 , 14 , 9 , 912 , 224 , 59 , 813 , 5 , 77 , D , 17 , 362 , 6 , 69 , D , 148 , 107 , D , 201 , 19 , 114 , 159 , - , 3 , 4 , 55 , 165 , 726 , - , - , 6 , D , 978 , 677 , 17 , 28 , - , 44 
Falkland Islands, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Fiji," 1,140 ", - , - , 5 , - , 886 , 3 , - , - , D , 3 , 4 , - , 9 , D , D , D , - , 5 , D , D , - , 3 , 3 , D , 3 , D , D , - , - , 11 , D , - , D , D , D , - , D , D , 30 , - , - , D , 4 , - , D , 17 , - , - , 13 , - , 3 , 111 , - , - , - , 6 
Finland, 286 , D , D , 4 , D , 59 , 6 , 6 , D , D , 31 , 13 , - , D , - , 3 , D , D , D , 4 , D , - , 6 , 14 , 6 , 3 , - , 4 , - , - , 3 , D , 5 , - , 23 , 10 , - , 4 , - , 7 , 4 , - , D , 3 , - , D , 21 , - , - , 3 , - , 10 , 14 , - , - , - , 1 
France," 2,203 ", 3 , 4 , 40 , 5 , 550 , 60 , 45 , 3 , 14 , 240 , 71 , - , 16 , 4 , 55 , 18 , 4 , 3 , 9 , 15 , 4 , 62 , 100 , 22 , 31 , - , 8 , D , D , 15 , 8 , 89 , 8 , 240 , 37 , D , 15 , 7 , 23 , 44 , D , 6 , 8 , D , 13 , 112 , - , D , 9 , 6 , 64 , 71 , D , 19 , D , 13 
French Guiana, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , D , - , - , D , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - 
French Polynesia, 12 , - , - , - , - , 4 , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , D , D , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - 
Gabon, 43 , - , - , - , - , D , D , - , - , - , 4 , 4 , - , - , - , D , D , - , D , - , D , - , 7 , 4 , D , - , - , - , - , - , - , - , D , - , D , D , - , D , - , - , - , - , - , - , - , - , 6 , - , - , - , - , - , D , D , D , - , 1 
Gambia, 444 , - , 5 , - , D , 12 , D , 5 , - , - , 9 , 48 , - , - , - , 5 , 4 , D , 7 , 6 , - , - , 50 , 8 , 12 , 19 , 3 , 6 , - , - , D , - , 10 , D , 65 , 28 , - , 15 , D , D , 14 , - , 10 , D , - , 8 , 15 , - , - , - , D , 8 , 47 , - , 9 , - , 3 
Georgia," 1,107 ", - , - , D , - , 282 , 24 , 17 , - , D , 44 , 19 , - , - , D , 30 , 3 , - , - , 3 , 3 , D , 22 , 13 , 7 , 10 , - , D , D , - , 13 , D , 103 , - , 344 , 5 , - , 15 , - , 7 , 61 , - , 5 , D , D , 3 , 8 , - , - , D , - , 6 , 38 , 3 , 3 , - , 2 
Germany," 4,001 ", 35 , 26 , 104 , D , 594 , 137 , 43 , 12 , 16 , 359 , 146 , 3 , 36 , 18 , 108 , 39 , 14 , 23 , 38 , 24 , 8 , 81 , 99 , 112 , 42 , 9 , 37 , 20 , 6 , 28 , 21 , 127 , 35 , 271 , 98 , 4 , 93 , 31 , 65 , 113 , 3 , 6 , 57 , 5 , 36 , 297 , - , D , 30 , 11 , 169 , 179 , 15 , 40 , 7 , 57 
Ghana," 4,211 ", 10 , D , 36 , 3 , 151 , 68 , 93 , 43 , 8 , 69 , 269 , - , 4 , 4 , 174 , 17 , 4 , 15 , 16 , 12 , D , 394 , 256 , 24 , 84 , 3 , 23 , - , 6 , 11 , D , 374 , 4 , 740 , 95 , D , 238 , 40 , 7 , 135 , - , 19 , 26 , - , 31 , 251 , - , - , 10 , D , 336 , 36 , 6 , 16 , D , 42 
Gibraltar, 4 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Greece, 800 , D , D , 9 , - , 115 , D , 18 , 7 , - , 46 , 6 , - , D , - , 58 , 7 , - , D , D , D , D , 21 , 80 , 15 , D , D , 5 , D , - , 5 , 9 , 51 , 3 , 150 , 13 , - , 18 , - , D , 48 , - , 5 , 6 , - , 4 , 28 , - , - , D , - , 26 , 13 , D , 5 , - , 7 
Greenland, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Grenada, 446 , - , D , D , - , 8 , - , 3 , D , D , 36 , 16 , - , - , - , D , - , - , D , D , - , - , 18 , 8 , D , - , - , - , - , - , D , - , 13 , - , 267 , 7 , - , D , D , - , 7 , - , - , D , D , - , 26 , - , 9 , - , - , 8 , D , - , - , - , 1 
Guadeloupe, 38 , - , - , - , - , - , - , D , - , D , 5 , D , - , D , - , - , - , - , - , - , - , - , - , 4 , - , - , - , D , - , - , D , - , D , - , 8 , - , - , - , - , - , - , - , - , D , - , - , 4 , - , 3 , - , - , D , - , D , - , - , - 
Guatemala," 5,375 ", 14 , 7 , 93 , 24 ," 2,047 ", 37 , 69 , 9 , 10 , 345 , 98 , D , 4 , 8 , 207 , 22 , 31 , 15 , 15 , 30 , 3 , 147 , 217 , 19 , 29 , 5 , 19 , D , 56 , 102 , 5 , 232 , 15 , 315 , 74 , D , 23 , 27 , 56 , 49 , 8 , 127 , 15 , 7 , 31 , 385 , - , - , 47 , D , 152 , 67 , 3 , 19 , D , 29 
Guinea, 418 , D , - , 3 , - , 7 , D , 8 , 6 , D , 7 , 42 , - , - , - , 10 , 8 , D , D , D , 3 , D , 46 , 16 , 7 , 9 , - , D , - , - , - , - , 13 , - , 90 , 7 , - , 33 , - , - , 26 , D , D , 5 , - , D , 22 , - , - , - , - , 17 , 11 , D , D , - , 3 
Guinea-Bissau, 17 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , 3 , - , - , - , - , - , - , - , - , D , - , 6 , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Guyana," 4,932 ", 9 , D , 11 , - , 58 , 3 , 77 , 17 , 13 , 532 , 152 , D , 5 , - , 24 , 6 , 3 , 3 , 4 , 9 , D , 153 , 37 , 7 , 75 , D , 5 , - , - , D , D , 410 , D ," 3,001 ", 38 , - , 16 , 6 , - , 57 , - , D , 15 , - , 13 , 62 , D , 7 , D , D , 47 , 9 , - , 6 , - , 28 
Haiti," 12,291 ", 13 , D , 11 , D , 74 , 16 , 262 , 58 , 14 ," 6,002 ", 340 , 5 , 18 , D , 85 , 33 , D , 12 , 28 , 26 , 4 , 197 ," 1,150 ", 23 , 7 , 4 , 27 , - , 3 , 12 , 14 , 923 , 3 ," 2,101 ", 59 , - , 30 , 15 , 7 , 293 , 3 , 61 , 22 , - , 18 , 58 , 3 , 7 , 8 , - , 98 , 27 , 4 , 5 , - , 102 
Honduras," 3,056 ", 13 , 3 , 27 , 8 , 363 , 32 , 29 , 6 , 5 , 678 , 73 , D , 10 , 6 , 50 , 20 , 3 , 8 , 10 , 163 , - , 67 , 75 , 11 , 14 , 12 , 14 , D , 4 , 22 , 6 , 179 , 4 , 320 , 92 , - , 16 , 16 , 6 , 43 , 6 , D , 16 , - , 23 , 369 , D , D , 13 , - , 137 , 28 , D , 16 , D , 31 
Hong Kong," 2,198 ", 4 , D , 21 , - , 886 , 18 , 5 , 3 , D , 63 , 36 , D , 31 , D , 42 , 4 , 4 , 7 , 7 , 4 , 3 , 32 , 104 , 29 , 17 , 3 , 7 , - , D , 21 , D , 70 , 3 , 345 , 25 , - , 15 , 10 , 12 , 45 , 3 , - , 3 , 4 , 3 , 140 , - , D , 7 , D , 23 , 99 , 3 , 22 , - , 5 
Hungary, 916 , 4 , 3 , 18 , - , 169 , 28 , 20 , D , D , 161 , 10 , - , 3 , D , 25 , 6 , D , 4 , 4 , D , D , 13 , 31 , 7 , D , - , 3 , D , 3 , 26 , 3 , 68 , D , 101 , 15 , - , 24 , D , 7 , 25 , - , D , D , D , 5 , 49 , - , - , 5 , - , 24 , 17 , D , 5 , 3 , 6 
Iceland, 51 , D , - , D , - , 10 , - , - , - , D , 5 , D , - , - , - , D , D , - , - , - , - , - , D , D , - , D , - , - , - , - , D , D , 4 , - , 3 , - , - , - , - , D , - , - , - , - , - , - , D , - , - , D , - , 6 , - , - , - , - , 2 
India," 61,142 ", 330 , 11 , 727 , 159 ," 12,719 ", 376 , 828 , 339 , 25 ," 2,123 "," 2,627 ", 6 , 15 , 34 ," 4,098 ", 648 , 182 , 330 , 286 , 208 , 35 ," 1,470 "," 2,079 "," 1,768 ", 586 , 147 , 559 , 11 , 85 , 232 , 270 ," 6,526 ", 87 ," 3,603 "," 1,318 ", 26 ," 1,364 ", 222 , 348 ," 2,492 ", 7 , 55 , 389 , 18 , 562 ," 5,876 ", - , 7 , 109 , 28 ," 2,309 "," 1,686 ", 55 , 493 , 3 , 246 
Indonesia," 2,765 ", D , 4 , 33 , 5 ," 1,314 ", 39 , 21 , 6 , 5 , 59 , 103 , D , 24 , - , 39 , 9 , 6 , 6 , 10 , 11 , 3 , 55 , 23 , 15 , 15 , D , 5 , - , 4 , 27 , 19 , 81 , 3 , 232 , 31 , - , 26 , 11 , 31 , 165 , - , 5 , 7 , - , 10 , 155 , - , - , 8 , - , 57 , 62 , D , 9 , D , 5 
Iran," 9,337 ", 29 , 3 , 164 , 11 ," 4,950 ", 101 , 31 , 8 , 12 , 246 , 216 , D , 5 , 7 , 190 , 29 , 5 , 41 , 23 , 14 , 10 , 329 , 149 , 73 , 32 , 5 , 59 , - , 8 , 112 , 13 , 112 , 31 , 339 , 75 , 4 , 64 , 73 , 85 , 100 , - , 8 , 21 , D , 84 , 680 , - , - , 75 , - , 436 , 193 , 10 , 18 , D , 50 
Iraq," 3,489 ", D , D , 152 , - , 722 , 34 , 18 , - , - , 64 , 56 , - , D , D , 200 , 7 , 15 , 8 , 20 , 17 , 5 , 17 , 28 ," 1,080 ", 40 , D , 48 , 3 , 43 , 24 , 6 , 19 , 13 , 60 , 12 , 3 , 40 , 15 , 29 , 64 , - , 3 , 91 , 5 , 160 , 141 , D , - , 12 , - , 118 , 44 , D , 3 , - , 38 
Ireland," 1,178 ", 4 , D , 21 , D , 162 , 13 , 43 , 3 , 6 , 65 , 22 , - , D , D , 46 , 3 , D , 3 , 7 , D , 5 , 22 , 156 , 11 , 11 , 4 , 6 , - , D , 8 , 9 , 58 , - , 252 , 11 , D , 11 , D , 15 , 44 , - , 3 , 8 , - , 3 , 42 , - , - , 3 , D , 33 , 34 , D , 9 , D , 4 
Israel," 3,205 ", 9 , - , 25 , 3 , 828 , 16 , 18 , D , 6 , 365 , 71 , - , 7 , - , 111 , 11 , 4 , 5 , 6 , 12 , D , 70 , 117 , 36 , 17 , D , 24 , - , D , 29 , 8 , 182 , 6 , 650 , 43 , - , 57 , 5 , 10 , 98 , 3 , 7 , 20 , 4 , 23 , 134 , - , D , 7 , D , 38 , 62 , - , 20 , - , 31 
Italy," 2,064 ", 7 , D , 24 , D , 332 , 10 , 57 , 11 , 10 , 225 , 32 , - , 8 , 3 , 60 , 8 , 3 , 3 , 3 , 3 , 4 , 47 , 100 , 42 , 4 , 6 , 6 , D , D , 16 , 5 , 173 , 4 , 378 , 41 , D , 41 , 6 , 18 , 103 , 3 , 3 , 12 , - , 9 , 78 , - , - , 7 , 4 , 49 , 58 , 3 , 7 , D , 31 
Jamaica," 12,070 ", 30 , 4 , 29 , 3 , 189 , 37 , 483 , 62 , 38 ," 3,582 ", 737 , 5 , 30 , D , 148 , 21 , D , 19 , 22 , 15 , 13 , 427 , 270 , 55 , 17 , 23 , 35 , D , 4 , 8 , 19 , 774 , 5 ," 3,593 ", 135 , - , 72 , 22 , 6 , 393 , D , 14 , 73 , - , 25 , 243 , 3 , 8 , 3 , 3 , 206 , 26 , 10 , 28 , D , 96 
Japan," 1,622 ", 9 , 5 , 22 , - , 602 , 25 , 9 , D , 4 , 34 , 36 , 8 , 110 , 3 , 37 , 10 , 5 , - , 6 , D , - , 22 , 34 , 26 , 8 , 7 , 9 , - , D , 24 , 4 , 52 , 5 , 149 , 21 , - , 21 , 7 , 25 , 17 , - , 5 , 12 , - , 5 , 53 , D , D , 23 , D , 50 , 79 , 5 , 5 , - , 19 
Jordan," 2,436 ", 17 , - , 28 , 4 , 394 , 26 , 7 , 11 , D , 127 , 46 , - , - , D , 292 , 32 , 10 , 12 , 27 , 47 , - , 22 , 41 , 121 , 27 , 11 , 26 , - , 5 , 5 , 3 , 159 , 3 , 145 , 62 , - , 141 , 18 , 11 , 77 , 9 , 5 , 23 , - , 37 , 222 , - , 6 , D , - , 60 , 39 , D , 40 , - , 33 
Kazakhstan, 763 , D , 3 , 8 , D , 118 , 20 , 6 , D , 3 , 39 , 13 , - , D , - , 26 , D , D , D , 3 , D , D , 12 , 36 , 9 , 25 , D , 7 , - , D , 6 , D , 43 , 3 , 132 , 11 , D , 15 , - , 20 , 28 , - , D , 10 , - , 7 , 27 , - , - , D , D , 19 , 86 , - , 5 , D , 2 
Kenya," 3,043 ", 33 , D , 32 , 4 , 280 , 21 , 20 , 78 , 10 , 101 , 217 , D , 14 , 5 , 57 , 35 , 28 , 83 , 20 , 10 , 3 , 173 , 214 , 31 , 180 , 3 , 66 , - , 13 , 13 , 17 , 165 , 4 , 68 , 98 , D , 56 , 47 , 8 , 110 , - , 5 , 43 , - , 37 , 394 , - , - , 4 , D , 96 , 102 , 5 , 14 , - , 20 
Kiribati, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Korea, North", 13 , - , - , - , - , 4 , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , 1 
"Korea, South"," 11,170 ", 31 , 19 , 89 , 22 ," 3,318 ", 173 , 78 , 41 , 9 , 231 , 544 , 46 , 187 , 12 , 474 , 49 , 19 , 34 , 37 , 36 , 5 , 394 , 155 , 164 , 45 , 11 , 72 , D , 14 , 105 , 7 , 801 , 18 ," 1,018 ", 182 , D , 88 , 81 , 86 , 327 , - , 11 , 78 , 8 , 86 , 607 , 3 , D , 29 , D , 659 , 525 , 5 , 37 , 3 , 89 
Kosovo, 590 , - , D , 14 , - , 11 , D , 38 , - , - , 21 , 16 , - , D , D , 19 , - , 7 , - , 25 , 5 , - , 10 , 13 , 23 , D , D , 4 , - , - , D , 4 , 41 , - , 203 , 9 , - , 6 , 6 , D , 20 , - , - , - , D , 8 , 30 , - , - , 5 , D , 13 , 7 , - , 16 , - , 3 
Kuwait, 919 , 12 , - , 19 , D , 136 , 6 , 11 , 3 , - , 63 , 18 , - , D , D , 68 , 13 , D , 6 , 5 , 22 , D , 13 , 20 , 40 , 6 , 5 , 8 , - , D , 5 , 3 , 44 , D , 46 , 50 , - , 43 , 8 , 12 , 18 , D , 5 , 6 , - , 16 , 104 , - , D , - , - , 36 , 16 , D , 12 , - , 7 
Kyrgyzstan, 380 , - , D , 4 , 3 , 59 , 4 , - , D , D , 15 , 9 , - , D , 3 , 10 , D , D , D , D , D , - , 12 , 14 , 4 , 4 , D , 4 , D , - , 3 , D , 10 , D , 57 , 4 , D , 9 , D , 14 , 9 , - , D , 3 , - , 4 , 9 , - , - , - , - , 15 , 68 , - , 6 , - , 2 
Laos," 2,743 ", 19 , 22 , 8 , 45 , 721 , 30 , 18 , 4 , - , 46 , 80 , - , 6 , 4 , 39 , 6 , 36 , 22 , 5 , 10 , D , 17 , 49 , 42 , 567 , D , 10 , - , 13 , 18 , 5 , 8 , 7 , 14 , 82 , - , 34 , 21 , 36 , 23 , - , 27 , 17 , D , 45 , 114 , - , - , 18 , - , 26 , 94 , - , 310 , - , 20 
Latvia, 342 , D , - , 3 , - , 48 , 5 , 3 , D , - , 27 , 8 , - , D , D , 34 , 3 , D , D , 3 , D , - , 7 , 21 , 3 , 10 , - , 3 , - , - , 3 , 3 , 18 , D , 77 , 4 , - , 8 , D , 3 , 7 , - , - , D , D , 3 , 8 , - , D , D , - , D , 6 , - , 5 , - , 1 
Lebanon," 3,266 ", 12 , D , 41 , D , 674 , 7 , 29 , D , 4 , 210 , 71 , - , D , D , 68 , 11 , 6 , 12 , 10 , 14 , 3 , 37 , 289 , 548 , 38 , 3 , 14 , - , 4 , 37 , 21 , 108 , 3 , 177 , 44 , 4 , 125 , 21 , 14 , 73 , 4 , 17 , 25 , D , 16 , 268 , - , - , 3 , D , 117 , 32 , 9 , 11 , D , 21 
Lesotho, 7 , - , - , - , D , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Liberia," 3,360 ", 8 , - , 80 , - , 94 , 21 , 31 , 38 , 7 , 43 , 177 , - , 7 , 4 , 63 , 28 , 14 , 5 , 16 , 6 , D , 289 , 142 , 38 , 444 , D , 39 , D , 10 , 9 , 16 , 282 , - , 148 , 122 , 10 , 64 , 16 , 10 , 575 , - , 137 , 10 , 12 , 25 , 148 , - , - , 8 , - , 85 , 29 , 3 , 15 , - , 28 
