Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total," 619,913 "," 2,027 ", 831 ," 10,340 "," 1,275 "," 129,354 "," 7,165 "," 7,452 "," 1,829 "," 1,319 "," 67,484 "," 18,253 ", 644 ," 3,190 "," 1,102 "," 26,180 "," 3,866 "," 1,858 "," 2,492 "," 2,398 "," 2,423 ", 839 ," 16,220 "," 21,095 "," 11,162 "," 9,020 ", 967 ," 4,388 ", 259 ," 1,590 "," 6,791 "," 1,670 "," 33,864 "," 2,205 "," 67,972 "," 9,988 ", 286 ," 8,617 "," 2,678 "," 4,910 "," 16,143 "," 1,318 "," 2,078 "," 3,081 ", 399 ," 4,229 "," 49,699 ", 41 , 549 ," 2,908 ", 407 ," 17,815 "," 16,830 ", 550 ," 3,864 ", 229 ," 3,770 "
Afghanistan," 2,230 ", - , - , 54 , - , 749 , 25 , 23 , 3 , D , 37 , 49 , - , - , 18 , 60 , 10 , 8 , 7 , 8 , 4 , 11 , 25 , 35 , 26 , 12 , - , 65 , - , 10 , 16 , D , 68 , 10 , 293 , 8 , - , 8 , D , 17 , 45 , - , - , 13 , 4 , 18 , 93 , - , - , 25 , - , 309 , 28 , 7 , 7 , - , 18 
Albania," 5,088 ", D , 3 , 46 , D , 97 , 3 , 284 , 7 , 8 , 402 , 26 , - , D , D , 290 , 7 , - , 7 , D , - , 10 , 64 , 625 , 618 , 7 , D , 55 , - , 5 , 25 , 20 , 242 , D ," 1,368 ", 38 , - , 107 , D , 6 , 400 , - , 5 , 26 , - , 26 , 86 , - , D , 6 , - , 66 , 21 , - , 51 , - , 18 
Algeria, 808 , D , - , 6 , - , 147 , 10 , 6 , D , 4 , 43 , 14 , - , - , D , 53 , 7 , - , D , 3 , 7 , - , 14 , 90 , 24 , 5 , - , 4 , - , D , 3 , D , 52 , D , 104 , 12 , - , 22 , D , 5 , 41 , - , 3 , D , - , - , 54 , - , - , - , - , 39 , 17 , - , 6 , - , 2 
American Samoa, 232 , - , 18 , D , - , 28 , 4 , D , - , - , D , 4 , D , 87 , - , - , - , - , D , D , - , - , D , - , D , - , - , 3 , D , - , 6 , - , - , - , - , 3 , - , - , D , 7 , - , - , - , D , - , - , 13 , - , D , 9 , - , 7 , 25 , - , - , - , 3 
Angola, 135 , - , - , 3 , - , 8 , D , D , - , D , 15 , 3 , - , D , - , 3 , - , - , - , - , D , - , 7 , 23 , D , - , - , - , - , 3 , D , - , 19 , - , 5 , D , - , D , D , - , 5 , - , 5 , D , - , D , 13 , - , - , D , - , 4 , D , - , D , - , - 
Anguilla, 26 , - , - , - , - , D , - , - , - , - , 3 , D , - , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , - , D , - , 3 , D , - , - , - , - , D , - , - , - , - , - , D , - , 7 , - , - , D , - , - , - , - , - 
Antigua-Barbuda, 341 , 4 , - , D , - , 4 , - , 3 , - , D , 40 , 20 , - , D , - , D , D , - , D , - , 6 , - , 6 , 13 , D , D , - , - , - , - , - , - , 22 , - , 132 , 12 , - , D , D , D , 13 , - , - , D , - , - , 6 , - , 37 , - , - , 7 , - , - , D , - , 1 
Argentina," 3,140 ", 4 , D , 34 , D , 453 , 27 , 34 , 10 , 7 ," 1,134 ", 55 , - , 6 , 3 , 101 , 24 , 7 , 7 , 11 , 4 , 3 , 64 , 55 , 27 , 20 , 7 , 9 , D , 4 , 49 , 6 , 146 , 13 , 248 , 65 , - , 13 , 14 , 14 , 36 , 33 , 8 , 10 , 4 , 15 , 165 , - , D , 41 , - , 72 , 38 , 4 , 14 , D , 14 
Armenia," 3,168 ", D , D , 6 , - ," 2,645 ", 25 , 5 , - , - , 35 , 7 , - , D , - , 10 , D , - , D , - , D , D , 19 , 50 , 8 , D , - , D , - , D , 58 , D , 49 , - , 104 , 7 , - , 12 , - , 6 , 16 , - , 4 , 4 , - , D , 14 , - , - , 9 , 4 , 21 , 25 , - , 4 , - , 1 
Aruba, 27 , - , - , D , - , D , - , - , D , - , 12 , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , D , D , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - 
Australia," 1,202 ", D , 6 , 22 , 4 , 264 , 54 , 19 , D , 5 , 65 , 28 , D , 18 , 6 , 34 , 11 , D , 5 , 5 , 4 , 8 , 30 , 41 , 23 , 10 , D , 7 , 3 , D , 14 , 6 , 42 , 7 , 96 , 21 , 4 , 15 , 6 , 22 , 23 , - , 8 , 12 , - , 12 , 86 , - , - , 14 , 3 , 42 , 62 , 3 , 12 , D , 8 
Austria, 277 , D , 3 , 6 , - , 58 , 8 , 5 , 3 , - , 31 , 10 , - , D , D , 13 , 3 , D , - , - , - , 3 , 4 , D , 11 , D , - , D , - , - , 7 , D , 9 , 4 , 29 , 7 , - , 3 , - , 6 , 8 , - , - , D , - , D , 12 , - , - , - , 3 , 5 , 5 , - , 4 , D , 3 
Azerbaijan," 1,233 ", - , - , 6 , - , 558 , 21 , 4 , D , D , 41 , 10 , - , D , 4 , 23 , 3 , 3 , 3 , 5 , - , - , 25 , 31 , 15 , 4 , - , 9 , D , - , 4 , D , 26 , - , 208 , 12 , - , 13 , D , 8 , 32 , - , D , - , - , 6 , 32 , - , - , 11 , 3 , 16 , 78 , D , 3 , - , 4 
Bahamas, 475 , 9 , - , 4 , - , 6 , D , 5 , - , - , 286 , 44 , - , D , - , 6 , 3 , - , D , 5 , 5 , D , 7 , 5 , D , - , D , - , - , D , D , - , 7 , - , 13 , 10 , - , - , - , - , 8 , - , - , 6 , - , D , 13 , - , D , D , - , 9 , - , D , - , - , 8 
Bahrain, 102 , - , - , D , - , 17 , D , - , - , - , D , 3 , - , - , D , 8 , D , D , D , - , D , - , 5 , 4 , D , - , - , D , - , - , - , - , 10 , - , 5 , 4 , - , D , D , - , 3 , - , - , D , D , - , 15 , - , - , D , D , D , 3 , D , D , - , 1 
Bangladesh," 6,979 ", 33 , D , 67 , 5 , 579 , 25 , 102 , 52 , 5 , 419 , 260 , - , 3 , 3 , 118 , 21 , D , 26 , 9 , 21 , - , 162 , 121 , 375 , 53 , 11 , 26 , D , 6 , 32 , 6 , 415 , 3 ," 2,771 ", 66 , D , 49 , 33 , 9 , 198 , D , 3 , 9 , 3 , 21 , 497 , - , - , 4 , 3 , 250 , 57 , 3 , 13 , - , 24 
Barbados, 535 , 4 , - , D , - , 16 , 3 , 8 , 5 , - , 56 , 27 , - , D , - , D , 7 , - , - , 4 , - , - , 18 , 43 , 3 , D , D , D , - , - , - , - , 36 , - , 212 , 6 , - , 4 , - , D , 21 , - , D , 4 , - , 5 , 16 , - , D , - , - , 17 , D , D , - , - , 3 
Belarus," 1,523 ", 4 , D , 8 , D , 208 , 25 , 26 , 3 , D , 65 , 40 , - , - , - , 124 , D , 3 , 3 , 6 , D , 5 , 20 , 67 , 16 , 55 , 6 , 19 , D , 11 , 8 , D , 94 , 5 , 315 , 23 , - , 19 , 4 , 23 , 82 , - , D , 17 , D , D , 32 , - , - , 6 , D , 39 , 97 , - , 21 , D , 4 
Belgium, 523 , D , - , 8 , D , 107 , 11 , 9 , D , 5 , 54 , 18 , - , 3 , - , 10 , 4 , D , D , D , 8 , D , 16 , 17 , 20 , 5 , 4 , 9 , - , D , D , D , 20 , 5 , 50 , 15 , - , 9 , - , 5 , 15 , D , D , 7 , - , 6 , 34 , - , - , D , - , 16 , 10 , D , D , - , 3 
Belize, 556 , - , D , 4 , - , 199 , 8 , D , D , D , 49 , 18 , D , - , - , 57 , 4 , D , D , D , 4 , - , 3 , 4 , D , 3 , D , D , - , - , 7 , - , 11 , - , 70 , 3 , - , D , D , D , 6 , - , - , 3 , - , 3 , 53 , - , - , 5 , - , 10 , 9 , - , D , - , 1 
Benin, 127 , - , - , D , - , D , D , D , - , D , 6 , D , - , D , - , 16 , 6 , D , - , D , - , D , 16 , 4 , D , 3 , - , D , - , D , D , - , D , - , 14 , 4 , - , 3 , D , D , 15 , - , - , - , - , - , 5 , - , - , - , - , 11 , - , - , - , - , 1 
Bermuda, 65 , D , - , - , - , 4 , D , D , - , - , 11 , 6 , - , - , - , D , - , - , - , D , - , - , 5 , D , 3 , - , D , - , - , D , - , D , 4 , - , 3 , 3 , - , 4 , D , D , D , - , D , - , - , - , D , - , - , - , - , D , D , - , - , - , 2 
Bhutan, 50 , - , - , D , - , 10 , 3 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , 3 , - , D , - , - , - , - , - , 7 , - , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 11 , 6 , - , - , - , - 
Bolivia," 1,185 ", D , 4 , 7 , D , 100 , 8 , 5 , D , 5 , 181 , 18 , D , D , - , 17 , 6 , D , - , 5 , 4 , D , 71 , 25 , 5 , 4 , - , 6 , - , D , 6 , - , 52 , D , 67 , 18 , D , 12 , 7 , D , 9 , D , 28 , 10 , D , D , 65 , - , - , 8 , - , 388 , 8 , 6 , 5 , - , 5 
Bosnia-Herzegovina," 4,012 ", 7 , D , 150 , - , 163 , 47 , 94 , - , 4 , 385 , 263 , - , - , 64 , 259 , 67 , 193 , 9 , 145 , 10 , 7 , 24 , 59 , 163 , 93 , D , 398 , D , 14 , 59 , 53 , 38 , D , 298 , 42 , 22 , 97 , 3 , 47 , 96 , - , 3 , 9 , 9 , 57 , 139 , - , - , 93 , 20 , 80 , 125 , - , 61 , - , 37 
Botswana, 24 , D , D , D , - , D , D , - , - , - , 3 , D , - , - , - , - , - , - , - , - , - , - , - , 3 , - , D , - , - , - , - , - , - , - , - , D , - , D , - , - , - , D , - , - , D , - , - , D , - , - , - , - , D , - , - , D , - , - 
