Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 757,434 "," 2,084 "," 1,186 "," 13,090 "," 1,605 "," 158,850 "," 7,726 "," 8,332 "," 1,456 "," 1,958 "," 100,890 "," 17,093 ", 800 ," 3,144 "," 1,384 "," 28,376 "," 4,146 "," 2,255 "," 2,905 "," 2,686 "," 2,344 ", 941 ," 16,160 "," 22,753 "," 11,069 "," 12,016 ", 972 ," 4,794 ", 325 ," 2,039 "," 7,667 "," 1,507 "," 42,622 "," 2,689 "," 93,584 "," 11,848 ", 377 ," 10,194 "," 3,133 "," 5,872 "," 16,470 "," 2,212 "," 2,854 "," 4,124 ", 467 ," 5,557 "," 57,762 ", 458 , 662 ," 3,848 ", 546 ," 24,224 "," 17,524 ", 478 ," 4,379 ", 220 ," 2,777 "
Africa," 74,775 ", 243 , 70 ," 1,128 ", 85 ," 5,491 "," 1,353 ", 609 , 359 , 743 ," 2,019 "," 3,215 ", 4 , 38 , 111 ," 2,437 ", 624 , 468 , 469 , 469 , 189 , 394 ," 5,066 "," 3,849 ", 836 ," 6,074 ", 80 , 799 , 23 , 628 , 542 , 161 ," 3,907 ", 83 ," 6,568 "," 1,792 ", 177 ," 3,096 ", 355 , 524 ," 2,477 ", 3 , 537 , 480 , 176 ," 1,470 "," 5,880 ", 29 , 6 , 320 , 104 ," 4,777 "," 2,611 ", 59 , 374 , 8 , 386 
Asia," 257,035 ", 882 , 680 ," 3,062 ", 601 ," 81,444 "," 2,071 "," 2,158 ", 485 , 336 ," 8,982 "," 5,684 ", 748 ," 2,418 ", 325 ," 10,255 "," 1,539 ", 656 ," 1,050 ", 923 ," 1,023 ", 221 ," 5,111 "," 5,870 "," 6,097 "," 3,527 ", 501 ," 1,726 ", 99 , 453 ," 2,913 ", 499 ," 13,995 ", 506 ," 29,363 "," 3,737 ", 78 ," 3,828 "," 1,254 "," 1,916 "," 6,398 ", 61 , 401 ," 1,286 ", 98 ," 1,970 "," 18,063 ", 134 , 94 , 849 , 156 ," 10,021 "," 7,180 ", 207 ," 2,079 ", 67 , 955 
Europe," 82,714 ", 209 , 220 ," 1,309 ", 107 ," 11,241 "," 1,284 "," 1,838 ", 146 , 242 ," 6,445 "," 1,885 ", 21 , 212 , 244 ," 7,145 ", 605 , 461 , 240 , 455 , 187 , 192 ," 1,269 "," 3,373 "," 2,358 ", 975 , 80 ," 1,220 ", 102 , 149 , 766 , 350 ," 5,082 ", 182 ," 11,957 "," 1,577 ", 66 ," 1,714 ", 240 ," 1,376 "," 2,707 ", 67 , 273 , 639 , 104 , 655 ," 2,894 ", 36 , 25 , 407 , 156 ," 2,137 "," 3,855 ", 72 , 757 , 36 , 370 
North America," 261,673 ", 586 , 146 ," 7,115 ", 741 ," 53,654 "," 2,537 "," 1,975 ", 371 , 457 ," 58,566 "," 4,403 ", 8 , 210 , 633 ," 7,357 "," 1,109 ", 585 , 974 , 669 , 747 , 98 ," 3,299 "," 6,411 "," 1,452 ", 971 , 253 , 797 , 65 , 718 ," 3,061 ", 303 ," 11,576 "," 1,832 "," 32,957 "," 3,325 ", 48 ," 1,049 "," 1,044 "," 1,772 "," 3,770 "," 1,778 "," 1,317 "," 1,093 ", 76 ," 1,089 "," 27,450 ", 183 , 523 ," 1,413 ", 89 ," 4,070 "," 3,062 ", 83 , 938 , 93 , 772 
Oceania," 3,886 ", 4 , 33 , 74 , 4 ," 1,569 ", 86 , 34 , D , 9 , 100 , 51 , 14 , 148 , 15 , 66 , 10 , 16 , 18 , 16 , 9 , 6 , 37 , 64 , 28 , 25 , 5 , 29 , 11 , 7 , 44 , 11 , 53 , 11 , 149 , 57 , D , 37 , 26 , 104 , 60 , - , 4 , 38 , D , 24 , 166 , 23 , 4 , 161 , 4 , 95 , 274 , 8 , 25 , 5 , 11 
South America," 76,992 ", 158 , 37 , 399 , 64 ," 5,394 ", 389 ," 1,717 ", D , 170 ," 24,740 "," 1,850 ", 5 , 118 , 55 ," 1,088 ", 256 , 69 , 151 , 148 , 179 , 30 ," 1,371 "," 3,182 ", 275 , 441 , 51 , 219 , 25 , 84 , 339 , 183 ," 8,003 ", 75 ," 12,577 "," 1,354 ", D , 439 , 212 , 179 ," 1,053 ", 300 , 321 , 585 , D , 335 ," 3,283 ", 52 , 10 , 696 , 37 ," 3,113 ", 536 , 49 , 200 , 11 , 273 
Unknown, 359 , 2 , - , 3 , 3 , 57 , 6 , 1 , - , 1 , 38 , 5 , - , - , 1 , 28 , 3 , - , 3 , 6 , 10 , - , 7 , 4 , 23 , 3 , 2 , 4 , - , - , 2 , - , 6 , - , 13 , 6 , - , 31 , 2 , 1 , 5 , 3 , 1 , 3 , - , 14 , 26 , 1 , - , 2 , - , 11 , 6 , - , 6 , - , 10 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 757,434 "," 2,084 "," 1,186 "," 13,090 "," 1,605 "," 158,850 "," 7,726 "," 8,332 "," 1,456 "," 1,958 "," 100,890 "," 17,093 ", 800 ," 3,144 "," 1,384 "," 28,376 "," 4,146 "," 2,255 "," 2,905 "," 2,686 "," 2,344 ", 941 ," 16,160 "," 22,753 "," 11,069 "," 12,016 ", 972 ," 4,794 ", 325 ," 2,039 "," 7,667 "," 1,507 "," 42,622 "," 2,689 "," 93,584 "," 11,848 ", 377 ," 10,194 "," 3,133 "," 5,872 "," 16,470 "," 2,212 "," 2,854 "," 4,124 ", 467 ," 5,557 "," 57,762 ", 458 , 662 ," 3,848 ", 546 ," 24,224 "," 17,524 ", 478 ," 4,379 ", 220 ," 2,777 "
Afghanistan," 1,758 ", D , - , 46 , - , 579 , 27 , 14 , 7 , D , 22 , 50 , - , - , 17 , 25 , 10 , 6 , 4 , 10 , 4 , D , 29 , 15 , 22 , 4 , - , 34 , - , 13 , 18 , - , 51 , 15 , 216 , 8 , D , 14 , - , 10 , 25 , - , D , 4 , D , 20 , 62 , - , - , 8 , D , 288 , 61 , - , D , - , 8 
Albania," 3,615 ", D , D , 16 , - , 60 , D , 178 , - , 6 , 322 , 14 , - , D , D , 177 , D , - , 5 , 5 , - , D , 28 , 425 , 462 , 3 , D , 41 , - , D , 22 , 9 , 158 , D ," 1,098 ", 16 , - , 75 , 9 , 7 , 239 , - , D , 22 , - , 14 , 55 , - , - , 4 , 3 , 54 , 19 , - , 37 , - , 14 
Algeria, 891 , D , D , 5 , D , 133 , 13 , 7 , - , 3 , 47 , 16 , - , D , D , 41 , 14 , D , 4 , 3 , 4 , D , 22 , 77 , 16 , 7 , D , 4 , D , - , D , D , 63 , D , 147 , 16 , - , 23 , D , D , 57 , - , D , D , - , D , 57 , - , - , 3 , D , 57 , 16 , - , 10 , D , 1 
American Samoa, 180 , - , 7 , D , - , 38 , D , - , - , - , - , D , - , 28 , - , D , - , - , - , - , - , - , D , - , - , - , D , 4 , - , - , D , - , - , - , D , D , - , - , D , D , - , - , - , 7 , - , D , 7 , 6 , - , 15 , - , 10 , 38 , - , D , D , - 
Andorra, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Angola, 166 , - , - , 7 , - , 9 , - , 3 , - , - , 12 , 7 , - , - , D , 8 , D , - , - , - , D , - , 3 , 40 , D , - , - , D , - , D , - , - , 11 , D , 6 , 7 , D , - , - , - , 11 , - , 4 , - , - , - , 17 , - , - , 3 , - , 6 , D , - , - , - , - 
Anguilla, 30 , D , - , - , - , - , - , - , - , - , 6 , 4 , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , D , - , 6 , - , - , - , - , - , - , - , - , - , - , - , D , - , 6 , - , - , D , - , - , - , - , - 
Antigua-Barbuda, 390 , D , - , - , - , 5 , D , 3 , - , - , 58 , 22 , - , - , - , 3 , - , - , D , D , - , - , 16 , 23 , 3 , D , D , D , - , - , - , - , 24 , - , 156 , 4 , - , 3 , D , D , 11 , - , D , D , - , D , 5 , - , 30 , - , - , 4 , D , - , D , - , - 
Argentina," 3,909 ", 7 , 4 , 35 , 3 , 554 , 38 , 54 , 6 , 16 ," 1,478 ", 59 , - , 11 , 8 , 65 , 17 , 7 , 12 , 4 , 12 , 3 , 63 , 80 , 28 , 25 , 4 , 12 , D , 4 , 45 , 6 , 211 , 10 , 318 , 51 , - , 30 , 10 , 16 , 55 , 39 , 6 , 21 , - , 9 , 206 , - , - , 62 , D , 131 , 45 , D , 14 , - , 10 
Armenia," 3,285 ", D , D , 10 , - ," 2,732 ", 16 , 4 , - , 7 , 32 , 6 , - , - , - , 9 , - , - , D , 3 , D , - , 16 , 56 , 9 , D , - , D , - , - , 41 , - , 52 , D , 135 , 7 , - , 15 , 4 , D , 24 , - , 7 , 5 , - , 9 , 32 , - , - , 10 , D , 17 , 13 , - , D , - , 1 
Aruba, 27 , - , - , D , - , D , D , D , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , D , 3 , - , - , - , - , - , - , - , - , 3 , - , 4 , D , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , D , - , - , - , - , - 
Australia," 1,312 ", 3 , 7 , 28 , D , 299 , 48 , 27 , D , 6 , 63 , 28 , D , 21 , 5 , 38 , 9 , 8 , 6 , 8 , 4 , D , 25 , 43 , 19 , 17 , 3 , 6 , 9 , 5 , 14 , 7 , 30 , D , 112 , 31 , D , 22 , 8 , 22 , 45 , - , 3 , 12 , D , 12 , 89 , D , - , 20 , D , 48 , 63 , 4 , 17 , - , 6 
Austria, 241 , D , - , 3 , - , 49 , 4 , 5 , D , D , 24 , 7 , - , 3 , - , 5 , D , - , - , - , - , - , D , 5 , 5 , D , D , D , - , D , 3 , - , 7 , D , 30 , 10 , - , 3 , - , 5 , 6 , - , D , 3 , - , D , 21 , D , - , D , D , 7 , 10 , D , 3 , D , 3 
Azerbaijan, 958 , - , 3 , 8 , D , 372 , 9 , 4 , D , D , 15 , 14 , - , - , 4 , 20 , 4 , 3 , D , 6 , D , 5 , 12 , 31 , 22 , 6 , - , 7 , D , D , 5 , D , 21 , - , 197 , 7 , D , 12 , 5 , 11 , 27 , - , D , D , D , D , 39 , - , - , 6 , D , 23 , 32 , - , 3 , D , 3 
Bahamas, 647 , D , - , 3 , - , 19 , D , D , - , D , 404 , 56 , - , - , - , 10 , D , D , D , D , D , - , 14 , 8 , 4 , D , D , D , - , D , D , D , 10 , - , 20 , 15 , - , 3 , D , D , 4 , - , - , 3 , - , 8 , 20 , D , - , D , - , 7 , D , D , - , D , 5 
Bahrain, 93 , - , - , D , - , 8 , D , - , - , - , 6 , 4 , D , - , - , 3 , D , D , - , - , - , - , - , D , D , 3 , D , D , - , - , - , - , 8 , - , 6 , 3 , - , D , D , D , 7 , - , - , D , - , - , 12 , - , - , D , - , 8 , D , - , - , - , 1 
