Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Bangladesh," 8,417 ", 27 , D , 71 , 12 , 525 , 19 , 129 , 27 , 18 , 487 , 224 , - , 3 , D , 86 , 38 , 3 , 20 , 15 , 15 , - , 137 , 113 , 336 , 41 , 15 , 24 , - , 5 , 19 , 8 , 540 , 6 ," 4,153 ", 41 , D , 56 , 22 , 17 , 199 , - , 3 , 13 , D , 26 , 447 , - , D , D , D , 403 , 38 , - , 6 , D , 19 
Barbados, 687 , D , - , 3 , - , 15 , D , 18 , - , D , 64 , 27 , - , - , - , 11 , 7 , - , D , - , D , - , 18 , 53 , D , 3 , D , D , - , D , - , D , 46 , - , 330 , 14 , - , 6 , D , - , 11 , - , D , D , - , 3 , 12 , - , D , D , D , 20 , 3 , - , - , - , 2 
Belarus," 1,896 ", 4 , 4 , 11 , D , 309 , 40 , 28 , 6 , - , 106 , 33 , - , 4 , D , 94 , 9 , 3 , 3 , 10 , 4 , 6 , 28 , 98 , 10 , 63 , D , 21 , 10 , 6 , 8 , 3 , 107 , D , 420 , 34 , D , 32 , 8 , 18 , 86 , - , 4 , 18 , D , 14 , 32 , 3 , - , 8 , D , 50 , 101 , - , 25 , D , 4 
Belgium, 522 , D , D , 14 , - , 90 , 7 , 8 , D , D , 58 , 25 , - , D , - , 9 , D , D , - , D , D , - , 18 , 23 , 10 , 5 , - , 6 , D , D , - , - , 26 , D , 45 , 25 , - , 15 , 4 , 10 , 16 , - , D , D , - , 4 , 21 , D , D , 5 , D , 17 , 28 , D , 4 , - , 4 
Belize, 817 , - , - , 7 , 3 , 297 , 6 , 6 , D , - , 53 , 17 , D , - , - , 86 , 3 , - , 5 , D , 4 , - , 5 , 7 , 6 , - , D , 3 , - , D , 14 , - , 25 , D , 132 , 9 , - , - , 5 , - , 8 , D , - , 9 , - , 3 , 68 , D , - , D , D , 13 , D , D , D , D , 3 
Benin, 210 , - , - , D , - , 5 , 4 , D , - , - , 3 , 6 , - , - , - , 17 , 10 , D , D , D , - , - , 41 , 9 , D , 8 , - , D , D , 9 , 4 , D , 8 , D , 14 , 8 , D , D , D , - , 6 , - , - , D , - , - , 12 , D , - , - , D , 17 , 3 , D , D , - , 2 
Bermuda, 65 , D , - , - , - , 5 , - , - , D , - , 17 , 5 , - , D , - , D , - , - , - , - , - , - , 3 , 5 , D , - , - , - , - , - , - , - , D , - , 4 , 5 , - , D , - , - , 5 , - , D , D , - , - , D , - , - , - , - , - , D , - , D , - , - 
Bhutan, 42 , - , - , - , - , 5 , D , - , - , - , - , 6 , - , - , D , D , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , D , D , - , - , D , D , - , - , - , - , - , - , - , D , - , D , - , 12 , D , - , D , - , - 
Bolivia," 2,063 ", 4 , D , 9 , D , 147 , 9 , 7 , 4 , 13 , 258 , 7 , - , D , D , 24 , 3 , 3 , 7 , 4 , D , D , 129 , 35 , 5 , 4 , D , 5 , - , D , 5 , - , 56 , D , 116 , 24 , - , 7 , 3 , 9 , 11 , 3 , 32 , 10 , D , D , 97 , D , - , 20 , D , 950 , 9 , - , 4 , D , 11 
Bosnia-Herzegovina," 4,904 ", D , - , 195 , - , 124 , 42 , 129 , - , D , 419 , 280 , - , 4 , 59 , 344 , 104 , 260 , 15 , 150 , 8 , 18 , 16 , 48 , 252 , 96 , D , 522 , - , 25 , 48 , 66 , 57 , D , 343 , 73 , 40 , 212 , 3 , 48 , 166 , - , - , 6 , 17 , 82 , 195 , - , - , 87 , 27 , 95 , 134 , 3 , 65 , D , 19 
Botswana, 11 , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , D , - , D , D , - , - , - , - , - , - , - , - , D , - , D , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
Brazil," 9,884 ", 26 , 4 , 74 , 10 , 993 , 53 , 378 , 7 , 26 ," 2,311 ", 323 , D , 48 , 9 , 125 , 40 , 15 , 20 , 20 , 25 , 5 , 141 ," 1,847 ", 105 , 44 , 4 , 47 , 4 , 14 , 47 , 78 , 815 , 12 , 706 , 130 , D , 68 , 24 , 30 , 139 , 6 , 41 , 65 , D , 48 , 408 , 6 , D , 118 , 8 , 228 , 96 , 6 , 33 , D , 48 
British Virgin Islands, 41 , D , - , - , - , D , - , D , - , - , 10 , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , 7 , - , - , D , - , - , - , - , - , - , - , - , D , - , 11 , - , - , 3 , - , - , D , - , - 
Brunei, 17 , - , - , - , - , 5 , - , - , - , - , 3 , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , 3 , - , - , - , - 
Bulgaria," 2,964 ", 5 , D , 66 , 5 , 396 , 51 , 29 , 10 , 8 , 217 , 106 , - , 12 , 3 , 599 , 24 , 10 , 8 , 17 , 7 , 8 , 71 , 122 , 37 , 25 , 6 , 41 , D , D , 113 , 11 , 120 , D , 221 , 36 , - , 41 , 7 , 10 , 96 , D , 9 , 36 , 5 , 12 , 84 , D , - , 16 , D , 122 , 94 , 4 , 30 , D , 3 
Burkina Faso, 166 , - , - , D , - , 5 , 4 , - , - , D , D , 4 , - , D , - , 9 , D , - , - , D , - , - , 18 , D , D , D , - , D , - , 3 , - , - , 15 , - , 43 , 3 , D , 8 , - , D , 6 , - , - , D , - , D , 7 , - , - , - , - , 8 , 9 , - , 5 , - , - 
Burma," 2,384 ", 4 , D , 35 , D , 610 , 14 , 11 , 4 , 4 , 128 , 31 , - , 6 , 7 , 38 , 128 , 6 , 12 , 6 , 4 , D , 129 , 40 , 38 , 111 , 5 , 9 , D , 16 , 13 , D , 40 , D , 457 , 72 , D , 47 , 17 , 19 , 31 , - , 4 , 11 , - , 36 , 125 , D , - , 6 , D , 47 , 31 , 3 , 10 , D , 5 
Burundi, 209 , D , - , 11 , - , 10 , D , 7 , D , - , 3 , 17 , - , - , 3 , 4 , 3 , 5 , - , 8 , D , 10 , 6 , 4 , D , D , 4 , - , - , - , D , D , D , D , 37 , D , - , 7 , - , - , 4 , - , D , D , - , 5 , 30 , D , - , D , D , 7 , D , - , - , - , - 
Cambodia," 6,189 ", 15 , D , 42 , 9 ," 3,527 ", 38 , 33 , D , D , 87 , 82 , - , 5 , D , 53 , 16 , 8 , 19 , 14 , 13 , 27 , 43 , 426 , 34 , 183 , 10 , 15 , - , 3 , 28 , 5 , 21 , D , 67 , 58 , D , 72 , 15 , 44 , 272 , - , 64 , 13 , 3 , 32 , 285 , - , - , 24 , - , 107 , 339 , D , 23 , D , 5 
Cameroon," 2,459 ", 17 , 3 , 31 , 8 , 128 , 17 , 6 , 29 , 35 , 51 , 151 , - , - , - , 95 , 8 , 6 , 16 , 7 , 9 , 3 , 704 , 129 , 25 , 97 , 4 , 24 , - , 7 , 10 , 7 , 50 , 6 , 81 , 38 , D , 67 , 26 , 4 , 42 , D , - , 35 , D , 12 , 288 , D , - , D , D , 133 , 13 , 9 , 12 , D , 7 
Canada," 9,077 ", 70 , 22 , 296 , 9 ," 1,320 ", 224 , 128 , 22 , 27 , 961 , 261 , - , 81 , 46 , 266 , 95 , 39 , 47 , 48 , 38 , 51 , 146 , 278 , 347 , 140 , 18 , 61 , 40 , 18 , 106 , 93 , 243 , 36 , 571 , 274 , 26 , 211 , 40 , 141 , 224 , D , 20 , 113 , 10 , 100 , 660 , 6 , D , 114 , 60 , 221 , 572 , 11 , 82 , 12 , 29 
Cape Verde," 1,037 ", - , - , - , D , 5 , - , 32 , - , - , 18 , D , D , - , - , - , - , - , - , - , - , D , 4 , 762 , - , - , - , - , - , - , D , - , 10 , - , 13 , D , - , - , D , - , D , - , 164 , D , - , - , D , - , - , - , - , 5 , - , D , - , - , 8 
Cayman Islands, 29 , - , - , - , D , 3 , - , D , - , - , 8 , 3 , - , - , - , D , D , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , 3 , D , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - 
Central African Republic, 56 , - , - , D , - , 5 , - , - , - , - , D , D , - , - , - , D , - , - , - , D , - , - , 6 , 3 , D , D , - , - , - , - , - , - , - , - , 4 , D , - , 5 , - , D , 5 , - , - , - , - , - , 8 , - , - , - , - , 4 , 3 , - , D , - , 1 
Chad, 69 , - , D , D , - , D , - , D , - , - , D , - , - , - , - , D , 13 , - , - , - , - , D , 7 , - , - , - , - , D , - , - , - , - , 6 , - , 12 , D , - , D , - , - , D , - , - , - , - , D , 7 , - , - , D , - , 4 , D , - , - , - , - 
Chile," 1,586 ", 5 , - , 22 , D , 208 , 21 , 28 , D , 8 , 402 , 33 , - , 4 , D , 29 , D , 3 , 4 , 8 , 5 , D , 48 , 49 , 5 , 11 , D , 6 , 4 , 4 , 12 , D , 101 , D , 155 , 38 , D , 17 , 4 , 11 , 29 , 9 , 5 , 5 , - , 7 , 90 , D , - , 49 , D , 84 , 29 , D , 8 , D , 5 
"China, People's Republic"," 31,868 ", 73 , 26 , 214 , 48 ," 9,342 ", 240 , 278 , 62 , 39 , 648 , 439 , 33 , 205 , 37 ," 1,013 ", 161 , 76 , 100 , 75 , 71 , 34 , 611 ," 1,291 ", 323 , 252 , 62 , 153 , D , 29 , 294 , 48 , 951 , 55 ," 8,890 ", 376 , 13 , 430 , 122 , 316 , 865 , 34 , 42 , 136 , 13 , 167 ," 1,292 ", 18 , D , 113 , 30 , 634 , 799 , 30 , 157 , 10 , 84 
Colombia," 23,972 ", 46 , 16 , 108 , 19 ," 1,082 ", 92 , 391 , 26 , 45 ," 10,845 ", 740 , D , 18 , 14 , 315 , 65 , 18 , 44 , 41 , 64 , 5 , 274 , 633 , 40 , 69 , 10 , 62 , 6 , 30 , 69 , 59 ," 2,520 ", 19 ," 2,473 ", 556 , 5 , 101 , 65 , 33 , 294 , 109 , 192 , 279 , 5 , 111 ," 1,121 ", 21 , D , 98 , 4 , 453 , 120 , 11 , 45 , D , 85 
Comoros, 7 , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
"Congo, Democratic Republic"," 1,173 ", 7 , D , 28 , D , 67 , 28 , 21 , - , - , 9 , 70 , - , - , 5 , 54 , 10 , 15 , 4 , 31 , D , 14 , 72 , 60 , 20 , 17 , - , 18 , - , 7 , 3 , 12 , 6 , D , 77 , 133 , D , 36 , 5 , 9 , 14 , - , 4 , 3 , 6 , 14 , 196 , - , - , 13 , 9 , 49 , 9 , - , 4 , D , 6 
"Congo, Republic", 381 , - , - , 16 , - , 30 , 7 , 3 , D , 4 , 7 , 16 , - , - , 3 , 17 , D , 3 , D , 6 , D , 5 , 26 , 6 , 5 , 5 , - , 11 , - , D , 3 , - , 8 , D , 31 , 26 , - , 14 , 5 , 5 , 8 , - , D , 3 , - , 8 , 46 , - , - , 3 , 3 , 27 , 3 , - , D , - , 6 
Cook Islands, D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Costa Rica," 1,597 ", 5 , - , 10 , D , 158 , 19 , 29 , 4 , D , 375 , 47 , - , 4 , D , 34 , 14 , 3 , 7 , 3 , 7 , - , 32 , 32 , 4 , 13 , 5 , 6 , D , D , 17 , 3 , 273 , 4 , 119 , 81 , - , 25 , 6 , 7 , 33 , 11 , D , 24 , D , 16 , 89 , - , - , 8 , - , 31 , 13 , D , 5 , D , 7 
Cote d'Ivoire, 868 , D , D , 4 , D , 50 , 16 , 3 , 11 , 8 , 19 , 42 , - , D , D , 30 , 14 , 3 , D , - , D , D , 115 , 26 , 17 , 11 , - , 6 , - , D , 5 , D , 39 , D , 208 , 24 , D , 17 , 8 , - , 24 , - , 5 , 7 , 3 , 9 , 42 , D , - , 3 , - , 49 , 20 , D , 11 , - , 2 
Croatia, 725 , D , - , 28 , - , 44 , 13 , 4 , 4 , 4 , 85 , 24 , - , - , - , 50 , 23 , 8 , 5 , 3 , D , 3 , 11 , 16 , 14 , 8 , D , 17 , D , 3 , 20 , 11 , 29 , D , 73 , 9 , D , 54 , D , 10 , 16 , - , D , D , D , 10 , 30 , - , - , 12 , 4 , 22 , 12 , - , 32 , - , 2 
Cuba," 31,244 ", 19 , 9 , 147 , 4 , 297 , 29 , 22 , 7 , 5 ," 27,157 ", 126 , - , D , 5 , 102 , 17 , 3 , 18 , 258 , 66 , - , 33 , 33 , 85 , 14 , 6 , 41 , - , 31 , 312 , 4 , 692 , 63 , 345 , 96 , D , 22 , 23 , 67 , 138 , 125 , 12 , 29 , 3 , 62 , 438 , 8 , - , 14 , 3 , 125 , 40 , D , 13 , - , 71 
Cyprus, 92 , D , - , D , - , 12 , 4 , 4 , D , - , 3 , D , - , - , - , D , D , - , - , - , D , - , 7 , 5 , D , D , - , - , - , - , - , - , 7 , - , 19 , - , - , - , - , D , D , - , D , D , - , D , D , - , - , - , - , 7 , D , - , - , - , 1 
Czech Republic, 477 , 7 , D , 6 , - , 69 , 15 , 6 , - , 3 , 73 , 14 , - , 3 , - , 56 , 4 , D , D , D , D , D , 9 , 12 , 11 , 3 , 3 , 6 , - , D , 10 , D , 18 , - , 35 , 11 , - , 7 , D , 4 , 12 , - , - , 10 , D , D , 14 , - , D , 3 , - , 17 , 16 , - , D , D , - 
"Czechoslovakia, former", 291 , 3 , D , 6 , D , 45 , 5 , D , D , D , 49 , 10 , - , D , - , 17 , 4 , - , 3 , D , - , - , 10 , 10 , D , D , D , 3 , - , - , D , - , 10 , - , 21 , 10 , - , 3 , D , 5 , 11 , - , - , 4 , D , 6 , 11 , - , D , 4 , D , 14 , 6 , - , D , - , 1 
Denmark, 133 , D , - , 3 , D , 34 , D , D , - , - , 9 , D , - , - , - , D , D , D , - , - , D , - , 5 , 3 , D , 3 , - , - , D , - , D , - , 8 , D , D , 4 , - , D , 3 , D , 4 , - , - , D , - , D , 9 , - , - , 3 , - , 9 , 8 , - , D , - , - 
Djibouti, 26 , - , - , - , - , D , D , - , - , - , - , D , - , - , - , D , - , - , - , - , - , 3 , D , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , D , - , D , - , - , - , - , D , 4 , - , - , - , - 
