SUPPLEMENTAL TABLE 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY COUNTRY OF BIRTH AND STATE OF INTENDED RESIDENCE: FISCAL YEAR 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Hungary,738,D,D,18,D,181,11,25,-,3,102,4,D,D,27,6,D,-,D,-,D,14,19,20,6,-,6,-,D,15,D,37,D,80,5,-,30,D,4,16,-,4,-,6,21,-,-,D,D,19,14,-,13,-,12
Iceland,79,-,-,D,-,12,4,D,-,-,8,D,-,-,D,D,-,-,-,-,-,4,D,9,D,D,D,-,-,-,-,-,-,7,D,-,-,-,D,-,-,-,D,-,3,-,-,-,-,8,3,-,D,-,1
Ireland,"2,421",D,4,20,7,430,22,50,-,5,109,16,6,-,141,7,D,4,5,3,5,26,310,25,14,3,7,D,6,11,16,145,5,669,19,D,20,3,13,65,12,19,D,11,55,-,D,8,4,46,42,-,12,D,11
Italy,"2,295",D,D,25,D,354,25,65,8,D,196,7,D,D,104,7,D,3,5,5,-,41,104,89,14,-,6,D,5,20,4,207,3,578,14,-,51,D,11,89,13,6,-,7,56,-,6,13,D,41,29,4,18,-,47
Kazakhstan,572,-,D,D,-,105,20,10,-,-,10,4,D,-,17,-,D,D,D,-,3,15,25,11,13,-,12,D,D,4,D,11,D,133,D,-,16,D,13,29,D,-,D,D,11,-,-,D,D,15,60,-,7,-,4
Kyrgyzstan,159,-,-,D,-,18,4,-,-,D,D,-,-,-,4,-,-,-,-,-,D,3,4,5,5,D,4,-,D,-,D,9,-,20,-,D,4,-,10,7,-,D,-,-,D,-,-,D,-,5,39,-,D,D,2
Latvia,335,-,-,D,-,49,8,6,D,D,17,5,-,D,21,D,D,D,-,D,D,8,7,25,9,-,D,D,3,D,D,24,3,64,3,-,14,-,8,7,D,D,-,-,4,-,D,-,-,7,11,-,7,D,4
Lithuania,738,-,3,D,-,62,13,11,3,-,30,11,-,-,347,4,-,D,-,D,3,8,16,22,9,-,8,D,-,4,-,29,D,43,D,-,16,-,4,16,-,D,-,5,7,-,-,5,D,11,16,D,6,D,11
Luxembourg,9,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,D,-
Macedonia,601,-,7,7,-,31,D,23,-,-,21,D,-,D,87,14,6,-,D,-,D,D,5,104,4,-,4,-,-,3,-,100,-,79,-,D,22,D,-,11,-,D,-,-,9,-,-,D,-,8,D,D,28,-,11
